"academic use only"

"corpus","preloaded/gutenberg20_cs"
"subcorpus","-"
"concordance size","188"
"query","Query:[lempos_lc=""(muž)-n""]"
"Reference","Left","KWIC","Right"
"Blesky nad Beskydami",",/kIx,  těžké/k2eAgInPc1d1  vločky/k1gInPc1  tály/k5eAaImAgInP  hned/k6eAd1  při/k7c6  dopadnutí/k1gNnSc6  na/k7c4  zem/k1gFnSc4 ,/kIx,  kde/k6eAd1  se/k3xPyFc4  měnily/k5eAaImAgFnP  v/k7c4  kalužiny/k1gFnPc4  a/k8xC  v/k7c4  protivné/k2eAgNnSc4d1 ,/kIx,  mazlavé/k2eAgNnSc4d1  bláto/k1gNnSc4 ./kIx. </s><s> Na/k7c6  návsi/k1gFnSc6  stál/k5eAaImAgInS  hlouček/k1gInSc4"," mužů/k1gMnPc2","./kIx. </s><s> ""/kIx"" Co/k8xS  tomu/k3xDgNnSc3  říkáte/k5eAaImIp2nP ,/kIx,  staříčku/k1gMnSc3 ?/kIx. </s><s> ""/kIx""  obrátil/k5eAaPmAgMnS  se/k3xPyFc4  jeden/k4xCgMnSc1  k/k7c3  starému/k2eAgMnSc3d1  výměnkáři/k1gMnSc3 ./kIx. </s><s> ""/kIx"" Co/k3yQnSc4  říkám/k5eAaImIp1nS !/kIx. </s><s> Už/k6eAd1  je/k5eAaImIp3nS  veš/k1gFnSc4  v/k7c6  kožichu/k1gInSc6 ./kIx. </s><s> A/k8xC  těžko/k6eAd1 ,/kIx,  těžko/k6eAd1  ji/k3xPp3gFnSc4  bude/k5eAaImBp3nS"
"Blesky nad Beskydami","Sládka/k1gMnSc2 :/kIx, </s><s> Co/k3yInSc1  vzal/k5eAaPmAgMnS  nám/k3xPp1nPc3  kdo/k3yInSc1 ,/kIx,  co/k3yQnSc1  zašlapal/k5eAaPmAgMnS  nám/k3xPp1nPc3  v/k7c4  bláto/k1gNnSc4 ,/kIx,  co/k9  jedny/k4xCgFnPc1  lkáním/k5eAaImIp1nS ,/kIx,  druhé/k4xOgNnSc1  plní/k5eAaImIp3nS  studem/k1gInSc7 ,/kIx,  to/k3xDgNnSc1  žalozpěvy/k1gInPc4  už/k6eAd1  si/k3xPyFc3  nevyhudem/k1gInSc7 :/kIx,  kdo/k3yInSc1"," muž/k1gMnSc1",",/kIx,  si/k3xPyFc3  vezme/k5eAaPmIp3nS  zas/k6eAd1 ,/kIx,  co/k3yInSc1  bylo/k5eAaImAgNnS  vzato/k5eAaPmNgNnS !/kIx. </s><s> V/k7c4  nás/k3xPp1nPc4  jako/k9  v/k7c6  jiných/k1gFnPc6  žití/k1gNnSc2  vrchovato/k6eAd1 ,/kIx,  nač/k6eAd1  zbaběle/k6eAd1  lkát/k5eAaImF  stále/k6eAd1  nad/k7c7  osudem/k1gInSc7  --/k?  ten/k3xDgInSc1  dává/k5eAaImIp3nS  všem/k3xTgMnPc3 ,/kIx,  jen/k9  co/k8xS"
"Blesky nad Beskydami","i/k9  na/k7c4  oruží/k1gNnSc4 ?/kIx. </s><s> --/k?  A/k8xC  stále/k6eAd1  vrávoráme/k5eAaImIp1nP  jako/k9  v/k7c6  bludu/k1gInSc6  pěst/k1gFnSc4  líbajíce/k5eAaImSgFnP ,/kIx,  která/k3yRgFnSc1  křivdu/k1gFnSc4  činí/k5eAaImIp3nS  --/k?  ""/kIx"" Jsme/k5eAaImIp1nP  otroci/k1gMnPc1 ,/kIx, ""/kIx""  se/k3xPyFc4  křičí/k5eAaImIp3nS ;/kIx,  --/k?  kde/k6eAd1  jsou/k5eAaImIp3nP"," muži/k1gMnPc1","?/kIx. </s><s> Sotva/k6eAd1  dozněla/k5eAaPmAgFnS  tato/k3xDgFnSc1  palčivá/k2eAgFnSc1d1  výzva/k1gFnSc1 ,/kIx,  třídou/k1gFnSc7  se/k3xPyFc4  rozlehl/k5eAaPmAgInS  burácivý/k2eAgInSc1d1  potlesk/k1gInSc1 ./kIx. </s><s> Inspektor/k1gMnSc1  se/k3xPyFc4  zvedl/k5eAaPmAgMnS ./kIx. </s><s> Šel/k5eAaImAgMnS  k/k7c3  Slávkovi/k1gMnSc3 ,/kIx,  pohladil/k5eAaPmAgMnS"
"Blesky nad Beskydami","./kIx. </s><s> Dnes/k6eAd1  se/k3xPyFc4  už/k9  tomuto/k3xDgInSc3  násilnickému/k2eAgInSc3d1  režimu/k1gInSc3  neustupuje/k5eNaImIp3nS ./kIx. </s><s> Ve/k7c6  Francii/k1gFnSc6 ,/kIx,  Anglii/k1gFnSc6  a/k8xC  jiných/k2eAgInPc6d1  spojeneckých/k2eAgInPc6d1  státech/k1gInPc6  stojí/k5eAaImIp3nS  miliony/k4xCgInPc4"," mužů/k1gMnPc2"," a/k8xC  miliony/k4xCgInPc1  tun/k1gFnPc2  materiálu/k1gInSc6  připraveno/k5eAaPmNgNnS ,/kIx,  aby/kYmCp3nS  byla/k5eAaImAgFnS  vedena/k5eAaImNgFnS  rozhodující/k2eAgFnSc1d1  rána/k1gFnSc1  proti/k7c3  světovému/k2eAgNnSc3d1  nebezpečí/k1gNnSc3  z/k7c2  Německa/k1gNnSc2 ./kIx. </s><s> Celý/k2eAgInSc1d1"
"Blesky nad Beskydami","stálo/k5eAaImAgNnS  za/k7c4  to/k3xDgNnSc4 !/kIx. </s><s> Na/k7c6  poštovním/k2eAgInSc6d1  úřadě/k1gInSc6  ve/k7c6  Vsetíně/k1gInSc6  byl/k5eAaImAgMnS  zaměstnán/k2eAgMnSc1d1  Čermákův/k2eAgMnSc1d1  kamarád/k1gMnSc1  Hájek/k1gMnSc1  z/k7c2  Jablůnky/k1gFnSc2 ./kIx. </s><s> Byl/k5eAaImAgMnS  rovněž/k9  legionářem/k1gMnSc7 ./kIx. </s><s> Oba/k4xCgMnPc4"," mužové/k1gMnPc1"," se/k3xPyFc4  rozhodli/k5eAaPmAgMnP  hned/k6eAd1  po/k7c6  patnáctém/k4xOgNnSc6  březnu/k1gNnSc6 ,/kIx,  že/k8xS  budou/k5eAaImBp3nP  podle/k7c2  svých/k3xOyFgFnPc2  sil/k1gFnPc2  a/k8xC  možností/k1gFnSc7  pracovat/k5eAaImF  pro/k7c4  svržení/k1gNnSc4  německé/k2eAgFnSc2d1  nadvlády/k1gFnSc2 ./kIx. </s>"
"Blesky nad Beskydami","proud/k1gInSc1  světla/k1gNnSc2  dopadl/k5eAaPmAgInS  na/k7c4  tvář/k1gFnSc4  pozdního/k2eAgMnSc2d1  návštěvníka/k1gMnSc2 ./kIx. </s><s> Nebylo/k5eNaImAgNnS  to/k3xDgNnSc1  obávané/k2eAgNnSc1d1  gestapo/k1gNnSc1 ./kIx. </s><s> Stál/k5eAaImAgMnS  tam/k6eAd1  mladý/k2eAgMnSc1d1 ,/kIx,  asi/k9  pětadvacetiletý/k2eAgMnSc1d1"," muž/k1gMnSc1","./kIx. </s><s> Byl/k5eAaImAgInS  zabalen/k5eAaPmNgInS  do/k7c2  stanového/k2eAgNnSc2d1  plátna/k1gNnSc2 ,/kIx,  které/k3yIgNnSc1  bylo/k5eAaImAgNnS  už/k6eAd1  zcela/k6eAd1  promoklé/k2eAgNnSc1d1 ./kIx. </s><s> Jak/k6eAd1  se/k3xPyFc4  pohnul/k5eAaPmAgMnS ,/kIx,  v/k7c6  jeho/k3xOp3gFnPc6  vysokých/k2eAgFnPc6d1  botách/k1gFnPc6  zašplouchala/k5eAaPmAgFnS"
"Blesky nad Beskydami","./kIx. </s><s> Člověk/k1gMnSc1  nesmí/k5eNaImIp3nS  věřit/k5eAaImF  nikomu/k3yNnSc3 ./kIx. </s><s> Ale/k8xC  tento/k3xDgInSc1  vypadá/k5eAaImIp3nS  poctivě/k6eAd1 ./kIx. ""/kIx"" </s><s> Za/k7c4  chvíli/k1gFnSc4  se/k3xPyFc4  ozvalo/k5eAaPmAgNnS  z/k7c2  kuchyně/k1gFnSc2  veselé/k2eAgNnSc4d1  zvolání/k1gNnSc4 :/kIx,  ""/kIx"" Hotovo/k2eAgNnSc1d1 !/kIx. </s><s> ""/kIx"" </s><s> Mladý/k2eAgMnSc1d1"," muž/k1gMnSc1"," stál/k5eAaImAgMnS  u/k7c2  sporáku/k1gInSc2  a/k8xC  mnul/k5eAaImAgMnS  si/k3xPyFc3  ruce/k1gFnPc4 ./kIx. </s><s> Do/k7c2  jeho/k3xOp3gFnSc2  bledé/k2eAgFnSc2d1  tváře/k1gFnSc2  proudila/k5eAaPmAgFnS  pomalu/k6eAd1  červeň/k1gFnSc1 ./kIx. </s><s> ""/kIx"" Nezlobte/k5eNaImRp2nP  se/k3xPyFc4 ,/kIx,  že/k8xS  jsem/k5eAaImIp1nS  vás/k3xPp2nPc4  přepadl/k5eAaPmAgInS  tak/k6eAd1  pozdě/k6eAd1  v/k7c6"
"Blesky nad Beskydami","byly/k5eAaImAgInP  zlé/k2eAgInPc1d1 ,/kIx,  příděly/k1gInPc1  nestačily/k5eNaBmAgInP ,/kIx,  shánělo/k5eAaImAgNnS  se/k3xPyFc4  všechno/k3xTgNnSc1 :/kIx,  mouka/k1gFnSc1 ,/kIx,  sádlo/k1gNnSc1 ,/kIx,  vejce/k1gNnSc1 ./kIx. </s><s> Před/k7c7  vjezdem/k1gInSc7  do/k7c2  města/k1gNnSc2  stál/k5eAaImAgMnS  strážník/k1gMnSc1 ./kIx. </s><s> Polekaný/k2eAgMnSc1d1"," muž/k1gMnSc1"," se/k3xPyFc4  již/k6eAd1  v/k7c6  duchu/k1gMnSc6  loučil/k5eAaImAgInS  s/k7c7  drahocenným/k2eAgInSc7d1  obsahem/k1gInSc7  kufru/k1gInSc2 ./kIx. </s><s> ""/kIx"" Co/k3yQnSc4  tam/k6eAd1  vezete/k5eAaImIp2nP ?/kIx. </s><s> ""/kIx""  ptal/k5eAaImAgMnS  se/k3xPyFc4  přísně/k6eAd1  strážmistr/k1gMnSc1 ./kIx. </s><s> ""/kIx"" Nu/k9 ,/kIx,  to/k3xDgNnSc4  víte/k5eAaImIp2nP ,/kIx,  trochu/k6eAd1"
"Blesky nad Beskydami","nebylo/k5eNaImAgNnS  doma/k6eAd1  tajemství/k1gNnSc1 ./kIx. </s><s> A/k8xC  statečné/k2eAgNnSc4d1  děvče/k1gNnSc4  často/k6eAd1  pomohlo/k5eAaPmAgNnS  rodičům/k1gMnPc3  v/k7c6  těžkých/k2eAgInPc6d1  okamžicích/k1gInPc6 ./kIx. </s><s> Čeho/k3yRnSc2  se/k3xPyFc4  nemohl/k5eNaImAgMnS  odvážit/k5eAaPmF  dospělý/k2eAgMnSc1d1"," muž/k1gMnSc1"," či/k8xC  žena/k1gFnSc1 ,/kIx,  to/k3xDgNnSc1  prošlo/k5eAaPmAgNnS  malému/k2eAgNnSc3d1  děvčeti/k1gNnSc3 ./kIx. </s><s> I/k9  dnes/k6eAd1  splnila/k5eAaPmAgFnS  svůj/k3xOyFgInSc4  úkol/k1gInSc4  rychle/k6eAd1  a/k8xC  nenápadně/k6eNd1 ./kIx. </s><s> ""/kIx"" Jak/k8xC  je/k5eAaImIp3nS  mu/k3xPp3gMnSc3 ?/kIx. </s><s> ""/kIx""  otázala/k5eAaPmAgFnS  se/k3xPyFc4  jí/k3xPp3gFnSc7  matka/k1gFnSc1 ./kIx. </s><s> ""/kIx"" Myslím/k5eAaImIp1nS"
"Blesky nad Beskydami","zmizel/k5eAaPmAgInS ./kIx. </s><s> Pan/k1gMnSc1  Čermák/k1gMnSc1  přiskočil/k5eAaPmAgMnS  k/k7c3  oknu/k1gNnSc3 ,/kIx,  z/k7c2  něhož/k3xRgInSc2  bylo/k5eAaImAgNnS  možno/k6eAd1  přehlédnout/k5eAaPmF  celou/k2eAgFnSc4d1  Dolinu/k1gFnSc4 ./kIx. </s><s> Opravdu/k6eAd1 !/kIx. </s><s> Od/k7c2  silnice/k1gFnSc2  se/k3xPyFc4  blížili/k5eAaImAgMnP  tři/k4xCgMnPc1"," mužové/k1gMnPc1","./kIx. </s><s> Tmavé/k2eAgInPc1d1  šaty/k1gInPc1 ,/kIx,  vysoké/k2eAgFnPc1d1  boty/k1gFnPc1 ./kIx. </s><s> Šli/k1gFnSc4  pomalu/k6eAd1 ,/kIx,  vesele/k6eAd1  se/k3xPyFc4  o/k7c6  něčem/k3yInSc6  bavili/k5eAaImAgMnP ./kIx. </s><s> Zřejmě/k6eAd1  si/k3xPyFc3  byli/k5eAaImAgMnP  svou/k3xOyFgFnSc4  věcí/k1gFnPc2  jisti/k2eAgMnPc1d1 ./kIx. </s><s> ""/kIx"" Jdou/k5eAaImIp3nP  pro/k7c4  nás/k3xPp1nPc4 !/kIx. </s><s> ""/kIx""  řekl/k5eAaPmAgMnS  pan/k1gMnSc1"
