"academic use only"

"corpus","preloaded/gutenberg20_cs"
"subcorpus","-"
"concordance size","150"
"query","Query:[lempos_lc=""(pes)-n""]"
"Reference","Left","KWIC","Right"
"Blesky nad Beskydami","vetřelců/k1gMnPc2 ,/kIx,  kteří/k3yIgMnPc1  tuší/k5eAaImIp3nP ,/kIx,  že/k8xS  zdejší/k2eAgFnPc1d1  hory/k1gFnPc1  jsou/k5eAaImIp3nP  nebezpečné/k2eNgFnPc1d1 ,/kIx,  i/k8xC  když/k8xS  mlčí/k5eAaImIp3nS ./kIx. </s><s> Proto/k8xC  je/k3xPp3gFnPc4  procházejí/k5eAaImIp3nP  křížem/k6eAd1  krážem/k6eAd1  se/k7c7  svými/k3xOyFgMnPc7  zlými/k2eAgMnPc7d1"," psy/k1gMnPc7",",/kIx,  pušky/k1gFnPc4  mají/k5eAaImIp3nP  připraveny/k5eAaPmNgFnP  k/k7c3  výstřelu/k1gInSc3 ./kIx. </s><s> Když/k8xS  zahlédnou/k5eAaPmIp3nP  mezi/k7c7  stromy/k1gInPc7  postavu/k1gInSc2 ,/kIx,  ženou/k1gFnSc7  se/k3xPyFc4  k/k7c3  ní/k3xPp3gFnSc3 ./kIx. </s><s> Uprchlík/k1gMnSc1 !/kIx. </s><s> ""/kIx"" Stůj/k5eAaImRp2nS !/kIx. </s><s> ""/kIx""  A/k8xC  před/k7c7  užaslým/k2eAgMnSc7d1"
"Blesky nad Beskydami","k/k7c3  ní/k3xPp3gFnSc3  matka/k1gFnSc1 ./kIx. </s><s> ""/kIx"" Jdou/k5eAaImIp3nP  sem/k6eAd1  vojáci/k1gMnPc1 !/kIx. </s><s> ""/kIx""  vydechla/k5eAaPmAgFnS  Olinka/k1gFnSc1  a/k8xC  ukázala/k5eAaPmAgFnS  na/k7c4  pěšinku/k1gFnSc4  od/k7c2  Kubišovy/k2eAgFnSc2d1  hospody/k? ./kIx. </s><s> Šli/k5eAaImAgMnP  po/k7c6  ní/k3xPp3gFnSc6  čtyři/k4xCgMnPc1  vojáci/k1gMnPc1  s/k7c7  velkými/k2eAgMnPc7d1"," psy/k1gMnPc7","./kIx. </s><s> 4/k4 ./kIx. </s><s> Bouře/k1gFnSc1  nad/k7c7  Dolinou/k1gFnSc7 </s><s> Těžký/k2eAgInSc1d1  mrak/k1gInSc1  se/k3xPyFc4  pověsil/k5eAaPmAgInS  na/k7c4  Dolinu/k1gFnSc4 ./kIx. </s><s> Co/k3yInSc4  chtějí/k5eAaImIp3nP ?/kIx. </s><s> Kam/k6eAd1  jdou/k5eAaImIp3nP ?/kIx. </s><s> Brzy/k6eAd1  se/k3xPyFc4  jim/k3xPp3gMnPc3  dostalo/k5eAaPmAgNnS  odpovědi/k1gFnSc2 ./kIx. </s><s> Vojáci/k1gMnPc1"
"Blesky nad Beskydami","?/kIx. </s><s> Kam/k6eAd1  jdou/k5eAaImIp3nP ?/kIx. </s><s> Brzy/k6eAd1  se/k3xPyFc4  jim/k3xPp3gMnPc3  dostalo/k5eAaPmAgNnS  odpovědi/k1gFnSc2 ./kIx. </s><s> Vojáci/k1gMnPc1  zamířili/k5eAaPmAgMnP  k/k7c3  jejich/k3xOp3gFnSc3  chalupě/k1gFnSc3 ./kIx. </s><s> Dva/k4xCgMnPc1  zůstali/k5eAaPmAgMnP  venku/k6eAd1 ,/kIx,  dva/k4xCgMnPc1  vešli/k5eAaPmAgMnP  dovnitř/k6eAd1 ./kIx. </s><s> I/k8xC  se/k7c7"," psy/k1gMnPc7","./kIx. </s><s> Paní/k1gFnSc1  Čermáková/k1gFnSc1  se/k3xPyFc4  násilím/k1gNnSc7  ovládla/k5eAaPmAgFnS ./kIx. </s><s> Ještě/k6eAd1  štěstí/k5eAaImIp3nS ,/kIx,  že/k8xS  v/k7c6  poslední/k2eAgFnSc6d1  chvíli/k1gFnSc6  vylila/k5eAaPmAgFnS  čaj/k1gInSc4  z/k7c2  konve/k1gFnSc2 !/kIx. </s><s> Vojáci/k1gMnPc1  se/k3xPyFc4  vyptávali/k5eAaImAgMnP  lámanou/k2eAgFnSc7d1"
"Blesky nad Beskydami","ani/k8xC  lidská/k2eAgFnSc1d1  noha/k1gFnSc1 !/kIx. </s><s> Co/k3yQnSc1  by/kYmCp3nS  tu/k6eAd1  také/k9  dělal/k5eAaImAgMnS ?/kIx. </s><s> Vojáci/k1gMnPc1  přesto/k8xC  začali/k5eAaPmAgMnP  prohlížet/k5eAaImF  celý/k2eAgInSc4d1  dům/k1gInSc4 ./kIx. </s><s> Kam/k6eAd1  nemohli/k5eNaImAgMnP  vniknout/k5eAaPmF  sami/k3xTgMnPc1 ,/kIx,  tam/k6eAd1  poslali/k5eAaPmAgMnP"," psy/k1gMnPc4","./kIx. </s><s> Rozházeli/k5eAaPmAgMnP  postele/k1gInPc4 ,/kIx,  vešli/k5eAaPmAgMnP  do/k7c2  sklepa/k1gInSc2 ,/kIx,  vylezli/k5eAaPmAgMnP  na/k7c4  půdu/k1gFnSc4 ,/kIx,  prošťárali/k5eAaPmAgMnP  stodolu/k1gFnSc4 ./kIx. </s><s> Nic/k3yNnSc1 ./kIx. </s><s> Odešli/k5eAaPmAgMnP ./kIx. </s><s> ""/kIx"" Maminko/k1gFnSc5 ,/kIx,  já/k3xPp1nSc1  jsem/k5eAaImIp1nS  se/k3xPyFc4  ti/k3xPp2nSc3  tak/k6eAd1"
"Blesky nad Beskydami","i/k8xC  sebe/k3xPyFc4  Olinka/k1gFnSc1 ./kIx.  ""/kIx"" To/k3xDgNnSc1  už/k6eAd1  ho/k3xPp3gMnSc4  nenajdou/k5eNaPmIp3nP ./kIx. ""/kIx"" </s><s> ""/kIx"" Tak/k9  přece/k9  měl/k5eAaImAgMnS  pravdu/k1gFnSc4  Slávek/k1gMnSc1 ,/kIx,  že/k8xS  hledají/k5eAaImIp3nP  nějakého/k3yIgMnSc4 .../k? ""/kIx"" </s><s> Vtom/k6eAd1  se/k3xPyFc4  ozval/k5eAaPmAgInS  zuřivý/k2eAgInSc1d1  štěkot/k1gInSc1"," psů/k1gMnPc2","./kIx. </s><s> ""/kIx"" Probůh/k? ,/kIx,  co/k3yInSc1  se/k3xPyFc4  tam/k6eAd1  stalo/k5eAaPmAgNnS ?/kIx. </s><s> ""/kIx""  lekla/k5eAaPmAgFnS  se/k3xPyFc4  matka/k1gFnSc1 ./kIx. </s><s> Olinka/k1gFnSc1  vyšla/k5eAaPmAgFnS  ven/k6eAd1 ./kIx. </s><s> Kráčela/k5eAaImAgFnS  k/k7c3  drvárce/k1gFnSc3 ,/kIx,  jako/k8xC  by/kYmCp3nS  šla/k5eAaImAgFnS  pro/k7c4  dříví/k1gNnSc4 ./kIx. </s><s> Přitom/k6eAd1  se/k3xPyFc4"
"Blesky nad Beskydami","sem/k6eAd1 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Tož/k3xDgNnSc1  to/k3xDgNnSc1  je/k5eAaImIp3nS  s/k7c7  ním/k3xPp3gInSc7  konec/k1gInSc1 .../k? !/kIx. </s><s> ""/kIx""  zalomila/k5eAaPmAgFnS  rukama/k1gFnPc7  matka/k1gFnSc1  a/k8xC  usedla/k5eAaPmAgFnS  na/k7c4  židli/k1gFnSc4 ./kIx.  ""/kIx"" A/k8xC  zaslechli/k5eAaPmAgMnP  to/k3xDgNnSc4 ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ano/k9 ,/kIx,  protože/k8xS  už/k6eAd1  ho/k3xPp3gMnSc4  hledají/k5eAaImIp3nP ./kIx. </s><s>","Psi/k1gMnPc1"," pobíhají/k5eAaImIp3nP  sem/k6eAd1  a/k8xC  tam/k6eAd1 .../k? ""/kIx"" </s><s> ""/kIx"" A/k9  jsou/k5eAaImIp3nP  blízko/k7c2  skrýše/k1gFnSc2 ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ještě/k9  jsou/k5eAaImIp3nP  dosti/k6eAd1  daleko/k6eAd1 ,/kIx,  ale/k8xC  jdou/k5eAaImIp3nP  k/k7c3  ní/k3xPp3gFnSc3 ./kIx. </s><s> Ti/k3xDgMnPc1  psi/k1gMnPc1  jim/k3xPp3gMnPc3  ukazují/k5eAaImIp3nP  cestu/k1gFnSc4 .../k? ""/kIx"" </s><s> ""/kIx"""
"Blesky nad Beskydami","Ano/k9 ,/kIx,  protože/k8xS  už/k6eAd1  ho/k3xPp3gMnSc4  hledají/k5eAaImIp3nP ./kIx. </s><s> Psi/k1gMnPc1  pobíhají/k5eAaImIp3nP  sem/k6eAd1  a/k8xC  tam/k6eAd1 .../k? ""/kIx"" </s><s> ""/kIx"" A/k9  jsou/k5eAaImIp3nP  blízko/k7c2  skrýše/k1gFnSc2 ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ještě/k9  jsou/k5eAaImIp3nP  dosti/k6eAd1  daleko/k6eAd1 ,/kIx,  ale/k8xC  jdou/k5eAaImIp3nP  k/k7c3  ní/k3xPp3gFnSc3 ./kIx. </s><s> Ti/k3xDgMnPc1"," psi/k1gMnPc1"," jim/k3xPp3gMnPc3  ukazují/k5eAaImIp3nP  cestu/k1gFnSc4 .../k? ""/kIx"" </s><s> ""/kIx"" Počkej/k5eAaPmRp2nS  --/k? !/kIx. </s><s> ""/kIx"" </s><s> Do/k7c2  mrazivého/k2eAgNnSc2d1  ticha/k1gNnSc2  v/k7c6  kuchyni/k1gFnSc6  pronikal/k5eAaImAgMnS  nový/k2eAgMnSc1d1 ,/kIx,  ještě/k9  zuřivější/k2eAgInSc4d2  štěkot/k1gInSc4  psů/k1gMnPc2 ./kIx. </s><s> Pak/k6eAd1  bylo/k5eAaImAgNnS"
"Blesky nad Beskydami","jdou/k5eAaImIp3nP  k/k7c3  ní/k3xPp3gFnSc3 ./kIx. </s><s> Ti/k3xDgMnPc1  psi/k1gMnPc1  jim/k3xPp3gMnPc3  ukazují/k5eAaImIp3nP  cestu/k1gFnSc4 .../k? ""/kIx"" </s><s> ""/kIx"" Počkej/k5eAaPmRp2nS  --/k? !/kIx. </s><s> ""/kIx"" </s><s> Do/k7c2  mrazivého/k2eAgNnSc2d1  ticha/k1gNnSc2  v/k7c6  kuchyni/k1gFnSc6  pronikal/k5eAaImAgMnS  nový/k2eAgMnSc1d1 ,/kIx,  ještě/k9  zuřivější/k2eAgInSc4d2  štěkot/k1gInSc4"," psů/k1gMnPc2","./kIx. </s><s> Pak/k6eAd1  bylo/k5eAaImAgNnS  slyšet/k5eAaImF  zlostné/k2eAgInPc4d1  hlasy/k1gInPc4  a/k8xC  žalostné/k2eAgNnSc1d1  zaúpění/k1gNnSc1 ./kIx. </s><s> ""/kIx"" Už/k6eAd1  ho/k3xPp3gMnSc4  našli/k5eAaPmAgMnP .../k? ,/kIx, ""/kIx""  řekla/k5eAaPmAgFnS  mrtvě/k6eAd1  matka/k1gFnSc1 ./kIx. </s><s> Obě/k4xCgFnPc1  se/k3xPyFc4  přitiskly/k5eAaPmAgInP  k/k7c3  záclonce/k1gFnSc3  na/k7c6"
"Blesky nad Beskydami","sousedy/k1gMnPc4 ./kIx. </s><s> Když/k8xS  nic/k3yNnSc4  nepořídili/k5eNaPmAgMnP ,/kIx,  vyrazili/k5eAaPmAgMnP  k/k7c3  Hošťálkové/k1gMnPc5 ./kIx. </s><s> Cestou/k7c2  tloukli/k5eAaImAgMnP  klesajícího/k2eAgMnSc4d1  uprchlíka/k1gMnSc4 ,/kIx,  křičeli/k5eAaImAgMnP  na/k7c4  něho/k3xPp3gMnSc4 ,/kIx,"," psi/k1gMnPc1"," štěkali/k5eAaImAgMnP ./kIx. </s><s> Celá/k2eAgFnSc1d1  Dolina/k1gFnSc1  se/k3xPyFc4  otřásala/k5eAaImAgFnS  touto/k3xDgFnSc7  nelidskou/k2eNgFnSc7d1  podívanou/k1gFnSc7 ./kIx. </s><s> Když/k8xS  se/k3xPyFc4  večer/k6eAd1  vrátili/k5eAaPmAgMnP  otec/k1gMnSc1  se/k7c7  Slávkem/k1gMnSc7 ,/kIx,  už/k9  o/k7c6  tom/k3xDgNnSc6  věděli/k5eAaImAgMnP ./kIx. </s><s> V/k7c6"
"Blesky nad Beskydami","se/k3xPyFc4  hnali/k5eAaImAgMnP  po/k7c6  jeho/k3xOp3gFnSc6  stopě/k1gFnSc6 ,/kIx,  stříleli/k5eAaImAgMnP  dále/k6eAd2  jako/k8xC  posedlí/k5eAaPmIp3nP  --/k?  ale/k8xC  rány/k1gFnPc1  slábly/k5eAaImAgFnP  každou/k3xTgFnSc4  minutou/k2eAgFnSc4d1 ./kIx. </s><s> Jak/k6eAd1  litovali/k5eAaImAgMnP ,/kIx,  že/k8xS  s/k7c7  sebou/k3xPyFc7  neměli/k5eNaImAgMnP"," psy/k1gMnPc4","!/kIx. </s><s> Slávek/k1gMnSc1  utíkal/k5eAaImAgMnS ,/kIx,  co/k3yQnSc1  mu/k3xPp3gMnSc3  nohy/k1gFnPc4  stačily/k5eAaBmAgFnP ./kIx. </s><s> Kam/k6eAd1 ?/kIx. </s><s> Nevěděl/k5eNaImAgMnS ./kIx. </s><s> Jen/k6eAd1  do/k7c2  lesů/k1gInPc2 ,/kIx,  do/k7c2  hlubokých/k2eAgInPc2d1  valašských/k2eAgInPc2d1  lesů/k1gInPc2 ,/kIx,  kde/k6eAd1  se/k3xPyFc4  ztratíš/k5eAaPmIp2nS  jako/k9  kapka/k1gFnSc1  v/k7c6"
"Blesky nad Beskydami","!/kIx. </s><s> ""/kIx""  pozdravil/k5eAaPmAgMnS  Slávek/k1gMnSc1 ,/kIx,  když/k8xS  vešel/k5eAaPmAgInS  do/k7c2  jizby/k1gFnSc2 ./kIx. </s><s> ""/kIx"" Dobrý/k2eAgInSc1d1  večer/k1gInSc1 !/kIx. </s><s> ""/kIx""  odpověděl/k5eAaPmAgMnS  strýc/k1gMnSc1 ./kIx.  ""/kIx"" A/k8xC  kdo/k3yRnSc1  to/k3xDgNnSc4  přišel/k5eAaPmAgInS  k/k7c3  nám/k3xPp1nPc3  tak/k6eAd1  potichu/k6eAd1 ,/kIx,  že/k8xS  ani/k8xC"," pes/k1gMnSc1"," nezaštěkal/k5eNaPmAgMnS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Váš/k3xOp2gMnSc1  Hektor/k1gMnSc1  mě/k3xPp1nSc4  poznal/k5eAaPmAgMnS  lépe/k6eAd2  než/k8xS  vy/k3xPp2nPc1 ,/kIx,  strýčku/k1gMnSc5 ./kIx. </s><s> Co/k8xS  pak/k6eAd1  mě/k3xPp1nSc4  nepoznáváte/k5eNaImIp2nP ?/kIx. </s><s> Vždyť/k8xC  jsem/k5eAaImIp1nS  to/k3xDgNnSc4  já/k3xPp1nSc1 ,/kIx,  Slávek/k1gMnSc1 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" A/k9  kýho/k1gMnSc1  šlaka/k1gMnSc2"
"Blesky nad Beskydami",",/kIx,  ale/k8xC  ./kIx. ../k?  je/k5eAaImIp3nS  to/k3xDgNnSc1  s/k7c7  tebou/k3xPp2nSc7  zlé/k1gFnPc4 .../k? ""/kIx"" </s><s> ""/kIx"" Proč/k6eAd1 ?/kIx. </s><s> Stalo/k5eAaPmAgNnS  se/k3xPyFc4  něco/k3yInSc1 ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Včera/k6eAd1  tu/k6eAd1  byli/k5eAaImAgMnP  zase/k9 ,/kIx, ""/kIx""  vysvětlovala/k5eAaImAgFnS  tiše/k1gFnPc4  Olinka/k1gFnSc1 ./kIx.  ""/kIx"" Měli/k5eAaImAgMnP  s/k7c7  sebou/k3xPyFc7"," psy/k1gMnPc4"," a/k8xC  prohlíželi/k5eAaImAgMnP  znovu/k6eAd1  celý/k2eAgInSc4d1  dům/k1gInSc4 ./kIx. </s><s> I/k8xC  drvárku/k1gFnSc4 ,/kIx,  stodolu/k1gFnSc4 ,/kIx,  ba/k9  vlezli/k5eAaPmAgMnP  i/k9  do/k7c2  žlabu/k1gInSc2  s/k7c7  mlýnským/k2eAgNnSc7d1  kolem/k1gNnSc7 .../k? ""/kIx"" </s><s> ""/kIx"" Ale/k8xC  nenašli/k5eNaPmAgMnP  nic/k3yNnSc4 ,/kIx,  že/k8xS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Našli/k5eAaPmAgMnP"
"Blesky nad Beskydami","Zdeňkovi/k2eAgMnPc1d1  na/k7c4  nohy/k1gMnPc4  a/k8xC  rychle/k6eAd1  se/k3xPyFc4  brodili/k5eAaImAgMnP  k/k7c3  břehu/k1gInSc3 ./kIx. </s><s> ""/kIx"" Slávku/k1gMnSc5 ,/kIx,  podívej/k5eAaPmRp2nS  se/k3xPyFc4 !/kIx. </s><s> ""/kIx""  zvolal/k5eAaPmAgMnS  Tonda/k1gMnSc1 ./kIx. </s><s> Po/k7c6  břehu/k1gInSc6  se/k3xPyFc4  hnali/k5eAaImAgMnP  přímo/k6eAd1  k/k7c3  nim/k3xPp3gInPc3  tři/k4xCgMnPc4  velicí/k2eAgMnPc1d1"," psi/k1gMnPc1","./kIx. </s><s> Slávek/k1gMnSc1  se/k3xPyFc4  zastavil/k5eAaPmAgMnS ,/kIx,  sevřel/k5eAaPmAgMnS  samopal/k1gInSc4  a/k8xC  stiskl/k5eAaPmAgMnS  spoušť/k1gFnSc4 ./kIx. </s><s> Psi/k1gMnPc1  zůstali/k5eAaPmAgMnP  ležet/k5eAaImF  na/k7c6  břehu/k1gInSc6 ./kIx. </s><s> ""/kIx"" A/k9  teď/k6eAd1  rychle/k6eAd1 !/kIx. </s><s> ""/kIx"" </s><s> Vyskočili/k5eAaPmAgMnP  z/k7c2  vody/k1gFnSc2  a/k8xC"
