"academic use only"

"corpus","preloaded/gutenberg20_cs"
"subcorpus","-"
"concordance size","191"
"query","Query:[lempos_lc=""(voda)-n""]"
"Reference","Left","KWIC","Right"
"Blesky nad Beskydami","otázkou/k1gFnSc7 ./kIx. </s><s> ""/kIx"" To/k3xDgNnSc1  máš/k5eAaImIp2nS  tak/k9 ,/kIx,  Olinko/k1gFnSc5 .../k?  Nedávno/k6eAd1  jsi/k5eAaImIp2nS  byla/k5eAaImAgFnS  se/k7c7  mnou/k3xPp1nSc7  u/k7c2  údolní/k2eAgFnSc2d1  přehrady/k1gFnSc2  na/k7c6  Bystřičkách/k1gFnPc6  --/k?  vzpomínáš/k5eAaImIp2nS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ano/k9 !/kIx. </s><s> Tam/k6eAd1  je/k5eAaImIp3nS"," vody/k1gFnSc2"," skoro/k6eAd1  jako/k8xC  v/k7c6  moři/k1gNnSc6 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" A/k9  teď/k6eAd1  si/k3xPyFc3  představ/k1gInSc4 ,/kIx,  že/k8xS  by/k9  čtrnáct/k4xCc4  dní/k1gInPc2  lilo/k5eAaImAgNnS  jako/k9  z/k7c2  konve/k1gFnSc2 ./kIx. </s><s> Voda/k1gFnSc1  by/kYmCp3nS  stoupala/k5eAaImAgFnS  a/k8xC  stoupala/k5eAaImAgFnS ,/kIx,  až/k9  by/kYmCp3nS  jí/k3xPp3gFnSc2  bylo/k5eAaImAgNnS  třeba/k6eAd1"
"Blesky nad Beskydami","Bystřičkách/k1gFnPc6  --/k?  vzpomínáš/k5eAaImIp2nS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ano/k9 !/kIx. </s><s> Tam/k6eAd1  je/k5eAaImIp3nS  vody/k1gFnSc2  skoro/k6eAd1  jako/k8xC  v/k7c6  moři/k1gNnSc6 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" A/k9  teď/k6eAd1  si/k3xPyFc3  představ/k1gInSc4 ,/kIx,  že/k8xS  by/k9  čtrnáct/k4xCc4  dní/k1gInPc2  lilo/k5eAaImAgNnS  jako/k9  z/k7c2  konve/k1gFnSc2 ./kIx. </s><s>","Voda/k1gFnSc1"," by/kYmCp3nS  stoupala/k5eAaImAgFnS  a/k8xC  stoupala/k5eAaImAgFnS ,/kIx,  až/k9  by/kYmCp3nS  jí/k3xPp3gFnSc2  bylo/k5eAaImAgNnS  třeba/k6eAd1  třikrát/k6eAd1  tolik/k6eAd1 ,/kIx,  než/k8xS  je/k5eAaImIp3nS  jí/k3xPp3gFnSc3  tam/k6eAd1  dnes/k6eAd1 ./kIx. ""/kIx"" </s><s> ""/kIx"" To/k3xDgNnSc1  by/kYmCp3nS  bylo/k5eAaImAgNnS  hrozné/k2eAgNnSc1d1 !/kIx. </s><s> ""/kIx""  lekala/k5eAaImAgFnS  se/k3xPyFc4  té/k3xDgFnSc2  představy/k1gFnSc2"
"Blesky nad Beskydami","Olinka/k1gFnSc1 ./kIx. </s><s> ""/kIx"" A/k9  kdyby/kYmCp3nS  se/k3xPyFc4  ochranná/k2eAgFnSc1d1  hráz/k1gFnSc1  najednou/k6eAd1  prolomila/k5eAaPmAgFnS  --/k? ""/kIx"" </s><s> ""/kIx"" To/k3xDgNnSc1  by/kYmCp3nS  zaplavilo/k5eAaPmAgNnS  celé/k2eAgNnSc1d1  údolí/k1gNnSc1 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ano/k9 ./kIx. </s><s> Strašné/k2eAgFnSc6d1  moře/k1gFnSc6  kalné/k2eAgFnSc2d1"," vody/k1gFnSc2"," by/kYmCp3nS  se/k3xPyFc4  valilo/k5eAaImAgNnS  jako/k9  zkáza/k1gFnSc1 ./kIx. </s><s> Rvalo/k5eAaImAgNnS  by/kYmCp3nP  stromy/k1gInPc1 ,/kIx,  bořilo/k5eAaImAgNnS  chalupy/k1gFnSc2 ,/kIx,  hubilo/k5eAaImAgNnS  dobytek/k1gInSc4  i/k9  lidské/k2eAgInPc4d1  životy/k1gInPc4  --/k?  a/k8xC  nebylo/k5eNaImAgNnS  by/k9  síly/k1gFnSc2 ,/kIx,  která/k3yQgFnSc1  by/kYmCp3nS"
"Blesky nad Beskydami","chalupy/k1gFnSc2 ,/kIx,  hubilo/k5eAaImAgNnS  dobytek/k1gInSc4  i/k9  lidské/k2eAgInPc4d1  životy/k1gInPc4  --/k?  a/k8xC  nebylo/k5eNaImAgNnS  by/k9  síly/k1gFnSc2 ,/kIx,  která/k3yQgFnSc1  by/kYmCp3nS  dovedla/k5eAaPmAgFnS  tomu/k3xDgNnSc3  zabránit/k5eAaPmF ,/kIx,  která/k3yRgFnSc1  by/kYmCp3nS  dovedla/k5eAaPmAgFnS  proudy/k1gInPc4"," vod/k1gFnPc2"," zadržet/k5eAaPmF ./kIx. </s><s> Z/k7c2  lidí/k1gMnPc2  v/k7c6  údolí/k1gNnSc6  by/kYmCp3nS  se/k3xPyFc4  zachránil/k5eAaPmAgMnS  jenom/k9  ten/k3xDgMnSc1 ,/kIx,  kdo/k3yInSc1  by/kYmCp3nS  včas/k6eAd1  uprchl/k5eAaPmAgMnS ./kIx. ""/kIx"" </s><s> ""/kIx"" A/k9  dnes/k6eAd1  se/k3xPyFc4  ta/k3xDgFnSc1  přehrada/k1gFnSc1  prolomila/k5eAaPmAgFnS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" To/k3xDgNnSc1  ne/k9 ,/kIx,  ty/k3xDgMnPc4  děcko/k1gNnSc1"
"Blesky nad Beskydami","muž/k1gMnSc1 ./kIx. </s><s> Byl/k5eAaImAgInS  zabalen/k5eAaPmNgInS  do/k7c2  stanového/k2eAgNnSc2d1  plátna/k1gNnSc2 ,/kIx,  které/k3yIgNnSc1  bylo/k5eAaImAgNnS  už/k6eAd1  zcela/k6eAd1  promoklé/k2eAgNnSc1d1 ./kIx. </s><s> Jak/k6eAd1  se/k3xPyFc4  pohnul/k5eAaPmAgMnS ,/kIx,  v/k7c6  jeho/k3xOp3gFnPc6  vysokých/k2eAgFnPc6d1  botách/k1gFnPc6  zašplouchala/k5eAaPmAgFnS"," voda/k1gFnSc1","./kIx. </s><s> ""/kIx"" Přejete/k5eAaImIp2nP  si/k3xPyFc3  něco/k3yInSc1 ?/kIx. </s><s> ""/kIx""  zeptal/k5eAaPmAgMnS  se/k3xPyFc4  otec/k1gMnSc1  studeným/k2eAgInSc7d1  hlasem/k1gInSc7 ./kIx. </s><s> ""/kIx"" Mohl/k5eAaImAgMnS  bych/kYmCp1nS  u/k7c2  vás/k3xPp2nPc2  přespat/k5eAaPmF ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Kam/k6eAd1  jdete/k5eAaImIp2nP ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ještě/k9  daleko/k6eAd1 ,/kIx, ""/kIx""  odpověděl/k5eAaPmAgMnS"
"Blesky nad Beskydami","mistrně/k6eAd1 ,/kIx,  že/k8xS  se/k3xPyFc4  k/k7c3  nim/k3xPp3gMnPc3  žádný/k3yNgInSc4  nemohl/k5eNaImAgMnS  přiblížit/k5eAaPmF ./kIx. </s><s> Nakonec/k6eAd1  bylo/k5eAaImAgNnS  proti/k7c3  nim/k3xPp3gInPc3  použito/k5eAaPmNgNnS  stříkaček/k1gFnPc2 ,/kIx,  které/k3yIgFnPc1  chrlily/k5eAaImAgFnP  do/k7c2  podzemí/k1gNnSc2  proudy/k1gInPc7"," vod/k1gFnPc2","./kIx. </s><s> Hladina/k1gFnSc1  stoupala/k5eAaImAgFnS ,/kIx,  ale/k8xC  odvážlivci/k1gMnPc1  stříleli/k5eAaImAgMnP  dále/k6eAd2 ./kIx. </s><s> Už/k6eAd1  jim/k3xPp3gFnPc3  sahala/k5eAaImAgFnS  po/k7c4  pás/k1gInSc4 ,/kIx,  po/k7c4  hruď/k1gFnSc4 ./kIx. </s><s> Už/k6eAd1  bylo/k5eAaImAgNnS  vody/k1gFnSc2  až/k6eAd1  po/k7c4  krk/k1gInSc4 ./kIx. </s><s> Každý/k3xTgInSc1  měl/k5eAaImAgMnS  v/k7c6"
"Blesky nad Beskydami","chrlily/k5eAaImAgFnP  do/k7c2  podzemí/k1gNnSc2  proudy/k1gInPc7  vod/k1gFnPc2 ./kIx. </s><s> Hladina/k1gFnSc1  stoupala/k5eAaImAgFnS ,/kIx,  ale/k8xC  odvážlivci/k1gMnPc1  stříleli/k5eAaImAgMnP  dále/k6eAd2 ./kIx. </s><s> Už/k6eAd1  jim/k3xPp3gFnPc3  sahala/k5eAaImAgFnS  po/k7c4  pás/k1gInSc4 ,/kIx,  po/k7c4  hruď/k1gFnSc4 ./kIx. </s><s> Už/k6eAd1  bylo/k5eAaImAgNnS"," vody/k1gFnSc2"," až/k6eAd1  po/k7c4  krk/k1gInSc4 ./kIx. </s><s> Každý/k3xTgInSc1  měl/k5eAaImAgMnS  v/k7c6  pistoli/k1gFnSc6  jediný/k2eAgInSc4d1  náboj/k1gInSc4 ./kIx. </s><s> Vzdají/k5eAaPmIp3nP  se/k3xPyFc4 ?/kIx. </s><s> Výstřely/k1gInPc1  v/k7c6  podzemní/k2eAgFnSc6d1  kryptě/k1gFnSc6  zaduněly/k5eAaPmAgFnP  v/k7c4  odpověď/k1gFnSc4 ./kIx. </s><s> Stateční/k2eAgMnPc1d1  vojáci/k1gMnPc1"
"Blesky nad Beskydami","./kIx. </s><s> Když/k8xS  rány/k1gFnPc1  zeslábly/k5eAaPmAgFnP ,/kIx,  dal/k5eAaPmAgMnS  se/k3xPyFc4  na/k7c4  útěk/k1gInSc4 ./kIx. </s><s> Zastavil/k5eAaPmAgMnS  se/k3xPyFc4  teprve/k6eAd1 ,/kIx,  až/k6eAd1  bylo/k5eAaImAgNnS  úplné/k2eAgNnSc1d1  ticho/k1gNnSc1 ./kIx. </s><s> Kam/k6eAd1  teď/k6eAd1 ?/kIx. </s><s> Lilo/k5eAaImAgNnS  nepřetržitě/k6eNd1  jako/k8xS  z/k7c2  konve/k1gFnSc2 ./kIx. </s><s>","Voda/k1gFnSc1"," v/k7c6  botách/k1gFnPc6  začínala/k5eAaImAgFnS  šplouchat/k5eAaImF ./kIx. </s><s> Nohy/k1gMnPc7  na/k7c6  mokrém/k2eAgInSc6d1  svahu/k1gInSc6  ujížděly/k5eAaImAgFnP ./kIx. </s><s> Ozýval/k5eAaImAgMnS  se/k3xPyFc4  hlad/k1gMnSc1 ./kIx. </s><s> Tedy/k9  i/k9  doma/k6eAd1  ho/k3xPp3gMnSc4  hledají/k5eAaImIp3nP !/kIx. </s><s> Slídí/k5eAaImIp3nS  po/k7c6  něm/k3xPp3gMnSc6  jako/k9"
"Blesky nad Beskydami","před/k7c7  deštěm/k1gInSc7 ./kIx. </s><s> Po/k7c6  dlouhé/k2eAgFnSc6d1  chůzi/k1gFnSc6  přišel/k5eAaPmAgInS  k/k7c3  jedné/k4xCgFnSc3  skrýši/k1gFnSc3 ./kIx. </s><s> Vklouzl/k5eAaPmAgMnS  dovnitř/k6eAd1 ./kIx. </s><s> Jaké/k3yIgNnSc1  bylo/k5eAaImAgNnS  jeho/k3xOp3gNnSc1  zklamání/k1gNnSc1 ,/kIx,  když/k8xS  našel/k5eAaPmAgInS  dno/k1gNnSc4  zaplavené/k2eAgNnSc4d1"," vodou/k1gFnSc7","!/kIx. </s><s> Znaveně/k6eAd1  šel/k5eAaImAgMnS  hledat/k5eAaImF  nový/k2eAgInSc4d1  úkryt/k1gInSc4 ./kIx. </s><s> I/k8xC  tam/k6eAd1  bylo/k5eAaImAgNnS  velmi/k6eAd1  vlhko/k6eAd1 ./kIx. </s><s> Šlo/k5eAaImAgNnS  by/kYmCp3nS  to/k3xDgNnSc1  spravit/k5eAaPmF ./kIx. </s><s> Dát/k5eAaPmF  na/k7c4  dno/k1gNnSc4  trochu/k6eAd1  smrčí/k1gNnSc4 ,/kIx,  na/k7c4  to/k3xDgNnSc4  hlínu/k1gFnSc4 ,/kIx,  nahoru/k6eAd1"
"Blesky nad Beskydami","vyhnali/k5eAaPmAgMnP  všechny/k3xTgMnPc4  vězně/k1gMnPc4  do/k7c2  chodby/k1gFnSc2 ./kIx. </s><s> Museli/k5eAaImAgMnP  jít/k5eAaImF  tak/k6eAd1  jak/k6eAd1  byli/k5eAaImAgMnP :/kIx,  bosi/k2eAgMnPc1d1  a/k8xC  ve/k7c6  spodním/k2eAgNnSc6d1  prádle/k1gNnSc6 ./kIx. </s><s> Dali/k5eAaPmAgMnP  jim/k3xPp3gMnPc3  kbelíky/k1gInPc1  a/k8xC  v/k7c6  nich/k3xPp3gInPc6  museli/k5eAaImAgMnP  nosit/k5eAaImF"," vodu/k1gFnSc4",",/kIx,  kterou/k3yRgFnSc4  vylévali/k5eAaImAgMnP  na/k7c4  chodbu/k1gFnSc4 ./kIx. </s><s> Když/k8xS  byla/k5eAaImAgNnP  zaplavena/k5eAaPmNgNnP  do/k7c2  výše/k6eAd2  několika/k4yIc2  centimetrů/k1gInPc2 ,/kIx,  museli/k5eAaImAgMnP  si/k3xPyFc3  lehnout/k5eAaPmF  na/k7c4  zem/k1gFnSc4  a/k8xC  v/k7c6  mrazivé/k2eAgFnSc6d1  vodě/k1gFnSc6  ""/kIx"""
