"academic use only"

"corpus","preloaded/gutenberg20_fi"
"subcorpus","-"
"concordance size","10948"
"query","Query:[lc=""ruoka"" | lemma_lc=""ruoka""]"
"Reference","Left","KWIC","Right"
"Loppiaisaatto eli Miten mielitte","herttuan/N_Gen_Sg  hovissa/N_Ine_Sg ./SENT </s><s> (/Punct Herttua/N_Nom_Sg ,/Punct  Curio/N_Nom_Sg  ja/CC  hoviherroja/N_Par_Pl  tulee/V_Prs_Act_Sg3 ./SENT </s><s> Soittokunta/N_Nom_Sg  perällä/N_Ade_Sg ./SENT )/Punct </s><s> HERTTUA/N_Nom_Sg ./SENT </s><s> Soitelkaa/N_Par_Sg ,/Punct  jos/CS  on/V_Prs_Act_Sg3  lemmen/N_Nom_Sg"," ruokaa/N_Par_Sg"," soitto/N_Nom_Sg ./SENT </s><s> Sit/NON-TWOL ''/Punct  antakaa/V_Imprt_Act_Pl2  niin/Adv  täydest/NON-TWOL ''/Punct ,/Punct  että/CS  halu/N_Nom_Sg  Kyllyyttään/N_Ill_Sg  sairastuu/V_Prs_Act_Sg3  ja/CC  siihen/Pron_Dem_Ill_Sg  sammuu/V_Prs_Act_Sg3 ./SENT </s><s> Tuo/Pron_Dem_Nom_Sg  sävel/N_Nom_Sg  uudelleen/Adv !/SENT </s><s> Noin/Adv ,/Punct"
"Loppiaisaatto eli Miten mielitte","olkaa/V_Imprt_Act_Pl2 ./SENT </s><s> ANTONIO/N_Prop_Nom_Sg ./SENT </s><s> Niin/Adv  kyllä/Adv ,/Punct  niin/Adv ./SENT </s><s> Kas/Interj ,/Punct  tuossa/Pron_Dem_Ine_Sg  kukkaroni/N_Nom_Sg ./SENT </s><s> Etelään/N_Ill_Sg  kaupungista/N_Ela_Sg ,/Punct  Elephantiss/N_Prop_Nom_Sg ''/Punct  On/V_Prs_Act_Sg3  paras/A_Nom_Sg  asua/V_Inf1_Lat ./SENT </s><s> Ma/Abbr  tilaan/V_Prs_Act_Sg1"," ruoan/N_Gen_Sg",";/Punct </s><s> Sill''aikaa/N_Par_Sg  silmän/N_Gen_Sg  herkuks/A_Par_Sg  kaupunkia/N_Par_Sg  Te/Pron_Pers_Nom_Pl  katselette/V_Prs_Act_Pl2 ;/Punct  siellä/Adv  tavataan/V_Prs_Pass_Pe4 ./SENT </s><s> SEBASTIAN/N_Prop_Nom_Sg ./SENT </s><s> Mut/N_Prop_Nom_Sg  mitä/Pron_Rel_Par  minä/Pron_Pers_Nom_Sg  kukkarollanne/N_Nom_Sg ?/SENT </s>"
"Toinen lukukirja kansakoulujen tarpeiksi","melkein/Adv  niinkuin/NON-TWOL  itselleen/Pron_Refl_All_Sg ,/Punct  siinä/Pron_Dem_Ine_Sg  missä/Pron_Rel_Ine  istui/V_PrfPrc_Act_Sg3  ja/CC  kutoi/V_PrfPrc_Act_Sg3  lapasia/N_Nom_Sg  Maunulle/N_All_Sg ;/Punct </s><s> ""/Punct se/Pron_Dem_Nom_Sg  on/V_Prs_Act_Sg3  suuri/A_Nom_Sg  siunaus/N_Nom_Sg ,/Punct  että/CS  meillä/Pron_Pers_Ade_Pl  on/V_Prs_Act_Sg3"," ruokaa/N_Par_Sg",",/Punct  kun/CS  monet/Pron_Qnt_Nom_Pl  tuhannet/Num_Nom_Pl  kärsivät/V_Prs_Act_Pl3  nälkää/N_Par_Sg ;/Punct  se/Pron_Dem_Nom_Sg  on/V_Prs_Act_Sg3  suuri/A_Nom_Sg  siunaus/N_Nom_Sg ,/Punct  että/CS  meillä/Pron_Pers_Ade_Pl  on/V_Prs_Act_Sg3  asunto/N_Nom_Sg ,/Punct  kun/CS  monet/Pron_Qnt_Nom_Pl  tuhannet/Num_Nom_Pl  kodittomina/A_Ess_Pl"
"Toinen lukukirja kansakoulujen tarpeiksi","ja/CC  hänen/Pron_Pers_Gen_Sg  lapsillensa/N_All_Pl  vaatteet/N_Nom_Pl  ja/CC  jokapäiväisen/A_Gen_Sg  leivän/N_Gen_Sg ./SENT </s><s> ""/Punct Mitä/Pron_Rel_Par !/SENT </s><s> ""/Punct  sanoi/V_PrfPrc_Act_Sg3  herra/N_Nom_Sg  itseksensä/N_Nom_Sg ,/Punct  ""/Punct tämä/Pron_Dem_Nom_Sg  kiittää/V_Prs_Act_Sg3  vaatteista/N_Ela_Pl  ja/CC"," ruoasta/N_Ela_Sg",",/Punct  ja/CC  minä/Pron_Pers_Nom_Sg  en/V_Neg_Sg1  kiitä/V_Prs_Act_ConNeg  kaikesta/Pron_Qnt_Ela_Sg  ylellisyydestänikään/N_Ela_Sg !/SENT </s><s> ""/Punct </s><s> Hyvin/Adv  häpeissään/N_Ine_Pl  kiirehti/V_PrfPrc_Act_Sg3  hän/Pron_Pers_Nom_Sg  kotiinsa/N_Ill_Sg  ja/CC  oppi/N_Nom_Sg  tästä/Pron_Dem_Ela_Sg  hetkestä/N_Ela_Sg"
"Toinen lukukirja kansakoulujen tarpeiksi","näön/N_Gen_Sg  ja/CC  kuulon/N_Gen_Sg ,/Punct  asui/V_PrfPrc_Act_Sg3  poikansa/N_Gen_Sg  tykönä/N_Ess_Sg ./SENT </s><s> Kun/CS  hänen/Pron_Pers_Gen_Sg  koko/A  ruumiinsa/N_Gen_Sg  vapisi/V_Inf2_Act_Ins ,/Punct  sattui/V_PrfPrc_Act_Sg3  välistä/A_Par_Sg  että/CS  hän/Pron_Pers_Nom_Sg  syödessään/V_Inf2_Act_Ine  riputteli/V_PrfPrc_Act_Sg3"," ruokaa/N_Par_Sg"," päällensä/N_All_Sg ,/Punct  joka/Pron_Rel_Nom_Sg  niin/Adv  suututti/V_PrfPrc_Act_Sg3  hänen/Pron_Pers_Gen_Sg  poikaansa/N_Ill_Sg  ja/CC  tämän/Pron_Dem_Gen_Sg  vaimoa/N_Par_Sg ,/Punct  ettei/N_Nom_Sg  hän/Pron_Pers_Nom_Sg  enää/Adv  saanut/PrfPrc_Act_Nom_Sg  syödä/V_Inf1_Lat  heidän/Pron_Pers_Gen_Pl  kanssansa/N_Gen_Sg ,/Punct  vaan/CS  sai/V_PrfPrc_Act_Sg3"
"Toinen lukukirja kansakoulujen tarpeiksi","koetella/V_Inf1_Lat ,/Punct  jonkatähden/A_Tra_Sg  he/Pron_Pers_Nom_Pl  kohteliain/A_Ins_Pl  sanoin/N_Ins_Pl  ilmoittivat/V_PrfPrc_Act_Pl3  asiansa/N_Gen_Sg ./SENT </s><s> Isäntä/N_Nom_Sg  vei/V_PrfPrc_Act_Sg3  heidät/Pron_Pers_Acc_Pl  sijalle/N_All_Sg ,/Punct  panetti/N_Nom_Sg  pöytään/N_Ill_Sg"," ruokaa/N_Par_Sg"," ja/CC  juomaa/N_Par_Sg ,/Punct  antoi/V_PrfPrc_Act_Sg3  heille/Pron_Pers_All_Pl  melkoisen/A_Gen_Sg  summan/N_Gen_Sg  rahaa/N_Par_Sg  sekä/CC  lupasi/V_PrfPrc_Act_Sg3  vast''edes/N_Nom_Sg  lähettää/V_Inf1_Lat  vahinkoa/N_Par_Sg  kärsineille/PrfPrc_Act_All_Pl  ohraa/N_Par_Sg  ja/CC  ruista/N_Par_Sg"
"Toinen lukukirja kansakoulujen tarpeiksi","karhun/N_Gen_Sg  pääasiallisena/A_Ess_Sg  ravintona/N_Ess_Sg ./SENT </s><s> Kun/CS  se/Pron_Dem_Nom_Sg  on/V_Prs_Act_Sg3  tullut/PrfPrc_Act_Nom_Sg  vanhemmaksi/A_Tra_Sg  sekä/CC  päässyt/V_PrfPrc_Act_ConNeg_Sg  lihan/N_Gen_Sg  makuun/N_Ill_Sg ,/Punct  syö/V_Prs_Act_Sg3  se/Pron_Dem_Nom_Sg  mieluimmin/Adv  tätä/Pron_Dem_Par_Sg"," ruokaa/N_Par_Sg","./SENT </s><s> Silloin/Adv  se/Pron_Dem_Nom_Sg  käy/V_Prs_Act_Sg3  karjan/N_Gen_Sg  kimppuun/N_Ill_Sg ./SENT </s><s> Karhu/N_Nom_Sg  on/V_Prs_Act_Sg3  mainion/A_Gen_Sg  voimakas/A_Nom_Sg  eläin/N_Nom_Sg ./SENT </s><s> Se/Pron_Dem_Nom_Sg  voi/V_Prs_Act_Sg3 ,/Punct  takajaloillaan/N_Ade_Sg  käyden/V_Inf2_Act_Ins ,/Punct  kantaa/V_Prs_Act_Sg3  hevosen/N_Gen_Sg  tai/CC"
"Toinen lukukirja kansakoulujen tarpeiksi","puurossa/N_Ine_Sg ,/Punct  ja/CC  virkkoi/V_PrfPrc_Act_Sg3  nuivilla/A_Ade_Pl  nenin/N_All_Pl :/Punct  ""/Punct yksi/Num_Nom_Sg  mämmillä/N_Nom_Sg  maku/N_Nom_Sg ,/Punct  yksi/Num_Nom_Sg  tapa/N_Nom_Sg  talkkunalla/N_Ade_Sg ,/Punct  vaan/CS  on/V_Prs_Act_Sg3  väli/N_Nom_Sg  maistajilla/N_Ade_Pl ,/Punct  --/N_Nom_Sg  ei/V_Neg_Sg3  tämä/Pron_Dem_Nom_Sg"," ruoka/N_Nom_Sg"," mun/A_Ill_Sg  suuhuni/N_Ill_Sg  sovellu/V_Prs_Act_ConNeg ./SENT </s><s> ""/Punct </s><s> ""/Punct Ei/V_Neg_Sg3  kavaluus/N_Nom_Sg  kauas/Adv  auta/V_Prs_Act_ConNeg ./SENT </s><s> ""/Punct </s><s> 68/Num_Nom_Sg ./SENT </s><s> Kissa/N_Nom_Sg  ketun/N_Gen_Sg  palvelijana/N_Ess_Sg ./SENT </s><s> 1/Num_Nom_Sg ./SENT </s><s> Kerran/N_Gen_Sg  repo/N_Nom_Sg  sai/V_PrfPrc_Act_Sg3  kissan/N_Gen_Sg"
"Toinen lukukirja kansakoulujen tarpeiksi","leivän/N_Gen_Sg  ja/CC  käskenyt/PrfPrc_Act_Nom_Sg  niiden/Pron_Dem_Gen_Pl  menemään/V_Inf3_Ill  varhain/Adv  nukkumaan/V_Inf3_Ill ,/Punct  jotta/CS  hänen/Pron_Pers_Gen_Sg  ei/V_Neg_Sg3  tarvitsisi/V_Cond_Act_ConNeg  kuulla/V_Inf1_Lat  heidän/Pron_Pers_Gen_Pl  vielä/Adv  pyytävän/A_Gen_Sg"," ruokaa/N_Par_Sg",",/Punct  sitä/Pron_Dem_Par_Sg  kun/CS  hänellä/Pron_Pers_Ade_Sg  ei/V_Neg_Sg3  sillä/Pron_Dem_Ade_Sg  kertaa/V_Prs_Act_ConNeg  enää/Adv  ollut/PrfPrc_Act_Nom_Sg ./SENT </s><s> Lapset/N_Nom_Pl ,/Punct  jotka/Pron_Rel_Nom_Pl  olivat/V_PrfPrc_Act_Pl3  tottuneet/PrfPrc_Act_Nom_Pl  itsensä/Pron_Refl_Gen_Sg  kieltämiseen/N_Ill_Sg ,/Punct  lukivat/V_PrfPrc_Act_Pl3"
"Toinen lukukirja kansakoulujen tarpeiksi","./SENT </s><s> Etkö/V_Neg_Sg2  tunne/N_Nom_Sg  minua/Pron_Pers_Par_Sg ,/Punct  minähän/Pron_Pers_Nom_Sg  olen/V_Prs_Act_Sg1  se/Pron_Dem_Nom_Sg  jouluhaltija/N_Nom_Sg ?/SENT </s><s> Jo/Adv  hörhähti/V_PrfPrc_Act_Sg3  ruuna/N_Nom_Sg  vähäsen/N_Gen_Sg  ja/CC  kohotti/V_PrfPrc_Act_Sg3  hiukan/N_Gen_Sg  päätään/N_Par_Sg ./SENT </s><s> --/N_Nom_Sg  Ei/V_Neg_Sg3  maista/N_Ela_Pl"," ruoka/N_Nom_Sg",",/Punct  sanoi/V_PrfPrc_Act_Sg3  haltija/N_Nom_Sg ./SENT </s><s> Se/Pron_Dem_Nom_Sg  ei/V_Neg_Sg3  osaa/V_Prs_Act_ConNeg  valittaa/V_Inf1_Lat  vaivojaan/N_Par_Pl ,/Punct  mutta/CC  kyllä/Adv  minä/Pron_Pers_Nom_Sg  tiedän/V_Prs_Act_Sg1 ,/Punct  mitä/Pron_Rel_Par  se/Pron_Dem_Nom_Sg  ajattelee/V_Prs_Act_Sg3 ./SENT </s><s> Koko/A  vuoden/N_Gen_Sg  on/V_Prs_Act_Sg3  sen/Pron_Dem_Gen_Sg  pitänyt/PrfPrc_Act_Nom_Sg"
