"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","23828"
"query","Query:[lc=""chien"" | lemma=""chien"" | morphemes=""chien""]"
"Reference","Left","KWIC","Right"
"Hernani","de/SP  ton/DP2CSS  lever/NCMS000  maudit/VMP00SM ,/Fc  jamais/RN  seigneur/NCMS000  baisant/VMG0000  ton/DP2CSS  ombre/NCCS000 ,/Fc  ou/CC  majordome/NCMS000  Ayant/VMG0000  à/SP  te/PP2CS00  servir/VMN0000  abjuré/VMP00SM  son/DP3CSS  coeur/NCMS000  d''/SP homme/NCMS000 ,/Fc  jamais/RN"," chiens/NCMP000"," de/SP  palais/NCMN000  dressés/VMP00PM  à/SP  suivre/VMN0000  un/DI0MS0  roi/NCMS000  Ne/RN  seront/VMIF3P0  sur/SP  tes/DP2CPS  pas/NCMN000  plus/RG  assidus/AQ0MP00  que/CS  moi/PP1CS00 !/Fat </s><s> Ce/PP0CNN0  qu''/PR00000 ils/PP3MPN0  veulent/VMIP3P0  de/SP  toi/PP2CS00 ,/Fc  tous/DI0MP0  ces/DD0CP0  grands/AQ0MP00  de/SP"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","os/NCMN000 ./Fp </s><s> Dans/SP  le/DA0MS0  nombre/NCMS000 ,/Fc  il/PP3MSN0  y/PP3CN00  en/PP3CN00  a/VMIP3S0  d''/SP infiniment/RG  petites/AQ0FP00 ;/Fx  mais/CC  ce/PP0CNN0  n''/RN est/VMIP3S0  pas/RN  une/DI0FS0  raison/NCFS000  pour/SP  qu''/PR00000 elles/PP3FP00  souffrent/VMIP3P0  moins/RG ./Fp </s><s> Un/DI0MS0  petit/AQ0MS00"," chien/NCMS000"," à/SP  qui/PR00000  on/PP3CSN0  casseroit/VMIP3S0  une/DI0FS0  patte/NCFS000 ,/Fc  éprouveroit/VMIP3S0  les/DA0CP0  mêmes/AQ0CP00  douleurs/NCFP000  que/CS  le/DA0MS0  plus/RG  gros/AQ0MN00  de/SP  son/DP3CSS  espèce/NCFS000 ./Fp </s><s> Une/DI0FS0  mouche/NCFS000  dont/PR00000  on/PP3CSN0  arrache/VMIP1S0"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","un/DI0MS0  homme/NCMS000  qui/PR00000 ,/Fc  pour/SP  s''/PP3CN00 amuser/VMN0000 ,/Fc  crèveroit/VMIP3S0  un/DI0MS0  oeil/NCMS000  à/SP  un/DI0MS0  âne/NCMS000 ,/Fc  couperoit/VMIP3S0  la/DA0FS0  tête/NCFS000  d''/SP un/DI0MS0  cheval/NCMS000 ,/Fc  casseroit/VMIP3S0  les/DA0CP0  quatre/NCMN000  pattes/NCFP000  d''/SP un/DI0MS0"," chien/NCMS000",",/Fc  et/CC  feroit/AQ0MS0  mille/NCMP000  autres/AQ0CP00  cruautés/NCFP000  de/SP  cette/DD0FS0  espèce/NCFS000  par/SP  simple/AQ0CS00  passe-temps/NCMN000 ?/Fit  on/PP3CSN0  le/PP3MSA0  fuiroit/VMIP3S0  comme/CS  un/DI0MS0  monstre/NCMS000  redoutable/AQ0CS00  à/SP  l''/DA0CS0"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","la/DA0FS0  vie/NCFS000  même/AQ0CS00  à/SP  un/DI0MS0  insecte/NCMS000 ./Fp </s><s> Ces/DD0CP0  excellentes/AQ0FP00  leçons/NCFP000  faisoient/VMSP3P0  peu/RG  d''/SP effet/NCMS000  sur/SP  Marinette/NPFS000 ,/Fc  qui/PR00000  s''/PP3CN00 amusoit/VMSP3S0  d''/SP un/DI0MS0  chat/NCMS000 ,/Fc  d''/SP un/DI0MS0"," chien/NCMS000",",/Fc  d''/SP un/DI0MS0  oiseau/NCMS000 ,/Fc  comme/CS  elle/PP3FS00  eût/VASI3S0  fait/VMP00SM  d''/SP un/DI0MS0  morceau/NCMS000  de/SP  carton/NCMS000 ./Fp </s><s> Un/DI0MS0  jour/NCMS000 ,/Fc  madame/NCFS000  de/SP  Lime/NPFS000 ,/Fc  sa/DP3FSS  maman/NCFS000 ,/Fc  céda/VMIS3S0  à/SP  sa/DP3FSS  prière/NCFS000 ,/Fc  en/SP  prenant/VMG0000"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","tortillées/VMP00PF ,/Fc  les/DA0CP0  poils/NCMP000  arrachés/VMP00PM ,/Fc  et/CC  force/VMIP1S0  soufflets/NCMP000 :/Fd  Marinette/NPFS000  en/SP  colère/NCFS000  ne/RN  le/PP3MSA0  ménageoit/VMIP3S0  pas/RN ./Fp </s><s> Madame/NCFS000  de/SP  Lime/NPFS000  eut/VMIS3S0  un/DI0MS0"," chien/NCMS000","./Fp </s><s> Elle/PP3FS00  se/PP3CN00  flatta/VMIS3S0  que/CS  les/DA0CP0  aimables/AQ0CP00  qualités/NCFP000  de/SP  ce/DD0MS0  fidèle/AQ0CS00  animal/NCMS000  gagneroient/VMIP3P0  le/DA0MS0  coeur/NCMS000  de/SP  sa/DP3FSS  fille/NCFS000 ./Fp </s><s> Ce/DD0MS0  beau/AQ0MS00  caniche/NCMS000  fut/VSIS3S0  nommé/VMP00SM"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","elle/PP3FS00  tenoit/VMIP3S0  en/PP3CN00  laisse/VMIP1S0 ,/Fc  l''/PP3CSA0 y/PP3CN00  avoit/VMIP3S0  conduite/NCFS000  aussitôt/RG  qu''/CS il/PP3MSN0  avoit/VMIP3S0  eu/VMP00SM  perdu/VMP00SM  ses/DP3CPS  maîtres/NCMP000 ./Fp </s><s> Si/CS  la/DA0FS0  petite/AQ0FS00  fut/VSIS3S0  bien/RG  embrassée/VMP00SF ,/Fc  le/DA0MS0"," chien/NCMS000"," intelligent/AQ0MS00  et/CC  fidèle/AQ0CS00  eut/VMIS3S0  aussi/RG  sa/DP3FSS  part/NCCS000  des/SP  caresses/NCFP000 ./Fp </s><s> Marinette/NPFS000  seule/AQ0FS00  ne/RN  lui/PP3CS00  sut/VMIS3S0  aucun/DI0MS0  gré/NCMS000  du/SP  service/NCMS000  qu''/PR00000 il/PP3MSN0  lui/PP3CS00  avoit/VMIP3S0"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","et/CC  fidèle/AQ0CS00  eut/VMIS3S0  aussi/RG  sa/DP3FSS  part/NCCS000  des/SP  caresses/NCFP000 ./Fp </s><s> Marinette/NPFS000  seule/AQ0FS00  ne/RN  lui/PP3CS00  sut/VMIS3S0  aucun/DI0MS0  gré/NCMS000  du/SP  service/NCMS000  qu''/PR00000 il/PP3MSN0  lui/PP3CS00  avoit/VMIP3S0  rendu/VMP00SM ./Fp </s><s> Le/DA0MS0  bon/AQ0MS00"," chien/NCMS000"," sembloit/NCMS000  redoubler/VMN0000  d''/SP attachement/NCMS000  pour/SP  l''/DA0CS0 enfant/NCCS000 ;/Fx  mais/CC  il/PP3MSN0  avoit/VMIP3S0  beau/AQ0MS00  faire/VMN0000 ,/Fc  Marinette/NPFS000  ne/RN  s''/PP3CN00 en/PP3CN00  apercevoit/VMIP3S0  pas/RN ./Fp </s><s> Jamais/RN"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","de/SP  pied/NCCS000 ,/Fc  ou/CC  en/SP  le/PP3MSA0  frappant/VMG0000  de/SP  ce/PP0CNN0  qu''/PR00000 elle/PP3FS00  tenoit/VMIP3S0  alors/RG ,/Fc  ce/PP0CNN0  qui/PR00000  quelquefois/RG  faisoit/VMSP3S0  faire/VMN0000  des/SP  cris/NCMP000  lamentables/AQ0CP00  au/SP  pauvre/AQ0CS00"," chien/NCMS000","./Fp </s><s> Cependant/RG  les/DA0CP0  duretés/NCFP000  de/SP  cette/DD0FS0  petite/AQ0FS00  fille/NCFS000  ne/RN  rebutèrent/VMIS3P0  point/RN  le/DA0MS0  fidèle/AQ0CS00  Pouf/NPMS000 ,/Fc  qui/PR00000  sembloit/NCMS000  dire/VMN0000 :/Fd  Tu/PP2CSN0  es/VMIP2S0  la/DA0FS0  fille/NCFS000  de/SP  mon/DP1CSS"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","prendre/VMN0000  des/SP  mouches/NCFP000  ou/CC  autres/AQ0CP00  insectes/NCMP000 ,/Fc  de/SP  jouer/VMN0000  avec/SP  des/SP  hannetons/NCMP000 ,/Fc  et/CC  surtout/RG  de/SP  toucher/VMN0000  aux/SP  oiseaux/NCMP000 ,/Fc  aux/SP  chats/NCMP000  et/CC  aux/SP"," chiens/NCMP000",",/Fc  sous/SP  peine/NCFS000  d''/SP être/VSN0000  punie/VMP00SF  sévèrement/RG ./Fp </s><s> Marinette/NPFS000  avoit/VMIP3S0  six/NCMN000  ans/NCMP000 ,/Fc  et/CC  son/DP3CSS  coeur/NCMS000  ne/RN  s''/PP3CN00 étoit/NCMS000  pas/RN  encore/RG  attendri/VMP00SM  une/DI0FS0  seule/AQ0FS00"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","pour/SP  elle/PP3FS00  une/DI0FS0  préférence/NCFS000  marquée/VMP00SF ;/Fx  soit/CC  que/CS  l''/DA0CS0 enfance/NCFS000  intéresse/VMIP3S0  jusqu''aux/SP  animaux/NCMP000  mêmes/AQ0CP00 ,/Fc  soit/CC  qu''/CS élevés/VMP00PM  ensemble/RG ,/Fc  ce/DD0MS0"," chien/NCMS000"," eût/VASI3S0  pris/VMP00NM  pour/SP  elle/PP3FS00  un/DI0MS0  attachement/NCMS000  plus/RG  tendre/AQ0CS00  que/CS  pour/SP  M./NPFS000  et/CC  madame/NCFS000  de/SP  Lime/NPFS000 ./Fp </s><s> Quelques/DI0CP0  affaires/NCFP000  étant/VSG0000  survenues/VMP00PF  à/SP  M./NPFS000  de/SP"
