"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","67395"
"query","Query:[lc=""eau"" | lemma=""eau"" | morphemes=""eau""]"
"Reference","Left","KWIC","Right"
"Histoire de la Révolution française, Tome 01",",/Fc  à/SP  l''/DA0CS0 aide/NCCS000  de/SP  ces/DD0CP0  digues/NCFP000 ,/Fc  contenir/VMN0000  un/DI0MS0  torrent/NCMS000  qui/PR00000  grossissait/VMII3S0  chaque/DI0CS0  jour/NCMS000 ./Fp </s><s> Ils/PP3MPN0  ne/RN  faisaient/VMII3P0  qu''/RN amonceler/VMN0000  ses/DP3CPS"," eaux/NCFP000",",/Fc  qu''/CS occasionner/VMN0000  plus/RG  de/SP  ravage/NCMS000 ,/Fc  s''/PP3CN00 entêtant/VMG0000  avec/SP  opiniâtreté/NCFS000  à/SP  l''/DA0CS0 ancien/AQ0MS00  régime/NCMS000 ,/Fc  base/NCFS000  de/SP  toutes/DI0FP0  leurs/DP3CPP  actions/NCFP000 ,/Fc  de/SP"
"Histoire de la Révolution française, Tome 01","des/SP  maisons/NCFP000 ,/Fc  sur/SP  les/DA0CP0  quais/NCMP000 ./Fp </s><s> La/DA0FS0  pluie/NCFS000  qui/PR00000  tombait/VMII3S0  à/SP  flots/NCMP000  ne/RN  dérangea/VMIS3S0  ni/CC  ne/RN  ralentit/VMIS3S0  la/DA0FS0  marche/NCFS000 ./Fp </s><s> Les/DA0CP0  fédérés/NCMP000 ,/Fc  dégouttant/VMG0000  d''/SP ","eau/NCFS000"," et/CC  de/SP  sueur/NCFS000 ,/Fc  dansaient/VMII3P0  des/SP  farandoles/NCFP000 ,/Fc  criaient/VMII3P0 :/Fd  Vivent/VMIP3P0  nos/DP1CPP  frères/NCMP000  les/DA0CP0  Parisiens/NPMP000 !/Fat </s><s> On/PP3CSN0  leur/PP3CPD0  descendait/VMII3S0  par/SP  les/DA0CP0  fenêtres/NCFP000"
"Histoire de la Révolution française, Tome 01","des/SP  gradins/NCMP000  de/SP  gazon/NCMS000  qui/PR00000  formaient/VMII3P0  un/DI0MS0  cirque/NCMS000  immense/AQ0CS00 ,/Fc  mouillés/VMP00PM ,/Fc  crottés/VMP00PM ,/Fc  s''/PP3CN00 armant/VMG0000  de/SP  parasols/NCMP000  contre/SP  les/DA0CP0  torrens/NCMP000  d''/SP ","eau/NCFS000"," qui/PR00000  les/PP3CPA0  inondaient/VMII3P0 ,/Fc  s''/PP3CN00 essuyant/VMG0000  le/DA0MS0  visage/NCMS000 ,/Fc  au/SP  moindre/AQ0CS00  rayon/NCMS000  du/SP  soleil/NCMS000 ,/Fc  rajustant/VMG0000  leurs/DP3CPP  coiffures/NCFP000 ,/Fc  attendaient/VMII3P0  en/SP"
"Hernani","trompée/VMP00SF ,/Fc  Pourront/VMIF3P0  de/SP  ce/DD0MS0  fourreau/NCMS000  sortir/VMN0000  avec/SP  l''/DA0CS0 épée/NCFS000 ./Fp </s><s> En/SP  attendant/VMG0000 ,/Fc  je/PP1CSN0  n''/RN ai/VAIP1S0  reçu/VMP00SM  du/SP  ciel/NCMS000  jaloux/AQ0MN00  Que/CS  l''/DA0CS0 air/NCMS000 ,/Fc  le/DA0MS0  jour/NCMS000  et/CC  l''/DA0CS0 ","eau/NCFS000",",/Fc  la/DA0FS0  dot/NCFS000  qu''/PR00000 il/PP3MSN0  donne/VMIP1S0  à/SP  tous/PI0MP00 ./Fp </s><s> Or/CC  du/SP  duc/NCMS000  ou/CC  de/SP  moi/PP1CS00  souffrez/VMIP2P0  qu''/CS on/PP3CSN0  vous/PP2CP00  délivre/VMIP3S0 ./Fp </s><s> Il/PP3MSN0  faut/VMIP3S0  choisir/VMN0000  des/SP  deux/NCMN000 ,/Fc  l''/PP3CSA0 épouser/VMN0000 ,/Fc  ou/CC  me/PP1CS00"
"Hernani","./Fp </s><s> Donc/RG ,/Fc  le/DA0MS0  ciel/NCMS000  m''/PP1CS00 a/VAIP3S0  fait/VMP00SM  duc/NCMS000 ,/Fc  et/CC  l''/DA0CS0 exil/NCMS000  montagnard/NCMS000 ./Fp </s><s> Mais/CC  puisque/CS  j''/PP1CSN0 ai/VMIP1S0  sans/SP  fruit/NCMS000  aiguisé/VMP00SM  mon/DP1CSS  épée/NCFS000  Sur/SP  les/DA0CP0  monts/NCMP000  et/CC  dans/SP  l''/DA0CS0 ","eau/NCFS000"," des/SP  torrents/NCMP000  retrempée/VMP00SF ,/Fc </s><s> Il/PP3MSN0  met/VMIP3S0  son/DP3CSS  chapeau/NCMS000 ./Fp </s><s> Aux/SP  autres/AQ0CP00  conjurés/NCMP000 :/Fd  Couvrons-nous/VMIP1P0 ,/Fc  grands/AQ0MP00  d''/SP Espagne/NPFS000 !/Fat </s><s> Tous/DI0MP0  les/DA0CP0"
"Hernani","de/SP  deux/NCMN000  rangs/NCMP000  d''/SP arcades/NCFP000  moresques/NCFP000 ,/Fc  au-dessus/RG  et/CC  au/SP  travers/NCMN000  desquelles/SP  on/PP3CSN0  voit/VMIP3S0  les/DA0CP0  jardins/NCMP000  du/SP  palais/NCMN000 ,/Fc  les/DA0CP0  jets/NCMP000  d''/SP ","eau/NCFS000"," dans/SP  l''/DA0CS0 ombre/NCCS000 ,/Fc  les/DA0CP0  bosquets/NCMP000  avec/SP  les/DA0CP0  lumières/NCFP000  qui/PR00000  s''/PP3CN00 y/PP3CN00  promènent/VMIP3P0 ,/Fc  et/CC  au/SP  fond/NCMS000  les/DA0CP0  faîtes/NCMP000  gothiques/AQ0CP00  et/CC  arabes/AQ0CP00  du/SP  palais/NCMN000"
"Hernani","!/Fat </s><s> Ta/DP2FSS  parole/NCFS000  est/VMIP3S0  un/DI0MS0  chant/NCMS000  où/PR00000  rien/PI0CS00  d''/SP humain/AQ0MS00  ne/RN  reste/VMIP1S0 ./Fp </s><s> Et/CC ,/Fc  comme/CS  un/DI0MS0  voyageur/NCMS000 ,/Fc  sur/SP  un/DI0MS0  fleuve/NCMS000  emporté/VMP00SM ,/Fc  Qui/PR00000  glisse/VMIP1S0  sur/SP  les/DA0CP0"," eaux/NCFP000"," par/SP  un/DI0MS0  beau/AQ0MS00  soir/NCMS000  d''/SP été/NCMS000  Et/CC  voit/VMIP3S0  fuir/VMN0000  sous/SP  ses/DP3CPS  yeux/NCMP000  mille/NCMP000  plaines/NCFP000  fleuries/VMP00PF ,/Fc  Ma/DP1FSS  pensé/VMP00SM  entraînée/VMP00SF  erre/NCFS000  en/SP  tes/DP2CPS  rêveries/NCFP000 !/Fat </s><s> DOÑA/NP00000"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","paiera/VMIF3S0  le/DA0MS0  dégât/NCMS000  que/PR00000  vous/PP2CP00  y/PP3CN00  avez/VAIP2P0  fait/VMP00SM ./Fp </s><s> Si/CS  vous/PP2CP00  êtes/VSIP2P0  prise/VMP00SF  une/DI0FS0  seconde/AO0FS00  fois/NCFN000 ,/Fc  vous/PP2CP00  aurez/VMIF2P0  huit/NCMN000  jours/NCMP000  de/SP  prison/NCFS000  au/SP  pain/NCMS000  et/CC  à/SP  l''/DA0CS0 ","eau/NCFS000",",/Fc  c''/PPSCNN0 est/VMIP3S0  la/DA0FS0  règle/NCFS000 ./Fp »/Frc  Lili/NP00000  voulut/VMIS3S0  demander/VMN0000  grâce/NCFS000 ;/Fx  déjà/RG  elle/PP3FS00  joignoit/VMIP3S0  ses/DP3CPS  deux/NCMN000  petites/AQ0FP00  mains/NCFP000 ,/Fc  et/CC  mettoit/NCMS000  un/DI0MS0  genou/NCMS000  en/SP  terre/NCFS000 :/Fd  «/Fra"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","peur/NCFS000 !/Fat .../Fs  Lili/NPMS000  n''/RN osoit/VMSP3S0  pas/RN  la/PP3FSA0  regarder/VMN0000 !/Fat .../Fs  Cette/DD0FS0  femme/NCFS000  lui/PP3CS00  donna/VMIS3S0  un/DI0MS0  peu/RG  de/SP  pain/NCMS000  et/CC  de/SP  fromage/NCMS000 ,/Fc  puis/CC  ensuite/RG  un/DI0MS0  verre/NCMS000  d''/SP ","eau/NCFS000"," rougie/VMP00SF ./Fp </s><s> Après/SP  que/PR00000  Lili/NP00000  eut/VAIS3S0  soupé/VMP00SM ,/Fc  la/DA0FS0  femme/NCFS000  du/SP  garde/NCCS000  la/PP3FSA0  coucha/VMIS3S0  sans/SP  proférer/VMN0000  une/DI0FS0  seule/AQ0FS00  parole/NCFS000 ./Fp </s><s> Lili/NP00000  pleura/VMIS3S0  beaucoup/RG  sans/SP"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","une/DI0FS0  robe/NCFS000  du/SP  matin/NCMS000  de/SP  Marinette/NPFS000 ,/Fc  qu''/CS on/PP3CSN0  avoit/VMIP3S0  laissée/VMP00SF  par/SP  mégarde/NCFS000  sur/SP  un/DI0MS0  fauteuil/NCMS000 ./Fp </s><s> Pendant/SP  huit/NCMN000  jours/NCMP000 ,/Fc  Pouf/NPMS000  ne/RN  but/VMIS3S0  que/RN  de/SP  l''/DA0CS0 ","eau/NCFS000",";/Fx  il/PP3MSN0  étoit/NCMS000  dévoré/VMP00SM  par/SP  une/DI0FS0  fièvre/NCFS000  ardente/AQ0FS00 ,/Fc  qui/PR00000  causa/VMIS3S0  sa/DP3FSS  mort/NCFS000 ./Fp </s><s> La/DA0FS0  famille/NCFS000  étant/VSG0000  revenue/VMP00SF ,/Fc  ce/DD0MS0  bon/AQ0MS00  chien/NCMS000  rassembla/VMIS3S0  toutes/DI0FP0  ses/DP3CPS"
