"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","74536"
"query","Query:[lc=""livre"" | lemma=""livre"" | morphemes=""livre""]"
"Reference","Left","KWIC","Right"
"Histoire de la Révolution française, Tome 01","la/DA0FS0  place/NCFS000  que/CS  les/DA0CP0  grands/AQ0MP00  génies/NCMP000  du/SP  siècle/NCMS000  avaient/VAII3P0  occupée/VMP00SF  dans/SP  les/DA0CP0  discussions/NCFP000  philosophiques/AQ0CP00 ./Fp </s><s> L''/DA0CS0 abbé/NCMS000 ;/Fx  Sièyes/NP00000 ,/Fc  dans/SP  un/DI0MS0"," livre/NCCS000"," qui/PR00000  donna/VMIS3S0  une/DI0FS0  forte/AQ0FS00  impulsion/NCFS000  à/SP  l''/DA0CS0 esprit/NCMS000  public/AQ0MS00 ,/Fc  se/PP3CN00  demanda/VMIS3S0 :/Fd  Qu''/CS est/VMIP3S0  le/DA0MS0  tiers-état/NCMS000 ?/Fit </s><s> Et/CC  il/PP3MSN0  répondit/VMIS3S0 :/Fd  Rien/PI0CS00 ./Fp --/Fg Que/PR00000  doit-il/VMIP3S0"
"Histoire de la Révolution française, Tome 01","./Fp </s><s> Grégoire/NPFS000  parle/VMIP1S0  de/SP  la/DA0FS0  disette/NCFS000 ,/Fc  et/CC  demande/VMIP1S0  pourquoi/PT00000  une/DI0FS0  lettre/NCFS000  a/VAIP3S0  été/VSP00NC  adressée/VMP00SF  à/SP  un/DI0MS0  meunier/NCMS000  avec/SP  promesse/NCFS000  de/SP  deux/NCMN000  cents/NCMP000"," livres/NCCP000"," par/SP  semaine/NCFS000  s''/PP3CN00 il/PP3MSN0  voulait/VMII3S0  ne/RN  pas/RN  moudre/VMN0000 ./Fp </s><s> La/DA0FS0  lettre/NCFS000  ne/RN  prouvait/VMII3S0  rien/PI0CS00 ,/Fc  car/CC  tous/DI0MP0  les/DA0CP0  partis/NCMP000  pouvaient/VMII3P0  l''/PP3CSA0 avoir/VAN0000  écrite/VMP00SF ;/Fx"
"Histoire de la Révolution française, Tome 01","il/PP3MSN0  discutait/VMII3S0  quelquefois/RG  avec/SP  l''/DA0CS0 assemblée/NCFS000 ./Fp </s><s> Sa/DP3FSS  réserve/NCFS000  à/SP  l''/DA0CS0 égard/NCMS000  des/SP  dépenses/NCFP000  extraordinaires/AQ0CP00  avait/VAII3S0  fait/VMP00SM  demander/VMN0000  le/DA0MS0"," livre/NCCS000"," rouge/AQ0CS00 ,/Fc  registre/NCMS000  fameux/AQ0MN00  où/PR00000  l''on/PP3CSN0  trouvait/VMII3S0 ,/Fc  disait-on/VMII3S0 ,/Fc  la/DA0FS0  liste/NCFS000  de/SP  toutes/DI0FP0  les/DA0CP0  dépenses/NCFP000  secrètes/AQ0FP00 ./Fp </s><s> Louis/NCMN000  XVI/NP00000  céda/VMIS3S0  avec/SP"
"Histoire de la Révolution française, Tome 01","de/SP  circonférence/NCFS000 ,/Fc  et/CC  que/CS  d''/SP autres/PI0CP00  comptassent/VMSI3P0  à/SP  peine/NCFS000  quinze/NCMN000  feux/NCMP000 ;/Fx  que/CS  beaucoup/RG  de/SP  curés/NCMP000  eussent/VMSI3P0  au/SP  plus/RG  sept/NCMN000  cents/NCMP000"," livres/NCCP000",",/Fc  tandis/VMP00PM  que/CS  près/RG  d''/SP eux/PP3MP00  il/PP3MSN0  existait/VMII3S0  des/SP  bénéficiers/NCCP000  qui/PR00000  comptaient/VMII3P0  dix/NCMN000  et/CC  quinze/NCMN000  mille/NCMP000  livres/NCCP000  de/SP  revenus/NCMP000 ?/Fit </s><s> L''/DA0CS0 assemblée/NCFS000 ,/Fc"
"Histoire de la Révolution française, Tome 01","eussent/VMSI3P0  au/SP  plus/RG  sept/NCMN000  cents/NCMP000  livres/NCCP000 ,/Fc  tandis/VMP00PM  que/CS  près/RG  d''/SP eux/PP3MP00  il/PP3MSN0  existait/VMII3S0  des/SP  bénéficiers/NCCP000  qui/PR00000  comptaient/VMII3P0  dix/NCMN000  et/CC  quinze/NCMN000  mille/NCMP000"," livres/NCCP000"," de/SP  revenus/NCMP000 ?/Fit </s><s> L''/DA0CS0 assemblée/NCFS000 ,/Fc  en/SP  réformant/VMG0000  les/DA0CP0  abus/NCMN000 ,/Fc  n''/RN empiétait/VMII3S0  pas/RN  sur/SP  les/DA0CP0  doctrines/NCFP000  ecclésiastiques/AQ0CP00 ,/Fc  ni/CC  sur/SP  l''/DA0CS0"
"Histoire de la Révolution française, Tome 01",",/Fc  s''/PP3CN00 écrie-t-il/VMIP1S0 ,/Fc  et/CC  avec/SP  un/DI0MS0  fusil/NCMS000  il/PP3MSN0  menace/VMIP1S0  les/DA0CP0  voyageurs/NCMP000 ,/Fc  s''/CS ils/PP3MPN0  s''/PP3CN00 obstinent/VMIP3P0  à/SP  avancer/VMN0000 ./Fp </s><s> On/PP3CSN0  obéit/VMIP3S0  à/SP  cet/DD0MS0  ordre/NCMS000 ,/Fc  et/CC  on/PP3CSN0"," livre/VMIP1S0"," le/DA0MS0  passeport/NCMS000 ./Fp </s><s> Drouet/NPMS000  s''/PP3CN00 en/PP3CN00  saisit/VMIP3S0 ,/Fc  et/CC  dit/VMIP3S0  que/CS  c''/PPSCNN0 est/VMIP3S0  au/SP  procureur/NCMS000  de/SP  la/DA0FS0  commune/AQ0FS00  à/SP  l''/PP3CSA0 examiner/VMN0000 ;/Fx  et/CC  la/DA0FS0  famille/NCFS000  royale/AQ0FS00  est/VSIP3S0"
"Histoire de la Révolution française, Tome 01","pas/RN  à/SP  me/PP1CS00  retrouver/VMN0000  au/SP  milieu/NCMS000  de/SP  vous/PP2CP00 !/Fat .../Fs  Je/PP1CSN0  n''/RN avais/VMII1S0  dans/SP  ma/DP1FSS  voiture/NCFS000  que/CS  trois/NCMN000  mille/NCMP000  louis/NCMN000  en/SP  or/NCMS000  et/CC  cinquante-six/NCFN000  mille/NCMP000"," livres/NCCP000"," en/SP  assignats/NCMP000 ./Fp </s><s> Je/PP1CSN0  n''/RN ai/VAIP1S0  prévenu/VMP00SM  Monsieur/NPMS000  de/SP  mon/DP1CSS  départ/NCMS000  que/CS  peu/RG  de/SP  temps/NCMN000  auparavant/RG ./Fp </s><s> Monsieur/NCMS000  n''/RN est/VSIP3S0  passé/VMP00SM  dans/SP  le/DA0MS0  pays/NCMN000"
"Hernani",",/Fc  à/SP  risquer/VMN0000  sur/SP  le/DA0MS0  théâtre/NCMS000  des/SP  tentatives/NCFP000  confiées/VMP00PF  jusqu''ici/RG  seulement/RG  au/SP  papier/NCMS000  qui/PR00000  souffre/VMIP1S0  tout/RG ;/Fx  le/DA0MS0  public/NCMS000  des/SP"," livres/NCCP000"," est/VMIP3S0  bien/RG  différent/AQ0MS00  du/SP  public/NCMS000  des/SP  spectacles/NCMP000 ,/Fc  et/CC  l''on/PP3CSN0  pouvait/VMII3S0  craindre/VMN0000  de/SP  voir/VMN0000  le/DA0MS0  second/NCMS000  repousser/VMN0000  ce/PP0CNN0  que/PR00000  le/DA0MS0  premier/NCMS000"
"Hernani","encor/NCMS000  qu''/CS au/SP  trône/NCMS000  à/SP  l''/DA0CS0 abime/NCMS000  nous/PP1CP00  mène/VMIP1S0 ,/Fc  A/VMIP3S0  peine/NCFS000  ils/PP3MPN0  font/VMIP3P0  trois/NCMN000  pas/RN ,/Fc  qu''/CS indécis/AQ0MN00 ,/Fc  incertains/AQ0MP00 ,/Fc  Tâchant/VMG0000  en/SP  vain/AQ0MS00  de/SP  lire/VMN0000  au/SP"," livre/NCCS000"," des/SP  destins/NCMP000 ,/Fc  Ils/PP3MPN0  hésitent/VMIP3P0 ,/Fc  peu/RG  sûrs/AQ0MP00  d''/SP eux-même/PP3MP00 ,/Fc  et/CC  dans/SP  le/DA0MS0  doute/NCMS000  Au/SP  nécroman/NCMS000  du/SP  coin/NCMS000  vont/VMIP3P0  demander/VMN0000  leur/DP3CSP  route/NCFS000 !/Fat </s><s> A/VAIP3S0  don/NCMS000"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","souvent/RG  comme/CS  vous/PP2CP00  l''/PP3CSA0 êtes/VMIP2P0 ./Fp </s><s> Allons/VMM01P0 ,/Fc  je/PP1CSN0  vous/PP2CP00  pardonne/VMIP3S0  pour/SP  cette/DD0FS0  fois/NCFN000 ;/Fx  venez/VMM02P0  m''/PP1CS00 embrasser/VMN0000 ./Fp </s><s> Tiens/VMM02S0 ,/Fc  Zozo/NPMS000 ,/Fc  vois-tu/VMIP1S0  ce/DD0MS0  beau/AQ0MS00"," livre/NCCS000",",/Fc  ce/PP0CNN0  sont/VMIP3P0  les/DA0CP0  Soirées/NPFP000  de/SP  l''/DA0CS0 Enfance/NPFS000 ;/Fx  regarde/VMIP1S0  les/DA0CP0  jolies/AQ0FP00  gravures/NCFP000 ./Fp </s><s> En/PP3CN00  voici/I  une/DI0FS0  bien/RG  belle/AQ0FS00 ,/Fc  c''/PPSCNN0 est/VMIP3S0  le/DA0MS0  petit/AQ0MS00  Fabien/NPMS000  qui/PR00000  donne/VMIP1S0"
