"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","50652"
"query","Query:[lc=""mer"" | lemma=""mer"" | morphemes=""mer""]"
"Reference","Left","KWIC","Right"
"Histoire de la Révolution française, Tome 01","soumettre/VMN0000  les/DA0CP0  élémens/NCMP000  à/SP  l''/DA0CS0 homme/NCMS000  pour/SP  améliorer/VMN0000  sa/DP3FSS  condition/NCFS000 ./Fp </s><s> Déjà/RG  nous/PP1CP00  avons/VAIP1P0  vu/VMP00SM  la/DA0FS0  puissance/NCFS000  de/SP  la/DA0FS0  vapeur/NCCS000  traverser/VMN0000  les/DA0CP0"," mers/NCFP000",",/Fc  réunir/VMN0000  les/DA0CP0  mondes/NCMP000 ;/Fx  nous/PP1CP00  allons/VMIP1P0  la/PP3FSA0  voir/VMN0000  bientôt/RG  parcourir/VMN0000  les/DA0CP0  continens/NCMP000  eux-mêmes/PP3MP00 ,/Fc  franchir/VMN0000  tous/DI0MP0  les/DA0CP0  obstacles/NCMP000"
"Histoire de la Révolution française, Tome 01","et/CC  d''/SP indépendance/NCFS000  (/Fpa deux/NCMN000  qualités/NCFP000  qui/PR00000  semblent/VMIP3P0  contradictoires/AQ0CP00 ,/Fc  mais/CC  qu''/CS on/PP3CSN0  trouve/VMIP1S0  souvent/RG  réunies/VMP00PF  chez/SP  les/DA0CP0  hommes/NCMP000  de/SP"," mer/NCFS000",")/Fpt ,/Fc  avait/VAII3S0  conservé/VMP00SM  l''/DA0CS0 habitude/NCFS000  de/SP  tout/RG  dire/VMN0000  à/SP  ses/DP3CPS  princes/NCMP000  qu''/PR00000 il/PP3MSN0  aimait/VMII3S0 ./Fp </s><s> Son/DP3CSS  témoignage/NCMS000  ne/RN  saurait/VMIC3S0  être/VSN0000  révoqué/VMP00SM  en/SP  doute/NCMS000 ,/Fc"
"Histoire de la Révolution française, Tome 01","bannières/NCFP000 ,/Fc  partirent/VMIS3P0  de/SP  l''/DA0CS0 emplacement/NCMS000  de/SP  la/DA0FS0  Bastille/NPFS000 ;/Fx  les/DA0CP0  députés/NCMP000  des/SP  troupes/NCFP000  de/SP  ligne/NCFS000 ,/Fc  des/SP  troupes/NCFP000  de/SP"," mer/NCFS000",",/Fc  la/DA0FS0  garde/NCCS000  nationale/AQ0FS00  parisienne/AQ0FS00 ,/Fc  des/SP  tambours/NCMP000 ,/Fc  des/SP  choeurs/NCMP000  de/SP  musique/NCFS000 ,/Fc  les/DA0CP0  drapeaux/NCMP000  des/SP  sections/NCFP000 ,/Fc  ouvraient/VMII3P0  et/CC"
"Histoire de la Révolution française, Tome 01","ce/DD0MS0  cantique/NCMS000 ./Fp </s><s> Lafayette/NPFS000 ,/Fc  à/SP  la/DA0FS0  tête/NCFS000  de/SP  l''/DA0CS0 état-major/NCMS000  de/SP  la/DA0FS0  milice/NCFS000  parisienne/AQ0FS00  et/CC  des/SP  députés/NCMP000  des/SP  armées/NCFP000  de/SP  terre/NCFS000  et/CC  de/SP"," mer/NCFS000",",/Fc  monte/VMIP1S0  à/SP  l''/DA0CS0 autel/NCMS000 ,/Fc  et/CC  jure/VMIP1S0 ,/Fc  au/SP  nom/NCMS000  des/SP  troupes/NCFP000  et/CC  des/SP  fédérés/NCMP000 ,/Fc  d''/SP être/VMN0000  fidèle/AQ0CS00  à/SP  la/DA0FS0  nation/NCFS000 ,/Fc  à/SP  la/DA0FS0  loi/NCFS000 ,/Fc  au/SP  roi/NCMS000 ./Fp </s><s> Une/DI0FS0  décharge/NCFS000  de/SP"
"Hernani","are/NCMS000  novelists/AQ0MP0 ./Fp </s><s> He/NP00000  has/NCMN000  written/RG  certain/AQ0MS00  prose/NCFS000  works/RG  of/AQ0MS0  imagination/NCFS000 ,/Fc  entitled/NCCS000  «/Fra Les/DA0CP0  Misérables/AQ0CP00 »/Frc ,/Fc  «/Fra Les/DA0CP0  Travailleurs/NPMP000  de/SP  la/DA0FS0"," Mer/NPFS000","»/Frc ,/Fc  «/Fra Notre/DP1CSP  Dame/NPFS000  de/SP  Paris/NPMP000 »/Frc ,/Fc  and/AQ0MS0  so/NCMS000  forth/NCMS000 ,/Fc  but/NCMS000  the/VMIP3S0  matter/VMN0000  in/AQ0CN00  each/NCMS000  case/NCFS000  is/VMII1S0  essentially/NCMS000  poetical/AQ0MS0 ,/Fc  and/AQ0MS0  it/VMII3S0  seems/NCMP000  to/RG  me/PP1CS00  that/NCMS000  the/AQ0CS0"
"Hernani","of/AQ0MS0  poetry/NCMS000 ./Fp </s><s> His/NP00000  second/AO0MS00  great/NCMS000  work/NCMS000  of/AQ0MS0  fiction/NCFS000 ,/Fc  «/Fra Les/DA0CP0  Misérables/AQ0CP00 »/Frc ,/Fc  appeared/NCCS000  in/AQ0CN00  1862/Z ,/Fc  followed/NCCS000  by/NCMS000  «/Fra Les/DA0CP0  Travailleurs/NPMP000  de/SP  la/DA0FS0"," Mer/NPFS000","»/Frc ,/Fc  in/AQ0CN00  1866/Z ,/Fc  and/AQ0MS0  by/NCMS000  «/Fra Quatre-vingt-treize/NPMS000 »/Frc ,/Fc  in/AQ0CN00  1874/Z ./Fp  «/Fra L''/DA0CS0 Homme/NPMS000  qui/PR00000  Rit/VMIP3S0 »/Frc ,/Fc  1866/Z ,/Fc  was/VMIF2S0  an/NCMS000  unsuccessful/AQ0MS0  attempt/AQ0MS0  at/NCMS000  an/NCMS000"
"Hernani","novel/AQ0MS0 ,/Fc  with/NCMS000  the/AQ0CS0  scene/NCFS000  in/AQ0CN00  England/NP00000 ./Fp </s><s> Of/NP00000  his/VMIP1S0  novels/AQ0MP0  «/Fra Les/DA0CP0  Misérables/AQ0CP00 »/Frc  is/VMII1S0  incomparably/NCMS000  the/AQ0CS0  best/VMIP3S0 ./Fp  «/Fra Les/DA0CP0  Travailleurs/NPMP000  de/SP  la/DA0FS0"," Mer/NPFS000","»/Frc ,/Fc  while/NCFS000  powerful/AQ0MS0  in/AQ0CN00  its/AQ0MP0  unity/NCMS000  and/AQ0MS0  intensity/NCMS000 ,/Fc  is/VMII1S0  too/RG  full/NCMS000  of/AQ0MS0  technical/AQ0MS0  terms/NCMP000  and/AQ0MS0  of/AQ0MS0  idiosyncrasies/NCFP000  to/RG  be/AQ0CS0  either/NCMS000  easy/NCMS000  or/CC"
"Hernani","du/SP  faîte/NCMS000  où/PR00000  nous/PP1CP00  sommes/VMIP2S0 ,/Fc  Dans/SP  l''/DA0CS0 ombre/NCCS000 ,/Fc  tout/PI0MS00  au/SP  fond/NCMS000  de/SP  l''/DA0CS0 abîme/NCMS000 ,/Fc --/Fg les/DA0CP0  hommes/NCMP000 ./Fp </s><s> --/Fg Les/DA0CP0  hommes/NCMP000 !/Fat  c''/PPSCNN0 est-à-dire/VMN0000  une/DI0FS0  foule/NCFS000 ,/Fc  une/DI0FS0"," mer/NCFS000",",/Fc  Un/DI0MS0  grand/AQ0MS00  bruit/NCMS000 ,/Fc  pleurs/NCMP000  et/CC  cris/NCMP000 ,/Fc  parfois/RG  un/DI0MS0  rire/NCMS000  amer/AQ0MS00 ,/Fc  Plainte/VMP00SF  qui/PR00000 ,/Fc  réveillant/VMG0000  la/DA0FS0  terre/NCFS000  qui/PR00000  s''/PP3CN00 effare/VMIP3S0 ,/Fc  A/VMIP3S0  travers/NCMN000  tant/RG  d''/SP"
"Hernani","./Fp </s><s> Oui/RG ,/Fc  pardieu/I !/Fat </s><s> DON/NCMS000  GARCI/NP00000 ./Fp </s><s> Qu''/PT0CN00 est-ce/VMIP3S0  donc/RG ?/Fit </s><s> DON/NCMS000  RICARDO/NPMS000 ./Fp </s><s> Mais/CC ,/Fc  sa/DP3FSS  taille/NCFS000 ,/Fc  son/DP3CSS  air/NCMS000 .../Fs  C''/PPSCNN0 est/VMIP3S0  don/NCMS000  Prancasio/NPMS000 ,/Fc  général/NCMS000  de/SP  la/DA0FS0"," mer/NCFS000","./Fp </s><s> DON/NCMS000  FRANCISCO/NP00000 ./Fp </s><s> Non/RG ./Fp </s><s> DON/NCMS000  GARCI/NP00000 ./Fp </s><s> Il/PP3MSN0  n''/RN a/VAIP3S0  pas/RN  quitté/VMP00SM  son/DP3CSS  masque/NCMS000 ./Fp </s><s> DON/NCMS000  FRANCISCO/NP00000 ./Fp </s><s> Il/PP3MSN0  n''/RN avait/VAII3S0  garde/NCCS000 [/Fca 5/Z ]/Fct ./Fp </s><s> C''/PPSCNN0 est/VMIP3S0  le/DA0MS0  duc/NCMS000  de/SP  Soma/NPMS000"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","que/RN  Cérès/NP00000 ?/Fit </s><s> ZOZO/NCMS000 ./Fp </s><s> La/DA0FS0  déesse/NCFS000  des/SP  blés/NCMP000 ./Fp </s><s> MIMI/NCMS000 ./Fp </s><s> Qu''/PT0CN00 est-ce/VMIP3S0  que/CS  Jupiter/NP00000 ?/Fit </s><s> ZOZO/NCMS000 ./Fp </s><s> Le/DA0MS0  dieu/NCMS000  du/SP  ciel/NCMS000 ./Fp </s><s> MIMI/NCMS000 ./Fp </s><s> Quel/PT0MS00  est/VMIP3S0  le/DA0MS0  dieu/NCMS000  de/SP  la/DA0FS0"," mer/NCFS000","?/Fit </s><s> ZOZO/NCMS000 ./Fp </s><s> Neptune/NPFS000 ./Fp </s><s> MIMI/NCMS000 ./Fp </s><s> Et/CC  celui/PD0MS00  des/SP  enfers/NCMP000 ?/Fit </s><s> ZOZO/NCMS000 ./Fp </s><s> Pluton/NCMS000 ./Fp </s><s> MIMI/NCMS000 ./Fp </s><s> Qu''/PT0CN00 est-ce/VMIP3S0  que/RN  Junon/NP00000 ?/Fit </s><s> ZOZO/NCMS000 ./Fp </s><s> La/DA0FS0  soeur/NCFS000  et/CC  la/DA0FS0  femme/NCFS000  de/SP"
