"academic use only"

"corpus","preloaded/gutenberg20_de"
"subcorpus","-"
"concordance size","20428"
"query","Query:[lc=""buch"" | lemma_lc=""buch"" | ascii=""buch""]"
"Reference","Left","KWIC","Right"
"Abhandlungen über die Fabel",",/SYM.Pun.Comma  Den/ART.Def.Acc.Sg.Masc  Marder/N.Reg.Acc.Sg.Masc  würgt/VFIN.Full.3.Sg.Pres.Ind  ein/ART.Indef.Nom.Sg.Masc  Fuchs/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  den/ART.Def.Acc.Sg.Masc  Fuchs/N.Reg.Acc.Sg.Masc  des/ART.Def.Gen.Sg.Masc  Wolfes/N.Reg.Gen.Sg.Masc  Zahn/N.Reg.Nom.Sg.Masc ./SYM.Pun.Sent </s><s> [/SYM.Paren.Left 7/CARD ]/SYM.Paren.Right </s><s> {/SYM.Other.XY Fussnote/N.Reg.Nom.Sg.Fem  7/CARD :/SYM.Pun.Colon  von/APPR  Hagedorn/N.Name.Nom.Sg.Masc :/SYM.Pun.Colon  Fabeln/N.Reg.Nom.Pl.Fem  und/CONJ.Coord  Erzehlungen/N.Reg.Nom.Pl.Fem ,/SYM.Pun.Comma  erstes/ADJA.Pos.Nom.Sg.Neut"," Buch/N.Reg.Nom.Sg.Neut","./SYM.Pun.Sent </s><s> S./N.Reg.Nom.Sg.Fem  77/CARD ./SYM.Pun.Sent }/SYM.Other.XY </s><s> Was/PRO.Inter.Subst.Acc.Sg.Neut  kann/VFIN.Mod.1.Sg.Pres.Ind  ich/PRO.Pers.Subst.1.Nom.Sg.*  nun/ADV  sagen/VINF.Full ,/SYM.Pun.Comma  daß/CONJ.SubFin  in/APPR  dieser/PRO.Dem.Attr.Dat.Sg.Fem  Fabel/N.Reg.Dat.Sg.Fem  für/APPR  eine/ART.Indef.Acc.Sg.Fem  Allegorie/N.Reg.Acc.Sg.Fem  liege/VFIN.Full.3.Sg.Pres.Subj ?/SYM.Pun.Sent </s><s> Der/ART.Def.Nom.Sg.Masc  Auerhahn/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Schwächste/N.Reg.Nom.Sg.Masc ;/SYM.Pun.Sent  der/ART.Def.Nom.Sg.Masc  Marder/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma"
"Abhandlungen über die Fabel","ausführen/VINF.Full  läßt/VFIN.Full.3.Sg.Pres.Ind ./SYM.Pun.Sent --/CARD Und/CONJ.Coord  nun/ADV  urteile/VFIN.Full.3.Sg.Pres.Subj  man/PRO.Indef.Subst.Nom.Sg.* ,/SYM.Pun.Comma  wie/PROADV.Inter  diese/PRO.Dem.Attr.Nom.Sg.Fem  Probe/N.Reg.Nom.Sg.Fem  ausgefallen/VPP.Full.Psp  ist/VFIN.Aux.3.Sg.Pres.Ind !/SYM.Pun.Sent </s><s> Es/PRO.Pers.Subst.3.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  die/ART.Def.Nom.Sg.Fem  sechzehnte/ADJA.Pos.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem  meines/PRO.Poss.Attr.Gen.Sg.Neut  dritten/ADJA.Pos.Gen.Sg.Neut"," Buchs/N.Reg.Gen.Sg.Neut"," und/CONJ.Coord  heißt/VFIN.Full.3.Sg.Pres.Ind  die/ART.Def.Acc.Sg.Fem  Geschichte/N.Reg.Acc.Sg.Fem  des/ART.Def.Gen.Sg.Masc  alten/ADJA.Pos.Gen.Sg.Masc  Wolfs/N.Reg.Gen.Sg.Masc  in/APPR  sieben/CARD  Fabeln/N.Reg.Dat.Pl.Fem ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Sg.Fem  Lehre/N.Reg.Nom.Sg.Fem ,/SYM.Pun.Comma  welche/PRO.Rel.Subst.Nom.Sg.Fem  in/APPR  allen/PRO.Indef.Attr.Dat.Pl.Fem  sieben/CARD  Fabeln/N.Reg.Dat.Pl.Fem  zusammengenommen/ADJD.Pos"
"Abhandlungen über die Fabel","ist/VFIN.Aux.3.Sg.Pres.Ind  La/N.Name.*.*.*  Fontaine/N.Reg.Nom.Sg.Fem  das/ART.Def.Nom.Sg.Neut  wahre/ADJA.Pos.Nom.Sg.Neut  Muster/N.Reg.Nom.Sg.Neut ?/SYM.Pun.Sent </s><s> Es/PRO.Pers.Subst.3.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  nicht/PART.Neg  ausgemacht/VPP.Full.Psp ,/SYM.Pun.Comma  ob/CONJ.SubFin  Aesopus/N.Name.Nom.Sg.Masc  seine/PRO.Poss.Attr.Acc.Pl.Fem  Fabeln/N.Reg.Acc.Pl.Fem  selbst/ADV  aufgeschrieben/VPP.Full.Psp  und/CONJ.Coord  in/APPR  ein/ART.Indef.Acc.Sg.Neut"," Buch/N.Reg.Acc.Sg.Neut"," zusammengetragen/VPP.Full.Psp  hat/VFIN.Aux.3.Sg.Pres.Ind ./SYM.Pun.Sent </s><s> Aber/CONJ.Coord  das/PRO.Dem.Subst.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  so/ADV  gut/ADJD.Pos  als/CONJ.Comp  ausgemacht/VPP.Full.Psp ,/SYM.Pun.Comma  daß/CONJ.SubFin ,/SYM.Pun.Comma  wenn/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  es/PRO.Pers.Subst.3.Acc.Sg.Neut  auch/ADV  getan/VPP.Full.Psp  hat/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  doch/ADV  keine/PRO.Indef.Attr.Nom.Sg.Fem  einzige/ADJA.Pos.Nom.Sg.Fem  davon/PROADV.Dem"
"Abhandlungen über die Fabel","was/PRO.Inter.Subst.Acc.Sg.Neut  geht/VFIN.Full.3.Sg.Pres.Ind  es/PRO.Pers.Subst.3.Nom.Sg.Neut  uns/PRO.Pers.Subst.1.Dat.Pl.*  an/PART.Verb ,/SYM.Pun.Comma  was/PRO.Inter.Subst.Nom.Sg.Neut  so/ADV  ein/ART.Indef.Nom.Sg.Masc  alter/ADJA.Pos.Nom.Sg.Masc  Grillenfänger/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  wie/PROADV.Inter  Plato/N.Name.Nom.Sg.Masc ,/SYM.Pun.Comma  sagen/VINF.Full  würde/VFIN.Aux.3.Sg.Past.Subj ?/SYM.Pun.Sent --/CARD </s><s> {/SYM.Other.XY Fussnote/N.Reg.Nom.Sg.Fem  6/CARD :/SYM.Pun.Colon  S./N.Reg.Nom.Sg.Fem  die/ART.Def.Acc.Sg.Fem  erste/ADJA.Pos.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem  des/ART.Def.Gen.Sg.Neut  dritten/ADJA.Pos.Gen.Sg.Neut"," Buchs/N.Reg.Gen.Sg.Neut","./SYM.Pun.Sent }/SYM.Other.XY </s><s> Vollkommen/ADJD.Pos  richtig/ADJD.Pos !/SYM.Pun.Sent </s><s> Unterdessen/ADV ,/SYM.Pun.Comma  da/CONJ.SubFin  ich/PRO.Pers.Subst.1.Nom.Sg.*  so/ADV  sehr/ADV  billig/ADJD.Pos  bin/VFIN.Aux.1.Sg.Pres.Ind ,/SYM.Pun.Comma  hoffe/VFIN.Full.1.Sg.Pres.Ind  ich/PRO.Pers.Subst.1.Nom.Sg.* ,/SYM.Pun.Comma  daß/CONJ.SubFin  man/PRO.Indef.Subst.Nom.Sg.*  es/PRO.Pers.Subst.3.Acc.Sg.Neut  auch/ADV  einigermaßen/ADV  gegen/APPR  mich/PRO.Pers.Subst.1.Acc.Sg.*  sein/VINF.Aux"
"Abhandlungen über die Fabel","Stufen/N.Reg.Acc.Pl.Fem  von/APPR  diesem/PRO.Dem.Attr.Dat.Sg.Neut  Finden/N.Reg.Dat.Sg.Neut  zum/APPRART.Dat.Sg.Neut  Erfinden/N.Reg.Dat.Sg.Neut ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Fem  sind/VFIN.Aux.3.Pl.Pres.Ind  es/PRO.Pers.Subst.3.Nom.Sg.Neut  eigentlich/ADV ,/SYM.Pun.Comma  was/PRO.Inter.Subst.Acc.Sg.Neut  ich/PRO.Pers.Subst.1.Nom.Sg.*  durch/APPR  verschiedene/ADJA.Pos.Acc.Pl.Masc  Versuche/N.Reg.Acc.Pl.Masc  meines/PRO.Poss.Attr.Gen.Sg.Neut  zweiten/ADJA.Pos.Gen.Sg.Neut"," Buchs/N.Reg.Gen.Sg.Neut"," habe/VFIN.Aux.3.Sg.Pres.Subj  zeigen/VINF.Full  wollen/VINF.Mod ./SYM.Pun.Sent </s><s> Ein/ART.Indef.Nom.Sg.Masc  gewisser/ADJA.Pos.Nom.Sg.Masc  Kunstrichter/N.Reg.Nom.Sg.Masc  sagt/VFIN.Full.3.Sg.Pres.Ind :/SYM.Pun.Colon  ""/SYM.Quot.Left Man/PRO.Indef.Subst.Nom.Sg.*  darf/VFIN.Mod.3.Sg.Pres.Ind  nur/ADV  im/APPRART.Dat.Sg.Neut  Holz/N.Reg.Dat.Sg.Neut  und/CONJ.Coord  im/APPRART.Dat.Sg.Neut  Feld/N.Reg.Dat.Sg.Neut ,/SYM.Pun.Comma  insonderheit/VFIN.Full.3.Sg.Pres.Ind  aber/ADV  auf/APPR  der/ART.Def.Dat.Sg.Fem  Jagd/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma"
"Abhandlungen über die Fabel","des/ART.Def.Gen.Sg.Masc  Löwen/N.Reg.Gen.Sg.Masc ?/SYM.Pun.Sent </s><s> Wie/PROADV.Inter  stolz/ADJD.Pos  wird/VFIN.Aux.3.Sg.Pres.Ind  der/ART.Def.Nom.Sg.Masc  Esel/N.Reg.Nom.Sg.Masc  auf/APPR  diese/PRO.Dem.Attr.Acc.Sg.Fem  Gesellschaft/N.Reg.Acc.Sg.Fem  gewesen/VPP.Aux.Psp  sein/VINF.Aux !/SYM.Pun.Sent </s><s> (/SYM.Paren.Left Man/PRO.Indef.Subst.Nom.Sg.*  sehe/VFIN.Full.3.Sg.Pres.Subj  die/ART.Def.Acc.Sg.Fem  achte/ADJA.Pos.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem  meines/PRO.Poss.Attr.Gen.Sg.Neut  zweiten/ADJA.Pos.Gen.Sg.Neut"," Buchs/N.Reg.Gen.Sg.Neut","./SYM.Pun.Sent )/SYM.Paren.Right  Der/ART.Def.Nom.Sg.Masc  Löwe/N.Reg.Nom.Sg.Masc  in/APPR  Gesellschaft/N.Reg.Dat.Sg.Fem  des/ART.Def.Gen.Sg.Masc  Esels/N.Reg.Gen.Sg.Masc ?/SYM.Pun.Sent </s><s> Und/CONJ.Coord  hatte/VFIN.Aux.3.Sg.Past.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  denn/ADV  der/ART.Def.Nom.Sg.Masc  Löwe/N.Reg.Nom.Sg.Masc  dieser/PRO.Dem.Attr.Gen.Sg.Fem  Gesellschaft/N.Reg.Gen.Sg.Fem  nicht/PART.Neg  zu/PART.Zu  schämen/VINF.Full ?/SYM.Pun.Sent </s><s> (/SYM.Paren.Left Man/PRO.Indef.Subst.Nom.Sg.*  sehe/VFIN.Full.3.Sg.Pres.Subj  die/ART.Def.Acc.Sg.Fem"
"Abhandlungen über die Fabel","endlich/ADV  glaubt/VFIN.Full.3.Sg.Pres.Ind  man/PRO.Indef.Subst.Nom.Sg.* ,/SYM.Pun.Comma  daß/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  auch/ADV  das/PRO.Dem.Subst.Acc.Sg.Neut ,/SYM.Pun.Comma  was/PRO.Rel.Subst.Acc.Sg.Neut  wirklich/ADJD.Pos  sein/VINF.Aux  eigen/ADJD.Pos  ist/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  gestohlen/VPP.Full.Psp  habe/VFIN.Aux.3.Sg.Pres.Subj ./SYM.Pun.Sent </s><s> (/SYM.Paren.Left S./FM  die/ART.Def.Nom.Sg.Fem  sechste/ADJA.Pos.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem  meines/PRO.Poss.Attr.Gen.Sg.Neut  zweiten/ADJA.Pos.Gen.Sg.Neut"," Buchs/N.Reg.Gen.Sg.Neut","./SYM.Pun.Sent )/SYM.Paren.Right </s><s> Oder/CONJ.Coord  man/PRO.Indef.Subst.Nom.Sg.*  verändert/VFIN.Full.3.Sg.Pres.Ind  einzelne/ADJA.Pos.Acc.Pl.Masc  Umstände/N.Reg.Acc.Pl.Masc  in/APPR  der/ART.Def.Dat.Sg.Fem  Fabel/N.Reg.Dat.Sg.Fem ./SYM.Pun.Sent </s><s> Wie/PROADV.Inter ,/SYM.Pun.Comma  wenn/CONJ.SubFin  das/ART.Def.Nom.Sg.Neut  Stücke/N.Reg.Nom.Pl.Neut  Fleisch/N.Reg.Nom.Sg.Neut ,/SYM.Pun.Comma  welches/PRO.Rel.Subst.Acc.Sg.Neut  der/ART.Def.Nom.Sg.Masc  Fuchs/N.Name.Nom.Sg.Masc  dem/ART.Def.Dat.Sg.Masc  Raben/N.Reg.Dat.Sg.Masc  aus/APPR  dem/ART.Def.Dat.Sg.Masc"
"Berlin — Panorama einer Weltstadt","der/ART.Def.Gen.Sg.Fem  ihm/PRO.Pers.Subst.3.Dat.Sg.Masc  nun/ADV  anvertrauten/ADJA.Pos.Gen.Sg.Fem  Regierung/N.Reg.Gen.Sg.Fem  gründlich/ADJD.Pos  beobachten/VINF.Full  konnte/VFIN.Mod.3.Sg.Past.Ind ./SYM.Pun.Sent </s><s> Das/ART.Def.Nom.Sg.Neut  neue/ADJA.Pos.Nom.Sg.Neut  Herrscheramt/N.Reg.Nom.Sg.Neut  wird/VFIN.Aux.3.Sg.Pres.Ind  ihm/PRO.Pers.Subst.3.Dat.Sg.*  wie/CONJ.Comp  ein/ART.Indef.Nom.Sg.Neut  bekanntes/ADJA.Pos.Nom.Sg.Neut"," Buch/N.Reg.Nom.Sg.Neut"," sein/VINF.Aux ,/SYM.Pun.Comma  bei/APPR  dessen/PRO.Rel.Attr.Gen.Sg.Neut  Lektüre/N.Reg.Dat.Sg.Fem  er/PRO.Pers.Subst.3.Nom.Sg.Masc  sich/PRO.Refl.Subst.3.Dat.Sg.*  Stellen/N.Reg.Acc.Pl.Fem  unterstrich/VFIN.Full.3.Sg.Past.Ind  und/CONJ.Coord  hier/ADV  und/CONJ.Coord  dort/ADV  Merkzeichen/N.Reg.Acc.Sg.Neut  einlegte/VFIN.Full.3.Sg.Past.Ind ./SYM.Pun.Sent </s><s> Und/CONJ.Coord  daß/CONJ.SubFin  es/PRO.Pers.Subst.3.Nom.Sg.Neut  solcher/PRO.Indef.Attr.Gen.Pl.Fem"
"Berlin — Panorama einer Weltstadt","das/ART.Def.Nom.Sg.Neut  erste/ADJA.Pos.Nom.Sg.Neut  Symptom/N.Reg.Nom.Sg.Neut  des/ART.Def.Gen.Sg.Masc  Kommenden/N.Reg.Gen.Sg.Masc  sein/VINF.Aux ./SYM.Pun.Sent </s><s> Klio/N.Name.Nom.Sg.*  spitzt/VFIN.Full.3.Sg.Pres.Ind  ihren/PRO.Poss.Attr.Acc.Sg.Masc  Griffel/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  sinnend/ADJD.Pos  lehnt/VFIN.Full.3.Sg.Pres.Ind  sie/PRO.Pers.Subst.3.Nom.Sg.Fem  den/ART.Def.Acc.Sg.Masc  Arm/N.Reg.Acc.Sg.Masc  auf/APPR  das/ART.Def.Acc.Sg.Neut  neue/ADJA.Pos.Acc.Sg.Neut  Blatt/N.Reg.Acc.Sg.Neut  im/APPRART.Dat.Sg.Neut"," Buche/N.Reg.Dat.Sg.Neut"," der/ART.Def.Gen.Sg.Fem  Geschichte/N.Reg.Gen.Sg.Fem  und/CONJ.Coord  lauscht/VFIN.Full.3.Sg.Pres.Ind  mit/APPR  lächelndernster/ADJA.Pos.Dat.Sg.Fem ,/SYM.Pun.Comma  mit/APPR  bangfroher/ADJA.Pos.Dat.Sg.Fem  Erwartung/N.Reg.Dat.Sg.Fem ./SYM.Pun.Sent </s><s> Das/ART.Def.Nom.Sg.Neut  Barrikadenlied/N.Reg.Nom.Sg.Neut  (/SYM.Paren.Left 1848/CARD )/SYM.Paren.Right </s><s> Barrikaden/N.Reg.Nom.Pl.Fem !/SYM.Pun.Sent </s>"
"Berlin — Panorama einer Weltstadt",",/SYM.Pun.Comma  biographisch/ADJD.Pos ,/SYM.Pun.Comma  zeitgeschicht/ADJD.Pos -/SYM.Pun.Hyph  lich/ADJD.Pos  beschäftigen/VFIN.Full.3.Pl.Pres.Ind ,/SYM.Pun.Comma  am/PART.Deg  wenigsten/ADJD.Sup  Anlaß/N.Reg.Acc.Sg.Masc  geben/VINF.Full  sollte/VFIN.Mod.3.Sg.Past.Ind ,/SYM.Pun.Comma  die/ART.Def.Acc.Sg.Fem  Herausgabe/N.Reg.Acc.Sg.Fem  des/ART.Def.Gen.Sg.Neut"," Buches/N.Reg.Gen.Sg.Neut"," zu/APPR  einem/ART.Indef.Dat.Sg.Neut  Vergehen/N.Reg.Dat.Sg.Neut  zu/PART.Zu  stempeln/VINF.Full ./SYM.Pun.Sent </s><s> Selbst/ADV  noch/ADV  das/ART.Def.Nom.Sg.Neut  Irrgewordensein/N.Reg.Nom.Sg.Neut  eines/ART.Indef.Gen.Sg.Masc  bedeutenden/ADJA.Pos.Gen.Sg.Masc  Mannes/N.Reg.Gen.Sg.Masc  kann/VFIN.Mod.3.Sg.Pres.Ind  ein/ART.Indef.Acc.Sg.Neut  Schauspiel/N.Reg.Acc.Sg.Neut  bieten/VINF.Full ,/SYM.Pun.Comma"
