"academic use only"

"corpus","preloaded/gutenberg20_de"
"subcorpus","-"
"concordance size","9567"
"query","Query:[lc=""Hund"" | lemma_lc=""Hund"" | ascii=""Hund""]"
"Reference","Left","KWIC","Right"
"Abhandlungen über die Fabel","Geschlechte/N.Reg.Dat.Sg.Neut  eine/ART.Indef.Acc.Sg.Fem  Ähnlichkeit/N.Reg.Acc.Sg.Fem  habe/VFIN.Aux.3.Sg.Pres.Subj ./SYM.Pun.Sent </s><s> Ist/VFIN.Aux.3.Sg.Pres.Ind  dieser/PRO.Dem.Attr.Nom.Sg.Masc  Windhund/N.Reg.Nom.Sg.Masc  einem/ART.Indef.Dat.Sg.Masc  Windhunde/N.Reg.Dat.Sg.Masc  überhaupt/ADV ,/SYM.Pun.Comma  und/CONJ.Coord  ein/ART.Indef.Nom.Sg.Masc  Windhund/N.Reg.Nom.Sg.Masc  überhaupt/ADV  einem/ART.Indef.Dat.Sg.Masc"," Hunde/N.Reg.Dat.Sg.Masc"," ähnlich/ADJD.Pos ?/SYM.Pun.Sent </s><s> Eine/ART.Indef.Nom.Sg.Fem  lächerliche/ADJA.Pos.Nom.Sg.Fem  Frage/N.Reg.Nom.Sg.Fem !/SYM.Pun.Sent  --/CARD Findet/VFIN.Full.3.Sg.Pres.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  nun/ADV  aber/ADV  unter/APPR  den/ART.Def.Dat.Pl.Neut  bestimmten/ADJA.Pos.Dat.Pl.Neut  Subjekten/N.Reg.Dat.Pl.Neut  der/ART.Def.Gen.Sg.Fem  Fabel/N.Reg.Gen.Sg.Fem ,/SYM.Pun.Comma  und/CONJ.Coord  den/ART.Def.Dat.Pl.Neut"
"Abhandlungen über die Fabel","gesagt/VPP.Full.Psp  wird/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  was/PRO.Inter.Subst.Nom.Sg.Neut  ihnen/PRO.Pers.Subst.3.Dat.Pl.*  nicht/PART.Neg  eigentlich/ADV  zukäme/VFIN.Full.3.Sg.Past.Subj ./SYM.Pun.Sent </s><s> So/ADV  ist/VFIN.Aux.3.Sg.Pres.Ind  es/PRO.Pers.Subst.3.Nom.Sg.Neut  mit/APPR  mehrern/PRO.Indef.Subst.Dat.Pl.* :/SYM.Pun.Colon  Z./APPRART.Dat.Sg.Neut  E./N.Name.*.*.*  der/ART.Def.Gen.Pl.Masc  Vogelsteller/N.Reg.Gen.Pl.Masc  und/CONJ.Coord  die/ART.Def.Acc.Sg.Fem  Schlange/N.Reg.Acc.Sg.Fem  [/SYM.Paren.Left 3/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc"," Hund/N.Reg.Nom.Sg.Masc"," und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Koch/N.Name.Nom.Sg.Masc  [/SYM.Paren.Left 4/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Hund/N.Reg.Nom.Sg.Masc  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Gärtner/N.Reg.Nom.Sg.Masc  [/SYM.Paren.Left 5/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Schäfer/N.Name.Nom.Sg.Masc  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Wolf/N.Name.Nom.Sg.Masc  [/SYM.Paren.Left 6/CARD ]/SYM.Paren.Right :/SYM.Pun.Colon  lauter/PRO.Indef.Attr.*.*.*  Fabeln/N.Reg.Nom.Pl.Fem ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Fem  nach/APPR  der/ART.Def.Dat.Sg.Fem  gemeinen/ADJA.Pos.Dat.Sg.Fem"
"Abhandlungen über die Fabel","eigentlich/ADV  zukäme/VFIN.Full.3.Sg.Past.Subj ./SYM.Pun.Sent </s><s> So/ADV  ist/VFIN.Aux.3.Sg.Pres.Ind  es/PRO.Pers.Subst.3.Nom.Sg.Neut  mit/APPR  mehrern/PRO.Indef.Subst.Dat.Pl.* :/SYM.Pun.Colon  Z./APPRART.Dat.Sg.Neut  E./N.Name.*.*.*  der/ART.Def.Gen.Pl.Masc  Vogelsteller/N.Reg.Gen.Pl.Masc  und/CONJ.Coord  die/ART.Def.Acc.Sg.Fem  Schlange/N.Reg.Acc.Sg.Fem  [/SYM.Paren.Left 3/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Hund/N.Reg.Nom.Sg.Masc  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Koch/N.Name.Nom.Sg.Masc  [/SYM.Paren.Left 4/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc"," Hund/N.Reg.Nom.Sg.Masc"," und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Gärtner/N.Reg.Nom.Sg.Masc  [/SYM.Paren.Left 5/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Schäfer/N.Name.Nom.Sg.Masc  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Wolf/N.Name.Nom.Sg.Masc  [/SYM.Paren.Left 6/CARD ]/SYM.Paren.Right :/SYM.Pun.Colon  lauter/PRO.Indef.Attr.*.*.*  Fabeln/N.Reg.Nom.Pl.Fem ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Fem  nach/APPR  der/ART.Def.Dat.Sg.Fem  gemeinen/ADJA.Pos.Dat.Sg.Fem  Einteilung/N.Reg.Dat.Sg.Fem  unter/APPR  die/ART.Def.Acc.Pl.Masc  sittlichen/ADJA.Pos.Acc.Pl.Masc"
"Abhandlungen über die Fabel","das/ART.Def.Acc.Sg.Neut  Schaf/N.Reg.Acc.Sg.Neut  verwegen/ADJD.Pos ,/SYM.Pun.Comma  den/ART.Def.Acc.Sg.Masc  Wolf/N.Name.Acc.Sg.Masc  sanftmütig/ADJD.Pos ,/SYM.Pun.Comma  den/ART.Def.Acc.Sg.Masc  Esel/N.Reg.Acc.Sg.Masc  feurig/ADJD.Pos  vorstellen/VINF.Full ;/SYM.Pun.Sent  er/PRO.Pers.Subst.3.Nom.Sg.Masc  kann/VFIN.Mod.3.Sg.Pres.Ind  die/ART.Def.Acc.Pl.Fem  Tauben/N.Reg.Acc.Pl.Fem  als/APPR  Falken/N.Reg.Acc.Pl.Masc  brauchen/VINF.Full  und/CONJ.Coord  die/ART.Def.Acc.Pl.Masc"," Hunde/N.Reg.Acc.Pl.Masc"," von/APPR  den/ART.Def.Dat.Pl.Masc  Hasen/N.Reg.Dat.Pl.Masc  jagen/VINF.Full  lassen/VINF.Full ./SYM.Pun.Sent </s><s> Alles/PRO.Indef.Attr.Nom.Sg.Neut  dieses/PRO.Dem.Attr.Nom.Sg.Neut  kömmt/VFIN.Full.3.Sg.Pres.Ind  ihnen/PRO.Pers.Subst.3.Dat.Pl.*  nicht/PART.Neg  zu/PART.Verb ;/SYM.Pun.Sent  aber/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Dichter/N.Reg.Nom.Sg.Masc  macht/VFIN.Full.3.Sg.Pres.Ind  eine/ART.Indef.Acc.Sg.Fem  sittliche/ADJA.Pos.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  und/CONJ.Coord  er/PRO.Pers.Subst.3.Nom.Sg.Masc  darf/VFIN.Mod.3.Sg.Pres.Ind"
"Abhandlungen über die Fabel","erläutern/VINF.Full ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Pl.Fem  Fabeln/N.Reg.Nom.Pl.Fem ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Blinde/N.Reg.Nom.Sg.Masc  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Lahme/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  die/ART.Def.Nom.Pl.Masc  zwei/CARD  kämpfenden/ADJA.Pos.Nom.Pl.Masc  Hähne/N.Reg.Nom.Pl.Masc ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc  Vogelsteller/N.Reg.Nom.Sg.Masc  und/CONJ.Coord  die/ART.Def.Nom.Sg.Fem  Schlange/N.Reg.Nom.Sg.Fem ,/SYM.Pun.Comma  der/ART.Def.Nom.Sg.Masc"," Hund/N.Reg.Nom.Sg.Masc"," und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Gärtner/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  sind/VFIN.Aux.3.Pl.Pres.Ind  lauter/PRO.Indef.Attr.*.*.*  vernünftige/ADJA.Pos.Acc.Pl.Fem  Fabeln/N.Reg.Acc.Pl.Fem ,/SYM.Pun.Comma  obschon/CONJ.SubFin  bald/ADV  lauter/PRO.Indef.Attr.*.*.*  Tiere/N.Reg.Nom.Pl.Neut ,/SYM.Pun.Comma  bald/ADV  Menschen/N.Reg.Nom.Pl.Masc  und/CONJ.Coord  Tiere/N.Reg.Nom.Pl.Neut  darin/PROADV.Dem  vorkommen/VINF.Full ;/SYM.Pun.Sent"
"Abhandlungen über die Fabel","Klasse/N.Reg.Dat.Sg.Fem  man/PRO.Indef.Subst.Nom.Sg.*  diese/PRO.Dem.Attr.Acc.Sg.Fem  oder/CONJ.Coord  jene/PRO.Dem.Attr.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem  rechnen/VINF.Full  soll/VFIN.Mod.3.Sg.Pres.Ind ,/SYM.Pun.Comma  so/ADV  betrachte/VFIN.Full.1.Sg.Pres.Ind  man/PRO.Indef.Subst.Nom.Sg.*  die/ART.Def.Acc.Sg.Fem  schon/ADV  angeführte/ADJA.Pos.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem  von/APPR  dem/ART.Def.Dat.Sg.Masc  Gärtner/N.Reg.Dat.Sg.Masc  und/CONJ.Coord  seinem/PRO.Poss.Attr.Dat.Sg.Masc"," Hunde/N.Reg.Dat.Sg.Masc"," oder/CONJ.Coord  die/ART.Def.Acc.Sg.Fem  noch/ADV  bekanntere/ADJA.Comp.Acc.Sg.Fem  von/APPR  dem/ART.Def.Dat.Sg.Masc  Ackersmanne/N.Reg.Dat.Sg.Masc  und/CONJ.Coord  der/ART.Def.Dat.Sg.Fem  Schlange/N.Reg.Dat.Sg.Fem ;/SYM.Pun.Sent  aber/CONJ.Coord  nicht/PART.Neg  so/ADV ,/SYM.Pun.Comma  wie/PROADV.Inter  sie/PRO.Pers.Subst.3.Acc.Sg.Fem  Phaedrus/N.Name.Gen.Sg.*  erzählet/VFIN.Full.2.Pl.Pres.Subj ,/SYM.Pun.Comma  sondern/CONJ.Coord  wie/PROADV.Inter"
"Abhandlungen über die Fabel","mehr/PRO.Indef.Subst.*.*.*  über/APPR  das/ART.Def.Acc.Sg.Neut  Wahrscheinliche/N.Reg.Acc.Sg.Neut  herrscht/VFIN.Full.3.Sg.Pres.Ind  als/CONJ.Comp  in/APPR  jenen/PRO.Dem.Subst.Dat.Pl.* ./SYM.Pun.Sent </s><s> Folglich/ADV  würde/VFIN.Aux.3.Sg.Past.Subj  man/PRO.Indef.Subst.Nom.Sg.*  erst/ADV  ausmachen/VINF.Full  müssen/VINF.Mod ,/SYM.Pun.Comma  ob/CONJ.SubFin  die/ART.Def.Nom.Sg.Fem  Schlange/N.Reg.Nom.Sg.Fem  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc"," Hund/N.Reg.Nom.Sg.Masc"," hier/ADV  als/APPR  handelnde/ADJA.Pos.Acc.Pl.Fem  Personen/N.Reg.Acc.Pl.Fem  der/ART.Def.Gen.Sg.Fem  Fabel/N.Reg.Gen.Sg.Fem  anzusehen/VINF.Full.zu  wären/VFIN.Aux.3.Pl.Past.Subj  oder/CONJ.Coord  nicht/PART.Neg ,/SYM.Pun.Comma  ehe/CONJ.SubFin  man/PRO.Indef.Subst.Nom.Sg.*  der/ART.Def.Dat.Sg.Fem  Fabel/N.Reg.Dat.Sg.Fem  selbst/ADV  ihre/PRO.Poss.Attr.Acc.Sg.Fem  Klasse/N.Reg.Acc.Sg.Fem  anweisen/VINF.Full  könnte/VFIN.Mod.3.Sg.Past.Subj"
"Abhandlungen über die Fabel","Canis/N.Reg.Acc.Sg.Neut  per/FM  flumen/VINF.Full ,/SYM.Pun.Comma  carnem/FM  dum/FM  ferret/FM  natans/FM ,/SYM.Pun.Comma  Lympharum/FM  in/FM  speculo/FM  vidit/FM  simulacrum/FM  suum/FM  etc./ADV </s><s> Es/PRO.Pers.Subst.3.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  unmöglich/ADJD.Pos ;/SYM.Pun.Sent  wenn/CONJ.SubFin  der/ART.Def.Nom.Sg.Masc"," Hund/N.Reg.Nom.Sg.Masc"," durch/APPR  den/ART.Def.Acc.Sg.Masc  Fluß/N.Reg.Acc.Sg.Masc  geschwommen/VPP.Full.Psp  ist/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  so/ADV  hat/VFIN.Aux.3.Sg.Pres.Ind  er/PRO.Pers.Subst.3.Nom.Sg.Masc  das/ART.Def.Acc.Sg.Neut  Wasser/N.Reg.Acc.Sg.Neut  um/APPR  sich/PRO.Refl.Subst.3.Acc.Sg.*  her/APZR  notwendig/ADJD.Pos  so/ADV  getrübt/VPP.Full.Psp ,/SYM.Pun.Comma  daß/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  sein/PRO.Poss.Attr.Acc.Sg.Neut  Bildnis/N.Reg.Acc.Sg.Neut  unmöglich/ADJD.Pos"
"Abhandlungen über die Fabel","./SYM.Pun.Sent </s><s> Aphthonius/N.Name.Nom.Sg.*  bestimmt/VFIN.Full.3.Sg.Pres.Ind  diesen/PRO.Dem.Attr.Acc.Sg.Masc  Umstand/N.Reg.Acc.Sg.Masc  noch/ADV  behutsamer/ADJD.Comp :/SYM.Pun.Colon  KreaV/FM  arpasasa/FM  tiV/FM  kuwn/FM  par/FM  authn/CARD  dihei/CARD  thn/CARD  ocJhn/CARD ;/SYM.Pun.Sent  der/ART.Def.Nom.Sg.Masc"," Hund/N.Reg.Nom.Sg.Masc"," ging/VFIN.Full.3.Sg.Past.Ind  an/APPR  dem/ART.Def.Dat.Sg.Neut  Ufer/N.Reg.Dat.Sg.Neut  des/ART.Def.Gen.Sg.Masc  Flusses/N.Reg.Gen.Sg.Masc ./SYM.Pun.Sent </s><s> Fab/N.Name.*.*.* ./SYM.Pun.Sent  5./ADJA.Pos.Nom.Sg.Masc  Lib/N.Reg.Nom.Sg.Masc ./SYM.Pun.Sent </s><s> I/FM  Vacca/FM  et/FM  capella/FM ,/SYM.Pun.Comma  et/FM  patiens/FM  ovis/FM  injuriae/FM ,/SYM.Pun.Comma  Socii/FM  fuere/FM  cum/FM  leone/FM  in/FM  saltibus/FM"
"Berlin — Panorama einer Weltstadt","Schäden/N.Reg.Acc.Pl.Masc  der/ART.Def.Gen.Sg.Fem  Gesellschaft/N.Reg.Gen.Sg.Fem  zu/PART.Zu  heilen/VINF.Full ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Sg.Fem  alte/ADJA.Pos.Nom.Sg.Fem  Leier/N.Reg.Nom.Sg.Fem  von/APPR  den/ART.Def.Dat.Pl.Fem  Volksschulen/N.Reg.Dat.Pl.Fem  usw./ADV  ist/VFIN.Aux.3.Sg.Pres.Ind  ganz/ADV  verstimmt/VPP.Full.Psp ,/SYM.Pun.Comma  sie/PRO.Pers.Subst.3.Nom.Sg.Fem  lockt/VFIN.Full.3.Sg.Pres.Ind  keinen/PRO.Indef.Attr.Acc.Sg.Masc"," Hund/N.Reg.Acc.Sg.Masc"," mehr/ADV  vom/APPRART.Dat.Sg.Masc  Ofen/N.Reg.Dat.Sg.Masc ,/SYM.Pun.Comma  geschweige/CONJ.Coord  daß/CONJ.SubFin  sie/PRO.Pers.Subst.3.Nom.Sg.Fem  bezauberte/VFIN.Full.3.Sg.Past.Ind  und/CONJ.Coord  Menschen/N.Reg.Acc.Pl.Masc  zu/APPR  Menschen/N.Reg.Dat.Pl.Masc  machte/VFIN.Full.3.Sg.Past.Ind ./SYM.Pun.Sent </s><s> Der/ART.Def.Nom.Sg.Masc  Cholera/N.Reg.Nom.Sg.Fem  gegenüber/APPO.Dat  war/VFIN.Aux.3.Sg.Past.Ind  es/PRO.Pers.Subst.3.Nom.Sg.Neut  mit/APPR  aller/PRO.Indef.Attr.Dat.Sg.Fem"
