"academic use only"

"corpus","preloaded/gutenberg20_de"
"subcorpus","-"
"concordance size","142"
"query","Query:[lc=""kat"" | lemma_lc=""kat"" | ascii=""kat""]"
"Reference","Left","KWIC","Right"
"Die zärtlichen Schwestern","helfen/VINF.Full  und/CONJ.Coord  sie/PRO.Pers.Subst.3.Acc.Pl.*  nicht/PART.Neg  überreden/VINF.Full ?/SYM.Pun.Sent </s><s> Der/ART.Def.Nom.Sg.Masc  Magister/N.Reg.Nom.Sg.Masc ./SYM.Pun.Sent </s><s> Es/PRO.Pers.Subst.3.Nom.Sg.Neut  gibt/VFIN.Full.3.Sg.Pres.Ind  noch/ADV  gewisse/ADJA.Pos.Acc.Pl.Masc  witzige/ADJA.Pos.Acc.Pl.Masc  Beweise/N.Reg.Acc.Pl.Masc  zur/APPRART.Dat.Sg.Fem  Überredung/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Acc.Pl.Masc  man/PRO.Indef.Subst.Nom.Sg.*  Beweise/N.Reg.Acc.Pl.Masc"," kat/SYM.Other.Auth","''/SYM.Quot.Right  anJrwpon/FM  nennen/VINF.Full  könnte/VFIN.Mod.3.Sg.Past.Subj ./SYM.Pun.Sent </s><s> Dergleichen/ADV  sind/VFIN.Aux.3.Pl.Pres.Ind  bei/APPR  den/ART.Def.Dat.Pl.Masc  alten/ADJA.Pos.Dat.Pl.Masc  Rednern/N.Reg.Dat.Pl.Masc  die/ART.Def.Acc.Pl.Fem  Fabeln/N.Reg.Acc.Pl.Fem  und/CONJ.Coord  Allegorien/N.Reg.Acc.Pl.Fem  oder/CONJ.Coord  Parabeln/N.Reg.Acc.Pl.Fem ./SYM.Pun.Sent </s><s> Bei/APPR  Leuten/N.Reg.Dat.Pl.* ,/SYM.Pun.Comma"
"Laokoon: Oder, Über die Grenzen der Malerei und Poesie","wurden/VFIN.Aux.3.Pl.Past.Ind  verbrannt/VPP.Full.Psp ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left  Nun/ADV  lese/VFIN.Full.1.Sg.Pres.Ind  man/PRO.Indef.Subst.Nom.Sg.*  den/ART.Def.Acc.Sg.Masc  Homer/N.Name.Acc.Sg.Masc  selbst/ADV :/SYM.Pun.Colon </s><s> {/SYM.Other.XY 1/CARD ./SYM.Pun.Sent </s><s> Iliad/N.Name.Nom.Sg.Neut ./SYM.Pun.Sent </s><s> A./N.Name.Nom.Sg.Neut  v./APPR  44-53/CARD ./SYM.Pun.Sent </s><s> Tableaux/N.Name.Nom.Sg.*  tirés/N.Name.*.*.*  de/N.Name.*.*.*  l/N.Reg.*.*.* ''/SYM.Quot.Right Iliade/N.Reg.Nom.Sg.Fem  p./APPR  7/CARD ./SYM.Pun.Sent }/SYM.Other.XY </s><s> Bh/FM  de/FM"," kat/SYM.Other.Auth","''/SYM.Quot.Right  Oulumpoio/FM  karhnwn/FM  cwomenoV/FM  khr/FM ,/SYM.Pun.Comma  Tox/FM ''/SYM.Quot.Right  wmoisin/FM  ecwn/FM ,/SYM.Pun.Comma  amjhrejea/FM  te/FM  jaretrhn/VFIN.Full.3.Pl.Pres.Ind ./SYM.Pun.Sent </s><s> Eklagxan/N.Name.*.*.*  d/N.Name.*.*.* ''/SYM.Quot.Right  ar/FM ''/SYM.Quot.Right  oistoi/FM  ep/FM ''/SYM.Quot.Right  wmwn/FM  cwomenoio/FM"
"Laokoon: Oder, Über die Grenzen der Malerei und Poesie","durchstreifen/VFIN.Full.3.Pl.Pres.Ind  mit/APPR  ihr/PRO.Pers.Subst.3.Dat.Sg.Fem  Berge/N.Reg.Nom.Pl.Masc  und/CONJ.Coord  Wälder/N.Reg.Nom.Pl.Masc ,/SYM.Pun.Comma  sie/PRO.Pers.Subst.3.Nom.Pl.*  jagen/VFIN.Full.3.Pl.Pres.Ind ,/SYM.Pun.Comma  sie/PRO.Pers.Subst.3.Nom.Pl.*  spielen/VFIN.Full.3.Pl.Pres.Ind ,/SYM.Pun.Comma  sie/PRO.Pers.Subst.3.Nom.Pl.*  tanzen/VFIN.Full.3.Pl.Pres.Ind  (/SYM.Paren.Left Odyss/N.Name.Nom.Sg.* ./SYM.Pun.Sent </s><s> Z./APPRART.Dat.Sg.Neut  v./APPR  102-106/CARD )/SYM.Paren.Right :/SYM.Pun.Colon </s><s> Oih/N.Name.*.*.*  d/N.Name.*.*.* ''/SYM.Quot.Right  ArtemiV/N.Name.*.*.*  eisi/N.Name.*.*.*"," kat/SYM.Other.Auth","''/SYM.Quot.Right  oureoV/FM  ioceaira/FM  H/SYM.Other.XY  kata/FM  Thugeton/FM  perimhketon/FM ,/SYM.Pun.Comma  h/N.Reg.*.*.*  ErumanJon/FM  Terpomenh/FM  kaproisi/FM  kai/FM  wkeihV/FM  elajoisi/FM ·/FM  Th/FM  de/N.Name.*.*.*  J/N.Name.*.*.* ''/SYM.Quot.Right  ama/N.Name.*.*.*  Numjai/N.Name.*.*.*"
"Kritik der reinen Vernunft: Zweite hin und wieder verbesserte Auflage (1787)",",/SYM.Pun.Comma  da/CONJ.SubFin  diese/PRO.Dem.Attr.Nom.Sg.Fem  ebensowohl/N.Reg.Nom.Sg.Fem  dogmatisch/ADJD.Pos  sein/VINF.Aux  wollen/VFIN.Mod.3.Pl.Pres.Ind ,/SYM.Pun.Comma  obzwar/CONJ.SubFin  im/APPRART.Dat.Sg.Neut  Verneinen/N.Reg.Dat.Sg.Neut ,/SYM.Pun.Comma  als/CONJ.Comp  jene/PRO.Dem.Subst.Nom.Sg.Fem  im/APPRART.Dat.Sg.Neut  Bejahen/N.Reg.Dat.Sg.Neut :/SYM.Pun.Colon  so/ADV  findet/VFIN.Full.3.Sg.Pres.Ind  eine/ART.Indef.Nom.Sg.Fem  Rechtfertigung/N.Reg.Nom.Sg.Fem"," kat/SYM.Other.Auth","''/SYM.Quot.Right  anthropon/FM  statt/PART.Verb ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Sg.Fem  wider/APPR  alle/PRO.Indef.Attr.Acc.Sg.Fem  Beeinträchtigung/N.Reg.Acc.Sg.Fem  sichert/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  und/CONJ.Coord  einen/ART.Indef.Acc.Sg.Masc  titulierten/ADJA.Pos.Acc.Sg.Masc  Besitz/N.Reg.Acc.Sg.Masc  verschafft/VPP.Full.Psp ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  keine/PRO.Indef.Attr.Acc.Pl.Fem"
"Kritik der reinen Vernunft: Zweite hin und wieder verbesserte Auflage (1787)","sichert/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  und/CONJ.Coord  einen/ART.Indef.Acc.Sg.Masc  titulierten/ADJA.Pos.Acc.Sg.Masc  Besitz/N.Reg.Acc.Sg.Masc  verschafft/VPP.Full.Psp ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  keine/PRO.Indef.Attr.Acc.Pl.Fem  fremden/ADJA.Pos.Acc.Pl.Fem  Anmaßungen/N.Reg.Acc.Pl.Fem  scheuen/VINF.Full  darf/VFIN.Mod.3.Sg.Pres.Ind ,/SYM.Pun.Comma  ob/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  gleich/ADV  selbst/ADV"," kat/SYM.Other.Auth","''/SYM.Quot.Right  aletheian/ADJD.Pos  nicht/PART.Neg  hinreichend/ADJD.Pos  bewiesen/VPP.Full.Psp  werden/VINF.Aux  kann/VFIN.Mod.3.Sg.Pres.Ind ./SYM.Pun.Sent </s><s> Unter/APPR  dem/ART.Def.Dat.Sg.Masc  polemischen/ADJA.Pos.Dat.Sg.Masc  Gebrauche/N.Reg.Dat.Sg.Masc  der/ART.Def.Gen.Sg.Fem  reinen/ADJA.Pos.Gen.Sg.Fem  Vernunft/N.Reg.Gen.Sg.Fem  verstehe/VFIN.Full.1.Sg.Pres.Ind"
"Kritik der reinen Vernunft: (Erste Fassung 1781)",",/SYM.Pun.Comma  da/CONJ.SubFin  diese/PRO.Dem.Attr.Nom.Sg.Fem  ebensowohl/N.Reg.Nom.Sg.Fem  dogmatisch/ADJD.Pos  sein/VINF.Aux  wollen/VFIN.Mod.3.Pl.Pres.Ind ,/SYM.Pun.Comma  obzwar/CONJ.SubFin  im/APPRART.Dat.Sg.Neut  Verneinen/N.Reg.Dat.Sg.Neut ,/SYM.Pun.Comma  als/CONJ.Comp  jene/PRO.Dem.Subst.Nom.Sg.Fem  im/APPRART.Dat.Sg.Neut  Bejahen/N.Reg.Dat.Sg.Neut :/SYM.Pun.Colon  so/ADV  findet/VFIN.Full.3.Sg.Pres.Ind  eine/ART.Indef.Nom.Sg.Fem  Rechtfertigung/N.Reg.Nom.Sg.Fem"," kat/SYM.Other.Auth","''/SYM.Quot.Right  anthropon/FM  statt/PART.Verb ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Sg.Fem  wider/APPR  alle/PRO.Indef.Attr.Acc.Sg.Fem  Beeinträchtigung/N.Reg.Acc.Sg.Fem  sichert/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  und/CONJ.Coord  einen/ART.Indef.Acc.Sg.Masc  titulierten/ADJA.Pos.Acc.Sg.Masc  Besitz/N.Reg.Acc.Sg.Masc  verschafft/VPP.Full.Psp ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  keine/PRO.Indef.Attr.Acc.Pl.Fem"
"Kritik der reinen Vernunft: (Erste Fassung 1781)","sichert/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  und/CONJ.Coord  einen/ART.Indef.Acc.Sg.Masc  titulierten/ADJA.Pos.Acc.Sg.Masc  Besitz/N.Reg.Acc.Sg.Masc  verschafft/VPP.Full.Psp ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  keine/PRO.Indef.Attr.Acc.Pl.Fem  fremden/ADJA.Pos.Acc.Pl.Fem  Anmaßungen/N.Reg.Acc.Pl.Fem  scheuen/VINF.Full  darf/VFIN.Mod.3.Sg.Pres.Ind ,/SYM.Pun.Comma  ob/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  gleich/ADV  selbst/ADV"," kat/SYM.Other.Auth","''/SYM.Quot.Right  aledeian/ADJD.Pos  nicht/PART.Neg  hinreichend/ADJD.Pos  bewiesen/VPP.Full.Psp  werden/VINF.Aux  kann/VFIN.Mod.3.Sg.Pres.Ind ./SYM.Pun.Sent </s><s> Unter/APPR  dem/ART.Def.Dat.Sg.Masc  polemischen/ADJA.Pos.Dat.Sg.Masc  Gebrauche/N.Reg.Dat.Sg.Masc  der/ART.Def.Gen.Sg.Fem  reinen/ADJA.Pos.Gen.Sg.Fem  Vernunft/N.Reg.Gen.Sg.Fem  verstehe/VFIN.Full.1.Sg.Pres.Ind  ich/PRO.Pers.Subst.1.Nom.Sg.*"
"Handbuch der chemischen Technologie: Achte Auflage","des/ART.Def.Gen.Sg.Masc  Torfes/N.Reg.Gen.Sg.Masc ,/SYM.Pun.Comma  der/ART.Def.Gen.Sg.Fem  Braunkohle/N.Reg.Gen.Sg.Fem ,/SYM.Pun.Comma  des/ART.Def.Gen.Sg.Masc  Blätterschiefers/N.Reg.Gen.Sg.Masc ,/SYM.Pun.Comma  der/ART.Def.Gen.Sg.Fem  Bogheadkohle/N.Reg.Gen.Sg.Fem  u./CONJ.Coord  s./VIMP.Full.2.Sg  w./APPR  gewonnene/ADJA.Pos.Acc.Sg.Neut  Paraffin/N.Reg.Acc.Sg.Neut  diesen/PRO.Dem.Attr.Acc.Sg.Masc  Namen/N.Reg.Acc.Sg.Masc  [/SYM.Paren.Left Greek/N.Reg.Nom.Sg.Fem :/SYM.Pun.Colon"," kat/SYM.Other.Auth","''/SYM.Quot.Right  exochên/ADJD.Pos ]/SYM.Paren.Right  erhält/VFIN.Full.3.Sg.Pres.Ind ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Pl.Masc  Paraffinkerzen/N.Reg.Nom.Pl.Masc  werden/VFIN.Aux.3.Pl.Pres.Ind  genau/ADJD.Pos  nach/APPR  demselben/PRO.Dem.Attr.Dat.Sg.Neut  Verfahren/N.Reg.Dat.Sg.Neut  und/CONJ.Coord  mit/APPR  den/ART.Def.Dat.Pl.Masc  nämlichen/ADJA.Pos.Dat.Pl.Masc  Apparaten/N.Reg.Dat.Pl.Masc"
"Die Religion innerhalb der Grenzen der bloßen Vernunft: Text der Ausgabe 1793, mit Beifügung der Abweichungen der Ausgabe 1794","menschliche/ADJA.Pos.Acc.Sg.Fem  Weise/N.Reg.Acc.Sg.Fem  vorstellig/ADJD.Pos  zu/PART.Zu  machen/VINF.Full ;/SYM.Pun.Sent  ob/CONJ.SubFin  zwar/ADV  damit/PROADV.Dem  eben/ADV  nicht/PART.Neg  behauptet/VPP.Full.Psp  werden/VINF.Aux  will/VFIN.Mod.3.Sg.Pres.Ind ,/SYM.Pun.Comma  daß/CONJ.SubFin  es/PRO.Pers.Subst.3.Nom.Sg.Neut  an/APPR  sich/PRO.Refl.Subst.3.Dat.Sg.*  (/SYM.Paren.Left [/SYM.Paren.Left Griechisch/N.Reg.Nom.Sg.Neut :/SYM.Pun.Colon"," kat/SYM.Other.Auth","''/SYM.Quot.Right  alêtheian/ADJD.Pos ]/SYM.Paren.Right )/SYM.Paren.Right  auch/ADV  so/ADV  bewandt/ADJD.Pos  sei/VFIN.Aux.3.Sg.Pres.Subj ;/SYM.Pun.Sent  denn/CONJ.Coord  wir/PRO.Pers.Subst.1.Nom.Pl.*  bedürfen/VFIN.Full.1.Pl.Pres.Ind ,/SYM.Pun.Comma  um/CONJ.SubInf  uns/PRO.Pers.Subst.1.Acc.Pl.*  übersinnliche/ADJA.Pos.Nom.Pl.Fem  Beschaffenheiten/N.Reg.Nom.Pl.Fem  faßlich/ADJD.Pos  zu/PART.Zu  machen/VINF.Full ,/SYM.Pun.Comma  immer/ADV"
"Anthroposophie im Umriss: Entwurf eines Systems idealer Weltansicht auf realistischer Grundlage","sogenannten/ADJA.Pos.Acc.Pl.Fem  primären/ADJA.Pos.Acc.Pl.Fem  Eigenschaften/N.Reg.Acc.Pl.Fem  (/SYM.Paren.Left wie/CONJ.Comp  Gestalt/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  Ausdehnung/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  Grösse/N.Reg.Acc.Sg.Fem )/SYM.Paren.Right  und/CONJ.Coord  als/APPR  Kern/N.Reg.Nom.Sg.Masc  alles/PRO.Indef.Subst.Acc.Sg.Neut  wirklich/ADJD.Pos  Scheinenden/ADJA.Pos.Acc.Pl.Fem  und/CONJ.Coord"," kat/SYM.Other.Auth","''/SYM.Quot.Right  exochên/ADJD.Pos  Wirkliches/N.Reg.Nom.Sg.Neut  das/ART.Def.Nom.Sg.Neut  (/SYM.Paren.Left übrigens/ADV  unbekannte/ADJA.Pos.Nom.Sg.Neut )/SYM.Paren.Right  Substrat/N.Reg.Nom.Sg.Masc  des/ART.Def.Gen.Sg.Masc  Scheins/N.Reg.Gen.Sg.Masc  und/CONJ.Coord  Träger/N.Reg.Nom.Sg.Masc  der/ART.Def.Gen.Pl.Fem  Eigenschaften/N.Reg.Gen.Pl.Fem ,/SYM.Pun.Comma  die/ART.Def.Nom.Sg.Fem  sogenannte/ADJA.Pos.Nom.Sg.Fem"
