"academic use only"

"corpus","preloaded/gutenberg20_de"
"subcorpus","-"
"concordance size","14368"
"query","Query:[lc=""Meer"" | lemma_lc=""Meer"" | ascii=""Meer""]"
"Reference","Left","KWIC","Right"
"Abhandlungen über die Fabel","ein/ART.Indef.Acc.Sg.Neut  bloßes/ADJA.Pos.Acc.Sg.Neut  Bild/N.Reg.Acc.Sg.Neut ,/SYM.Pun.Comma  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Maler/N.Reg.Nom.Sg.Masc  hat/VFIN.Aux.3.Sg.Pres.Ind  keine/PRO.Indef.Attr.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  sondern/CONJ.Coord  ein/ART.Indef.Acc.Sg.Neut  Emblema/N.Reg.Acc.Sg.Neut  gemalt/VPP.Full.Psp ./SYM.Pun.Sent --/N.Reg.Nom.Sg.Masc ""/SYM.Quot.Left Ein/ART.Indef.Nom.Sg.Masc  Fischer/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  indem/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  sein/PRO.Poss.Attr.Acc.Sg.Neut  Netz/N.Reg.Acc.Sg.Neut  aus/APPR  dem/ART.Def.Dat.Sg.Neut"," Meere/N.Reg.Dat.Sg.Neut"," zog/VFIN.Full.3.Sg.Past.Ind ,/SYM.Pun.Comma  blieb/VFIN.Full.3.Sg.Past.Ind  der/ART.Def.Nom.Sg.Masc  größern/N.Reg.Nom.Sg.Masc  Fische/N.Reg.Acc.Pl.Masc ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Masc  sich/PRO.Refl.Subst.3.Acc.Pl.*  darin/PROADV.Dem  gefangen/VPP.Full.Psp  hatten/VFIN.Aux.3.Pl.Past.Ind ,/SYM.Pun.Comma  zwar/ADV  habhaft/ADJD.Pos ,/SYM.Pun.Comma  die/ART.Def.Acc.Pl.Fem  kleinsten/ADJA.Sup.Acc.Pl.Fem  aber/ADV  schlupften/VFIN.Full.3.Pl.Past.Ind  durch/APPR  das/ART.Def.Acc.Sg.Neut"
"Julius Caesar","schwaches/ADJA.Pos.Nom.Sg.Neut  Rohr/N.Reg.Nom.Sg.Neut ?/SYM.Pun.Sent </s><s> O/N.Name.*.*.*  Cicero/N.Name.Nom.Sg.Masc !/SYM.Pun.Sent </s><s> Ich/PRO.Pers.Subst.1.Nom.Sg.*  sah/VFIN.Full.1.Sg.Past.Ind  wohl/ADV  Stürme/N.Reg.Nom.Pl.Masc ,/SYM.Pun.Comma  wo/PROADV.Inter  der/ART.Def.Gen.Sg.Fem  Winde/N.Reg.Gen.Sg.Fem  Schelten/VFIN.Full.3.Pl.Pres.Ind  Den/ART.Def.Acc.Sg.Masc  knotgen/ADJA.Pos.Acc.Sg.Masc  Stamm/N.Reg.Acc.Sg.Masc  gespaltet/ADJD.Pos ,/SYM.Pun.Comma  und/CONJ.Coord  ich/PRO.Pers.Subst.1.Nom.Sg.*  sah/VFIN.Full.1.Sg.Past.Ind  Das/ART.Def.Acc.Sg.Neut  stolze/ADJA.Pos.Acc.Sg.Neut"," Meer/N.Reg.Acc.Sg.Neut"," anschwellen/VINF.Full ,/SYM.Pun.Comma  wüten/VFIN.Full.3.Pl.Pres.Ind ,/SYM.Pun.Comma  schäumen/VFIN.Full.3.Pl.Pres.Ind ,/SYM.Pun.Comma  Als/CONJ.SubFin  wollt/VFIN.Mod.2.Pl.Pres.Ind  es/PRO.Pers.Subst.3.Acc.Sg.Neut  an/APPR  die/ART.Def.Acc.Pl.Fem  drohnden/ADJA.Pos.Acc.Pl.Fem  Wolken/N.Reg.Acc.Pl.Fem  reichen/VINF.Full ;/SYM.Pun.Sent  Doch/CONJ.Coord  nie/ADV  bis/APPR  heute/ADV  nacht/ADV ,/SYM.Pun.Comma  noch/ADV  nie/ADV  bis/APPR  jetzt/ADV"
"Der Mann des Schicksals: Komödie in einem Akt","and/CONJ.Coord  segelt/VFIN.Full.3.Sg.Pres.Ind  so/ADV  bis/APPR  ans/APPRART.Acc.Sg.Neut  Ende/N.Reg.Acc.Sg.Neut  der/ART.Def.Gen.Sg.Fem  Welt/N.Reg.Gen.Sg.Fem ,/SYM.Pun.Comma  und/CONJ.Coord  bohrt/VFIN.Full.3.Sg.Pres.Ind  in/APPR  den/ART.Def.Acc.Sg.Masc  Grund/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  verbrennt/VFIN.Full.3.Sg.Pres.Ind  und/CONJ.Coord  zerstört/VFIN.Full.3.Sg.Pres.Ind  alles/PRO.Indef.Subst.Nom.Sg.Neut ,/SYM.Pun.Comma  was/PRO.Rel.Subst.Nom.Sg.Neut  ihm/PRO.Pers.Subst.3.Dat.Sg.Masc  die/ART.Def.Acc.Sg.Fem  Herrschaft/N.Reg.Acc.Sg.Fem  auf/APPR  dem/ART.Def.Dat.Sg.Neut"," Meere/N.Reg.Dat.Sg.Neut"," streitig/ADJD.Pos  macht/VFIN.Full.3.Sg.Pres.Ind ./SYM.Pun.Sent </s><s> Er/PRO.Pers.Subst.3.Nom.Sg.Masc  prahlt/VFIN.Full.3.Sg.Pres.Ind  damit/PROADV.Dem ,/SYM.Pun.Comma  daß/CONJ.SubFin  jeder/PRO.Indef.Attr.Nom.Sg.Masc  Sklave/N.Reg.Nom.Sg.Masc  frei/ADJD.Pos  werde/VFIN.Aux.3.Sg.Pres.Subj ,/SYM.Pun.Comma  sobald/CONJ.SubFin  sein/PRO.Poss.Attr.Nom.Sg.Masc  Fuß/N.Reg.Nom.Sg.Masc  britischen/ADJA.Pos.Acc.Sg.Masc  Boden/N.Reg.Acc.Sg.Masc  betritt/VFIN.Full.3.Sg.Pres.Ind ;/SYM.Pun.Sent  dabei/PROADV.Dem"
"Man kann nie wissen: Komödie in vier Akten","Kleid/N.Reg.Acc.Sg.Neut  zurecht/PART.Verb ,/SYM.Pun.Comma  blickt/VFIN.Full.3.Sg.Pres.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  neugierig/ADJD.Pos  um/PART.Verb  und/CONJ.Coord  gebt/VIMP.Full.2.Pl  an/APPR  das/ART.Def.Acc.Sg.Neut  Fenster/N.Reg.Acc.Sg.Neut ./SYM.Pun.Sent )/SYM.Paren.Right  Sie/PRO.Pers.Subst.3.Nom.Pl.*  haben/VFIN.Aux.3.Pl.Pres.Ind  aber/ADV  wirklich/ADJD.Pos  eine/ART.Indef.Acc.Sg.Fem  schöne/ADJA.Pos.Acc.Sg.Fem  Aussicht/N.Reg.Acc.Sg.Fem  auf/APPR  das/ART.Def.Acc.Sg.Neut"," Meer/N.Reg.Acc.Sg.Neut"," von/APPR  diesen/PRO.Dem.Attr.Dat.Pl.Neut  Zimmern/N.Reg.Dat.Pl.Neut  aus/PART.Verb !/SYM.Pun.Sent  --/CARD Sind/VFIN.Aux.3.Pl.Pres.Ind  sie/PRO.Pers.Subst.3.Nom.Pl.*  teuer/ADJD.Pos ?/SYM.Pun.Sent </s><s> (/SYM.Paren.Left Der/ART.Def.Nom.Sg.Masc  Zahnarzt/N.Reg.Nom.Sg.Masc ./SYM.Pun.Sent )/SYM.Paren.Right  Ja/PART.Ans ./SYM.Pun.Sent </s><s> (/SYM.Paren.Left Die/ART.Def.Nom.Sg.Fem  junge/ADJA.Pos.Nom.Sg.Fem  Dame/N.Reg.Nom.Sg.Fem ./SYM.Pun.Sent )/SYM.Paren.Right  Ihnen/PRO.Pers.Subst.3.Dat.Pl.*  gehört/VFIN.Full.3.Sg.Pres.Ind  aber/ADV  nicht/PART.Neg  das/ART.Def.Acc.Sg.Neut  ganze/ADJA.Pos.Acc.Sg.Neut  Haus/N.Reg.Acc.Sg.Neut ?/SYM.Pun.Sent </s>"
"Man kann nie wissen: Komödie in vier Akten","des/ART.Def.Gen.Sg.Neut  Etablissements/N.Reg.Gen.Sg.Neut ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  damit/PROADV.Dem  beschäftigt/VPP.Full.Psp  ist/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  auf/APPR  einem/ART.Indef.Dat.Sg.Masc  Frühstückstisch/N.Reg.Dat.Sg.Masc  Servietten/N.Reg.Acc.Pl.Fem  zu/PART.Zu  ordnen/VINF.Full ,/SYM.Pun.Comma  wendet/VFIN.Full.3.Sg.Pres.Ind  dem/ART.Def.Dat.Sg.Neut"," Meere/N.Reg.Dat.Sg.Neut"," den/ART.Def.Acc.Sg.Masc  Rücken/N.Reg.Acc.Sg.Masc  zu/PART.Verb  und/CONJ.Coord  hat/VFIN.Aux.3.Sg.Pres.Ind  das/ART.Def.Acc.Sg.Neut  Hotel/N.Reg.Acc.Sg.Neut  zu/APPR  seiner/PRO.Poss.Attr.Dat.Sg.Fem  Rechten/N.Reg.Dat.Sg.Fem ;/SYM.Pun.Sent  zu/APPR  seiner/PRO.Poss.Attr.Dat.Sg.Fem  Linken/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma  in/APPR  der/ART.Def.Dat.Sg.Fem  Ecke/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma  befindet/VFIN.Full.3.Sg.Pres.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  in/APPR  der/ART.Def.Dat.Sg.Fem  Nähe/N.Reg.Dat.Sg.Fem  des/ART.Def.Gen.Sg.Neut  Meeres/N.Reg.Gen.Sg.Neut  die/ART.Def.Acc.Sg.Fem"
"Man kann nie wissen: Komödie in vier Akten","dem/ART.Def.Dat.Sg.Neut  Meere/N.Reg.Dat.Sg.Neut  den/ART.Def.Acc.Sg.Masc  Rücken/N.Reg.Acc.Sg.Masc  zu/PART.Verb  und/CONJ.Coord  hat/VFIN.Aux.3.Sg.Pres.Ind  das/ART.Def.Acc.Sg.Neut  Hotel/N.Reg.Acc.Sg.Neut  zu/APPR  seiner/PRO.Poss.Attr.Dat.Sg.Fem  Rechten/N.Reg.Dat.Sg.Fem ;/SYM.Pun.Sent  zu/APPR  seiner/PRO.Poss.Attr.Dat.Sg.Fem  Linken/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma  in/APPR  der/ART.Def.Dat.Sg.Fem  Ecke/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma  befindet/VFIN.Full.3.Sg.Pres.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  in/APPR  der/ART.Def.Dat.Sg.Fem  Nähe/N.Reg.Dat.Sg.Fem  des/ART.Def.Gen.Sg.Neut"," Meeres/N.Reg.Gen.Sg.Neut"," die/ART.Def.Acc.Sg.Fem  Flucht/N.Reg.Acc.Sg.Fem  von/APPR  Stufen/N.Reg.Dat.Pl.Fem ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Fem  hinunter/ADV  zum/APPRART.Dat.Sg.Masc  Strand/N.Reg.Dat.Sg.Masc  führen/VFIN.Full.3.Pl.Pres.Ind ./SYM.Pun.Sent </s><s> Wenn/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  vor/APPR  sich/PRO.Refl.Subst.3.Dat.Sg.*  die/ART.Def.Acc.Sg.Fem  Terrasse/N.Reg.Acc.Sg.Fem  hinunterblickt/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  sieht/VFIN.Full.3.Sg.Pres.Ind  er/PRO.Pers.Subst.3.Nom.Sg.Masc"
"Man kann nie wissen: Komödie in vier Akten","Fähigkeiten/N.Reg.Dat.Pl.Fem  und/CONJ.Coord  geschäftlicher/ADJA.Pos.Dat.Sg.Fem  Verantwortung/N.Reg.Dat.Sg.Fem  gehalten/VPP.Full.Psp  werden/VINF.Aux ./SYM.Pun.Sent </s><s> Augenblicklich/ADJD.Pos  genießt/VFIN.Full.3.Sg.Pres.Ind  er/PRO.Pers.Subst.3.Nom.Sg.Masc  das/ART.Def.Acc.Sg.Neut  Wetter/N.Reg.Acc.Sg.Neut  und/CONJ.Coord  das/ART.Def.Acc.Sg.Neut"," Meer/N.Reg.Acc.Sg.Neut"," zu/APPR  sehr/ADV ,/SYM.Pun.Comma  um/CONJ.SubInf  die/ART.Def.Acc.Sg.Fem  Geduld/N.Reg.Acc.Sg.Fem  zu/PART.Zu  verlieren/VINF.Full ;/SYM.Pun.Sent  aber/CONJ.Coord  er/PRO.Pers.Subst.3.Nom.Sg.Masc  hat/VFIN.Aux.3.Sg.Pres.Ind  alles/PRO.Indef.Attr.Acc.Sg.Neut  Neue/N.Reg.Acc.Sg.Neut  in/APPR  seinen/PRO.Poss.Attr.Dat.Pl.Fem  Zeitungen/N.Reg.Dat.Pl.Fem  durchgelesen/VPP.Full.Psp  und/CONJ.Coord  ist/VFIN.Aux.3.Sg.Pres.Ind  gegenwärtig/ADJD.Pos  auf/APPR  die/ART.Def.Acc.Pl.Neut"
"Man kann nie wissen: Komödie in vier Akten","gedankt/VPP.Full.Psp  hat/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  etwas/PRO.Indef.Subst.*.*.Neut  von/APPR  seiner/PRO.Poss.Attr.Dat.Sg.Fem  Last/N.Reg.Dat.Sg.Fem  Philip/N.Name.Nom.Sg.Masc  an/PART.Verb ./SYM.Pun.Sent )/SYM.Paren.Right </s><s> (/SYM.Paren.Left Der/ART.Def.Nom.Sg.Masc  Kellner/N.Reg.Nom.Sg.Masc ./SYM.Pun.Sent )/SYM.Paren.Right  Die/ART.Def.Nom.Pl.Masc  Sonnenschirme/N.Reg.Nom.Pl.Masc  für/APPR  die/ART.Def.Acc.Pl.Fem  Damen/N.Reg.Acc.Pl.Fem ,/SYM.Pun.Comma  junger/ADJA.Pos.Nom.Sg.Masc  Herr/N.Reg.Nom.Sg.Masc ./SYM.Pun.Sent --/N.Reg.Nom.Sg.Masc Das/ART.Def.Nom.Sg.Neut"," Meer/N.Reg.Nom.Sg.Neut"," blendet/VFIN.Full.3.Sg.Pres.Ind  heute/ADV  stark/ADJD.Pos ,/SYM.Pun.Comma  das/PRO.Dem.Subst.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  sehr/ADV  schädlich/ADJD.Pos  für/APPR  den/ART.Def.Acc.Sg.Masc  Teint/N.Reg.Acc.Sg.Masc .../SYM.Pun.Cont </s><s> Ich/PRO.Pers.Subst.1.Nom.Sg.*  werde/VFIN.Aux.1.Sg.Pres.Ind  die/ART.Def.Acc.Sg.Fem  Strandstühle/N.Reg.Acc.Sg.Fem  selbst/ADV  hinuntertragen/VINF.Full ./SYM.Pun.Sent </s><s> (/SYM.Paren.Left"
"Man kann nie wissen: Komödie in vier Akten",":/SYM.Pun.Colon )/SYM.Paren.Right  Der/ART.Def.Nom.Sg.Masc  junge/ADJA.Pos.Nom.Sg.Masc  Herr/N.Reg.Nom.Sg.Masc  und/CONJ.Coord  das/ART.Def.Nom.Sg.Neut  gnädige/ADJA.Pos.Nom.Sg.Neut  Fräulein/N.Reg.Nom.Sg.Neut  sind/VFIN.Aux.3.Pl.Pres.Ind  eben/ADV  zurückgekommen/VPP.Full.Psp ,/SYM.Pun.Comma  gnädige/ADJA.Pos.Nom.Sg.Fem  Frau/N.Reg.Nom.Sg.Fem ./SYM.Pun.Sent </s><s> Sie/PRO.Pers.Subst.3.Nom.Pl.*  waren/VFIN.Aux.3.Pl.Past.Ind  in/APPR  einem/ART.Indef.Dat.Sg.Neut  Boote/N.Reg.Dat.Sg.Neut  auf/APPR  dem/ART.Def.Dat.Sg.Neut"," Meer/N.Reg.Dat.Sg.Neut","./SYM.Pun.Sent </s><s> Sehr/ADV  angenehm/ADJD.Pos  an/APPR  einem/ART.Indef.Dat.Sg.Masc  schönen/ADJA.Pos.Dat.Sg.Masc  Nachmittag/N.Reg.Dat.Sg.Masc  wie/CONJ.Comp  heute/ADV ,/SYM.Pun.Comma  sehr/ADV  kräftigend/ADJD.Pos ./SYM.Pun.Sent </s><s> (/SYM.Paren.Left Er/PRO.Pers.Subst.3.Nom.Sg.Masc  nimmt/VFIN.Full.3.Sg.Pres.Ind  nun/ADV  das/ART.Def.Acc.Sg.Neut  Teebrett/N.Reg.Acc.Sg.Neut  vom/APPRART.Dat.Sg.Masc  Mitteltisch/N.Reg.Dat.Sg.Masc"
"Man kann nie wissen: Komödie in vier Akten",")/SYM.Paren.Right </s><s> (/SYM.Paren.Left Dolly/N.Name.Nom.Sg.Fem  gierig/ADJD.Pos :/SYM.Pun.Colon )/SYM.Paren.Right  Oh/ITJ ,/SYM.Pun.Comma  gib/VIMP.Full.2.Sg  mir/PRO.Pers.Subst.1.Dat.Sg.*  schnell/ADJD.Pos  etwas/PRO.Indef.Attr.*.*.*  Tee/N.Reg.Acc.Sg.Masc !/SYM.Pun.Sent </s><s> (/SYM.Paren.Left Frau/N.Reg.Nom.Sg.Fem  Clandon/N.Name.Nom.Sg.Fem  schenkt/VFIN.Full.3.Sg.Pres.Ind  ihr/PRO.Pers.Subst.3.Dat.Sg.Fem  eine/ART.Indef.Acc.Sg.Fem  Tasse/N.Reg.Acc.Sg.Fem  ein/PART.Verb ./SYM.Pun.Sent )/SYM.Paren.Right  Wir/PRO.Pers.Subst.1.Nom.Pl.*  sind/VFIN.Aux.1.Pl.Pres.Ind  in/APPR  einem/ART.Indef.Dat.Sg.Neut  Boot/N.Reg.Dat.Sg.Neut  auf/APPR  dem/ART.Def.Dat.Sg.Neut"," Meer/N.Reg.Dat.Sg.Neut"," gewesen/VPP.Aux.Psp ./SYM.Pun.Sent </s><s> Dr./N.Reg.Nom.Sg.Masc  Valentine/N.Name.Nom.Sg.Fem  wird/VFIN.Aux.3.Sg.Pres.Ind  gleich/ADV  da/ADV  sein/VINF.Aux ./SYM.Pun.Sent </s><s> (/SYM.Paren.Left Philip/N.Name.Nom.Sg.Masc ./SYM.Pun.Sent )/SYM.Paren.Right  Er/PRO.Pers.Subst.3.Nom.Sg.Masc  ist/VFIN.Aux.3.Sg.Pres.Ind  nicht/PART.Neg  an/APPR  Seefahrten/N.Reg.Dat.Pl.Fem  gewöhnt/VPP.Full.Psp ./SYM.Pun.Sent --/CARD Wo/PROADV.Inter  ist/VFIN.Aux.3.Sg.Pres.Ind  Gloria/N.Reg.Nom.Sg.Neut ?/SYM.Pun.Sent </s><s> (/SYM.Paren.Left Frau/N.Reg.Nom.Sg.Fem"
