"academic use only"

"corpus","preloaded/gutenberg20_de"
"subcorpus","-"
"concordance size","34407"
"query","Query:[lc=""Wasser"" | lemma_lc=""Wasser"" | ascii=""Wasser""]"
"Reference","Left","KWIC","Right"
"Abhandlungen über die Fabel","es/PRO.Pers.Subst.3.Nom.Sg.Neut  zur/APPRART.Dat.Sg.Fem  Nachfrage/N.Reg.Dat.Sg.Fem  kömmt/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  soll/VFIN.Mod.3.Sg.Pres.Ind  es/PRO.Pers.Subst.3.Acc.Sg.Neut  der/ART.Def.Nom.Sg.Masc  gute/ADJA.Pos.Nom.Sg.Masc  Aesop/N.Name.Nom.Sg.Masc  getan/VPP.Full.Psp  haben/VINF.Aux ./SYM.Pun.Sent </s><s> Sich/PRO.Refl.Subst.3.Acc.Sg.*  zu/PART.Zu  rechtfertigen/VINF.Full ,/SYM.Pun.Comma  trinket/VFIN.Full.2.Pl.Pres.Subj  Aesop/N.Name.Nom.Sg.*  in/APPR  großer/ADJA.Pos.Dat.Sg.Fem  Menge/N.Reg.Dat.Sg.Fem  laues/ADJA.Pos.Acc.Sg.Neut"," Wasser/N.Reg.Acc.Sg.Neut",",/SYM.Pun.Comma  und/CONJ.Coord  seine/PRO.Poss.Attr.Nom.Pl.Masc  Mitknechte/N.Reg.Nom.Pl.Masc  müssen/VFIN.Mod.3.Pl.Pres.Ind  ein/ART.Indef.Acc.Sg.Neut  Gleiches/N.Reg.Acc.Sg.Neut  tun/VINF.Full ./SYM.Pun.Sent </s><s> Das/ART.Def.Nom.Sg.Neut  laue/ADJA.Pos.Nom.Sg.Neut  Wasser/N.Reg.Nom.Sg.Neut  hat/VFIN.Aux.3.Sg.Pres.Ind  seine/PRO.Poss.Attr.Acc.Sg.Fem  Wirkung/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  und/CONJ.Coord  die/ART.Def.Nom.Pl.Masc  Näscher/N.Reg.Nom.Pl.Masc  sind/VFIN.Aux.3.Pl.Pres.Ind  entdeckt/VPP.Full.Psp ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left ---/FM"
"Abhandlungen über die Fabel","zu/PART.Zu  rechtfertigen/VINF.Full ,/SYM.Pun.Comma  trinket/VFIN.Full.2.Pl.Pres.Subj  Aesop/N.Name.Nom.Sg.*  in/APPR  großer/ADJA.Pos.Dat.Sg.Fem  Menge/N.Reg.Dat.Sg.Fem  laues/ADJA.Pos.Acc.Sg.Neut  Wasser/N.Reg.Acc.Sg.Neut ,/SYM.Pun.Comma  und/CONJ.Coord  seine/PRO.Poss.Attr.Nom.Pl.Masc  Mitknechte/N.Reg.Nom.Pl.Masc  müssen/VFIN.Mod.3.Pl.Pres.Ind  ein/ART.Indef.Acc.Sg.Neut  Gleiches/N.Reg.Acc.Sg.Neut  tun/VINF.Full ./SYM.Pun.Sent </s><s> Das/ART.Def.Nom.Sg.Neut  laue/ADJA.Pos.Nom.Sg.Neut"," Wasser/N.Reg.Nom.Sg.Neut"," hat/VFIN.Aux.3.Sg.Pres.Ind  seine/PRO.Poss.Attr.Acc.Sg.Fem  Wirkung/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  und/CONJ.Coord  die/ART.Def.Nom.Pl.Masc  Näscher/N.Reg.Nom.Pl.Masc  sind/VFIN.Aux.3.Pl.Pres.Ind  entdeckt/VPP.Full.Psp ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left ---/FM  Was/PRO.Inter.Subst.Nom.Sg.Neut  lehrt/VFIN.Full.3.Sg.Pres.Ind  uns/PRO.Pers.Subst.1.Dat.Pl.*  dieses/PRO.Dem.Attr.Acc.Sg.Neut  Histörchen/N.Reg.Acc.Sg.Neut ?/SYM.Pun.Sent </s><s> Eigentlich/ADV  wohl/ADV  weiter/ADV  nichts/PRO.Indef.Subst.*.*.Neut"
"Abhandlungen über die Fabel",",/SYM.Pun.Comma  und/CONJ.Coord  die/ART.Def.Nom.Pl.Masc  Näscher/N.Reg.Nom.Pl.Masc  sind/VFIN.Aux.3.Pl.Pres.Ind  entdeckt/VPP.Full.Psp ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left ---/FM  Was/PRO.Inter.Subst.Nom.Sg.Neut  lehrt/VFIN.Full.3.Sg.Pres.Ind  uns/PRO.Pers.Subst.1.Dat.Pl.*  dieses/PRO.Dem.Attr.Acc.Sg.Neut  Histörchen/N.Reg.Acc.Sg.Neut ?/SYM.Pun.Sent </s><s> Eigentlich/ADV  wohl/ADV  weiter/ADV  nichts/PRO.Indef.Subst.*.*.Neut ,/SYM.Pun.Comma  als/CONJ.Comp  daß/CONJ.SubFin  laues/ADJA.Pos.Nom.Sg.Neut"," Wasser/N.Reg.Nom.Sg.Neut",",/SYM.Pun.Comma  in/APPR  großer/ADJA.Pos.Dat.Sg.Fem  Menge/N.Reg.Dat.Sg.Fem  getrunken/VPP.Full.Psp ,/SYM.Pun.Comma  zu/APPR  einem/ART.Indef.Dat.Sg.Neut  Brechmittel/N.Reg.Dat.Sg.Neut  werde/VFIN.Aux.3.Sg.Pres.Subj ?/SYM.Pun.Sent </s><s> Und/CONJ.Coord  doch/ADV  machte/VFIN.Full.3.Sg.Past.Ind  jener/PRO.Dem.Subst.Gen.Pl.*  persische/ADJA.Pos.Acc.Pl.Masc  Dichter/N.Reg.Acc.Pl.Masc  [/SYM.Paren.Left 12/CARD ]/SYM.Paren.Right  einen/ART.Indef.Acc.Sg.Masc  weit/ADJD.Pos"
"Abhandlungen über die Fabel","Gebrauch/N.Reg.Acc.Sg.Masc  davon/PART.Verb ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left Wenn/CONJ.SubFin  man/PRO.Indef.Subst.Nom.Sg.*  euch/PRO.Pers.Subst.2.Dat.Pl.* ""/SYM.Quot.Left ,/SYM.Pun.Comma  spricht/VFIN.Full.3.Sg.Pres.Ind  er/PRO.Pers.Subst.3.Nom.Sg.Masc ,/SYM.Pun.Comma  ""/SYM.Quot.Left an/APPR  jenem/PRO.Dem.Attr.Dat.Sg.Masc  großen/ADJA.Pos.Dat.Sg.Masc  Tage/N.Reg.Dat.Sg.Masc  des/ART.Def.Gen.Sg.Neut  Gerichts/N.Reg.Gen.Sg.Neut ,/SYM.Pun.Comma  von/APPR  diesem/PRO.Dem.Attr.Dat.Sg.Neut  warmen/ADJA.Pos.Dat.Sg.Neut  und/CONJ.Coord  siedenden/ADJA.Pos.Dat.Sg.Neut"," Wasser/N.Reg.Dat.Sg.Neut"," wird/VFIN.Aux.3.Sg.Pres.Ind  zu/ADV  trinken/VINF.Full  geben/VINF.Full :/SYM.Pun.Colon  alsdenn/ADJD.Pos  wird/VFIN.Aux.3.Sg.Pres.Ind  alles/PRO.Indef.Subst.Nom.Sg.Neut  an/APPR  den/ART.Def.Acc.Sg.Masc  Tag/N.Reg.Acc.Sg.Masc  kommen/VINF.Full ,/SYM.Pun.Comma  was/PRO.Inter.Subst.Nom.Sg.Neut  ihr/PRO.Pers.Subst.3.Dat.Sg.Fem  mit/APPR  so/ADV  vieler/PRO.Indef.Attr.Dat.Sg.Fem  Sorgfalt/N.Reg.Dat.Sg.Fem  vor/APPR  den/ART.Def.Dat.Pl.Neut  Augen/N.Reg.Dat.Pl.Neut  der/ART.Def.Gen.Sg.Fem  Welt/N.Reg.Gen.Sg.Fem"
"Abhandlungen über die Fabel","einem/ART.Indef.Dat.Sg.Neut  Bilde/N.Reg.Dat.Sg.Neut  kann/VFIN.Mod.1.Sg.Pres.Ind  ich/PRO.Pers.Subst.1.Nom.Sg.*  zwar/ADV  also/ADV  wohl/ADV  eine/ART.Indef.Acc.Sg.Fem  moralische/ADJA.Pos.Acc.Sg.Fem  Wahrheit/N.Reg.Acc.Sg.Fem  erkennen/VINF.Full ,/SYM.Pun.Comma  aber/CONJ.Coord  es/PRO.Pers.Subst.3.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  darum/PROADV.Dem  noch/ADV  keine/PRO.Indef.Attr.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem ./SYM.Pun.Sent </s><s> Der/ART.Def.Nom.Sg.Masc  mitten/ADV  im/APPRART.Dat.Sg.Neut"," Wasser/N.Reg.Dat.Sg.Neut"," dürstende/ADJA.Pos.Nom.Sg.Masc  Tantalus/N.Name.Nom.Sg.Masc  ist/VFIN.Aux.3.Sg.Pres.Ind  ein/ART.Indef.Nom.Sg.Neut  Bild/N.Reg.Nom.Sg.Neut ,/SYM.Pun.Comma  und/CONJ.Coord  ein/ART.Indef.Nom.Sg.Neut  Bild/N.Reg.Nom.Sg.Neut ,/SYM.Pun.Comma  das/PRO.Rel.Subst.Nom.Sg.Neut  mir/PRO.Pers.Subst.1.Dat.Sg.*  die/ART.Def.Nom.Sg.Fem  Möglichkeit/N.Reg.Nom.Sg.Fem  zeiget/VFIN.Full.2.Pl.Pres.Subj ,/SYM.Pun.Comma  man/PRO.Indef.Subst.Nom.Sg.*  könne/VFIN.Mod.3.Sg.Pres.Subj  auch/ADV  bei/APPR  dem/ART.Def.Dat.Sg.Masc  größten/ADJA.Sup.Dat.Sg.Masc"
"Abhandlungen über die Fabel","gefangen/VPP.Full.Psp  hatten/VFIN.Aux.3.Pl.Past.Ind ,/SYM.Pun.Comma  zwar/ADV  habhaft/ADJD.Pos ,/SYM.Pun.Comma  die/ART.Def.Acc.Pl.Fem  kleinsten/ADJA.Sup.Acc.Pl.Fem  aber/ADV  schlupften/VFIN.Full.3.Pl.Past.Ind  durch/APPR  das/ART.Def.Acc.Sg.Neut  Netz/N.Reg.Acc.Sg.Neut  durch/PART.Verb  und/CONJ.Coord  gelangten/VFIN.Full.3.Pl.Past.Ind  glücklich/ADJD.Pos  wieder/ADV  ins/APPRART.Acc.Sg.Neut"," Wasser/N.Reg.Acc.Sg.Neut","./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left --/FM Diese/PRO.Dem.Attr.Nom.Sg.Fem  Erzählung/N.Reg.Nom.Sg.Fem  befindet/VFIN.Full.3.Sg.Pres.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  unter/APPR  den/ART.Def.Dat.Pl.Fem  aesopischen/ADJA.Pos.Dat.Pl.Fem  Fabeln/N.Reg.Dat.Pl.Fem  [/SYM.Paren.Left 4/CARD ]/SYM.Paren.Right ,/SYM.Pun.Comma  aber/CONJ.Coord  sie/PRO.Pers.Subst.3.Nom.Sg.Fem  ist/VFIN.Aux.3.Sg.Pres.Ind  keine/PRO.Indef.Attr.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem ,/SYM.Pun.Comma  wenigstens/ADV  eine/ART.Indef.Nom.Sg.Fem  sehr/ADV"
"Abhandlungen über die Fabel","den/ART.Def.Dat.Pl.Fem  aesopischen/ADJA.Pos.Dat.Pl.Fem  Fabeln/N.Reg.Dat.Pl.Fem  des/ART.Def.Gen.Sg.Neut  Planudes/N.Reg.Gen.Sg.Neut  lieset/VFIN.Full.3.Sg.Pres.Ind  man/PRO.Indef.Subst.Nom.Sg.*  auch/ADV  folgendes/PRO.Indef.Subst.Nom.Sg.Neut :/SYM.Pun.Colon  ""/SYM.Quot.Left Der/ART.Def.Nom.Sg.Masc  Biber/N.Reg.Nom.Sg.Masc  ist/VFIN.Aux.3.Sg.Pres.Ind  ein/ART.Indef.Nom.Sg.Neut  vierfüßiges/ADJA.Pos.Nom.Sg.Neut  Tier/N.Reg.Nom.Sg.Neut ,/SYM.Pun.Comma  das/PRO.Rel.Subst.Nom.Sg.Neut  meistens/ADV  im/APPRART.Dat.Sg.Neut"," Wasser/N.Reg.Dat.Sg.Neut"," wohnet/VFIN.Full.2.Pl.Pres.Subj  und/CONJ.Coord  dessen/PRO.Rel.Attr.Gen.Sg.Masc  Geilen/N.Reg.Nom.Sg.Neut  in/APPR  der/ART.Def.Dat.Sg.Fem  Medizin/N.Reg.Dat.Sg.Fem  von/APPR  großem/ADJA.Pos.Dat.Sg.Masc  Nutzen/N.Reg.Dat.Sg.Masc  sind/VFIN.Aux.3.Pl.Pres.Ind ./SYM.Pun.Sent </s><s> Wenn/CONJ.SubFin  nun/ADV  dieses/PRO.Dem.Attr.Nom.Sg.Neut  Tier/N.Reg.Nom.Sg.Neut  von/APPR  den/ART.Def.Dat.Pl.Masc  Menschen/N.Reg.Dat.Pl.Masc  verfolgt/VPP.Full.Psp  wird/VFIN.Aux.3.Sg.Pres.Ind  und/CONJ.Coord"
"Abhandlungen über die Fabel","in/FM  speculo/FM  vidit/FM  simulacrum/FM  suum/FM  etc./ADV </s><s> Es/PRO.Pers.Subst.3.Nom.Sg.Neut  ist/VFIN.Aux.3.Sg.Pres.Ind  unmöglich/ADJD.Pos ;/SYM.Pun.Sent  wenn/CONJ.SubFin  der/ART.Def.Nom.Sg.Masc  Hund/N.Reg.Nom.Sg.Masc  durch/APPR  den/ART.Def.Acc.Sg.Masc  Fluß/N.Reg.Acc.Sg.Masc  geschwommen/VPP.Full.Psp  ist/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  so/ADV  hat/VFIN.Aux.3.Sg.Pres.Ind  er/PRO.Pers.Subst.3.Nom.Sg.Masc  das/ART.Def.Acc.Sg.Neut"," Wasser/N.Reg.Acc.Sg.Neut"," um/APPR  sich/PRO.Refl.Subst.3.Acc.Sg.*  her/APZR  notwendig/ADJD.Pos  so/ADV  getrübt/VPP.Full.Psp ,/SYM.Pun.Comma  daß/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  sein/PRO.Poss.Attr.Acc.Sg.Neut  Bildnis/N.Reg.Acc.Sg.Neut  unmöglich/ADJD.Pos  darin/PROADV.Dem  sehen/VINF.Full  können/VFIN.Mod.3.Pl.Pres.Ind ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Pl.Fem  griechischen/ADJA.Pos.Nom.Pl.Fem  Fabeln/N.Reg.Nom.Pl.Fem  sagen/VFIN.Full.3.Pl.Pres.Ind :/SYM.Pun.Colon"
"Berlin — Panorama einer Weltstadt","einer/ART.Indef.Dat.Sg.Fem  jahrhundertalten/ADJA.Pos.Dat.Sg.Fem  Kruste/N.Reg.Dat.Sg.Fem  von/APPR  Schmutz/N.Reg.Dat.Sg.Masc  und/CONJ.Coord  Ungeniertheit/N.Reg.Dat.Sg.Fem  bedeckt/VPP.Full.Psp  sind/VFIN.Aux.3.Pl.Pres.Ind ,/SYM.Pun.Comma  es/PRO.Pers.Subst.3.Nom.Sg.Neut  fehlen/VFIN.Full.3.Pl.Pres.Ind  ausdrückliche/ADJA.Pos.Nom.Pl.Neut  Gebote/N.Reg.Nom.Pl.Neut  an/APPR  die/ART.Def.Acc.Pl.Neut  im/APPRART.Dat.Sg.Neut"," Wasser/N.Reg.Dat.Sg.Neut"," arbeitenden/ADJA.Pos.Acc.Pl.Neut  Gewerbe/N.Reg.Acc.Pl.Neut ,/SYM.Pun.Comma  die/ART.Def.Acc.Sg.Fem  Unterlage/N.Reg.Acc.Sg.Fem  ihres/PRO.Poss.Attr.Gen.Sg.Neut  Tuns/N.Reg.Gen.Sg.Neut  und/CONJ.Coord  Treibens/N.Reg.Gen.Sg.Neut  dem/ART.Def.Dat.Sg.Neut  Auge/N.Reg.Dat.Sg.Neut  etwas/ADV  gefälliger/ADJD.Comp  zu/PART.Zu  machen/VINF.Full ./SYM.Pun.Sent </s><s> Selbst/ADV  der/ART.Def.Nom.Sg.Masc  Blick/N.Reg.Nom.Sg.Masc  vom/APPRART.Dat.Sg.Masc"
"Berlin — Panorama einer Weltstadt","Möglichkeiten/N.Reg.Dat.Pl.Fem  der/ART.Def.Gen.Sg.Fem  Nachtseite/N.Reg.Gen.Sg.Fem  des/ART.Def.Gen.Sg.Neut  Lebens/N.Reg.Gen.Sg.Neut ,/SYM.Pun.Comma  keine/PRO.Indef.Attr.Acc.Sg.Fem  Deutung/N.Reg.Acc.Sg.Fem  mehr/ADV ,/SYM.Pun.Comma  keine/PRO.Indef.Attr.Acc.Sg.Fem  Allegorie/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  sondern/CONJ.Coord  die/ART.Def.Nom.Sg.Fem  einfache/ADJA.Pos.Nom.Sg.Fem  Frage/N.Reg.Nom.Sg.Fem :/SYM.Pun.Colon  Kann/VFIN.Mod.3.Sg.Pres.Ind  Wein/N.Reg.Nom.Sg.Masc"," Wasser/N.Reg.Nom.Sg.Neut",",/SYM.Pun.Comma  kann/VFIN.Mod.3.Sg.Pres.Ind  Wasser/N.Reg.Acc.Sg.Neut  Wein/N.Reg.Nom.Sg.Masc  werden/VINF.Aux ?/SYM.Pun.Sent </s><s> Man/PRO.Indef.Subst.Nom.Sg.*  sage/VFIN.Full.3.Sg.Pres.Subj  nicht/PART.Neg ,/SYM.Pun.Comma  daß/CONJ.SubFin  sich/PRO.Refl.Subst.3.Acc.Sg.*  Bettina/N.Name.Nom.Sg.Fem  durch/APPR  diese/PRO.Dem.Attr.Acc.Sg.Fem  absolute/ADJA.Pos.Acc.Sg.Fem  Negation/N.Reg.Acc.Sg.Fem  des/ART.Def.Gen.Sg.Neut  Christentums/N.Reg.Gen.Sg.Neut  ganz/ADV  aus/APPR  den/ART.Def.Dat.Pl.Fem"
