"academic use only"

"corpus","preloaded/gaeilge2"
"subcorpus","-"
"concordance size","2553"
"query","Query:[lc=""cat"" | lemma_lc=""cat""]"
"Reference","Left","KWIC","Right"
"doc#7","cineál/Ncmsc  ar/Sp  bith/Ns-s  de/Sp  smacht/Ncmsc  ar/Sp  na/Td-p  páistí/Ncmpc  atá/Vmip---r  ag/Sp  fás/Nv  aníos/Rd  ,/Fi  agus/Cc  tá/Vmip  sin/Pd  olc/Ncmsc|Aqp  ag/Sp  na/Td-p  páistí/Ncmpc  ./Fe </s><s> An/Qq  dtuigeann/Vmip  tú/Pp2-s  .../F  má/Cs|Ncfsc  tchíonn/Ncmsc  tú/Pp2-s"," seanchat/Ncmsc"," ansin/Rl  le cois/Spc  na/Td-p  tineadh/Vmis0  agus/Cc  tá/Vmip  an/Td-s  puisín/Ncmsc  ag/Sp  gabháil/Nv  thart/Rd  ag/Sp  tabhairt/Nv  trioblóide/Ncfsg  dó/Pr3ms  ,/Fi  agus/Cc  tá/Vmip  sé/Pp3mss  ag/Sp  gabháil/Nv  dó/Pr3ms  ar/Sp  fad/Ncmsc  ,/Fi"
"doc#8","pháistín/Ncmsc  fionn/Aq-msc  ''/Fa  a/Q-r  deireadh/Vmih  Daidí/Ncmsc  liom/Pr1-s  ./Fe </s><s> (/F  Ibid/Npmsc  ./Fe </s><s> lch/Xx  154/Mn  )/F </s><s> Tá/Vmip  brón/Ncmsc  uirthi/Pr3fs  anois/Rg  gur/Q--s  ghéill/Vmis  sí/Pp3fss  dá/Spp-s  hathair/Ncmsc|Ncfsc  ./Fe </s><s> Níl/Vmip---n  aicí/Ncfpc  anois/Rg  ach/Cs  ''/Fa"," cat/Ncmsc"," agus/Cc  madra/Ncmsc  mar/Sp  chomhluadar/Ncmsc  ''/Fa  (/F  Ibid/Npmsc  ./Fe </s><s> lch/Xx  154/Mn  )/F  ./Fe </s><s> Ar/Sp  bhealach/Ncmsc  amháin/Aqp  nó/Cc  ar/Sp  bhealach/Ncmsc  eile/Dd  rinne/Vmis  a/Dp3ms  bheirt/Ncfsc  mhac/Ncmsc  iarracht/Ncfsc  dul/Ncmsc|Nv"
"doc#9","mbrionglóid/Ncfsc  úd/Ncmpg  ./Fe </s><s> B''/Ws-i  fhéidir/Ns-s  gur/Wpdi|Wsdi  foláireamh/Ncmsc  a/Q-r  bhí/Vmis  sa/Spa-s  mbrionglóid/Ncfsc  nár/Wsrin  chóir/Aqp|Ns-s|Ncmpc|Ncfsc  dom/Pr1-s  éalú/Nv|Ncmsc  ./Fe </s><s> Seans/Ncmsc  gurbh/Wsdi  é/Pp3ms  ;/Fi  ach/Cs  bhí/Vmis  mé/Pp1-s  faoi/Sp  bhois/Ncfsc  an/Td-s"," chait/Ncmsg"," chomh/Ri  mór/Aqp  sin/Dd  ag/Sp  an/Td-s  duairceas/Ncmsc  ag/Sp  an/Td-s  am/Ncmsc  nach/Qnr  raibh/Vmis---n  an/Td-s  dara/Mo  rogha/Ncfsc  agam/Pr1-s  ./Fe </s><s> Maidin/Ncfsc  amháin/Aqp  sula/Cs  raibh/Vmis---d  éinne/Ncmsc  ina/Spr  shuí/Vmsp---n  ,/Fi  phacáil/Nv|Vmis  mé/Pp1-s  mo/Dp1-s"
"doc#9","tóna/Ncfsg  bhí/Vmis  ceathracha/Ncfpc  punt/Ncmpg  agus/Cc  pas/Ncmsc  Éireannach/Npmpg  ./Fe </s><s> I/Mr  mo/Dp1-s  chroí/Ncmsc  bhí/Vmis  neart/Ncmsc  dóchais/Ncmsg  ./Fe </s><s> Níor/Qn-s  theastaigh/Vmis---n  uaim/Ncfsc|Pr1-s  ach/Cs  maide/Ncmsc  siúil/Ncmsg  agus/Cc"," cat/Ncmsc"," agus/Cc  bheadh/Vmc  mé/Pp1-s  cosúil/Aqp  le/Sp  Dick/Npmsc  Wittington/Npmsc  ar/Sp  a/Dp3ms  bhealach/Ncmsc  go/Sp  Londain/Npfsc  ./Fe </s><s> Cé/Cs  nár/Qnq|Qnrs  thuig/Vmis|Vmis---n  mé/Pp1-s  focal/Ncmsc  dá/Spp-p  dteanga/Ncfsc  thaitin/Vmis  na/Td-p  Francaigh/Npmsc"
"doc#9","a/Dp3ms  lámh/Ncfsc  tharam/Pr1-s  anonn/Rd  gur/Q--s|Wpdi|Wsdi  thosaigh/Ncmpc|Vmis  ag/Sp  cuimilt/Nv  mo/Dp1-s  ghlúine/Ncfpc  leis/Sp  an/Td-s  lámh/Ncfsc  eile/Dd  ./Fe </s><s> Bhí/Vmis  a/Dp3ms  shúile/Ncfpc  dúnta/Av  aige/Pr3ms  agus/Cc  é/Pp3ms  ag/Sp  crónán/Ncmsc  cosúil/Aq-msc  le/Sp"," cat/Ncmsc"," ./Fe </s><s> Piteog/Ncfsc  dar/Csw  fia/Ncmsc  agus/Cc  é/Pp3ms  ar/Sp  tí/Ncfsc|Ncmsc  éirí/Ncmsg  orm/Pr1-s  ./Fe </s><s> Rugas/Vmis1s  go/Ua  garbh/Aqp  air/Pr3ms  agus/Cc  chaitheas/Vmip---r  amach/Rd  an/Td-s  doras/Ncmsc  é/Pp3ms  ./Fe </s><s> Ní/Qn  raibh/Vmis---n  meáchan/Ncmsc  cleite/Ncmsg  ann/Pr3ms  ./Fe </s>"
"doc#9","garbha/Aq--pc  sa/Spa-s  tóir/Ncfsc  ar/Sp  an/Td-s  Éigipteach/Ncfsc  bocht/Aq-msc  agus/Cc  sceana/Vmsp  a/Q-r  bhí/Vmis  ag/Sp  gearradh/Nv  cáise/Ncfsg  nóiméad/Ncmsc|Ncmpg  roimhe/Pr3ms  sin/Dd  nochta/Ncmpv  dhó/Ncmsg|Nv  ./Fe </s><s> Nuair/Cs  a/Q-r  bhíonn/Vmig  an/Td-s"," cat/Ncmsc"," amuigh/Rd  bíonn/Vmig  an/Td-s  luch/Ncfsc  istigh/Rd  agus/Cc  thóg/Vmis  mise/Pp1-s-e  an/Td-s  fhaill/Ncfsc  seo/Dd  le/Sp  ruathar/Ncmsc  a/Sp  thabhairt/Nv  faoi/Sp  chuntar/Ncmsc  na/Td-p  nglasraí/Ncmpg  ./Fe </s><s> Chonaic/Vmis  mé/Pp1-s  an/Td-s"
"doc#10","<s> ''/Fa </s><s> ''/Fa  Níor/Ws-in  cheart/Aqp|Ncmsc  do/Sp  bheirt/Ncfsc  bhan/Ncfpg  ar/Sp  bith/Ns-s  a/Sp  bheith/Nv  in/Sp  aon/Mc  teach/Ncmsc  amháin/Aqp  ,/Fi  in/Sp  aon/Mc  chistin/Ncfsc  amháin/Aqp  go/Sp  háirid/Ncfsc  ./Fe </s><s> Throidfimís/Ncfsc  ar nós/Spc  na/Td-p"," gcat/Ncmsc"," ./Fe </s><s> ''/Fa </s><s> ''/Fa  Déanfaidh/Vmif  mé/Pp1-s  amach/Rd  liosta/Ncmsc  den/Spa-s  stuif/Ncmsc|Ncmsg  a/Q-r  theastódh/Vmc  le/Sp  haghaidh/Ncfsc  teachín/Ncmsg  a/Sp  thógáil/Nv  ,/Fi  sealla/Ncmsc  beag/Aq-msc  compoirteach/Ncfsc  ./Fe </s><s> B''/Ws-i"
"doc#10","a/Dp3-p|Dp3ms|Dp3fs  rinne/Ncfsg  é/Pp3ms  ./Fe </s><s> ''/Fa </s><s> ''/Fa  Bhfuil/Vmip---d  tú/Pp2-s  ar/Sp  an/Td-s  ól/Ncmsc  arís/Rg  ?/Fq </s><s> ''/Fa </s><s> ''/Fa  Mise/Pp1-s-e  ?/Fq </s><s> ''/Fa  Chuimhnigh/Vmis  sé/Pp3mss  nach/Qnr  raibh/Vmis---n  aon/Mc|Dq  mhaith/Ncfsc  é/Pp3ms  a/Sp  shéanadh/Nv  ./Fe </s><s> Scaoilfeadh/Vmc  Thatch/Npmsc  an/Td-s"," cat/Ncmpg"," as/Sp  an/Td-s  mála/Ncmsc  ./Fe </s><s> ''/Fa  Bhí/Vmis  mé/Pp1-s  maraithe/Av  le/Sp  slaghdán/Ncmsc  ./Fe </s><s> Thug/Vmis  mo/Dp1-s  mhamaí/Ncfsc  fuisce/Ncmsc  te/Aq-msc  dom/Pr1-s  ./Fe </s><s> Ansin/Rl  tháinig/Vmis  na/Td-p  lads/Ncmsc  ag/Sp  iarraidh/Nv  mé/Pp1-s  a/Sp  chur/Nv  ag/Sp  imirt/Nv"
"doc#11","./Fe </s><s> ''/Fa  Nach/Wp-qn|Wpsin|Wpdin|Wpdqn  iontach/Aqp  an/Td-s  deifir/Ncfsc  abhaile/Rd  a/Q-r  bhíonns/Vmig  ar/Sp  chuid/Ncfsc  acu/Pr3-p  ?/Fq </s><s> ''/Fa  ''/Fa  Tá/Vmip  sé/Pp3mss  ceart/Aq-msc  go/Ua  leor/Aqp  agatsa/Pr2-s-e  ,/Fi  a/Uv  Neidí/Npmsc  ,/Fi  nach/Wprin  bhfuil/Vmip---d  bean/Ncfsc  ná/Cc  clann/Ncfsc  ,/Fi"," cat/Ncmsc"," ná/Cc  madra/Ncmsc  agat/Pr2-s  ./Fe </s><s> ''/Fa  ''/Fa  Ní/Qn  fheicim/Vmip1s-n  go/Cs  bhfuil/Vmip---d  deabhadh/Ncmsc  ort/Pr2-s  féin/Px  ach/Cs  an/Td-s  oiread/Ns-s  ,/Fi  tar éis/Spc  chomh/Ri  mór/Aqp  is/Cc  atá/Vmip---r  do/Sp  chúram/Ncmsc  ./Fe </s><s> ''/Fa  ''/Fa  Nach/Wp-qn|Wpsin|Wpdin|Wpdqn  in/Sp  é/Pp3ms  an/Td-s"
"doc#14","seo/Dd  ?/Fq </s><s> ''/Fa </s><s> ''/Fa  Róbhog/Ncmsc  ar/Sp  fad/Ncmsc  a/Q-r  bhí/Vmis  siad/Pp3-ps  orthu/Pr3-p  ,/Fi  ''/Fa  arsa/Vmis  Tomás/Npmsc  ,/Fi  ''/Fa  ach/Cs  ar/Sp  ndóigh/Ncfsc  is/Wpri  ann/Pr3ms  a/Q-r  bhíodar/Vmis3p  ag/Sp  fanacht/Nv  ,/Fi  agus/Cc  ní/Qn  fhéadfaidís/Vmc-3p-n  chuile/Dq"," chat/Ncmsc"," a/Sp  ligean/Nv  as/Sp  an/Td-s  mála/Ncmsc  ./Fe </s><s> ''/Fa </s><s> ''/Fa  Cén/Pq--s  sórt/Ncmsc  cait/Ncmsg  atá/Vmip---r  i/Sp  gceist/Ncfsc  agat/Pr2-s  ?/Fq </s><s> ''/Fa </s><s> ''/Fa  Cat/Npmsc  fir/Ncmsg  ,/Fi  ''/Fa  a/Q-r  dúirt/Vmis  Micí/Npmsc  ./Fe </s><s> ''/Fa  Ghabhfadh/Vmc  an/Td-s  seanleaid/Ncmsc  sin/Dd  suas/Rd  ar/Sp"
