"academic use only"

"corpus","preloaded/gaeilge2"
"subcorpus","-"
"concordance size","19448"
"query","Query:[lc=""leabhar"" | lemma_lc=""leabhar""]"
"Reference","Left","KWIC","Right"
"doc#5","mBord/Ncmsc  Gobharnóirí/Ncmpg  ar/Sp  bhonn/Ncmsc  a/Dp3-p|Dp3fs  n-inniúlachta/Ncfsg  ,/Fi  fíorú/Nv  gach/Dq  bliain/Ncfsc  gur/Q--s|Wpdi|Wsdi  seoladh/Nv|Vmih|Vmis0|Ncmsc  oibríochtaí/Ncfpc|Ncmsc  an/Td-s  Bhainc/Ncmpc  agus/Cc  gur/Q--s  coimeádadh/Vmis0  a/Dp3ms"," leabhair/Ncmpc"," ar/Sp  mhodh/Ncmsc  cuí/Aqp  ./Fe </s><s> 2./Mn  Daingneoidh/Vmif  an/Td-s  Coiste/Ncmsc  go/Cs  bhfuil/Vmip---d  an/Td-s  clár/Ncmsc  comhardaithe/Av  agus/Cc  an/Td-s  cuntas/Ncmsc  sochair/Ncmsg  agus/Cc  dochair/Ncmsg  ag/Sp"
"doc#7","mar/Cs  a/Q-r  déarfá/Vmc-2s  ,/Fi  ag/Sp  piocadh/Vmis0  amach/Rd  an/Td-s  eolais/Ncmsg  ,/Fi  agus/Cc  dá/Cs  mbeadh/Vmc  fadhb/Ncfsc  ar/Sp  bith/Ns-s  acu/Pr3-p  ,/Fi  nó/Cc  rud/Ncmsc  ar/Sp  bith/Ns-s  nach/Qnr  raibh/Vmis---n  siad/Pp3-ps  ábalta/Aqp  a/Sp  fháil/Nv  -/Fb  as/Sp"," leabhar/Ncmsc"," nó/Cc  rud/Ncmsc  ar/Sp  bith/Ns-s  eile/Dd  -/Fb  thiocfadh/Vmc  an/Td-s  múinteoir/Ncmsc  isteach/Rd  ansin/Rl  agus/Cc  ,/Fi  mar/Cs  a/Q-r  déarfá/Vmc-2s  ,/Fi  réiteodh/Vmc  sé/Pp3mss  .../F  dhéanfadh/Vmc  sé/Pp3mss  molta/Av  air/Pr3ms  agus/Cc"
"doc#7",",/Fi  mar/Cs  a/Q-r  déarfá/Vmc-2s  ,/Fi  réiteodh/Vmc  sé/Pp3mss  .../F  dhéanfadh/Vmc  sé/Pp3mss  molta/Av  air/Pr3ms  agus/Cc  réiteodh/Vmc  sé/Pp3mss  an/Td-s  fhadhb/Ncfsc  sin/Dd  agus/Cc  bhí/Vmis  callán/Ncmsc  agus/Cc  .../F </s><s> So/Pd  ,/Fi  bheadh/Vmc"," leabhair/Ncmpc"," acu/Pr3-p  ,/Fi  mar/Cs  a/Q-r  déarfá/Vmc-2s  ,/Fi  agus/Cc  rud/Ncmsc  ar/Sp  bith/Ns-s  nach/Qnr  dtuigfeadh/Vmc  siad/Pp3-ps  chuirfeadh/Vmc  siad/Pp3-ps  ceist/Ncfsc  ort/Pr2-s  ../Xx  ?/Fq </s><s> Ó/I  ,/Fi  bheadh/Vmc  leabharlann/Ncfsc  sa/Spa-s  scoil/Ncfsc  ,/Fi  an/Qq"
"doc#7","ar/Sp  pháiste/Ncmsc  litriú/Ncmsc|Nv  .../F  focal/Ncmsc  a/Sp  litriú/Nv  ,/Fi  agus/Cc  an/Td-s  litriú/Ncmsc  a/Sp  fhoghlaim/Nv  ar/Sp  a/Dp3-p  dteanga/Ncfsc  ,/Fi  go/Cs  dtiocfadh/Vmc  leofa/Nv--g  a/Sp  ghabháil/Nv  go dtí/Spc"," leabhair/Ncmsg"," agus/Cc  .../F </s><s> Ar/Qq-s|Q-p|Q-is  mheas/Vmis  sé/Pp3mss  gur/Wpdi|Wsdi  sin/Pd  .../F  cur/Nv|Ncmsc  amú/Rg  ama/Ncmsg  a/Q-r  bhí/Vmis  ansin/Rl  ?/Fq </s><s> No/Npmsc  ,/Fi  mheas/Vmis  seisean/Pp3msse  gur/Wpdi|Wsdi  .../F  de thairbhe/Spc  an/Td-s  pháiste/Ncmsg  fhéin/Px  ,/Fi  gur/Wpdi|Wsdi  seo/Pd  an/Td-s"
"doc#7","ag/Sp  an/Td-s  pháiste/Ncmsg  ,/Fi  gan/Sp  brú/Nv  ar/Sp  bith/Ns-s  a/Sp  chur/Nv  air/Pr3ms  ./Fe </s><s> Ach/Cs  dá/Cs  mbeadh/Vmc  sé/Pp3mss  á/Spp-s  iarraidh/Nv  -/Fb  é/Pp3ms  fhéin/Px  é/Pp3ms  a/Sp  fháil/Nv  amach/Rd  .../F  é/Pp3ms  fhéin/Px  a/Sp  fháil/Nv  amach/Rd  as/Sp"," leabhar/Ncmsc"," ./Fe </s><s> Ach/Cs  ,/Fi  an/Qq  dtuigeann/Vmip  tú/Pp2-s  ,/Fi  tá/Vmip  sin/Pd  alright/Ncfsc  go/Cs  mbeidh/Vmif  siad/Pp3-ps  .../F  go/Cs  dtiocfaidh/Vmif  scrúdú/Ncmsc  nó/Cc  a/Dp3ms  leithéid/Ncfsc  sin/Dd  ,/Fi  agus/Cc  go/Cs  mbeadh/Vmc  páistí/Ncmpc"
"doc#7","scrúdú/Ncmsc  nó/Cc  a/Dp3ms  leithéid/Ncfsc  sin/Dd  ,/Fi  agus/Cc  go/Cs  mbeadh/Vmc  páistí/Ncmpc  istigh/Rd  agus/Cc  caidé/Ncfsc  an/Td-s  dóigh/Ncfsc  a/Q-i  mbeadh/Vmc  siad/Pp3-ps  ábalta/Aqp  imeacht/Ncmsc|Nv  go dtí/Spc"," leabhar/Ncmpg"," achan/Ncmsc  uile/Ns-s|Dq  am/Ncmsc  nuair/Cs  a/Q-r  bheadh/Vmc  siad/Pp3-ps  ag/Sp  freagairt/Nv  páipéar/Ncmpg|Ncmsc  ceisteannaí/Ncmsc  ./Fe </s><s> Nach/Qnq|Qnr  gcaithfeadh/Vmc  an/Td-s  litriú/Ncmsc  a/Sp  bheith/Nv  ina/Spp-p  gceann/Ncmsc  ,/Fi  an/Td-s"
"doc#7",",/Fi  tá/Vmip  go/Ua  leor/Aqp  píosaí/Ncmpg|Ncmpc  ceoil/Ncmsg  nár/Qnrs  chuala/Vmis  mé/Pp1-s  go/Ua  fóill/Aqp  ar/Wpsi|Wssi|Ws-q|Wsdq  mhaith/Vmis|Aqp|Ncfsc  liom/Pr1-s  a/Sp  chluinstin/Nv  ./Fe </s><s> Deir/Vmip  siad/Pp3-ps  go/Cs  bhfuil/Vmip---d  in/Sp  achan/Ncmsc  duine/Ncmsg  ,/Fi  go/Cs  bhfuil/Vmip---d"," leabhar/Ncmsc"," ag/Sp  iarraidh/Nv  a/Sp  theacht/Nv  amach/Rd  but/Ncmsc  níl/Npfsc  a/Dp3ms  fhios/Ncmsc  agamsa/Pr1-s-e  an/Qq  dtáinig/Vmis  mise/Pp1-s-e  ar/Sp  an/Td-s  leabhar/Ncmsc  sin/Dd  go/Ua  fóill/Aqp  ./Fe </s><s> Is/Wp-i  dóiche/Ncfsc  gur/Wpdi|Wsdi  mhaith/Vmis|Aqp|Ncfsc  leat/Pr2-s"
"doc#7","siad/Pp3-ps  go/Cs  bhfuil/Vmip---d  in/Sp  achan/Ncmsc  duine/Ncmsg  ,/Fi  go/Cs  bhfuil/Vmip---d  leabhar/Ncmsc  ag/Sp  iarraidh/Nv  a/Sp  theacht/Nv  amach/Rd  but/Ncmsc  níl/Npfsc  a/Dp3ms  fhios/Ncmsc  agamsa/Pr1-s-e  an/Qq  dtáinig/Vmis  mise/Pp1-s-e  ar/Sp  an/Td-s"," leabhar/Ncmsc"," sin/Dd  go/Ua  fóill/Aqp  ./Fe </s><s> Is/Wp-i  dóiche/Ncfsc  gur/Wpdi|Wsdi  mhaith/Vmis|Aqp|Ncfsc  leat/Pr2-s  áiteachaí/Ncfpc|Ncmsc  áirithe/Av  a/Sp  fheiceáil/Nv  agus/Cc  gur/Wpdi|Wsdi  mhaith/Vmis|Aqp|Ncfsc  leat/Pr2-s  daoine/Ncmpc  áirithe/Av  a/Sp  chastáil/Nv  ort/Pr2-s"
"doc#7","dhá/Spp  bhliain/Ncfsc  go/Sp  leith/Ncfsc  cuimhne/Ncfsg  ,/Fi  an/Qq  bhfuil/Vmip---d  a/Dp3ms  fhios/Ncmsc  agat/Pr2-s  ./Fe </s><s> Agus/Cc  tháinig/Vmis  Tony/Npmsc  McHugh/Npmsc  agam/Pr1-s  ansin/Rl  lá/Ncmsc  amháin/Aqp  tá/Vmip  gairid/Aqp  ó/Sp  shin/Pd  agus/Cc"," leabhar/Ncmsc"," leis/Pr3ms|Sp  fá/Pr3ms  Ghabhla/Npfsg  ,/Fi  agus/Cc  bhí/Vmis  mé/Pp1-s  fhéin/Px  ag/Sp  amharc/Nv  siar/Rd  fríd/Ncfsc  an/Td-s  leabhar/Ncmpg  agus/Cc  ,/Fi  ''/Fa  a/Dp3ms  Dhia/Ncmsc  ''/Fa  ,/Fi  a/Q-r  dúirt/Vmis  mise/Pp1-s-e  ,/Fi  ''s/Cc  in/Sp  pictiúr/Ncmsc  Andy/Y  Éamoinn/Vmih1s"
"doc#7","Tony/Npmsc  McHugh/Npmsc  agam/Pr1-s  ansin/Rl  lá/Ncmsc  amháin/Aqp  tá/Vmip  gairid/Aqp  ó/Sp  shin/Pd  agus/Cc  leabhar/Ncmsc  leis/Pr3ms|Sp  fá/Pr3ms  Ghabhla/Npfsg  ,/Fi  agus/Cc  bhí/Vmis  mé/Pp1-s  fhéin/Px  ag/Sp  amharc/Nv  siar/Rd  fríd/Ncfsc  an/Td-s"," leabhar/Ncmpg"," agus/Cc  ,/Fi  ''/Fa  a/Dp3ms  Dhia/Ncmsc  ''/Fa  ,/Fi  a/Q-r  dúirt/Vmis  mise/Pp1-s-e  ,/Fi  ''s/Cc  in/Sp  pictiúr/Ncmsc  Andy/Y  Éamoinn/Vmih1s  Bháin/Npfsg  ''/Fa  ./Fe </s><s> Chonaic/Vmis  mé/Pp1-s  an/Td-s  pictiúr/Ncmsc  agus/Cc  d''/Q  aithin/Vmis  mé/Pp1-s  é/Pp3ms  ,/Fi  d''/Q  aithin/Vmis  mé/Pp1-s  é/Pp3ms  ,/Fi"
