"academic use only"

"corpus","preloaded/gaeilge2"
"subcorpus","-"
"concordance size","2916"
"query","Query:[lc=""madra"" | lemma_lc=""madra""]"
"Reference","Left","KWIC","Right"
"doc#8","fionn/Aq-msc  ''/Fa  a/Q-r  deireadh/Vmih  Daidí/Ncmsc  liom/Pr1-s  ./Fe </s><s> (/F  Ibid/Npmsc  ./Fe </s><s> lch/Xx  154/Mn  )/F </s><s> Tá/Vmip  brón/Ncmsc  uirthi/Pr3fs  anois/Rg  gur/Q--s  ghéill/Vmis  sí/Pp3fss  dá/Spp-s  hathair/Ncmsc|Ncfsc  ./Fe </s><s> Níl/Vmip---n  aicí/Ncfpc  anois/Rg  ach/Cs  ''/Fa  cat/Ncmsc  agus/Cc"," madra/Ncmsc"," mar/Sp  chomhluadar/Ncmsc  ''/Fa  (/F  Ibid/Npmsc  ./Fe </s><s> lch/Xx  154/Mn  )/F  ./Fe </s><s> Ar/Sp  bhealach/Ncmsc  amháin/Aqp  nó/Cc  ar/Sp  bhealach/Ncmsc  eile/Dd  rinne/Vmis  a/Dp3ms  bheirt/Ncfsc  mhac/Ncmsc  iarracht/Ncfsc  dul/Ncmsc|Nv  in aghaidh/Spc"
"doc#9","arís/Rg  tráthnóna/Ncmsc  agus/Cc  gan/Sp  ach/Cs  cupán/Ncmsc  tae/Ncmsg  agus/Cc  slis/Ncfsc  amháin/Aqp  aráin/Ncmsg|Ncmpc  le/Sp  fáil/Nv  acu/Pr3-p  ./Fe </s><s> I/Mr  rith/Ncmsc  an/Td-s  ama/Ncmsg  seo/Dd  go/Ua  léir/Aqp  tugadh/Vmis0  íde/Npfsc  na/Td-s  muc/Ncfpg  is/Wpri  na/Td-p"," madraí/Ncmpc"," dóibh/Pr3-p  ag/Sp  na/Td-p  póilíní/Ncmpc  rúnda/Aqp  ./Fe </s><s> Bhí/Vmis  an/Td-s  saol/Ncmsc  chomh/Ri  dona/Aqp  sin/Dd  go/Q-s  raibh/Vmis---d|Vmsp  siad/Pp3-ps  ag/Sp  guí/Nv  go/Cs  seolfaí/Vmc-0  amach/Rd  ar/Sp  láthair/Ncfsc  an/Td-s  chatha/Ncmsg  iad/Pp3-p  mar/Cs  b''/Ws-i"
"doc#9","céard/Pq  a/Q-r  bhí/Vmis  an/Td-s  tAlbanach/Ncmsc  ag/Sp  rá/Nv  ó/Sp  cheann/Ncmsc  thall/Rd  na/Td-s  páirce/Ncfsg  ./Fe </s><s> Seo/Pd  anall/Rd  an/Td-s  t-innealtóir/Ncmsc  agus/Cc  cuthach/Ncmsc  air/Pr3ms  gur/Q--s  thug/Vmis  íde/Npfsc  na/Td-s  muc/Ncfpg  is/Wpri  na/Td-p"," madraí/Ncmpc"," do/Sp  Corkie/Npmsc  ./Fe </s><s> Ansin/Rl  chuir/Vmis  sé/Pp3mss  uaidh/Pr3ms  é/Pp3ms  mar/Cs  a/Q-r  chuirfeá/Vmc-2s  coileán/Ncmsc  gadhair/Ncmsg  ./Fe </s><s> Dá/Cs  dtarlódh/Vmc  a/Dp3ms  leithéid/Ncfsc  seo/Dd  i/Sp  dtionscail/Ncmpc  ar/Sp  bith/Ns-s  eile/Dd"
"doc#9","<s> Ní/Wp-in  hé/Pp3ms  sin/Dd  le/Sp  rá/Nv  go/Q-s  raibh/Vmis---d|Vmsp  siad/Pp3-ps  siléigeach/Ncfsc  ./Fe </s><s> Ba/Ws-i  leor/Aqp  féachaint/Ncfsc|Nv  ar/Wpsi|Wssi|Ws-q|Wsdq  a/Dp3ms  longchlóis/Ncmpc  ,/Fi  a/Dp3-p  gcuid/Ncfsc  bóithre/Ncmpg  ,/Fi  go/Sp  fiú/Ns-s  mar/Cs  a/Q-i  n-oilidís/Vmih3p  a/Dp3-p  gcuid/Ncfsc"," madraí/Ncmpg"," ,/Fi  le/Sp  nach/Qnr  mbeadh/Vmc  siad/Pp3-ps  ag/Sp  cac/Nv  go/Ua  poiblí/Aqp  ,/Fi  le/Sp  bréag/Ncfsc  a/Sp  thabhairt/Nv  don/Spa-s  tuairim/Ncfsc  sin/Dd  ./Fe </s><s> Ba/Ws-i  é/Pp3ms  a/Sp  meas/Nv  ar/Sp  an/Td-s  reacht/Ncmsc  an/Td-s  tréith/Ncfsc  ba/Wsri  shondasaí/Ncmsc|Ncmpc"
"doc#9","i/Sp  bpub/Ncmsc  Gearmánach/Npmsc  ./Fe </s><s> I/Mr  gcúinne/Ncmsc  thall/Rd  uainn/Pr1-p  bhí/Vmis  firín/Ncmsc  beag/Aq-msc  glibíneach/Ncfsc  le/Sp  gruaig/Ncfsc  fhada/Ncmpv  oláilte/Av  ag/Sp  tabhairt/Nv  íde/Npf-g|Npfsc  na/Td-s  muc/Ncfsc  is/Wpri  na/Td-p"," madraí/Ncmpc"," d''/Sp  fhathach/Ncmsc  de/Sp  Ghearmánach/Ncmsc  mór/Aq-msc  fionn/Aq-msc  a/Q-i  raibh/Vmis---d  a/Dp3ms  sháith/Ncfsc  iontais/Ncmsg  air/Pr3ms  ./Fe </s><s> Mhair/Vmis  an/Td-s  íde/Npfsc  béil/Ncmsg  seo/Dd  deich/Ncmsc  nóiméad/Ncmpg  ar/Sp  a/Dp3ms  laghad/Ncmsc  gan/Sp"
"doc#9","i/Sp  do/Dp2-s  thimpeall/Ncmsc  ,/Fi  briseadh/Nv|Vmis0|Ncmsc  buidéil/Ncmsg|Ncmpc  agus/Cc  scaoileadh/Ncmsc|Vmis0|Vmih|Nv  lacht/Ncmsc  agus/Cc  tháinig/Vmis  an/Td-s  meister/Ncfsc  ina/Spp-s  áibhirseoir/Ncmsc  gur/Q--s  thug/Vmis  íde/Npfsc  na/Td-s  muc/Ncfpg  is/Wpri  na/Td-p"," madraí/Ncmpc"," dhuit/Pr2-s  i/Sp  nguth/Ncmsc  coilgneach/Aq-msc  dothuighte/Av  ./Fe </s><s> Toisc/Ncfsc  ár/Dp1-p  laghad/Ncmsc  Gearmáinise/Ncfsc  níl/Npfsc  dabht/Ncmsg  ar/Sp  bith/Ns-s  ach/Cs  gur/Q--s  imríodh/Vmih|Vmis0  spídiúlacht/Ncfsc  orainn/Pr1-p"
"doc#10","ag/Sp  an/Td-s  am/Ncmsc  ,/Fi  ''/Fa  ar/Vmis  sí/Pp3fss  ,/Fi  ''/Fa  agus/Cc  bhí/Vmis  sé/Pp3mss  éasca/Aqp  mé/Pp1-s  a/Sp  chorraí/Nv  ./Fe </s><s> ''/Fa </s><s> ''/Fa  Tusa/Pp2-s-e  neirbhíseach/Aqp  !/Fe </s><s> ''/Fa </s><s> ''/Fa  Bhí/Vmis  a/Dp3ms  fhios/Ncmsc  agam/Pr1-s  go/Ua  maith/Aqp  gur/Wpdi|Wsdi  le/Sp  híde/Npf-g  na/Td-s  muc/Ncfpg  agus/Cc  na/Td-p"," madraí/Ncmpc"," a/Sp  thabhairt/Nv  dom/Pr1-s  mar/Sp|Cs  gheall/Vmis|Ncmsc  ar/Sp  mo/Dp1-s  phlean/Ncmsc  teilifíse/Ncfsg  a/Q-r  tháinig/Vmis  sé/Pp3mss  ./Fe </s><s> Tharraing/Vmis  sé/Pp3mss  siar/Rd  a/Dp3ms  chuid/Ncfsc  fiacla/Ncfpg  nuair/Cs  a/Q-r  thug/Vmis  mé/Pp1-s  le/Sp  fios/Ncmsc  gur/Wpdi|Wsdi"
"doc#11","iontach/Aqp  an/Td-s  deifir/Ncfsc  abhaile/Rd  a/Q-r  bhíonns/Vmig  ar/Sp  chuid/Ncfsc  acu/Pr3-p  ?/Fq </s><s> ''/Fa  ''/Fa  Tá/Vmip  sé/Pp3mss  ceart/Aq-msc  go/Ua  leor/Aqp  agatsa/Pr2-s-e  ,/Fi  a/Uv  Neidí/Npmsc  ,/Fi  nach/Wprin  bhfuil/Vmip---d  bean/Ncfsc  ná/Cc  clann/Ncfsc  ,/Fi  cat/Ncmsc  ná/Cc"," madra/Ncmsc"," agat/Pr2-s  ./Fe </s><s> ''/Fa  ''/Fa  Ní/Qn  fheicim/Vmip1s-n  go/Cs  bhfuil/Vmip---d  deabhadh/Ncmsc  ort/Pr2-s  féin/Px  ach/Cs  an/Td-s  oiread/Ns-s  ,/Fi  tar éis/Spc  chomh/Ri  mór/Aqp  is/Cc  atá/Vmip---r  do/Sp  chúram/Ncmsc  ./Fe </s><s> ''/Fa  ''/Fa  Nach/Wp-qn|Wpsin|Wpdin|Wpdqn  in/Sp  é/Pp3ms  an/Td-s  áit/Ncfsc  a/Q-i"
"doc#11","?/Fq </s><s> ''/Fa  a/Q-p|Q-i|Q-r  d''/Q  fhiafraigh/Vmis  Beartla/Npmsc  ,/Fi  a/Mn  dhá/Mc  uillinn/Ncfsc  ar/Sp  an/Td-s  gcabhantair/Ncfsc  aige/Pr3ms  ,/Fi  ag/Sp  faire/Nv  ar/Sp  an/Td-s  gcéad/Mo|Mc  ordú/Ncmsc  eile/Dd  ./Fe </s><s> ''/Fa  Thug/Vmis  sé/Npmsc  íde/Npfsc  na/Td-s  muc/Ncfsc  is/Wpri  na/Td-p"," madraí/Ncmpc"," don/Spa-s  sagart/Ncmsc  ./Fe </s><s> Dúirt/Vmis  sé/Pp3mss  go/Cs  mbeadh/Vmc  sé/Pp3mss  i/Sp  dtrioblóid/Ncfsc  muna/Cs  n-éireodh/Vmc  sé/Pp3mss  as/Pr3ms  ./Fe </s><s> ''/Fa  ''/Fa  Nach/Qnq|Qnr  bhfuil/Vmip---d  an/Td-s  fear/Ncmsc  bocht/Aq-msc  i/Sp  dtrioblóid/Ncfsc  mar/Cs  atá/Vmip---r  sé/Pp3mss  ?/Fq </s><s> ''/Fa"
"doc#11","Nóra/Npf-g|Npfsc  a/Q-r  bhí/Vmis  fós/Rg  ina/Spp-s  chodladh/Nv  ar/Sp  an/Td-s  gcathaoir/Ncfsc  bhog/Aq-fsc  le/Sp  taobh/Ncmsc  leaba/Ncfsc  an/Td-s  tsagairt/Ncmsg  ./Fe </s><s> ''/Fa  Tháinig/Vmis  sé/Pp3mss  le/Sp  lán/Ncmsc  a/Dp3ms  bhéil/Ncmpc  d''/Sp  íde/Npfsc  na/Td-s  muc/Ncfpg  is/Wpri  na/Td-p"," madra/Ncmsc"," a/Sp  thabhairt/Nv  dom/Pr1-s  ./Fe </s><s> ''/Fa  ''/Fa  Nach/Wp-qn|Wpsin|Wpdin|Wpdqn  é/Pp3ms  a/Q-r  bheadh/Vmc  in/Sp  ann/Ns-s  .../F  Agus/Cc  cosúlacht/Ncfsc  muice/Ncfsg  air/Pr3ms  féin/Px  ./Fe </s><s> ''/Fa  Bhrostaigh/Vmis  Bríd/Npfsc  léi/Pr3fs  len/Sp  a/Mn  chéad/Mc  bhéile/Ncmsc"
