"academic use only"

"corpus","preloaded/gaeilge2"
"subcorpus","-"
"concordance size","13882"
"query","Query:[lc=""uisce"" | lemma_lc=""uisce""]"
"Reference","Left","KWIC","Right"
"doc#2","difear/Ncmsc  :/Fi  -do/Xf  bhearta/Ncmpc  maidir/Sp  le/Sp  pleanáil/Nv  bhaile/Ncfsg|Ncmsg  agus/Cc  tuaithe/Ncfsg  ,/Fi  -do/Xf  bhainisteoireacht/Ncfsc  chainníochtúil/Aq  ar/Wpsi|Wssi|Ws-q|Wsdq  acmhainní/Aqc"," uisce/Ncmsg|Ncmsc"," nó/Cc  a/Q-r  dhéanann/Vmip  difear/Ncmsc  go/Ua  díreach/Aqp  nó/Cc  go/Ua  hindíreach/Aqp  do/Sp  na/Td-s  hacmhainní/Ncfsg  sin/Dd  a/Sp  bheith/Nv  ar/Sp  fáil/Nv  ,/Fi  -d/Xx  ''/Fa  úsáid/Ncfsc|Nv|Vmis  talún/Ncfsg  seachas/Sp"
"doc#4","difear/Ncmsc  :/Fi  do/Sp  bhearta/Ncmpc  maidir/Sp  le/Sp  pleanáil/Nv  bhaile/Ncfsg|Ncmsg  agus/Cc  tuaithe/Ncfsg  ;/Fi  do/Sp  bhainisteoireacht/Ncfsc  chainníochtúil/Aq  ar/Wpsi|Wssi|Ws-q|Wsdq  acmhainní/Aqc"," uisce/Ncmsg|Ncmsc"," nó/Cc  a/Q-r  dhéanann/Vmip  difear/Ncmsc  go/Ua  díreach/Aqp  nó/Cc  go/Ua  hindíreach/Aqp  do/Sp  na/Td-s  hacmhainní/Ncfsg  sin/Dd  a/Sp  bheith/Nv  ar/Sp  fáil/Nv  ;/Fi  d''/Q  úsáid/Vmis  talún/Ncfsg  seachas/Sp"
"doc#5","talún/Ncfsg  seachas/Sp  bainisteoireacht/Ncfsc  dramhaíola/Ncfsg  agus/Cc  bearta/Ncmpc  de/Sp  chineál/Ncmsc  ginearálta/Aqp  ,/Fi  agus/Cc  bainisteoireacht/Ncfsc  acmhainní/Aq-fsg"," uisce/Ncmsg|Ncmsc"," ;/Fi  -/Fb  bearta/Ncmpc  a/Q-r  dhéanann/Vmip  mórdhifear/Vmif  do/Sp  rogha/Ncfsc  Bhallstáit/Npmsc  idir/Sp  foinsí/Ncfpc  éagsúla/Aq--pc  fuinnimh/Ncmsg|Ncmpc  agus/Cc  struchtúr/Ncmsc  ginearálta/Aqp  a/Q-r"
"doc#6","talún/Ncfsg  seachas/Sp  bainisteoireacht/Ncfsc  dramhaíola/Ncfsg  agus/Cc  bearta/Ncmpc  de/Sp  chineál/Ncmsc  ginearálta/Aqp  ,/Fi  agus/Cc  bainisteoireacht/Ncfsc  acmhainní/Aq-fsg"," uisce/Ncmsg|Ncmsc"," ;/Fi  -/Fb  bearta/Ncmpc  a/Q-r  dhéanann/Vmip  mórdhifear/Vmif  do/Sp  rogha/Ncfsc  Bhallstáit/Npmsc  idir/Sp  foinsí/Ncfpc  éagsúla/Aq--pc  fuinnimh/Ncmsg|Ncmpc  agus/Cc  struchtúr/Ncmsc  ginearálta/Aqp  a/Q-r"
"doc#7","é/Pp3ms  ,/Fi  agus/Cc  bhí/Vmis  comhrá/Ncmsc  breá/Aq-msc  agam/Pr1-s  leis/Pr3ms  ./Fe </s><s> Bhí/Vmis  seisean/Pp3msse  ina/Spp-s  shuí/Nv  ar/Sp  an/Wp-q|Wpdq  deck/Xf  nuair/Cs  a/Q-r  bhuail/Vmis  an/Td-s  tonn/Ncfsc  í/Pp3fs  ,/Fi  agus/Cc  caitheadh/Vmis0  é/Pp3ms  amach/Rd  san/Spa-s"," uisce/Ncmsg"," ./Fe </s><s> Agus/Cc  níl/Vmip---n  a/Dp3ms  fhios/Ncmsc  agamsa/Pr1-s-e  anois/Rg  ,/Fi  an/Wp-q|Wpdq  b''/Ws-i  é/Pp3ms  an/Td-s  chéad/Mo|Mc  uair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  aníos/Rd  ,/Fi  nó/Cc  an/Td-s  tríú/Mo  huair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  aníos/Rd  nó/Cc  cár/Rq|Ncmsc  bith/Ns-s  uair/Ncfsc  a/Q-r"
"doc#7","anois/Rg  ,/Fi  an/Wp-q|Wpdq  b''/Ws-i  é/Pp3ms  an/Td-s  chéad/Mo|Mc  uair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  aníos/Rd  ,/Fi  nó/Cc  an/Td-s  tríú/Mo  huair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  aníos/Rd  nó/Cc  cár/Rq|Ncmsc  bith/Ns-s  uair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  go/Sp  barr/Ncmsc  an/Td-s"," uisce/Ncmsg"," ,/Fi  bhí/Vmis  bascaed/Ncmsc|Ncmpc  ar/Sp  a/Dp3fs  barr/Ncmsc  .../F  a/Sp  snámh/Nv  ar/Sp  bharr/Ncmsc  an/Td-s  uisce/Ncmsg  agus/Cc  fuair/Vmis  sé/Mc|Pp3mss  greim/Ncmsc  air/Pr3ms  ./Fe </s><s> Agus/Cc  bhí/Vmis  sé/Pp3mss  ag/Sp  inse/Ncfsc|Ncmsc  domh/Pr1-s  ,/Fi  fiú/Ns-s  amháin/Aqp  aige/Pr3ms  sin/Dd  ,/Fi  go/Q-s"
"doc#7","nó/Cc  an/Td-s  tríú/Mo  huair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  aníos/Rd  nó/Cc  cár/Rq|Ncmsc  bith/Ns-s  uair/Ncfsc  a/Q-r  tháinig/Vmis  sé/Pp3mss  go/Sp  barr/Ncmsc  an/Td-s  uisce/Ncmsg  ,/Fi  bhí/Vmis  bascaed/Ncmsc|Ncmpc  ar/Sp  a/Dp3fs  barr/Ncmsc  .../F  a/Sp  snámh/Nv  ar/Sp  bharr/Ncmsc  an/Td-s"," uisce/Ncmsg"," agus/Cc  fuair/Vmis  sé/Mc|Pp3mss  greim/Ncmsc  air/Pr3ms  ./Fe </s><s> Agus/Cc  bhí/Vmis  sé/Pp3mss  ag/Sp  inse/Ncfsc|Ncmsc  domh/Pr1-s  ,/Fi  fiú/Ns-s  amháin/Aqp  aige/Pr3ms  sin/Dd  ,/Fi  go/Q-s  raibh/Vmis---d|Vmsp  deacracht/Ncfsc  mhillteanach/Aq-fsc  acu/Pr3-p  é/Pp3ms  a/Sp  thabhairt/Nv"
"doc#7","./Fe </s><s> C/Mr  ''/Fa  uair/Ncfsc  ,/Fi  mar/Cs  a/Q-r  déarfá/Vmc-2s  ,/Fi  an/Qq  bhfuil/Vmip---d  cuimhne/Ncfsc  agat/Pr2-s  nuair/Cs  a/Q-r  thug/Vmis  tú/Pp2-s  fhéin/Px  fá/Pr3ms  dear/Vmm-2s  gur/Wpdi|Wsdi  i/Sp  do/Dp2-s  chónaí/Ncmsc|Nv  ar/Sp  oileán/Ncmsc  a/Q-r  bhí/Vmis  tú/Pp2-s  agus/Cc  go/Q-s  raibh/Vmis---d|Vmsp"," uisce/Ncmsc"," uilig/Aqp  thart/Rd|Ncmsc  ort/Pr2-s  ?/Fq </s><s> Bhuel/I  ,/Fi  ins/Spa-s  an/Td-s  am/Ncmsc  sin/Dd  cha/Qn  raibh/Vmis---n  bádaí/Ncmsc  inneallacha/Ncfsc  ar/Sp  bith/Ns-s  ag/Sp  gabháil/Nv  ,/Fi  an/Qq  dtuigeann/Vmip  tú/Pp2-s  ,/Fi  agus/Cc  bhí/Vmis  an/Td-s  bia/Ncmsc  rud/Ncmsc"
"doc#7","ann/Pr3ms  in/Sp  san/Spa-s  am/Ncmsc  sin/Dd  ?/Fq </s><s> Ó/I  ,/Fi  bheadh/Vmc  lá/Ncmsc  mór/Aq-msc  ,/Fi  bheadh/Vmc  achan/Ncmsc  nduine/Ncmsg  ag/Sp  cruinniú/Nv  ann/Pr3ms  ./Fe </s><s> Rásaí/Ncmpc  curaí/Ncfsg|Ncmsg  ./Fe </s><s> Rásaí/Ncmpc  curaí/Ncfsg|Ncmsg  agus/Cc  puntannaí/Ncmsc  agus/Cc  ?/Fq </s><s> ?/Fq </s><s> ?/Fq </s><s>","uisce/Ncmsc"," .../F </s><s> Ar/Sp  ghnáth/Ncmsc  libhse/Pr2-p-e  a/Sp  ghabháil/Nv  áit/Ncfsc  ar/Sp  bith/Ns-s  eile/Dd  diomaite/Av  de/Sp  Mhachaire/Npfsg  Rabhartaigh/Npfsg|Npmsg|Npmsc  ?/Fq </s><s> Ó/I  ,/Fi  ba/Ws-i  ghnáth/Ncmsc  linn/Ncfpg  gabháil/Nv  síos/Rd  go/Sp"
"doc#8","//F  an/Td-s  t-éadach/Ncmsc  :/Fi </s><s> Liam/Npmsc  :/Fi  Ná/Q-m  bíodh/Vmm-3s  eagla/Ncfsc  ort/Pr2-s  ,/Fi  a/Uv  chailín/Ncmsv  ./Fe </s><s> Sábhálfaidh/Vmif  mise/Pp1-s-e  tú/Pp2-s  ./Fe </s><s> (/F  É/Pp3ms  ''/Fa  ag/Sp  snámh/Nv  ''/Fa  )/F </s><s> Coinnigh/Npmsc  do/Sp  cheann/Ncmsc  os cionn/Spc"," uisce/Ncmsg"," ./Fe </s><s> Tóg/Vmm-2s  bog/Ncmsc  é/Pp3ms  ./Fe </s><s> Ná/Q-m  bí/Vmm-2s  ag/Sp  speachaíl/Ncfsc  ./Fe </s><s> Sin/Pd  é/Pp3ms  é/Pp3ms  ./Fe </s><s> (/F  Um/Sp  an/Td-s  dtaca/Ncmsg  seo/Dd  tá/Vmip  an/Td-s  cailín/Ncmsc  óg/Aq-msc  tagtha/Av  ar/Sp  an/Td-s  stáitse/Ncmsg|Ncmsc  faoi/Sp  scáth/Ncmsc  an/Td-s  éadaigh/Ncmsg  atá/Vmip---r  a/Q-p|Q-i|Q-r"
