"academic use only"

"corpus","preloaded/gutenberg20_cs"
"subcorpus","-"
"concordance size","136"
"query","Query:[lc=""kniha"" | lemma_lc=""kniha""]"
"Reference","Left","KWIC","Right"
"Blesky nad Beskydami","s/k7c7  ručením/k1gNnSc7  obmezeným/k2eAgNnSc7d1 ,/kIx,  Praha/k1gFnSc1  VII/kA ,/kIx,  třída/k1gFnSc1  krále/k1gMnSc2  Jiřího/k1gMnSc2  VI/kA ./kIx. </s><s> Čís/k3xOyIgInSc1wB ./kIx.  4/k4  --/k?  Brno/k1gNnSc1 ,/kIx,  Leninova/k2eAgFnSc1d1  čís/k3xOyIgInSc1wB ./kIx.  34/k4  --/k?  Banská/k2eAgFnSc1d1  Bystrica/k1gFnSc1 </s><s> Tuto/k3xDgFnSc4"," knihu/k1gFnSc4"," připisuji/k5eAaImIp1nS  památce/k1gFnSc6  svých/k3xOyFgMnPc2  synovců/k1gMnPc2  JAROMÍRA/k1gMnSc2  OMELKY/k1gMnSc2  a/k8xC  BOHDANA/k1gMnSc2  OMELKY/k1gMnSc2 ,/kIx,  kteří/k3yRgMnPc1  obětovali/k5eAaBmAgMnP  své/k3xOyFgInPc4  mladé/k2eAgInPc4d1  životy/k1gInPc4  za/k7c4  vlast/k1gFnSc4 ./kIx. </s><s> Autor/k1gMnSc1 ./kIx. </s>"
"Blesky nad Beskydami","<s> Čím/k3yInSc7  dál/k6eAd2  řidčeji/k6eAd2  zněl/k5eAaImAgInS  domem/k1gInSc7  jeho/k3xOp3gFnSc4  veselý/k2eAgInSc1d1  smích/k1gInSc1 ./kIx. </s><s> Stále/k6eAd1  byl/k5eAaImAgInS  zamyšlen/k5eAaPmNgInS  a/k8xC  málokdy/k6eAd1  šel/k5eAaImAgMnS  mezi/k7c4  chlapce/k1gMnSc4 ./kIx. </s><s> Celé/k2eAgFnPc4d1  hodiny/k1gFnPc4  vydržel/k5eAaPmAgMnS  sedět/k5eAaImF  u/k7c2"," knih/k1gFnPc2","./kIx. </s><s> A/k8xC  co/k3yQnSc1  četl/k5eAaImAgMnS !/kIx. </s><s> ""/kIx"" Dějiny/k1gFnPc1  národu/k1gInSc2  českého/k2eAgInSc2d1  v/k7c6  Čechách/k1gFnPc6  a/k8xC  v/k7c6  Moravě/k1gFnSc6 ""/kIx""  od/k7c2  Františka/k1gMnSc2  Palackého/k1gMnSc2 ,/kIx,  historické/k2eAgInPc4d1  romány/k1gInPc4  Jiráskovy/k2eAgInPc4d1 ,/kIx,  velký/k2eAgInSc4d1"
"Blesky nad Beskydami","záda/k1gNnPc4 ./kIx. </s><s> Nemá/k5eNaImIp3nS -li/k?  této/k3xDgFnSc2  jistoty/k1gFnSc2 ,/kIx,  ztrácí/k5eAaImIp3nS  odvahu/k1gFnSc4 ./kIx. </s><s> A/k8xC  je/k5eAaImIp3nS  právě/k9  úkolem/k1gInSc7  partyzánů/k1gMnPc2 ,/kIx,  aby/kYmCp3nS  mu/k3xPp3gMnSc3  tuto/k3xDgFnSc4  jistotu/k1gFnSc4  vzali/k5eAaPmAgMnP ./kIx. ""/kIx"" </s><s> ""/kIx"" Ty/k3xPp2nSc1  mluvíš/k5eAaImIp2nS  jako/k9"," kniha/k1gFnSc1",",/kIx,  synku/k1gMnSc6 ,/kIx, ""/kIx""  řekla/k5eAaPmAgFnS  uznale/k6eAd1  tetička/k1gFnSc1 ./kIx. </s><s> ""/kIx"" I/k8xC  nám/k3xPp1nPc3  se/k3xPyFc4  zase/k9  ledacos/k3yInSc1  objasnilo/k5eAaPmAgNnS ,/kIx, ""/kIx""  připojil/k5eAaPmAgMnS  se/k3xPyFc4  Tonda/k1gMnSc1  Adámek/k1gMnSc1 ./kIx. </s><s> Slávek/k1gMnSc1  se/k3xPyFc4  obrátil/k5eAaPmAgMnS  ke/k7c3  všem/k3xTgMnPc3"
"Blesky nad Beskydami",",/kIx,  kteří/k3yRgMnPc1  mají/k5eAaImIp3nP  zdravý/k2eAgInSc4d1  rozum/k1gInSc4 ./kIx. </s><s> Český/k2eAgInSc1d1  národ/k1gInSc1  bude/k5eAaImBp3nS  věčně/k6eAd1  žít/k5eAaImF  v/k7c6  zemi/k1gFnSc6 ,/kIx,  kde/k6eAd1  žije/k5eAaImIp3nS  od/k7c2  věků/k1gInPc2 ./kIx. </s><s> Až/k6eAd1  přijdou/k5eAaPmIp3nP  nová/k2eAgNnPc1d1  pokolení/k1gNnPc1  a/k8xC  budou/k5eAaImBp3nP  listovat/k5eAaImF  v/k7c6"," knize/k1gFnSc6"," dějin/k1gFnPc2 ,/kIx,  až/k6eAd1  budou/k5eAaImBp3nP  číst/k5eAaImF  o/k7c6  hrůzách/k1gFnPc6 ,/kIx,  jimiž/k3xRgFnPc7  prošel/k5eAaPmAgInS  náš/k3xOp1gInSc1  lid/k1gInSc1  v/k7c6  letech/k1gNnPc6  1938/k4  až/k9  1945/k4 ,/kIx,  budou/k5eAaImBp3nP  se/k3xPyFc4  chvět/k5eAaImF  rozhořčením/k1gNnSc7  a/k8xC  odporem/k1gInSc7  a/k8xC  musí/k5eAaImIp3nS  si/k3xPyFc3"
"R.U.R.","stěn/k1gFnPc2  je/k5eAaImIp3nS  na/k7c6  zemi/k1gFnSc6  nádherný/k2eAgInSc4d1  turecký/k2eAgInSc4d1  koberec/k1gInSc4 ,/kIx,  vpravo/k6eAd1  kulatý/k2eAgInSc1d1  stůl/k1gInSc1 ,/kIx,  pohovka/k1gFnSc1 ,/kIx,  kožená/k2eAgNnPc4d1  klubovní/k2eAgNnPc4d1  křesla/k1gNnPc4  a/k8xC  knihovna/k1gFnSc1 ,/kIx,  v/k7c6  níž/k3xRgFnSc6  místo/k7c2"," knih/k1gFnPc2"," stojí/k5eAaImIp3nS  láhve/k1gFnPc4  s/k7c7  vínem/k1gNnSc7  a/k8xC  kořalkami/k1gFnPc7 ./kIx. </s><s> Vlevo/k6eAd1  pokladna/k1gFnSc1 ./kIx. </s><s> Vedle/k7c2  Dominova/k2eAgInSc2d1  stolu/k1gInSc2  psací/k2eAgInSc1d1  stroj/k1gInSc1 ,/kIx,  na/k7c6  němž/k3xRgInSc6  píše/k5eAaImIp3nS  dívka/k1gFnSc1  Sulla/k1gFnSc1 ./kIx. )/kIx) </s><s> Domin/k1gNnPc2 :/kIx,  (/kIx("
"R.U.R.","co/k3yInSc1  to/k3xDgNnSc1  hraje/k5eAaImIp3nS  paní/k1gFnSc1  Helena/k1gFnSc1 ?/kIx. </s><s> (/kIx( přejde/k5eAaPmIp3nS  ke/k7c3  dveřím/k1gFnPc3  vlevo/k6eAd1  a/k8xC  naslouchá/k5eAaImIp3nS ./kIx.  z/k7c2  tapetových/k2eAgFnPc2d1  dveří/k1gFnPc2  vyjde/k5eAaPmIp3nS  Busman/k1gMnSc1 ,/kIx,  táhne/k5eAaImIp3nS  obrovské/k2eAgFnPc4d1  obchodní/k2eAgFnPc4d1"," knihy/k1gFnPc4",",/kIx,  klopýtá/k5eAaImIp3nS </s><s> Fabry/k1gFnPc1 :/kIx,  Pozor/k1gInSc1 ,/kIx,  Bus/k1gInSc1 !/kIx. </s><s> Pozor/k1gInSc1  na/k7c4  dráty/k1gInPc4 !/kIx. </s><s> Dr./kA  Gall/k1gMnSc1 :/kIx,  Haló/k0 ,/kIx,  co/k3yRnSc1  si/k3xPyFc3  to/k3xDgNnSc4  nesete/k5eAaImIp2nP ?/kIx. </s><s> Busman/k1gMnSc1 :/kIx,  (/kIx( klade/k5eAaImIp3nS  knihy/k1gFnPc4  na/k7c4  stůl/k1gInSc4 )/kIx)  Hlavní/k2eAgFnPc1d1  knihy/k1gFnPc1 ,/kIx,"
"R.U.R.","obrovské/k2eAgFnPc4d1  obchodní/k2eAgFnPc4d1  knihy/k1gFnPc4 ,/kIx,  klopýtá/k5eAaImIp3nS </s><s> Fabry/k1gFnPc1 :/kIx,  Pozor/k1gInSc1 ,/kIx,  Bus/k1gInSc1 !/kIx. </s><s> Pozor/k1gInSc1  na/k7c4  dráty/k1gInPc4 !/kIx. </s><s> Dr./kA  Gall/k1gMnSc1 :/kIx,  Haló/k0 ,/kIx,  co/k3yRnSc1  si/k3xPyFc3  to/k3xDgNnSc4  nesete/k5eAaImIp2nP ?/kIx. </s><s> Busman/k1gMnSc1 :/kIx,  (/kIx( klade/k5eAaImIp3nS"," knihy/k1gFnPc4"," na/k7c4  stůl/k1gInSc4 )/kIx)  Hlavní/k2eAgFnPc1d1  knihy/k1gFnPc1 ,/kIx,  dětičky/k1gFnPc1 ./kIx. </s><s> Rád/k6eAd1  bych/kYmCp1nS  si/k3xPyFc3  udělal/k5eAaPmAgMnS  účty/k1gInPc4 ,/kIx,  než--než--Inu/k1gFnSc4 ,/kIx,  letos/k6eAd1  nebudu/k5eNaImBp1nS  čekat/k5eAaImF  s/k7c7  bilancí/k1gFnSc7  do/k7c2  Nového/k2eAgInSc2d1  roku/k1gInSc2 ./kIx. </s>"
"R.U.R.","knihy/k1gFnPc4 ,/kIx,  klopýtá/k5eAaImIp3nS </s><s> Fabry/k1gFnPc1 :/kIx,  Pozor/k1gInSc1 ,/kIx,  Bus/k1gInSc1 !/kIx. </s><s> Pozor/k1gInSc1  na/k7c4  dráty/k1gInPc4 !/kIx. </s><s> Dr./kA  Gall/k1gMnSc1 :/kIx,  Haló/k0 ,/kIx,  co/k3yRnSc1  si/k3xPyFc3  to/k3xDgNnSc4  nesete/k5eAaImIp2nP ?/kIx. </s><s> Busman/k1gMnSc1 :/kIx,  (/kIx( klade/k5eAaImIp3nS  knihy/k1gFnPc4  na/k7c4  stůl/k1gInSc4 )/kIx)  Hlavní/k2eAgFnPc1d1"," knihy/k1gFnPc1",",/kIx,  dětičky/k1gFnPc1 ./kIx. </s><s> Rád/k6eAd1  bych/kYmCp1nS  si/k3xPyFc3  udělal/k5eAaPmAgMnS  účty/k1gInPc4 ,/kIx,  než--než--Inu/k1gFnSc4 ,/kIx,  letos/k6eAd1  nebudu/k5eNaImBp1nS  čekat/k5eAaImF  s/k7c7  bilancí/k1gFnSc7  do/k7c2  Nového/k2eAgInSc2d1  roku/k1gInSc2 ./kIx. </s><s> Tak/k6eAd1  co/k3yQnSc1  máte/k5eAaImIp2nP ?/kIx. </s><s> (/kIx( jde/k5eAaImIp3nS  k/k7c3  oknu/k1gNnSc3 )/kIx)"
"R.U.R.",",/kIx,  jako/k8xS  když/k8xS  mák/k1gMnSc1  rozseje/k5eAaPmIp3nS ./kIx. </s><s> Dr./kA  Gall/k1gMnSc1 :/kIx,  To/k3xDgNnSc1  jsou/k5eAaImIp3nP  Roboti/k1gMnPc1 ./kIx. </s><s> Busman/k1gMnSc1 :/kIx,  Ah/k0  tak/k6eAd1 ./kIx. </s><s> Škoda/k1gFnSc1 ,/kIx,  že/k8xS  na/k7c4  ně/k3xPp3gInPc4  nevidím/k5eNaImIp1nS ./kIx.  (/kIx( sedne/k5eAaPmIp3nS  si/k3xPyFc3  ke/k7c3  stolu/k1gInSc3  a/k8xC  otevře/k5eAaPmIp3nS"," knihy/k1gFnPc4",")/kIx) </s><s> Domin/k1gNnPc2 :/kIx,  Nechte/k5eAaPmRp2nP  toho/k3xDgNnSc2 ,/kIx,  Busmane/k1gMnSc5 :/kIx,  Roboti/k1gMnPc1  z/k7c2  Amélie/k1gFnSc2  vykládají/k5eAaImIp3nP  zbraně/k1gFnPc1 ./kIx. </s><s> Busman/k1gMnSc1 :/kIx,  Nu/k9  a/k8xC  co/k9 ?/kIx. </s><s> Jak/k6eAd1  já/k3xPp1nSc1  mám/k5eAaImIp1nS  tomu/k3xDgNnSc3  zabránit/k5eAaPmF ?/kIx. </s><s> Domin/k1gNnPc2 :/kIx,  Tomu/k3xDgNnSc3"
"R.U.R.","oknu/k1gNnSc3  mikroskopický/k2eAgInSc4d1  aparát/k1gInSc4  se/k7c7  skleněnou/k2eAgFnSc7d1  koulí/k1gFnSc7 ./kIx. </s><s> Nad/k7c7  stolem/k1gInSc7  visí/k5eAaImIp3nS  řada/k1gFnSc1  rozžatých/k2eAgFnPc2d1  žárovek/k1gFnPc2 ./kIx. </s><s> Napravo/k6eAd1  psací/k2eAgInSc4d1  stůl/k1gInSc4  s/k7c7  velikými/k2eAgFnPc7d1"," knihami/k1gFnPc7",",/kIx,  na/k7c6  něm/k3xPp3gInSc6  rozsvícená/k2eAgFnSc1d1  žárovka/k1gFnSc1 ./kIx. </s><s> Skříně/k1gFnPc4  s/k7c7  nástroji/k1gInPc7 ./kIx. </s><s> V/k7c6  levém/k2eAgInSc6d1  koutě/k1gInSc6  umyvadlo/k1gNnSc4  a/k8xC  nad/k7c7  ním/k3xPp3gMnSc7  zrcadélko/k1gNnSc1 ,/kIx,  v/k7c6  pravém/k2eAgInSc6d1  koutě/k1gInSc6  pohovka/k1gFnSc1 ./kIx. )/kIx) </s><s> (/kIx( u/k7c2"
