"academic use only"

"corpus","preloaded/gutenberg20_cs"
"subcorpus","-"
"concordance size","31"
"query","Query:[lempos_lc=""(moře)-n""]"
"Reference","Left","KWIC","Right"
"Blesky nad Beskydami","naše/k3xOp1gFnSc1  budoucnost/k1gFnSc1 ./kIx. ""/kIx"" </s><s> Chvíli/k1gFnSc4  bylo/k5eAaImAgNnS  v/k7c6  kuchyni/k1gFnSc6  ticho/k1gNnSc1 ./kIx. </s><s> Pak/k6eAd1  se/k3xPyFc4  maminka/k1gFnSc1  rozplakala/k5eAaPmAgFnS :/kIx,  ""/kIx"" Tak/k9 ,/kIx,  děti/k1gFnPc1 ,/kIx, </s><s> Patnáctý/k4xOgInSc1  březen/k1gInSc1  roku/k1gInSc2  1939/k4 !/kIx. </s><s> Jaké/k3yRgInPc1"," moře/k1gNnSc4"," slz/k1gFnPc2  tě/k3xPp2nSc4  uvítalo/k5eAaPmAgNnS  toho/k3xDgNnSc2  nevlídného/k2eNgNnSc2d1  rána/k1gNnSc2 !/kIx. </s><s> Kolik/k1gFnPc2  zoufalých/k2eAgInPc2d1  výkřiků/k1gInPc2  se/k3xPyFc4  tehdy/k6eAd1  vydralo/k5eAaPmAgNnS  z/k7c2  hrdel/k1gNnPc2  nešťastného/k2eNgInSc2d1  národa/k1gInSc2 ,/kIx,  který/k3yRgInSc1  se/k3xPyFc4"
"Blesky nad Beskydami","tak/k9 ,/kIx,  Olinko/k1gFnSc5 .../k?  Nedávno/k6eAd1  jsi/k5eAaImIp2nS  byla/k5eAaImAgFnS  se/k7c7  mnou/k3xPp1nSc7  u/k7c2  údolní/k2eAgFnSc2d1  přehrady/k1gFnSc2  na/k7c6  Bystřičkách/k1gFnPc6  --/k?  vzpomínáš/k5eAaImIp2nS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ano/k9 !/kIx. </s><s> Tam/k6eAd1  je/k5eAaImIp3nS  vody/k1gFnSc2  skoro/k6eAd1  jako/k8xC  v/k7c6"," moři/k1gNnSc6","!/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" A/k9  teď/k6eAd1  si/k3xPyFc3  představ/k1gInSc4 ,/kIx,  že/k8xS  by/k9  čtrnáct/k4xCc4  dní/k1gInPc2  lilo/k5eAaImAgNnS  jako/k9  z/k7c2  konve/k1gFnSc2 ./kIx. </s><s> Voda/k1gFnSc1  by/kYmCp3nS  stoupala/k5eAaImAgFnS  a/k8xC  stoupala/k5eAaImAgFnS ,/kIx,  až/k9  by/kYmCp3nS  jí/k3xPp3gFnSc2  bylo/k5eAaImAgNnS  třeba/k6eAd1  třikrát/k6eAd1  tolik/k6eAd1 ,/kIx,"
"Blesky nad Beskydami","./kIx. </s><s> Protože/k8xS  déšť/k1gInSc1  by/kYmCp3nS  zpomalil/k5eAaPmAgInS  postup/k1gInSc1  německých/k2eAgFnPc2d1  armád/k1gFnPc2 ,/kIx,  které/k3yIgFnPc1  jsou/k5eAaImIp3nP  motorisovány/k5eAaBmNgFnP ./kIx. </s><s> Dá/k5eAaPmIp3nS -li/k?  se/k3xPyFc4  do/k7c2  dešťů/k1gInPc2 ,/kIx,  polské/k2eAgFnSc2d1  cesty/k1gFnSc2  se/k3xPyFc4  změní/k5eAaPmIp3nS  v/k7c4"," moře/k1gNnSc4"," bláta/k1gNnSc2 ./kIx. </s><s> Byl/k5eAaImAgMnS  jsem/k5eAaImIp1nS  tam/k6eAd1  ve/k7c6  světové/k2eAgFnSc6d1  válce/k1gFnSc6 ,/kIx,  znám/k5eAaImIp1nS  to/k3xDgNnSc1 ./kIx. </s><s> A/k8xC  tam/k6eAd1 ,/kIx,  kde/k6eAd1  se/k3xPyFc4  jede/k5eAaImIp3nS  za/k7c2  pěkné/k2eAgFnSc2d1  pohody/k1gFnSc2  šedesátkou/k1gFnSc7 ,/kIx,  jelo/k5eAaImAgNnS  by/kYmCp3nS  se/k3xPyFc4  v/k7c6  dešti/k1gInSc6  dvacítkou/k1gFnSc7 ./kIx."
"Blesky nad Beskydami","!/kIx. </s><s> Slávek/k1gMnSc1  utíkal/k5eAaImAgMnS ,/kIx,  co/k3yQnSc1  mu/k3xPp3gMnSc3  nohy/k1gFnPc4  stačily/k5eAaBmAgFnP ./kIx. </s><s> Kam/k6eAd1 ?/kIx. </s><s> Nevěděl/k5eNaImAgMnS ./kIx. </s><s> Jen/k6eAd1  do/k7c2  lesů/k1gInPc2 ,/kIx,  do/k7c2  hlubokých/k2eAgInPc2d1  valašských/k2eAgInPc2d1  lesů/k1gInPc2 ,/kIx,  kde/k6eAd1  se/k3xPyFc4  ztratíš/k5eAaPmIp2nS  jako/k9  kapka/k1gFnSc1  v/k7c6"," moři/k1gNnSc6","./kIx. </s><s> Lesy/k1gInPc1  tě/k3xPp2nSc4  nezradí/k5eNaPmIp3nP ,/kIx,  Slávku/k1gFnSc4 ./kIx. </s><s> Poskytnou/k5eAaPmIp3nP  ti/k3xPp2nSc3  úkryt/k1gInSc4  a/k8xC  ochranu/k1gFnSc4 ./kIx. </s><s> Sta/k4xCgNnPc1  malých/k2eAgFnPc2d1  jeskyněk/k1gFnPc2  a/k8xC  doupat/k1gNnPc2  skrývají/k5eAaImIp3nP  pro/k7c4  tebe/k3xPp2nSc4 ./kIx. </s><s> Stačí/k5eAaBmIp3nS  přihodit/k5eAaPmF"
"Blesky nad Beskydami","mžitky/k1gInPc1 ./kIx. </s><s> Je/k5eAaImIp3nS  konec/k1gInSc4 ?/kIx. </s><s> Vždyť/k9  byli/k5eAaImAgMnP  u/k7c2  Leningradu/k1gInSc2 ,/kIx,  u/k7c2  Moskvy/k1gFnSc2 ,/kIx,  u/k7c2  Stalingradu/k1gInSc2 ,/kIx,  na/k7c6  Kavkaze/k1gInSc6 !/kIx. </s><s> Byli/k5eAaImAgMnP  u/k7c2  břehů/k1gInPc2  Anglie/k1gFnSc2  a/k8xC  v/k7c6  Středozemním/k2eAgNnSc6d1"," moři/k1gNnSc6","./kIx. </s><s> Ovládli/k5eAaPmAgMnP  severní/k2eAgFnSc4d1  Afriku/k1gFnSc4 ./kIx. </s><s> Pronikli/k5eAaPmAgMnP  až/k9  za/k7c4  severní/k2eAgInSc4d1  polární/k2eAgInSc4d1  kruh/k1gInSc4 ./kIx. </s><s> Je/k5eAaImIp3nS  konec/k1gInSc4 ?/kIx. </s><s> Ano/k9 ,/kIx,  je/k5eAaImIp3nS  konec/k1gInSc1 ./kIx. </s><s> ""/kIx"" Nepřemožitelná/k2eNgFnSc1d1  armáda/k1gFnSc1 ""/kIx""  leží/k5eAaImIp3nS"
"R.U.R.","PRVNÍ/k4xOgMnSc1 </s><s> (/kIx( Helenin/k2eAgInSc4d1  salón/k1gInSc4 ./kIx. </s><s> Vlevo/k6eAd1  tapetové/k2eAgFnPc4d1  dveře/k1gFnPc4  do/k7c2  hudebního/k2eAgInSc2d1  salónu/k1gInSc2 ,/kIx,  vpravo/k6eAd1  dveře/k1gFnPc1  do/k7c2  Heleniny/k2eAgFnSc2d1  ložnice/k1gFnSc2 ./kIx. </s><s> Uprostřed/k7c2  okna/k1gNnSc2  k/k7c3"," moři/k1gNnSc3"," a/k8xC  přístavu/k1gInSc3 ./kIx. </s><s> Toaletní/k2eAgInSc4d1  zrcadlo/k1gNnSc1  s/k7c7  drobnůstkami/k1gFnPc7 ,/kIx,  stůl/k1gInSc1 ,/kIx,  pohovka/k1gFnSc1  a/k8xC  křesla/k1gNnPc4 ,/kIx,  komoda/k1gFnSc1 ,/kIx,  psací/k2eAgInSc1d1  stolek/k1gInSc1  se/k7c7  stojací/k2eAgFnSc7d1  žárovkou/k1gFnSc7 ,/kIx,"
"R.U.R.",".../k? </s><s> Domin/k1gNnPc2 :/kIx,  Nevěděla/k5eNaImAgFnS  bys/kYmCp2nS  stejně/k6eAd1  o/k7c6  ničem/k3yNnSc6 ./kIx. </s><s> Helena/k1gFnSc1 :/kIx,  Proč/k6eAd1 ?/kIx. </s><s> Domin/k1gNnPc2 :/kIx,  Protože/k8xS  bychom/kYmCp1nP  sedli/k5eAaPmAgMnP  na/k7c4  svého/k1gMnSc4  Ultima/k1gNnSc2  a/k8xC  pokojně/k6eAd1  brousili/k5eAaImAgMnP  po/k7c6"," moři/k1gNnSc6","./kIx. </s><s> Za/k7c4  měsíc/k1gInSc4 ,/kIx,  Heleno/k1gFnSc5 ,/kIx,  bychom/kYmCp1nP  diktovali/k5eAaImAgMnP  Robotům/k1gInPc3 ,/kIx,  co/k3yQnSc1  by/kYmCp3nS  nás/k3xPp1nPc4  jen/k6eAd1  napadlo/k5eAaPmAgNnS ./kIx. </s><s> Helena/k1gFnSc1 :/kIx,  Oh/k0 ,/kIx,  Harry/k1gMnPc7 ,/kIx,  já/k3xPp1nSc1  nerozumím/k5eNaImIp1nS ./kIx. </s><s> Domin/k1gNnPc2 :/kIx,  Protože/k8xS"
"R.U.R.","!/kIx. </s><s> Vláda/k1gFnSc1  Robotů/k1gInPc2 !/kIx. </s><s> Alquist/k1gInSc4 :/kIx,  Mrtvi/k5eAaImRp2nS !/kIx. </s><s> Radius/k1gInSc1 :/kIx,  Svět/k1gInSc1  patři/k5eAaImRp2nS  silnějším/k2eAgInSc7d2 ./kIx. </s><s> Kdo/k3yRnSc1  chce/k5eAaImIp3nS  žít/k5eAaImF ,/kIx,  musí/k5eAaImIp3nS  vládnout/k5eAaImF ./kIx. </s><s> Jsme/k5eAaImIp1nP  pány/k1gMnPc7  světa/k1gInSc2 !/kIx. </s><s> Vláda/k1gFnSc1  nad/k7c7"," moři/k1gNnPc7"," a/k8xC  zeměmi/k1gFnPc7 !/kIx. </s><s> Vláda/k1gFnSc1  nad/k7c7  hvězdami/k1gFnPc7 !/kIx. </s><s> Vláda/k1gFnSc1  nad/k7c7  vesmírem/k1gInSc7 !/kIx. </s><s> Místo/k1gNnSc1 ,/kIx,  místo/k1gNnSc1 ,/kIx,  víc/k6eAd2  místa/k1gNnSc2  pro/k7c4  Roboty/k1gFnPc4 !/kIx. </s><s> Alquist/k1gInSc1 :/kIx,  (/kIx( ve/k7c6  dveřích/k1gFnPc6  vpravo/k6eAd1 )/kIx)  Co/k3yRnSc4"
"Cvičení maličkých ve svatém náboženství křesťansko-katolickém",",/kIx,  Že/k8xS  se/k3xPyFc4  pět/k4xCc1  tisíců/k4xCgInPc2  nasytilo/k5eAaPmAgNnS ,/kIx,  Ještě/k9  dvanáct/k4xCc4  košů/k1gInPc2  drobtů/k1gInPc2  zbylo/k5eAaPmAgNnS ./kIx. </s><s> Němým/k2eAgNnSc7d1  jazyk/k1gInSc4  rozvazoval/k5eAaImAgInS ,/kIx,  Ďábly/k1gMnPc4  z/k7c2  lidí/k1gMnPc2  vypuzoval/k5eAaImAgMnS </s><s> ;/kIx,"," Moři/k1gNnPc7",",/kIx,  větrům/k1gInPc3  přikázal/k5eAaPmAgMnS ,/kIx,  Ba/k9  i/k9  mrtvým/k1gMnPc3  život/k1gInSc1  dal/k5eAaPmAgInS ./kIx. </s><s> Větrové/k2eAgNnSc1d1  i/k9  moře/k1gNnSc1  Pána/k1gMnSc2  Ježíše/k1gMnSc2  poslouchají/k5eAaImIp3nP ./kIx. </s><s> Vstoupil/k5eAaPmAgMnS  na/k7c4  loď/k1gFnSc4  s/k7c7  Ježíšem/k1gMnSc7  lid/k1gInSc1  všeliký/k3yIgInSc1 ,/kIx,"
"Cvičení maličkých ve svatém náboženství křesťansko-katolickém","drobtů/k1gInPc2  zbylo/k5eAaPmAgNnS ./kIx. </s><s> Němým/k2eAgNnSc7d1  jazyk/k1gInSc4  rozvazoval/k5eAaImAgInS ,/kIx,  Ďábly/k1gMnPc4  z/k7c2  lidí/k1gMnPc2  vypuzoval/k5eAaImAgMnS </s><s> ;/kIx,  Moři/k1gNnPc7 ,/kIx,  větrům/k1gInPc3  přikázal/k5eAaPmAgMnS ,/kIx,  Ba/k9  i/k9  mrtvým/k1gMnPc3  život/k1gInSc1  dal/k5eAaPmAgInS ./kIx. </s><s> Větrové/k2eAgNnSc1d1  i/k9"," moře/k1gNnSc1"," Pána/k1gMnSc2  Ježíše/k1gMnSc2  poslouchají/k5eAaImIp3nP ./kIx. </s><s> Vstoupil/k5eAaPmAgMnS  na/k7c4  loď/k1gFnSc4  s/k7c7  Ježíšem/k1gMnSc7  lid/k1gInSc1  všeliký/k3yIgInSc1 ,/kIx,  Na/k7c4  to/k3xDgNnSc4  brzo/k6eAd1  povstal/k5eAaPmAgInS  vichor/k?  veliký/k2eAgInSc1d1 ./kIx. </s><s> Však/k8xC  Pán/k1gMnSc1  Ježíš/k1gMnSc1  již/k6eAd1  tam/k6eAd1"
