"academic use only"

"corpus","preloaded/gutenberg20_cs"
"subcorpus","-"
"concordance size","1210"
"query","Query:[lc=""pan"" | lemma_lc=""pan""]"
"Reference","Left","KWIC","Right"
"Blesky nad Beskydami","stát/k5eAaPmF  a/k8xC  do/k7c2  večera/k1gInSc2  mají/k5eAaImIp3nP  od/k7c2  nás/k3xPp1nPc2  odejít/k5eAaPmF !/kIx. </s><s> ""/kIx"" </s><s> Třída/k1gFnSc1  zaburácela/k5eAaPmAgFnS  nadšeným/k2eAgInSc7d1  jásotem/k1gInSc7 ./kIx. </s><s> Ale/k8xC  jen/k9  na/k7c4  chvíli/k1gFnSc4 ,/kIx,  neboť/k8xC  již/k6eAd1  v/k7c6  příští/k2eAgFnSc6d1  hodině/k1gFnSc6  jim/k3xPp3gMnPc3"," pan/k1gMnSc1"," učitel/k1gMnSc1  řekl/k5eAaPmAgMnS ,/kIx,  že/k8xS  nic/k3yNnSc1  takového/k3xDgMnSc4  nebylo/k5eNaImAgNnS  oznámeno/k2eAgNnSc1d1 .../k? </s><s> V/k7c4  jedenáct/k4xCc4  hodin/k1gFnPc2  byl/k5eAaImAgMnS  Slávek/k1gMnSc1  ve/k7c6  sborovně/k1gFnSc6 ./kIx. </s><s> Nesl/k5eAaImAgMnS  tam/k6eAd1  početní/k2eAgInPc4d1  sešity/k1gInPc4 ./kIx. </s>"
"Blesky nad Beskydami","očekávaný/k2eAgInSc4d1  den/k1gInSc4 ./kIx. </s><s> Ve/k7c6  třídě/k1gFnSc6  bylo/k5eAaImAgNnS  jako/k9  v/k7c6  úle/k1gInSc6 ./kIx. </s><s> Chlapci/k1gMnPc1  si/k3xPyFc3  ještě/k6eAd1  jednou/k6eAd1  opakovali/k5eAaImAgMnP  básně/k1gFnPc4 ,/kIx,  které/k3yQgFnPc1  budou/k5eAaImBp3nP  přednášet/k5eAaImF ./kIx. </s><s> Zazvonilo/k5eAaPmAgNnS ./kIx. </s><s>","Pan/k1gMnSc1"," učitel/k1gMnSc1  vešel/k5eAaPmAgMnS  do/k7c2  třídy/k1gFnSc2 ./kIx. </s><s> Byl/k5eAaImAgMnS  nějak/k6eAd1  svátečně/k6eAd1  naladěn/k5eAaPmNgInS  --/k?  recitační/k2eAgFnPc4d1  hodinku/k1gFnSc4  s/k7c7  volným/k2eAgInSc7d1  výběrem/k1gInSc7  básní/k5eAaImIp3nS  uspořádal/k5eAaPmAgMnS  dnes/k6eAd1  poprvé/k6eAd1 ./kIx. </s><s> ""/kIx"""
"Blesky nad Beskydami","otevřely/k5eAaPmAgFnP  a/k8xC  v/k7c6  nich/k3xPp3gInPc6  stál/k5eAaImAgInS  --/k?  okresní/k2eAgMnSc1d1  školní/k2eAgMnSc1d1  inspektor/k1gMnSc1 ./kIx. </s><s> Třída/k1gFnSc1  ho/k3xPp3gInSc4  pozdravila/k5eAaPmAgFnS ./kIx. </s><s> ""/kIx"" Dobrý/k2eAgInSc1d1  den/k1gInSc1 ,/kIx,  chlapci/k1gMnSc6 ,/kIx, ""/kIx""  odpověděl/k5eAaPmAgMnS ./kIx. </s><s> ""/kIx"" Co/k3yQnSc4  máte/k5eAaImIp2nP ,/kIx,"," pane/k1gMnSc5"," kolego/k1gMnSc5 ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Češtinu/k1gFnSc4 ./kIx. </s><s> Uspořádali/k5eAaPmAgMnP  jsme/k5eAaImIp1nP  si/k3xPyFc3  recitační/k2eAgFnSc4d1  hodinku/k1gFnSc4 ./kIx. ""/kIx"" </s><s> ""/kIx"" Chvilku/k1gFnSc4  si/k3xPyFc3  poslechnu/k5eAaPmIp1nS ./kIx. </s><s> Můžete/k5eAaImIp2nP  pokračovat/k5eAaImF ./kIx. ""/kIx"" </s><s> Pavel/k1gMnSc1  Kovář/k1gMnSc1"
"Blesky nad Beskydami","./kIx. ""/kIx"" </s><s> Prvního/k4xOgNnSc2  září/k1gNnSc2  1939/k4  uhodilo/k5eAaPmAgNnS ./kIx. </s><s> Rozhlas/k1gInSc1  oznámil/k5eAaPmAgInS  s/k7c7  břesknými/k2eAgFnPc7d1  fanfárami/k1gFnPc7 ,/kIx,  že/k8xS  německá/k2eAgFnSc1d1  armáda/k1gFnSc1  překročila/k5eAaPmAgFnS  polské/k2eAgFnPc4d1  hranice/k1gFnPc4 ./kIx. </s><s>","Pan/k1gMnSc1"," Čermák/k1gMnSc1  přišel/k5eAaPmAgMnS  k/k7c3  obědu/k1gInSc3  těžce/k6eAd1  zamyšlen/k5eAaPmNgMnS ./kIx. </s><s> Rozhlédl/k5eAaPmAgMnS  se/k3xPyFc4  po/k7c6  dětech/k1gFnPc6 ,/kIx,  pohladil/k5eAaPmAgInS  Olinku/k1gFnSc4  po/k7c6  vlasech/k1gInPc6  a/k8xC  řekl/k5eAaPmAgMnS  vážně/k6eAd1 :/kIx,  ""/kIx"" Tak/k9 ,/kIx,  děti/k1gFnPc1 ,/kIx,  teď/k6eAd1"
"Blesky nad Beskydami","odvésti/k5eAaPmF  hotové/k2eAgInPc4d1  výrobky/k1gInPc4 ./kIx. </s><s> A/k8xC  když/k8xS  skončili/k5eAaPmAgMnP  a/k8xC  chystali/k5eAaImAgMnP  se/k3xPyFc4  domů/k6eAd1 ,/kIx,  vrazil/k5eAaPmAgMnS  do/k7c2  dílny/k1gFnSc2  Pavel/k1gMnSc1  Kovář/k1gMnSc1 ./kIx. </s><s> ""/kIx"" Co/k3yRnSc1  se/k3xPyFc4  stalo/k5eAaPmAgNnS ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Gestapo/k1gNnSc1  zatklo/k5eAaPmAgNnS"," pana/k1gMnSc4"," Barčáka/k1gMnSc4 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Nepovídej/k5eNaImRp2nS .../k? !/kIx. </s><s> ""/kIx""  zarazil/k5eAaPmAgMnS  se/k3xPyFc4  mistr/k1gMnSc1 ./kIx. </s><s> Barčák/k1gMnSc1  byl/k5eAaImAgMnS  obchodník/k1gMnSc1  a/k8xC  jeho/k3xOp3gMnSc1  dobrý/k2eAgMnSc1d1  přítel/k1gMnSc1 ./kIx. </s><s> Často/k6eAd1  k/k7c3  němu/k3xPp3gNnSc3  zaskočil/k5eAaPmAgInS  na/k7c4  pár/k4xCyI"
"Blesky nad Beskydami","president/k1gMnSc1  Československé/k2eAgFnSc2d1  republiky/k1gFnSc2  doktor/k1gMnSc1  Edvard/k1gMnSc1  Beneš/k1gMnSc1 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Mamko/k1gFnSc5 ,/kIx,  slyšíš/k5eAaImIp2nS ?/kIx. </s><s> ""/kIx""  zvolal/k5eAaPmAgMnS  otec/k1gMnSc1  vzrušeně/k6eAd1 ./kIx.  ""/kIx"" Promluví/k5eAaPmIp3nS"," pan/k1gMnSc1"," president/k1gMnSc1 !/kIx. </s><s> ""/kIx"" </s><s> Slávek/k1gMnSc1  vyskočil/k5eAaPmAgMnS  z/k7c2  postele/k1gFnSc2 ./kIx. </s><s> Přikrčil/k5eAaPmAgMnS  se/k3xPyFc4  ke/k7c3  dveřím/k1gFnPc3  pokoje/k1gInSc2  a/k8xC  ani/k8xC  nedýchal/k5eNaImAgMnS ./kIx. </s><s> Kéž/k9  by/kYmCp3nS  zaslechl/k5eAaPmAgMnS  aspoň/k9  něco/k3yInSc1 !/kIx. </s><s> Všem/k3xTgFnPc3"
"Blesky nad Beskydami","to/k3xDgNnSc4  pověděl/k5eAaPmAgMnS !/kIx. </s><s> ""/kIx""  řekla/k5eAaPmAgFnS  matka/k1gFnSc1  dojatě/k6eAd1 ./kIx. </s><s> ""/kIx"" Tedy/k1gMnPc4  --/k?  do/k7c2  boje/k1gInSc2 .../k? ,/kIx, ""/kIx""  prohodil/k5eAaPmAgMnS  zamyšleně/k6eAd1  otec/k1gMnSc1 ./kIx.  ""/kIx"" Nu/k9 ,/kIx,  trochu/k6eAd1  jsme/k5eAaImIp1nP  se/k3xPyFc4  už/k9  do/k7c2  toho/k3xDgInSc2  dali/k5eAaPmAgMnP ,/kIx,"," pane/k1gMnSc5"," presidente/k1gMnSc5 ./kIx. </s><s> Podívej/k5eAaPmRp2nS  se/k3xPyFc4 ,/kIx,  mamko/k1gFnSc5 ,/kIx,  kolik/k9  toho/k3xDgMnSc4  dnes/k6eAd1  nesu/k5eAaImIp1nS !/kIx. </s><s> ""/kIx""  Nějaký/k3yIgInSc1  balíček/k1gInSc1  dopadl/k5eAaPmAgInS  na/k7c4  stůl/k1gInSc4 ./kIx. </s><s> Slávek/k1gMnSc1  zahlédl/k5eAaPmAgMnS  malou/k2eAgFnSc7d1  skulinou/k1gFnSc7  ve/k7c6"
"Blesky nad Beskydami","v/k7c6  horečce/k1gFnSc6 ./kIx. </s><s> ""/kIx"" Proč/k6eAd1  nespíš/k5eNaImIp2nS ?/kIx. </s><s> ""/kIx""  zeptal/k5eAaPmAgMnS  se/k3xPyFc4  přísně/k6eAd1  otec/k1gMnSc1 ./kIx. </s><s> Ale/k9  Slávek/k1gMnSc1  byl/k5eAaImAgMnS  už/k6eAd1  u/k7c2  něho/k3xPp3gMnSc2 ./kIx. </s><s> ""/kIx"" Tatínku/k1gMnSc5 ,/kIx,  slyšel/k5eAaImAgMnS  jsem/k5eAaImIp1nS  všechno/k3xTgNnSc4 ./kIx. </s><s> Projev/k1gInSc1"," pana/k1gMnSc2"," presidenta/k1gMnSc2  i/k9  to/k3xDgNnSc4 ,/kIx,  co/k3yQnSc4  jste/k5eAaImIp2nP  si/k3xPyFc3  tu/k6eAd1  povídali/k5eAaImAgMnP ./kIx. ""/kIx"" </s><s> ""/kIx"" Tak/k6eAd1  ./kIx. ../k?  a/k8xC  to/k3xDgNnSc1  se/k3xPyFc4  nestydíš/k5eNaImIp2nS  --/k?  tak/k6eAd1  za/k7c7  dveřmi/k1gFnPc7 ,/kIx,  jako/k8xC  zloděj/k1gMnSc1 ,/kIx,  jako/k8xC  nějaký/k3yIgInSc1 .../k? ""/kIx"" </s><s> ""/kIx"""
"Blesky nad Beskydami","jenom/k9  Pavel/k1gMnSc1  Kovářů/k1gMnPc2 ,/kIx,  ale/k8xC  i/k9  on/k3xPp3gMnSc1 !/kIx. </s><s> Ne/k9  jenom/k9  tiché/k2eAgFnSc2d1  nadávky/k1gFnSc2 ,/kIx,  tiché/k2eAgFnSc2d1  kletby/k1gFnSc2 ,/kIx,  tichý/k2eAgInSc1d1  vzdor/k1gInSc1 ,/kIx,  tichou/k2eAgFnSc4d1  nenávist/k1gFnSc4  --/k?  ale/k8xC  čin/k1gInSc4 ,/kIx,  čin/k1gInSc4 ,/kIx,  čin/k1gInSc4 !/kIx. </s><s> I/k9"," pan/k1gMnSc1"," president/k1gMnSc1  žádá/k5eAaImIp3nS  činy/k1gInPc4 !/kIx. </s><s> --/k?  --/k?  --/k? </s><s> Když/k8xS  jel/k5eAaImAgMnS  s/k7c7  balíčkem/k1gInSc7  dopisů/k1gInPc2  po/k7c6  prvé/k4xOgFnSc6 ,/kIx,  byl/k5eAaImAgInS  úplně/k6eAd1  klidný/k2eAgInSc1d1 ./kIx. </s><s> Byl/k5eAaImAgMnS  si/k3xPyFc3  dobře/k6eAd1  vědom/k2eAgMnSc1d1  toho/k3xDgNnSc2 ,/kIx,  co/k3yRnSc4  podniká/k5eAaImIp3nS ./kIx. </s><s> I/k9"
"Blesky nad Beskydami","příbuzné/k2eAgInPc1d1 ?/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Ale/k9  ne/k9 ,/kIx, ""/kIx""  usmál/k5eAaPmAgMnS  se/k3xPyFc4 ./kIx.  ""/kIx"" Myslím/k5eAaImIp1nS  totiž/k9  ./kIx. ../k?  k/k7c3  naší/k3xOp1gFnSc3  československé/k2eAgFnSc3d1  armádě/k1gFnSc3 !/kIx. </s><s> ""/kIx"" </s><s> ""/kIx"" Na/k7c4  Slovensko/k1gNnSc4 ?/kIx. </s><s> A/k8xC  jak/k6eAd1  dále/k6eAd2 ?/kIx. </s><s> ""/kIx""  zeptal/k5eAaPmAgMnS  se/k3xPyFc4"," pan/k1gMnSc1"," Čermák/k1gMnSc1 ./kIx. </s><s> ""/kIx"" Pak/k6eAd1  do/k7c2  Maďarska/k1gNnSc2 ,/kIx,  do/k7c2  Jugoslavie/k1gFnSc2 .../k? ""/kIx"" </s><s> Teprve/k6eAd1  nyní/k6eAd1  zmizel/k5eAaPmAgMnS  chlad/k1gInSc4  z/k7c2  řeči/k1gFnSc2  pana/k1gMnSc2  Čermáka/k1gMnSc2 ./kIx. </s><s> Při/k7c6  zmínce/k1gFnSc6  o/k7c6  československé/k2eAgFnSc6d1"
