"academic use only"

"corpus","preloaded/bfm2022"
"subcorpus","-"
"concordance size","5652"
"query","Query:[lc=""homme"" | lemma_lc=""homme"" | morphemes=""homme""]"
"Reference","Left","KWIC","Right"
"doc#5","l''/DA0CS0 en/SP  appeloit/NCMS000  Alexandria/NP00000 ./Fp </s><s> Illec/NPMS000  n''/RN abite/VMIP3S0  nulz/RG ./Fp </s><s> Mais/CC  assés/VMP00PM  tost/VMIP3S0  apprès/RG  que/CS  nous/PP1CP00  feusmes/NCMP000  illec/AQ0MS0  arrivés/VMP00PM ,/Fc  nous/PP1CP00  vindrent/VMIP3P0"," hommes/NCMP000"," et/CC  femmes/NCFP000  qui/PR00000  aporterent/VMIS3P0  pain/NCMS000  fretz/NCMN000 ,/Fc  gelines/NCFP000 ,/Fc  raisins/NCMP000  et/CC  autres/AQ0CP00  pourveances/NCFP000  a/VMIP3S0  vendre/VMN0000 ;/Fx  car/CC  icelle/PD0FS00  isle/AQ0CS0  est/VSIP3S0  bien/RG  peuplée/VMP00SF"
"doc#5","tout/PI0MS00  de/SP  pierre/NCFS000  taillée/VMP00SF ;/Fx  et/CC  dit/VMIP3S0  on/PP3CSN0  que/PR00000  illec/NCMS000  fut/VMIS3S0  ensevely/NCMS000  Absallont/NP00000 ,/Fc  filz/VMIP2P0  du/SP+D  roi/NCMS000  David/NP00000 ,/Fc  qui/PR00000  estoit/NCMS000  a/VMIP3S0  son/DP3CSS  vivant/AQ0MS00  le/DA0MS0  plus/RG  bel/AQ0MS00"," homme/NCMS000"," du/SP+D  monde/NCMS000 ,/Fc  si/CS  comme/CS  l''/DA0CS0 Escripture/NPFS000  le/DA0MS0  tesmoingne/NCFS000 ./Fp </s><s> Et/CC  est/VMIP3S0  en/SP  descendant/NCMS000  ou/CC  val/NCMS000  de/SP  Josaphat/NPMS000 ./Fp </s><s> Item/RG ,/Fc  en/SP  alant/VMG0000  oultre/VMN0000 ,/Fc  en/SP"
"doc#5","est/VMIP3S0  tout/DI0MS0  près/RG  dudit/AQ0MS0  pertuis/NCMN000 ,/Fc  et/CC  est/VMIP3S0  moult/RG  grande/AQ0FS00  et/CC  moult/RG  parfonde/VMSP3S0 ;/Fx  et/CC  au/SP+DA  fons/NCFP000  d''/SP icelle/PD0FS00  fendeure/NCFS000  voit/VMIP3S0  l''/DA0CS0 en/SP  le/DA0MS0  test/NCMS000  d''/SP un/DI0MS0"," homme/NCMS000"," mort/VMP00SM ,/Fc  dont/PR00000  les/DA0CP0  aucuns/PI0MP00  dient/VMII3P0  que/CS  c''/PP0CNN0 est/VMIP3S0  le/DA0MS0  test/NCMS000  de/SP  nostre/NCMS000  premier/AQ0MS00  pere/AQ0CS0  Adam/NPMS000 ./Fp </s><s> Sachiés/NP00000  que/CS  cedit/VMP00SM  saint/AQ0MS00  monlt/NCMS000  est/VMIP3S0  presques/AQ0CP0  a/VMIP3S0"
"doc#5","fut/VSIS3S0  fait/VMP00SM  par/SP  Moyse/NPFS000  comme/CS  Nostre/NP00000  Seigneur/NPMS000  lui/PP3CS00  commanda/VMIS3S0 ,/Fc  car/CC  il/PP3MSN0  les/PP3CPA0  gecta/VMIS3S0  tous/PI0MP00  d''/SP Egipte/NPMS000  a/VMIP3S0  une/DI0FS0  fois/NCFN000  et/CC  estoient/VMIP3P0  ./Fp </s><s> VJc/NP00000 ./Fp  mil/NCMS000"," hommes/NCMP000"," sans/SP  les/DA0CP0  femmes/NCFP000  et/CC  les/DA0CP0  petis/VMP00PM  enfans/NCMP000 ./Fp </s><s> Quant/NP00000  Moyse/NPFS000  ot/NCMS000  mené/VMP00SM  ce/DD0MS0  grant/AQ0MS0  peuple/NCMS000  trois/NCMN000  jours/NCMP000  avant/SP ,/Fc  sy/NCMS000  vindrent/VMIP3P0  a/VMIP3S0  celle/PD0FS00  Rouge/AQ0CS00  mer/NCFS000"
"doc#5","tout/DI0MS0  bas/NCMN000  sur/SP  terre/NCFS000  a/VMIP3S0  ung/AQ0MS0  pertuis/NCMN000 ,/Fc  ouquel/AQ0MS0  nous/PP1CP00  fusmes/NCMP000  moult/RG  avant/RG  par/SP  dessoubz/RG  icellui/RG  grenier/NCMS000 ,/Fc  et/CC  n''/RN est/VMIP3S0  pas/RN  du/SP+D  hault/NCMS000  d''/SP un/DI0MS0"," homme/NCMS000","./Fp </s><s> C''/PP0CNN0 est/VMIP3S0  ung/AQ0MS0  lieu/NCMS000  molt/VMIP3S0  obscur/AQ0MS00  et/CC  mal/NCMS000  flairant/VMG0000  pour/SP  les/DA0CP0  bestes/NCMP000  qui/PR00000  y/PP3CN00  habittent/VMIP3P0 ./Fp </s><s> Cedit/NP00000  mercredi/RG  mesmes/NCMP000  partismes/NCMP000  d''/SP illec/NCMS000 ,/Fc"
"doc#5","le/DA0MS0  roy/NCMS000  de/SP  Chippre/NP00000  plus/RG  souvent/RG  que/CS  en/SP  nulle/DI0FS0  autre/AQ0CS00  bonne/AQ0FS00  ville/NCFS000  ne/RN  forteresse/NCFS000  de/SP  son/DP3CSS  pays/NCMN000 ./Fp </s><s> Le/DA0MS0  roy/NCMS000  de/SP  Chippre/NP00000  estoit/NCMS000  assès/RG  bel/AQ0MS00"," homme/NCMS000"," et/CC  enlangagiez/VMII2P0  assés/VMP00PM  bon/AQ0MS00  françois/VMIP1S0 ;/Fx  sy/NCMS000  fist/NCMS000  moult/RG  grant/AQ0MS0  chiere/NCFS000 ,/Fc  et/CC  demonstra/VMIS3S0  grant/AQ0MS0  signe/NCMS000  d''/SP amour/NCMS000  aux/SP+DA  pelerins/NCMP000 ./Fp </s><s> Car/CC ,/Fc"
"doc#5","montagne/NCFS000 ,/Fc  fors/NCMP000  que/PR00000  encore/RG  y/PP3CN00  a/VMIP3S0  de/SP  vielz/VMIP2P0  murs/NCMP000  de/SP  la/DA0FS0  cité/NCFS000 ,/Fc  et/CC  n''/RN a/VMIP3S0  mye/NCFS000  si/RG  long/AQ0MS00  temps/NCMN000  que/RN  encor/VMIP3S0  ne/RN  veissiens/AQ0MP0  nous/PP1CP00 ,/Fc  a/VMIP3S0  Rodes/VMIP2S0 ,/Fc  ung/AQ0MS0"," homme/NCMS000"," qui/PR00000  fut/VMIS3S0  au/SP+DA  siege/NCMS000  devant/SP  ladicte/AQ0FS0  cité/NCFS000  avec/SP  les/DA0CP0  Freres/NPFP000 ,/Fc  et/CC  fut/VMIS3S0  nez/NCMN000  en/SP  ladicte/NCMS000  isle/AQ0CS0 ./Fp </s><s> Le/DA0MS0  jour/NCMS000  du/SP+D  Grant/NP00000  Vendredi/RG  que/CS  nous/PP1CP00"
"doc#6","vis/VMIP1S0  je/PP1CSN0  pieça/VMIS3S0  saison/NCFS000  Ou/CC  j''/PP1CSN0 eusse/VMSI1S0  si/RG  hardy/NCMS000  couraige/VMIP3S0  Que/CS  j''/PP1CSN0 ay/NCMN000 ;/Fx  par/SP  la/DA0FS0  mor/NCMS000  bieu/NCMS000 ,/Fc  j''/PP1CSN0 enraige/VMIP3S0  Que/CS  je/PP1CSN0  n''/RN ay/NCMN000  a/VMIP3S0  qui/PR00000  me/PP1CS00  combattre/VMN0000 ./Fp </s><s> Y/PP3CN00  a/VMIP3S0  il/PP3MSN0"," homme/NCMS000"," qui/PR00000  a/VMIP3S0  quatre/NCMN000 .../Fs  Dy/NPMS000  je/PP1CSN0 ?/Fit  y/PP3CN00  a/VMIP3S0  il/PP3MSN0  quatre/NCMN000  qui/PR00000  veullent/VMIP3P0  Combattre/VMN0000  a/VMIP3S0  moy/NCMS000 ?/Fit </s><s> Se/PP3CN00  tost/VMIP3S0  recueillent/VMIP3P0 !/Fat </s><s> Mon/DP1CSS  gantelet/NCMS000  vela/VMIS3S0  pour/SP  gaige/NCMS000 ./Fp </s><s> Par/SP"
"doc#6","pehons/NCMP000  de/SP  plat/AQ0MS00  pays/NCMN000 ,/Fc  Ne/RN  se/PP3CN00  fussent/VSSI3P0  point/RN  esbahis/VMP00PM  De/SP  leur/DP3CSP  mal/NCMS000  faire/VMN0000 ;/Fx  mais/CC  nous/PP1CP00  sommes/VMIP2S0  Tousjours/NP00000 ,/Fc  entre/SP  nous/PP1CP00  gentilz/VMIP2P0"," hommes/NCMP000",",/Fc  Au/SP+DA  guet/NCMS000  dessus/RG  la/DA0FS0  villenaile/NCFS000 ./Fp </s><s> J''/PP1CSN0 estoye/VMIP3S0  pardeça/VMIS3S0  la/DA0FS0  bataille/NCFS000 ,/Fc  Tousjours/NP00000  la/DA0FS0  lance/NCFS000  ou/CC  boutaille/NCFS000  Sur/SP  la/DA0FS0  cuisse/NCFS000 :/Fd  c''/PP0CNN0 estoit/NCMS000"
"doc#6","tresbucher/VMN0000  Il/PP3MSN0  alloit/NCMS000  son/DP3CSS  beau/AQ0MS00  pas/NCMN000 :/Fd  tric/NCMS000 ,/Fc  trac/NCMS000 ./Fp </s><s> Et/CC  ung/NCMS000  grant/VMG0000  panon/NCMS000  de/SP  bissac/NCMS000  Voulentiers/NP00000  portoit/NCMS000  sur/SP  sa/DP3FSS  teste/VMIP3S0 ./Fp </s><s> D''/SP ung/NCMS000  tel/AQ0MS00"," homme/NCMS000"," fault/VMIP3S0  faire/VMN0000  feste/NCMS000 ,/Fc  Autant/RG  que/CS  d''/SP ung/AQ0MS0  million/NCCS000  d''/SP or/NCMS000 ./Fp </s><s> Gens/NCMP000  d''/SP arme/NCFS000 ,/Fc  c''/PP0CNN0 est/VMIP3S0  ung/NCMS000  grant/AQ0MS0  tresor/NCMS000 !/Fat </s><s> S''/PP3CN00 il/PP3MSN0  vault/VMIP3S0  riens/NCCP000 ,/Fc  il/PP3MSN0  ne/RN  fault/VMIP3S0  pas/RN"
