"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","8247"
"query","Query:[lc=""chat"" | lemma=""chat"" | morphemes=""chat""]"
"Reference","Left","KWIC","Right"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","poupée/NCFS000 ,/Fc  prit/VMIS3S0  et/CC  laissa/VMIS3S0  vingt/NCMN000  fois/NCFN000  ses/DP3CPS  joujoux/NCMP000  dans/SP  l''/DA0CS0 espace/NCCS000  de/SP  deux/NCMN000  heures/NCFP000 ./Fp </s><s> Ne/RN  sachant/VMG0000  plus/RN  que/CS  faire/VMN0000 ,/Fc  elle/PP3FS00  s''/PP3CN00 empara/VMIS3S0  du/SP"," chat/NCMS000",",/Fc  et/CC  lui/PP3CS00  mit/VMIS3S0  une/DI0FS0  des/SP  cornettes/NCFP000  de/SP  Zozo/NPMS000 ./Fp </s><s> Minet/NCMS000  étoit/NCMS000  si/RG  drôle/AQ0CS00  avec/SP  cette/DD0FS0  coiffure/NCFS000 ,/Fc  que/CS  sa/DP3FSS  petite/AQ0FS00  maîtresse/NCFS000  rit/VMIP3S0  aux/SP  larmes/NCFP000  en/SP"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","à/SP  la/DA0FS0  robe/NCFS000 ,/Fc  Minet/NPMS000  voulut/VMIS3S0  s''/PP3CN00 enfuir/VMN0000 !/Fat .../Fs  Cependant/RG  Mimi/NPMS000  avoit/VMIP3S0  résolu/VMP00SM  d''/SP en/PP3CN00  venir/VMN0000  à/SP  son/DP3CSS  honneur/NCMS000 ./Fp </s><s> Elle/PP3FS00  prit/VMIS3S0  une/DI0FS0  des/SP  pattes/NCFP000  du/SP"," chat/NCMS000"," et/CC  la/DA0FS0  fourra/VMIS3S0  dans/SP  une/DI0FS0  manche/NCCS000  avec/SP  beaucoup/RG  de/SP  peine/NCFS000 ;/Fx  mais/CC  quand/CS  ce/PP0CNN0  vint/VMIS3S0  à/SP  l''/DA0CS0 autre/AQ0CS00 ,/Fc  Minet/NPMS000  miaula/VMIS3S0 ,/Fc  jura/VMIS3S0  à/SP  faire/VMN0000  trembler/VMN0000 ,/Fc"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","où/PR00000  il/PP3MSN0  étoit/NCMS000  libre/AQ0CS00  pour/SP  se/PP3CN00  sauver/VMN0000  sous/SP  le/DA0MS0  lit/NCMS000 ;/Fx  mais/CC  la/DA0FS0  petite/AQ0FS00 ,/Fc  l''/PP3CSA0 ayant/VAG0000  attrapé/VMP00SM  par/SP  la/DA0FS0  queue/NCFS000 ,/Fc  le/PP3MSA0  tira/VMIS3S0  de/SP  toutes/DI0FP0  ses/DP3CPS  forces/NCFP000 ./Fp </s><s> Le/DA0MS0"," chat/NCMS000",",/Fc  déjà/RG  en/SP  colère/NCFS000 ,/Fc  se/PP3CN00  retourna/VMIS3S0  avec/SP  vivacité/NCFS000 ,/Fc  et/CC  lui/PP3CS00  égratigna/VMIS3S0  la/DA0FS0  figure/NCFS000 ,/Fc  les/DA0CP0  bras/NCMN000  et/CC  les/DA0CP0  mains/NCFP000 ,/Fc  puis/CC  il/PP3MSN0  s''/PP3CN00 échappa/VMIS3S0  malgré/SP"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","il/PP3MSN0  s''/PP3CN00 échappa/VMIS3S0  malgré/SP  elle/PP3FS00 ./Fp </s><s> Mimi/NCMS000  se/PP3CN00  mit/VMIS3S0  à/SP  pleurer/VMN0000 ,/Fc  autant/RG  d''/SP humeur/NCFS000  que/CS  du/SP  mal/NCMS000  que/PR00000  Minet/NPMS000  lui/PP3CS00  avoit/VMIP3S0  fait/VMP00SM ./Fp </s><s> Illustration/NCFS000 :/Fd  Le/DA0MS0"," Chat/NPMS000"," coiffé/VMP00SM ./Fp </s><s> Illustration/NCFS000 :/Fd  Le/DA0MS0  méchant/AQ0MS00  petit/AQ0MS00  garçon/NCMS000 ./Fp </s><s> Madame/NCFS000  Belmont/NPMS000 ,/Fc  qui/PR00000  connoissoit/VMSP3S0  sa/DP3FSS  fille/NCFS000 ,/Fc  se/PP3CN00  douta/VMIS3S0  de/SP  l''/DA0CS0 aventure/NCFS000  en/SP"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée",",/Fc  Minet/NPMS000  parut/VMIS3S0  affublé/VMP00SM  du/SP  bonnet/NCMS000  et/CC  de/SP  la/DA0FS0  robe/NCFS000  de/SP  Zozo/NPMS000 ./Fp </s><s> Madame/NCFS000  Belmont/NPMS000  ne/RN  put/VMIS3S0  s''/PP3CN00 empêcher/VMN0000  de/SP  sourire/NCMS000 ./Fp </s><s> Elle/PP3FS00  appella/VMIS3S0  le/DA0MS0"," chat/NCMS000",",/Fc  le/PP3MSA0  débarrassa/VMIS3S0  de/SP  ses/DP3CPS  chiffons/NCMP000 ,/Fc  et/CC ,/Fc  se/PP3CN00  trouvant/VMG0000  mieux/RG ,/Fc  elle/PP3FS00  se/PP3CN00  mit/VMIS3S0  sur/SP  son/DP3CSS  séant/NCMS000 ,/Fc  fit/VMIS3S0  venir/VMN0000  Mimi/NPMS000  auprès/RG  d''/SP elle/PP3FS00 ,/Fc  et/CC  lui/PP3CS00"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","un/DI0MS0  jeu/NCMS000  d''/SP ôter/VMN0000  la/DA0FS0  vie/NCFS000  même/AQ0CS00  à/SP  un/DI0MS0  insecte/NCMS000 ./Fp </s><s> Ces/DD0CP0  excellentes/AQ0FP00  leçons/NCFP000  faisoient/VMSP3P0  peu/RG  d''/SP effet/NCMS000  sur/SP  Marinette/NPFS000 ,/Fc  qui/PR00000  s''/PP3CN00 amusoit/VMSP3S0  d''/SP un/DI0MS0"," chat/NCMS000",",/Fc  d''/SP un/DI0MS0  chien/NCMS000 ,/Fc  d''/SP un/DI0MS0  oiseau/NCMS000 ,/Fc  comme/CS  elle/PP3FS00  eût/VASI3S0  fait/VMP00SM  d''/SP un/DI0MS0  morceau/NCMS000  de/SP  carton/NCMS000 ./Fp </s><s> Un/DI0MS0  jour/NCMS000 ,/Fc  madame/NCFS000  de/SP  Lime/NPFS000 ,/Fc  sa/DP3FSS  maman/NCFS000 ,/Fc  céda/VMIS3S0  à/SP  sa/DP3FSS  prière/NCFS000 ,/Fc"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","oiseau/NCMS000 ,/Fc  comme/CS  elle/PP3FS00  eût/VASI3S0  fait/VMP00SM  d''/SP un/DI0MS0  morceau/NCMS000  de/SP  carton/NCMS000 ./Fp </s><s> Un/DI0MS0  jour/NCMS000 ,/Fc  madame/NCFS000  de/SP  Lime/NPFS000 ,/Fc  sa/DP3FSS  maman/NCFS000 ,/Fc  céda/VMIS3S0  à/SP  sa/DP3FSS  prière/NCFS000 ,/Fc  en/SP  prenant/VMG0000  un/DI0MS0  joli/AQ0MS00"," chat/NCMS000",",/Fc  à/SP  poil/NCMS000  long/AQ0MS00 ,/Fc  blanc/AQ0MS00  comme/CS  la/DA0FS0  neige/NCFS000 ./Fp </s><s> On/PP3CSN0  cherchoit/VMIP3S0  à/SP  intéresser/VMN0000  Marinette/NPFS000  à/SP  ces/DD0CP0  petits/AQ0MP00  êtres/NCMP000 ,/Fc  par/SP  la/DA0FS0  vue/NCFS000  journalière/AQ0FS00  de/SP"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","lui/PP3CS00  attacha/VMIS3S0  un/DI0MS0  ruban/NCMS000  à/SP  la/DA0FS0  patte/NCFS000 ,/Fc  et/CC  le/PP3MSA0  fit/VMIS3S0  voler/VMN0000  comme/CS  un/DI0MS0  hanneton/NCMS000 ./Fp </s><s> Le/DA0MS0  malheureux/AQ0MN00  oiseau/NCMS000  tomba/VMIS3S0  par/SP  terre/NCFS000  tout/RG  étourdi/VMP00SM ;/Fx  le/DA0MS0"," chat/NCMS000"," sauta/VMIS3S0  dessus/RG  et/CC  le/PP3MSA0  mangea/VMIS3S0 !/Fat .../Fs  Marinette/NPFS000  fut/VSIS3S0  plus/RG  surprise/VMP00SF  qu''/CS affligée/VMP00SF  de/SP  cette/DD0FS0  aventure/NCFS000 ;/Fx  mais/CC  sa/DP3FSS  maman/NCFS000  étant/VSG0000  survenue/VMP00SF"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","de/SP  prendre/VMN0000  des/SP  mouches/NCFP000  ou/CC  autres/AQ0CP00  insectes/NCMP000 ,/Fc  de/SP  jouer/VMN0000  avec/SP  des/SP  hannetons/NCMP000 ,/Fc  et/CC  surtout/RG  de/SP  toucher/VMN0000  aux/SP  oiseaux/NCMP000 ,/Fc  aux/SP"," chats/NCMP000"," et/CC  aux/SP  chiens/NCMP000 ,/Fc  sous/SP  peine/NCFS000  d''/SP être/VSN0000  punie/VMP00SF  sévèrement/RG ./Fp </s><s> Marinette/NPFS000  avoit/VMIP3S0  six/NCMN000  ans/NCMP000 ,/Fc  et/CC  son/DP3CSS  coeur/NCMS000  ne/RN  s''/PP3CN00 étoit/NCMS000  pas/RN  encore/RG  attendri/VMP00SM"
"Conversations d''une petite fille avec sa poupée: Suivies de l''histoire de la poupée","sa/DP3FSS  fidélité/NCFS000 ,/Fc  soit/CC  du/SP  chagrin/AQ0MS00  de/SP  l''/PP3CSA0 avoir/VAN0000  perdu/VMP00SM ,/Fc  soit/CC  pour/SP  ne/RN  pas/RN  abandonner/VMN0000  le/DA0MS0  dépôt/NCMS000  confié/VMP00SM  à/SP  sa/DP3FSS  garde/NCCS000 ./Fp </s><s> --/Fg Maman/NPFS000 ,/Fc  les/DA0CP0"," chats/NCMP000"," ne/RN  sont/VSIP3P0  pas/RN  si/RG  attachés/VMP00PM  que/CS  les/DA0CP0  chiens/NCMP000 ?/Fit --/Fg Ma/DP1FSS  fille/NCFS000 ,/Fc  ils/PP3MPN0  le/PP3MSA0  sont/VMIP3P0  aussi/RG  à/SP  leur/DP3CSP  manière/NCFS000 ;/Fx  mais/CC  leur/DP3CSP  attachement/NCMS000  est/VSIP3S0  moins/RG"
