"academic use only"

"corpus","preloaded/gutenberg20_fr"
"subcorpus","-"
"concordance size","367518"
"query","Query:[lc=""homme"" | lemma=""homme"" | morphemes=""homme""]"
"Reference","Left","KWIC","Right"
"Histoire de la Révolution française, Tome 01","nation/NCFS000 ./Fp </s><s> C''/PPSCNN0 est/VMIP3S0  ici/RG  que/CS ,/Fc  naguère/RG  encore/RG ,/Fc  siégeaient/VMII3P0  Laplace/NPFS000  et/CC  Cuvier/NPMS000 ./Fp </s><s> Il/PP3MSN0  faut/VMIP3S0  s''/PP3CN00 humilier/VMN0000  profondément/RG  devant/SP  ces/DD0CP0"," hommes/NCMP000"," illustres/AQ0CP00 ;/Fx  mais/CC  à/SP  quelque/DI0CS0  distance/NCFS000  qu''/PR00000 on/PP3CSN0  soit/VSSP3S0  placé/VMP00SM  d''/SP eux/PP3MP00 ,/Fc  il/PP3MSN0  faudrait/VMIC3S0  être/VMN0000  insensible/AQ0CS00  à/SP  tout/DI0MS0  ce/PP0CNN0  qu''/PR00000 il/PP3MSN0  y/PP3CN00  a/VMIP3S0  de/SP  grand/AQ0MS00 ,/Fc  pour/SP"
"Histoire de la Révolution française, Tome 01","et/CC  gloire/NCFS000  principale/AQ0FS00  de/SP  notre/DP1CSP  nation/NCFS000 ./Fp </s><s> Si/CS  le/DA0MS0  véritable/AQ0CS00  objet/NCMS000  de/SP  la/DA0FS0  société/NCFS000  humaine/AQ0FS00  est/VMIP3S0  de/SP  réunir/VMN0000  en/SP  commun/NCMS000  des/SP  milliers/NCMP000  d''/SP ","hommes/NCMP000",",/Fc  de/SP  les/PP3CPA0  amener/VMN0000  à/SP  penser/VMN0000 ,/Fc  parler/VMN0000 ,/Fc  agir/VMN0000  comme/CS  un/DI0MS0  seul/AQ0MS00  individu/NCMS000 ,/Fc  c''/PPSCNN0 est-à-dire/VMN0000  avec/SP  la/DA0FS0  précision/NCFS000  de/SP  l''/DA0CS0 unité/NCFS000  et/CC  la/DA0FS0"
"Histoire de la Révolution française, Tome 01","du/SP  nombre/NCMS000 ,/Fc  quel/DT0MS0  spectacle/NCMS000  plus/RG  grand/AQ0MS00 ,/Fc  plus/RG  magnifique/AQ0CS00 ,/Fc  que/CS  celui/PD0MS00  d''/SP un/DI0MS0  peuple/NCMS000  de/SP  trente-deux/NCMP000  millions/NCCP000  d''/SP ","hommes/NCMP000",",/Fc  obéissant/VMG0000  à/SP  une/DI0FS0  seule/AQ0FS00  loi/NCFS000 ,/Fc  parlant/VMG0000  une/DI0FS0  seule/AQ0FS00  langue/NCFS000 ,/Fc  presque/RG  toujours/RG  saisis/VMP00PM  au/SP  même/AQ0CS00  instant/NCMS000  de/SP  la/DA0FS0  même/AQ0CS00  pensée/NCFS000 ,/Fc  animés/VMP00PM"
"Histoire de la Révolution française, Tome 01","déclaré/VMP00SM  que/CS  les/DA0CP0  amis/NCMP000  de/SP  l''/DA0CS0 ordre/NCMS000 ,/Fc  de/SP  l''/DA0CS0 humanité/NCFS000 ,/Fc  de/SP  la/DA0FS0  France/NPFS000 ,/Fc  pouvaient/VMII3P0  l''/PP3CSA0 avouer/VMN0000 ;/Fx  je/PP1CSN0  vous/PP2CP00  remercie/VMIP1S0  surtout/RG ,/Fc  vous/PP2CP00 ,/Fc"," hommes/NCMP000"," paisibles/AQ0CP00 ,/Fc  heureusement/RG  étrangers/AQ0MP00  pour/SP  la/DA0FS0  plupart/NCFS000  aux/SP  troubles/NCMP000  qui/PR00000  nous/PP1CP00  agitent/VMIP3P0 ,/Fc  d''/SP avoir/VAN0000  discerné/VMP00SM ,/Fc  au/SP  milieu/NCMS000  du/SP"
"Histoire de la Révolution française, Tome 01","être/VSN0000  admis/VMP00NM  à/SP  vos/DP2CPP  côtés/NCMP000 ,/Fc  dans/SP  ce/DD0MS0  sanctuaire/NCMS000  des/SP  lettres/NCFP000 ,/Fc  il/PP3MSN0  m''/PP1CS00 est/VMIP3S0  doux/AQ0MN00  aussi/RG  d''/SP avoir/VMN0000  à/SP  louer/VMN0000  devant/SP  vous/PP2CP00  un/DI0MS0  prédécesseur/NCMS000 ,/Fc"," homme/NCMS000"," d''/SP esprit/NCMS000  et/CC  de/SP  bien/RG ,/Fc  homme/NCMS000  de/SP  lettres/NCFP000  véritable/AQ0CS00 ,/Fc  que/CS  notre/DP1CSP  puissante/AQ0FS00  révolution/NCFS000  saisit/VMIP3S0  un/DI0MS0  instant/NCMS000 ,/Fc  emporta/VMIS3S0  au/SP  milieu/NCMS000"
"Histoire de la Révolution française, Tome 01","ce/DD0MS0  sanctuaire/NCMS000  des/SP  lettres/NCFP000 ,/Fc  il/PP3MSN0  m''/PP1CS00 est/VMIP3S0  doux/AQ0MN00  aussi/RG  d''/SP avoir/VMN0000  à/SP  louer/VMN0000  devant/SP  vous/PP2CP00  un/DI0MS0  prédécesseur/NCMS000 ,/Fc  homme/NCMS000  d''/SP esprit/NCMS000  et/CC  de/SP  bien/RG ,/Fc"," homme/NCMS000"," de/SP  lettres/NCFP000  véritable/AQ0CS00 ,/Fc  que/CS  notre/DP1CSP  puissante/AQ0FS00  révolution/NCFS000  saisit/VMIP3S0  un/DI0MS0  instant/NCMS000 ,/Fc  emporta/VMIS3S0  au/SP  milieu/NCMS000  des/SP  orages/NCMP000 ,/Fc  puis/CC  déposa/VMIS3S0 ,/Fc"
"Histoire de la Révolution française, Tome 01","la/DA0FS0  science/NCFS000  du/SP  droit/NCMS000 ,/Fc  affligeait/VMII3S0  son/DP3CSS  vieux/AQ0MN00  père/NCMS000  en/SP  écrivant/VMG0000  des/SP  pièces/NCFP000  de/SP  théâtre/NCMS000 ./Fp </s><s> Là/RG  se/PP3CN00  trouvait/VMII3S0  aussi/RG  Picard/AQ0MS00 ,/Fc  jeune/AQ0CS00"," homme/NCMS000"," franc/AQ0MS00 ,/Fc  ouvert/VMP00SM ,/Fc  plein/AQ0MS00  de/SP  verve/NCFS000 ./Fp </s><s> Ils/PP3MPN0  vivaient/VMII3P0  dans/SP  une/DI0FS0  étroite/AQ0FS00  intimité/NCFS000 ,/Fc  et/CC  songeaient/VMII3P0  à/SP  faire/VMN0000  une/DI0FS0  révolution/NCFS000  sur/SP  la/DA0FS0"
"Histoire de la Révolution française, Tome 01","tient/VMIP3S0  constamment/RG  en/SP  réserve/NCFS000  pour/SP  les/DA0CP0  esprits/NCMP000  élevés/VMP00PM  que/CS  la/DA0FS0  fortune/NCFS000  agite/VMIP1S0  et/CC  poursuit/VMIP3S0 ./Fp </s><s> Revenu/VMP00SM  à/SP  Paris/NPMP000  quand/CS  tous/DI0MP0  les/DA0CP0"," hommes/NCMP000"," paisibles/AQ0CP00  y/PP3CN00  revenaient/VMII3P0 ,/Fc  M./NP00000  Andrieux/NPMN000  y/PP3CN00  trouva/VMIS3S0  un/DI0MS0  emploi/NCMS000  utile/AQ0CS00 ,/Fc  devint/VMIS3S0  membre/NCMS000  de/SP  l''/DA0CS0 Institut/NPMS000 ,/Fc  bientôt/RG  juge/NCMS000  au/SP  tribunal/NCMS000  de/SP"
"Histoire de la Révolution française, Tome 01","aujourd''hui/RG  à/SP  la/DA0FS0  suite/NCFS000  d''/SP une/DI0FS0  révolution/NCFS000  pacifique/AQ0CS00 ,/Fc  ne/RN  l''/PP3CSA0 était/VMII3S0  pas/RN  alors/RG  à/SP  la/DA0FS0  suite/NCFS000  d''/SP une/DI0FS0  révolution/NCFS000  sanglante/AQ0FS00 ./Fp </s><s> Les/DA0CP0"," hommes/NCMP000"," de/SP  ce/DD0MS0  temps/NCMN000  avaient/VMII3P0  à/SP  se/PP3CN00  dire/VMN0000  d''/SP effrayantes/AQ0FP00  vérités/NCFP000 ./Fp </s><s> Ils/PP3MPN0  avaient/VAII3P0  versé/VMP00SM  le/DA0MS0  sang/NCMS000  les/DA0CP0  uns/PI0MP00  des/SP  autres/PI0CP00 ;/Fx  ils/PP3MPN0  s''/PP3CN00 étaient/VSII3P0"
"Histoire de la Révolution française, Tome 01","./Fp </s><s> Messieurs/NCMP000 ,/Fc  il/PP3MSN0  est/VMIP3S0  des/SP  temps/NCMN000  où/PR00000  toutes/DI0FP0  choses/NCFP000  peuvent/VMIP3P0  se/PP3CN00  dire/VMN0000  impunément/RG ,/Fc  où/PR00000  l''on/PP3CSN0  peut/VMIP3S0  sans/SP  danger/NCMS000  reprocher/VMN0000  aux/SP"," hommes/NCMP000"," publics/AQ0MP00  d''/SP avoir/VAN0000  opprimé/VMP00SM  les/DA0CP0  vaincus/NCMP000 ,/Fc  trahi/VMP00SM  leur/DP3CSP  pays/NCMN000 ,/Fc  manqué/VMP00SM  à/SP  l''/DA0CS0 honneur/NCMS000 ;/Fx  c''/PPSCNN0 est/VMIP3S0  quand/CS  ils/PP3MPN0  n''/RN ont/VAIP3P0  rien/PI0CS00  fait/VMP00SM  de/SP  pareil/AQ0MS00 ;/Fx  c''/PPSCNN0"
