"academic use only"

"corpus","preloaded/gutenberg20_de"
"subcorpus","-"
"concordance size","86967"
"query","Query:[lc=""Mann"" | lemma_lc=""Mann"" | ascii=""Mann""]"
"Reference","Left","KWIC","Right"
"Abhandlungen über die Fabel","sogleich/ADV  die/ART.Def.Acc.Pl.Fem  vornehmsten/ADJA.Sup.Acc.Pl.Fem  Erklärungen/N.Reg.Acc.Pl.Fem  prüfen/VINF.Full ,/SYM.Pun.Comma  welche/PRO.Rel.Subst.Acc.Pl.Fem  meine/PRO.Poss.Attr.Nom.Pl.Masc  Vorgänger/N.Reg.Nom.Pl.Masc  von/APPR  der/ART.Def.Dat.Sg.Fem  Fabel/N.Reg.Dat.Sg.Fem  gegeben/VPP.Full.Psp  haben/VFIN.Aux.3.Pl.Pres.Ind ./SYM.Pun.Sent </s><s> De/N.Name.*.*.*  La/N.Name.*.*.*  Motte/N.Reg.Nom.Sg.Fem </s><s> Dieser/PRO.Dem.Attr.Nom.Sg.Masc"," Mann/N.Reg.Nom.Sg.Masc",",/SYM.Pun.Comma  welcher/PRO.Rel.Subst.Nom.Sg.Masc  nicht/PART.Neg  sowohl/CONJ.Coord  ein/ART.Indef.Nom.Sg.Neut  großes/ADJA.Pos.Nom.Sg.Neut  poetisches/ADJA.Pos.Nom.Sg.Neut  Genie/N.Reg.Nom.Sg.Neut  als/CONJ.Comp  ein/ART.Indef.Nom.Sg.Masc  guter/ADJA.Pos.Nom.Sg.Masc ,/SYM.Pun.Comma  aufgeklärter/ADJA.Pos.Nom.Sg.Masc  Kopf/N.Reg.Nom.Sg.Masc  war/VFIN.Aux.3.Sg.Past.Ind ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  sich/PRO.Refl.Subst.3.Acc.Sg.*  an/APPR  mancherlei/PRO.Indef.Subst.*.*.*  wagen/VINF.Full"
"Abhandlungen über die Fabel","gegeben/VPP.Full.Psp  hat/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  insofern/CONJ.SubFin  sich/PRO.Refl.Subst.3.Acc.Sg.*  aus/APPR  beiden/PRO.Indef.Attr.Dat.Pl.Fem  ebendieselbe/FM  Wahrheit/N.Reg.Acc.Sg.Fem  ergibt/VFIN.Full.3.Sg.Pres.Ind ./SYM.Pun.Sent --/CARD Die/ART.Def.Nom.Sg.Fem  bekannte/ADJA.Pos.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem  vom/APPRART.Dat.Sg.Neut  Pferde/N.Reg.Dat.Sg.Neut ,/SYM.Pun.Comma  das/PRO.Rel.Subst.Nom.Sg.Neut  sich/PRO.Refl.Subst.3.Acc.Sg.*  von/APPR  dem/ART.Def.Dat.Sg.Masc"," Manne/N.Reg.Dat.Sg.Masc"," den/ART.Def.Acc.Sg.Masc  Zaum/N.Reg.Acc.Sg.Masc  anlegen/VINF.Full  ließ/VFIN.Full.3.Sg.Past.Ind  und/CONJ.Coord  ihn/PRO.Pers.Subst.3.Acc.Sg.Masc  auf/APPR  seinen/PRO.Poss.Attr.Acc.Sg.Masc  Rücken/N.Reg.Acc.Sg.Masc  nahm/VFIN.Full.3.Sg.Past.Ind ,/SYM.Pun.Comma  damit/CONJ.SubFin  er/PRO.Pers.Subst.3.Nom.Sg.Masc  ihm/PRO.Pers.Subst.3.Dat.Sg.Masc  nur/ADV  in/APPR  seiner/PRO.Poss.Attr.Dat.Sg.Fem  Rache/N.Reg.Dat.Sg.Fem ,/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Sg.Fem  es/PRO.Pers.Subst.3.Acc.Sg.Neut  an/APPR  dem/ART.Def.Dat.Sg.Masc  Hirsche/N.Reg.Dat.Sg.Masc  nehmen/VINF.Full  wollte/VFIN.Mod.1.Sg.Past.Ind"
"Abhandlungen über die Fabel","auf/APPR  die/ART.Def.Acc.Pl.Masc  beleidigten/ADJA.Pos.Acc.Pl.Masc  Himerenser/N.Reg.Acc.Pl.Masc ;/SYM.Pun.Sent  der/ART.Def.Nom.Sg.Masc  Hirsch/N.Reg.Nom.Sg.Masc  nicht/PART.Neg  auf/APPR  jeden/PRO.Indef.Attr.Acc.Sg.Masc  Beleidiger/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  sondern/CONJ.Coord  auf/APPR  die/ART.Def.Acc.Pl.Masc  Feinde/N.Reg.Acc.Pl.Masc  der/ART.Def.Gen.Pl.Masc  Himerenser/N.Reg.Gen.Pl.Masc ;/SYM.Pun.Sent  der/ART.Def.Nom.Sg.Masc"," Mann/N.Reg.Nom.Sg.Masc"," nicht/PART.Neg  auf/APPR  jeden/PRO.Indef.Attr.Acc.Sg.Masc  listigen/ADJA.Pos.Acc.Sg.Masc  Unterdrücker/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  sondern/CONJ.Coord  auf/APPR  den/ART.Def.Acc.Sg.Masc  Phalaris/N.Reg.Acc.Sg.Masc ;/SYM.Pun.Sent  die/ART.Def.Acc.Sg.Fem  Anlegung/N.Reg.Acc.Sg.Fem  des/ART.Def.Gen.Sg.Neut  Zaums/N.Reg.Gen.Sg.Neut  nicht/PART.Neg  auf/APPR  jeden/PRO.Indef.Attr.Acc.Sg.Masc  ersten/ADJA.Pos.Acc.Sg.Masc"
"Abhandlungen über die Fabel","in/APPR  ihr/PRO.Poss.Attr.Acc.Sg.Neut  völliges/ADJA.Pos.Acc.Sg.Neut  Licht/N.Reg.Acc.Sg.Neut  setzen/VINF.Full ./SYM.Pun.Sent </s><s> Ich/PRO.Pers.Subst.1.Nom.Sg.*  wähle/VFIN.Full.1.Sg.Pres.Ind  ein/ART.Indef.Acc.Sg.Neut  altes/ADJA.Pos.Acc.Sg.Neut ,/SYM.Pun.Comma  um/CONJ.SubInf  ohne/APPR  Mißgunst/N.Reg.Acc.Sg.Fem  recht/ADJD.Pos  haben/VINF.Aux  zu/PART.Zu  können/VINF.Mod ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem  nämlich/ADV  von/APPR  dem/ART.Def.Dat.Sg.Masc"," Mann/N.Reg.Dat.Sg.Masc"," und/CONJ.Coord  dem/ART.Def.Dat.Sg.Masc  Satyr/N.Reg.Dat.Sg.Masc ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left Der/ART.Def.Nom.Sg.Masc  Mann/N.Reg.Nom.Sg.Masc  bläset/VFIN.Full.3.Sg.Pres.Ind  in/APPR  seine/PRO.Poss.Attr.Acc.Sg.Fem  kalte/ADJA.Pos.Acc.Sg.Fem  Hand/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  um/CONJ.SubInf  seine/PRO.Poss.Attr.Acc.Sg.Fem  Hand/N.Reg.Acc.Sg.Fem  zu/PART.Zu  wärmen/VINF.Full ,/SYM.Pun.Comma  und/CONJ.Coord  bläset/ADJD.Pos  in/APPR  seinen/PRO.Poss.Attr.Acc.Sg.Masc  heißen/ADJA.Pos.Acc.Sg.Masc  Brei/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  um/CONJ.SubInf  seinen/PRO.Poss.Attr.Acc.Sg.Masc"
"Abhandlungen über die Fabel","setzen/VINF.Full ./SYM.Pun.Sent </s><s> Ich/PRO.Pers.Subst.1.Nom.Sg.*  wähle/VFIN.Full.1.Sg.Pres.Ind  ein/ART.Indef.Acc.Sg.Neut  altes/ADJA.Pos.Acc.Sg.Neut ,/SYM.Pun.Comma  um/CONJ.SubInf  ohne/APPR  Mißgunst/N.Reg.Acc.Sg.Fem  recht/ADJD.Pos  haben/VINF.Aux  zu/PART.Zu  können/VINF.Mod ./SYM.Pun.Sent </s><s> Die/ART.Def.Nom.Sg.Fem  Fabel/N.Reg.Nom.Sg.Fem  nämlich/ADV  von/APPR  dem/ART.Def.Dat.Sg.Masc  Mann/N.Reg.Dat.Sg.Masc  und/CONJ.Coord  dem/ART.Def.Dat.Sg.Masc  Satyr/N.Reg.Dat.Sg.Masc ./SYM.Pun.Sent </s><s> ""/SYM.Quot.Left Der/ART.Def.Nom.Sg.Masc"," Mann/N.Reg.Nom.Sg.Masc"," bläset/VFIN.Full.3.Sg.Pres.Ind  in/APPR  seine/PRO.Poss.Attr.Acc.Sg.Fem  kalte/ADJA.Pos.Acc.Sg.Fem  Hand/N.Reg.Acc.Sg.Fem ,/SYM.Pun.Comma  um/CONJ.SubInf  seine/PRO.Poss.Attr.Acc.Sg.Fem  Hand/N.Reg.Acc.Sg.Fem  zu/PART.Zu  wärmen/VINF.Full ,/SYM.Pun.Comma  und/CONJ.Coord  bläset/ADJD.Pos  in/APPR  seinen/PRO.Poss.Attr.Acc.Sg.Masc  heißen/ADJA.Pos.Acc.Sg.Masc  Brei/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  um/CONJ.SubInf  seinen/PRO.Poss.Attr.Acc.Sg.Masc  Brei/N.Reg.Acc.Sg.Masc  zu/PART.Zu  kühlen/VINF.Full ./SYM.Pun.Sent </s><s> Was/PRO.Inter.Subst.Nom.Sg.Neut ?/SYM.Pun.Sent  sagt/VFIN.Full.3.Sg.Pres.Ind"
"Abhandlungen über die Fabel","nicht/PART.Neg  richtig/ADJD.Pos  genug/ADV  ist/VFIN.Aux.3.Sg.Pres.Ind ,/SYM.Pun.Comma  sondern/CONJ.Coord  darin/PROADV.Dem ,/SYM.Pun.Comma  daß/CONJ.SubFin  es/PRO.Pers.Subst.3.Nom.Sg.Neut  weiter/ADV  nichts/PRO.Indef.Subst.*.*.Neut  als/CONJ.Comp  eine/ART.Indef.Nom.Sg.Fem  Allegorie/N.Reg.Nom.Sg.Fem  ist/VFIN.Aux.3.Sg.Pres.Ind ./SYM.Pun.Sent </s><s> Anstatt/CONJ.SubInf  daß/CONJ.SubFin  die/ART.Def.Nom.Sg.Fem  Handlung/N.Reg.Nom.Sg.Fem  des/ART.Def.Gen.Sg.Masc"," Mannes/N.Reg.Gen.Sg.Masc",",/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Masc  dem/ART.Def.Dat.Sg.Masc  Satyr/N.Reg.Dat.Sg.Masc  so/ADV  anstößig/ADJD.Pos  scheinet/VFIN.Full.2.Pl.Pres.Subj ,/SYM.Pun.Comma  unter/APPR  dem/ART.Def.Dat.Sg.Neut  allgemeinen/ADJA.Pos.Dat.Sg.Neut  Subjekte/N.Reg.Dat.Sg.Neut  des/ART.Def.Gen.Sg.Masc  Lehrsatzes/N.Reg.Gen.Sg.Masc  wirklich/ADJD.Pos  begriffen/VPP.Full.Psp  sein/VINF.Aux  sollte/VFIN.Mod.3.Sg.Past.Ind ,/SYM.Pun.Comma"
"Abhandlungen über die Fabel",",/SYM.Pun.Comma  unter/APPR  dem/ART.Def.Dat.Sg.Neut  allgemeinen/ADJA.Pos.Dat.Sg.Neut  Subjekte/N.Reg.Dat.Sg.Neut  des/ART.Def.Gen.Sg.Masc  Lehrsatzes/N.Reg.Gen.Sg.Masc  wirklich/ADJD.Pos  begriffen/VPP.Full.Psp  sein/VINF.Aux  sollte/VFIN.Mod.3.Sg.Past.Ind ,/SYM.Pun.Comma  ist/VFIN.Aux.3.Sg.Pres.Ind  sie/PRO.Pers.Subst.3.Nom.Sg.Fem  ihm/PRO.Pers.Subst.3.Dat.Sg.Masc  bloß/ADV  ähnlich/ADJD.Pos ./SYM.Pun.Sent </s><s> Der/ART.Def.Nom.Sg.Masc"," Mann/N.Reg.Nom.Sg.Masc"," sollte/VFIN.Mod.3.Sg.Past.Ind  sich/PRO.Refl.Subst.3.Acc.Sg.*  eines/ART.Indef.Gen.Sg.Masc  wirklichen/ADJA.Pos.Gen.Sg.Masc  Widerspruchs/N.Reg.Gen.Sg.Masc  schuldig/ADJD.Pos  machen/VINF.Full ,/SYM.Pun.Comma  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Widerspruch/N.Reg.Nom.Sg.Masc  ist/VFIN.Aux.3.Sg.Pres.Ind  nur/ADV  anscheinend/ADJD.Pos ./SYM.Pun.Sent </s><s> Die/ART.Def.Acc.Sg.Fem  Lehre/N.Reg.Acc.Sg.Fem"
"Abhandlungen über die Fabel",",/SYM.Pun.Comma  die/PRO.Rel.Subst.Nom.Pl.Fem  von/APPR  ebenderselben/ADJA.Pos.Dat.Sg.Fem  Sache/N.Reg.Dat.Sg.Fem  ja/ADV  und/CONJ.Coord  nein/PART.Ans  sagen/VFIN.Full.3.Pl.Pres.Ind ,/SYM.Pun.Comma  die/ART.Def.Acc.Sg.Fem  ebendasselbe/ADJA.Pos.Acc.Sg.Fem  Ding/N.Reg.Acc.Sg.Neut  loben/VFIN.Full.3.Pl.Pres.Ind  und/CONJ.Coord  tadeln/VFIN.Full.3.Pl.Pres.Ind :/SYM.Pun.Colon  und/CONJ.Coord  die/ART.Def.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem  zeiget/VFIN.Full.2.Pl.Pres.Subj  uns/PRO.Pers.Subst.1.Dat.Pl.*  einen/ART.Indef.Acc.Sg.Masc"," Mann/N.Reg.Acc.Sg.Masc",",/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  seinen/PRO.Poss.Attr.Acc.Sg.Masc  Atem/N.Reg.Acc.Sg.Masc  gegen/APPR  verschiedene/ADJA.Pos.Acc.Pl.Neut  Dinge/N.Reg.Acc.Pl.Neut  verschieden/ADJD.Pos  braucht/VFIN.Full.3.Sg.Pres.Ind ,/SYM.Pun.Comma  der/PRO.Rel.Subst.Nom.Sg.Masc  auf/APPR  ganz/ADV  etwas/PRO.Indef.Subst.*.*.Neut  anders/ADV  itzt/ADJD.Pos  seinen/PRO.Poss.Attr.Acc.Sg.Masc  Atem/N.Reg.Acc.Sg.Masc  warm/ADJD.Pos  haucht/VFIN.Full.3.Sg.Pres.Ind"
"Abhandlungen über die Fabel","Sorgfalt/N.Reg.Dat.Sg.Fem  vor/APPR  den/ART.Def.Dat.Pl.Neut  Augen/N.Reg.Dat.Pl.Neut  der/ART.Def.Gen.Sg.Fem  Welt/N.Reg.Gen.Sg.Fem  verborgen/ADJD.Pos  gehalten/VPP.Full.Psp ;/SYM.Pun.Sent  und/CONJ.Coord  der/ART.Def.Nom.Sg.Masc  Heuchler/N.Reg.Nom.Sg.Masc ,/SYM.Pun.Comma  den/PRO.Rel.Subst.Acc.Sg.Masc  hier/ADV  seine/PRO.Poss.Attr.Acc.Sg.Fem  Verstellung/N.Reg.Acc.Sg.Fem  zu/APPR  einem/ART.Indef.Dat.Sg.Masc  ehrwürdigen/ADJA.Pos.Dat.Sg.Masc"," Manne/N.Reg.Dat.Sg.Masc"," gemacht/VPP.Full.Psp  hatte/VFIN.Aux.3.Sg.Past.Ind ,/SYM.Pun.Comma  wird/VFIN.Aux.3.Sg.Pres.Ind  mit/APPR  Schande/N.Reg.Dat.Sg.Fem  und/CONJ.Coord  Verwirrung/N.Reg.Dat.Sg.Fem  überhäuft/VPP.Full.Psp  dastehen/VINF.Full !/SYM.Pun.Sent </s><s> ""/SYM.Quot.Left --/FM Vortrefflich/ADJD.Pos !/SYM.Pun.Sent </s><s> {/SYM.Other.XY Fussnote/N.Reg.Nom.Sg.Fem  12/CARD :/SYM.Pun.Colon  Herbelot/N.Name.Nom.Sg.Masc  Bibl/N.Name.Nom.Sg.Masc ./SYM.Pun.Sent </s>"
"Abhandlungen über die Fabel","Benennung/N.Reg.Dat.Sg.Fem  erhellet/VFIN.Full.2.Pl.Pres.Subj ./SYM.Pun.Sent </s><s> Oder/CONJ.Coord  man/PRO.Indef.Subst.Nom.Sg.*  verwandle/VFIN.Full.3.Sg.Pres.Subj  sie/PRO.Pers.Subst.3.Acc.Sg.Fem  lieber/ADV  gar/ADV  in/APPR  folgende/ADJA.Pos.Acc.Sg.Fem  menschliche/ADJA.Pos.Acc.Sg.Fem  Fabel/N.Reg.Acc.Sg.Fem :/SYM.Pun.Colon  ""/SYM.Quot.Left Ein/ART.Indef.Nom.Sg.Masc  Priester/N.Reg.Nom.Sg.Masc  kam/VFIN.Full.3.Sg.Past.Ind  zu/APPR  dem/ART.Def.Dat.Sg.Masc  armen/ADJA.Pos.Dat.Sg.Masc"," Manne/N.Reg.Dat.Sg.Masc"," des/ART.Def.Gen.Sg.Masc  Propheten/N.Reg.Gen.Sg.Masc  [/SYM.Paren.Left 4/CARD ]/SYM.Paren.Right  und/CONJ.Coord  sagte/VFIN.Full.3.Sg.Past.Ind :/SYM.Pun.Colon  Bringe/VFIN.Full.3.Sg.Pres.Subj  dein/PRO.Poss.Attr.Acc.Sg.Neut  weißes/ADJA.Pos.Acc.Sg.Neut  Lamm/N.Reg.Acc.Sg.Neut  vor/APPR  den/ART.Def.Acc.Sg.Masc  Altar/N.Reg.Acc.Sg.Masc ,/SYM.Pun.Comma  denn/CONJ.Coord  die/ART.Def.Nom.Pl.Masc  Götter/N.Reg.Nom.Pl.Masc  fordern/VFIN.Full.3.Pl.Pres.Ind  ein/ART.Indef.Acc.Sg.Neut  Opfer/N.Reg.Acc.Sg.Neut ./SYM.Pun.Sent </s><s> Der/ART.Def.Nom.Sg.Masc  Arme/ADJA.Pos.Nom.Sg.Masc"
