"academic use only"

"corpus","preloaded/gaeilge2"
"subcorpus","-"
"concordance size","6952"
"query","Query:[lc=""farraige"" | lemma_lc=""farraige""]"
"Reference","Left","KWIC","Right"
"doc#7","dheireanacha/Aq--pc  ,/Fi  agus/Cc  b''/Ws-i  éigean/Ncmsc  domh/Pr1-s  an/Td-s  Nollaig/Npmsc|Npfsc  a/Sp  chaitheamh/Nv  ,/Fi  achan/Ncmsc  gheimhreadh/Ncmsc  acu/Pr3-p  ,/Fi  istigh/Rd  i/Sp  dToraigh/Ncfsc  ./Fe </s><s> Bhí/Vmis  an/Td-s"," fharraige/Ncfsc"," chomh/Ri  mór/Aqp  sin/Dd  ar feadh/Spc  ,/Fi  mhair/Vmis  ceann/Ncmsc  amháin/Aqp  acu/Pr3-p  sin/Dd  ar feadh/Spc  sé/Ncmsg  seachtaine/Ncfsg  agus/Cc  an/Td-s  ceann/Ncmsc  eile/Dd  chóir/Ns-s  a/Sp  bheith/Nv  seacht/Mc|Ncmsc|Ncmsg"
"doc#7","sin/Dd  ar/Sp  an/Td-s  loch/Ncmsc  ansin/Rl  ,/Fi  so/Pd  ,/Fi  ba/Wsri  ghnáth/Ncmsc  linn/Ncfpg  cuid/Ncfsc  mhór/Ncmpg  iascaireachta/Ncfsg  a/Sp  dhéanamh/Nv  ./Fe </s><s> Ar/Sp  ghnáth/Ncmsc  leat/Pr2-s  a/Dp3ms  dhath/Ncmsc  a/Sp  dhéanamh/Nv  ar/Sp  an/Td-s"," fharraige/Ncfsc"," na/Td-p  bliantaí/Vmih0  sin/Pd  ,/Fi  móraim/Vmip1s  gur/Q--s  ar/Sp  an/Td-s  loch/Ncmsc  ab/Wsri  mhó/Aqc|Aqp  a/Q-r  chaitheadh/Vmih  sibh/Pp2-p  am/Ncmsc  ?/Fq </s><s> Ní/Qn  raibh/Vmis---n  mé/Pp1-s  ariamh/Ncmsc  ar/Sp  an/Td-s  fharraige/Ncfsc  ./Fe </s><s> Ní/Qn  raibh/Vmis---n  ,/Fi  ní/Qn  raibh/Vmis---n  na/Td-p"
"doc#7","dhath/Ncmsc  a/Sp  dhéanamh/Nv  ar/Sp  an/Td-s  fharraige/Ncfsc  na/Td-p  bliantaí/Vmih0  sin/Pd  ,/Fi  móraim/Vmip1s  gur/Q--s  ar/Sp  an/Td-s  loch/Ncmsc  ab/Wsri  mhó/Aqc|Aqp  a/Q-r  chaitheadh/Vmih  sibh/Pp2-p  am/Ncmsc  ?/Fq </s><s> Ní/Qn  raibh/Vmis---n  mé/Pp1-s  ariamh/Ncmsc  ar/Sp  an/Td-s"," fharraige/Ncfsc"," ./Fe </s><s> Ní/Qn  raibh/Vmis---n  ,/Fi  ní/Qn  raibh/Vmis---n  na/Td-p  bliantaí/Vmih0  sin/Pd  ,/Fi  bhí/Vmis  sé/Pp3mss  níos/Vmip---r  moille/Ncfsc  nuair/Cs  a/Q-r  chuir/Vmis  mé/Pp1-s  suim/Ncfsc  in/Sp  iascaireacht/Ncfsc  farraige/Ncfsg  ./Fe </s><s> Bhí/Vmis  ./Fe </s><s> Amuigh/Rd  ansin/Rl"
"doc#7","mé/Pp1-s  ariamh/Ncmsc  ar/Sp  an/Td-s  fharraige/Ncfsc  ./Fe </s><s> Ní/Qn  raibh/Vmis---n  ,/Fi  ní/Qn  raibh/Vmis---n  na/Td-p  bliantaí/Vmih0  sin/Pd  ,/Fi  bhí/Vmis  sé/Pp3mss  níos/Vmip---r  moille/Ncfsc  nuair/Cs  a/Q-r  chuir/Vmis  mé/Pp1-s  suim/Ncfsc  in/Sp  iascaireacht/Ncfsc"," farraige/Ncfsg"," ./Fe </s><s> Bhí/Vmis  ./Fe </s><s> Amuigh/Rd  ansin/Rl  ,/Fi  níos/Uc  faide/Aqc  amach/Rd  ,/Fi  páirc/Ncfsc  na/Td-s  peile/Ncfsg  ,/Fi  ar/Sp  ghnáth/Ncmsc  libh/Pr2-p  mórán/Ncmsc  peil/Ncfsc  ''/Fa  a/Sp  imirt/Nv  ?/Fq </s><s> Bhuel/I  ,/Fi  ní/Qn  raibh/Vmis---n  ,/Fi  really/Xf  ,/Fi  mórán/Ncmsc"
"doc#7","cuimhne/Ncfsg  agat/Pr2-s  fhéin/Px  air/Pr3ms  ,/Fi  a/Uv  Chonaill/Npm-v  ?/Fq </s><s> An/Td-s  pháirc/Ncfsc  íochtarach/Aq-fsc  -/Fb  South/Npmsc  Park/Npmsc  ./Fe </s><s> South/Npmsc  Park/Npmsc  ,/Fi  bhuel/I  ,/Fi  go/Ua  díreach/Aqp  !/Fe </s><s> Amuigh/Rd  ar/Sp  taobh/Ncmsc  na/Td-s"," farraige/Ncfsg"," ansin/Rl  ,/Fi  agus/Cc  bhí/Vmis  cluiche/Ncmsc  ansin/Rl  ./Fe </s><s> Sílim/Vmm-1s|Vmip1s  gur/Wpdi|Wsdi  cluiche/Ncmsc  faoi/Sp  chúig/Ncmsc  bliana/Ncfsg  déag/Ns-s  a/Q-r  bhí/Vmis  ann/Pr3ms  ,/Fi  in éadan/Spc  Choláiste/Ncmsg  Iarlaith/Npmsc  ,/Fi  agus/Cc"
"doc#7","aimsire/Ncfsg  eile/Dd  agat/Pr2-s  ,/Fi  níl/Npfsc|Vmip---n  againn/Pr1-p  ach/Cs  an/Td-s  cúpla/Ncmsc  soicind/Ncmsg  .../F  an/Qq  mbíonn/Vmig  tú/Pp2-s  ag/Sp  iascaireacht/Ncfsc  ?/Fq </s><s> Bím/Vmig1s  ag/Sp  déanamh/Nv  iascaireacht/Ncfsc"," farraige/Ncfsg"," ,/Fi  cinnte/Av|Aqp  ,/Fi  agus/Cc  is/Wpri  maith/Aqp|Ncfsc  liom/Pr1-s  an/Td-s  taisteal/Ncmsc  i/Sp  gcónaí/Ncmsc  ,/Fi  ar/Sp  ndóighe/Ncfsg  ,/Fi  nuair/Cs  atá/Vmip---r  laetha/Ncfpc  saoire/Ncfsg  ,/Fi  ag/Sp  imeacht/Nv  thar/Sp  lear/Ncmsc  ,/Fi  má/Cs  thig/Vmip  liom/Pr1-s"
"doc#7","agus/Cc  Joe/Npmsc  agus/Cc  Micí/Npmsc  Bán/Npmsg  ,/Fi  agus/Cc  trí/Sp  sheandaoine/Ncmpc  a/Q-r  bhí/Vmis  iontu/Pr3-p  ,/Fi  na/Td-p  créatúir/Ncmpc  ,/Fi  an/Qq  bhfuil/Vmip---d  a/Dp3ms  fhios/Ncmsc  agat/Pr2-s  ,/Fi  chaith/Vmis  siad/Pp3-ps  sin/Dd  a/Dp3-p  saol/Ncmsc  ar/Sp  an/Td-s"," fharraige/Ncfsc"," ag/Sp  iascaireacht/Ncfsc  agus/Cc  ag/Sp  saothrú/Nv  a/Dp3-p  mbeatha/Ncfsc  agus/Cc  ,/Fi  creidim/Vmm-1s|Vmip1s  ,/Fi  an/Qq  bhfuil/Vmip---d  a/Dp3ms  fhios/Ncmsc  agat/Pr2-s  ,/Fi  i/Sp  ndeireadh/Ncmsc  a/Dp3-p|Dp3fs  saoil/Ncmsg  is/Wpri  a/Dp3fs  laethaibh/Ncfsc  ,/Fi  an/Td-s"
"doc#7","é/Pp3ms  a/Q-r  bhuaileadh/Vmih  amach/Rd  !/Fe </s><s> Luíonn/Vmip  oileán/Ncmsc  Thoraí/Ncmsc  tuairim/Ncfsc  is/Cc  naoi/Ncmsc|Mc  míle/Ncmsg|Ncmsc  ó/Sp  ché/Ncfsc  Mhachaire/Npfsg  Rabhartaigh/Npfsg|Npmsg|Npmsc  ,/Fi  an/Td-s  t-oileán/Ncmsc  is/Wpri  faide/Aqc  i/Sp"," bhfarraige/Ncfsc"," amach/Rd  ó/Sp  chósta/Ncmsc  na/Td-s  tíre/Ncfsg  seo/Dd  ./Fe </s><s> Ach/Cs  tá/Vmip  lucht/Ncmsc  na/Td-s  deise/Ncfsg  labhartha/Av  a/Q-r  déarfadh/Vmc-3s|Vmc-2p  go/Cs  luíonn/Vmip  oileán/Ncmsc  ar/Sp|Qq-s|Q-p|Q-is  a/Q-i  dtugann/Vmip  said/Ncfsc  Éirinn/Npfsd  naoi/Ncmsc|Ncmsg|Mc  míle/Ncmsg|Ncmsc  ó/Sp"
"doc#7","tú/Pp2-s  ag/Sp  iascaireacht/Ncfsc  luath/Aq-fsc  ,/Fi  luath/Aqp  sa/Spa-s  tsaol/Ncmsc  ?/Fq </s><s> Thosaigh/Vmis  ,/Fi  ó/Sp  thosaigh/Ncmpc  mé/Pp1-s  ag/Sp  iascaireacht/Ncfsc  luath/Aq-fsc  ./Fe </s><s> An/Qq  raibh/Vmis---d  dúil/Ncfsc  agat/Pr2-s  san/Spa-s"," fharraige/Ncfsc"," ,/Fi  creidim/Vmip1s  nach/Qnr  raibh/Vmis---n  a/Dp3ms  athrach/Ncmsc  agat/Pr2-s  ?/Fq </s><s> Bheul/Npmsc  ,/Fi  bhí/Vmis  .../F  cha/Qn  raibh/Vmis---n  a/Dp3ms  athrach/Ncmsc  ann/Pr3ms  ./Fe </s><s> Chaithfeá/Vmc-2s  a/Sp  ghabháil/Nv  ''/Fa  na/Td-s  farraige/Ncfsc  fiachaint/Ncfsc"
"doc#7","agat/Pr2-s  san/Spa-s  fharraige/Ncfsc  ,/Fi  creidim/Vmip1s  nach/Qnr  raibh/Vmis---n  a/Dp3ms  athrach/Ncmsc  agat/Pr2-s  ?/Fq </s><s> Bheul/Npmsc  ,/Fi  bhí/Vmis  .../F  cha/Qn  raibh/Vmis---n  a/Dp3ms  athrach/Ncmsc  ann/Pr3ms  ./Fe </s><s> Chaithfeá/Vmc-2s  a/Sp  ghabháil/Nv  ''/Fa  na/Td-s"," farraige/Ncfsc"," fiachaint/Ncfsc  agus/Cc  rud/Ncmsc  beag/Aq-msc  a/Sp  shaothrú/Nv  ,/Fi  chaithfeadh/Vmc  ,/Fi  chaithfeadh/Vmc  ,/Fi  cinnte/Av|Aqp  ./Fe </s><s> C/Mr  ''/Fa  uair/Ncfsc  ,/Fi  mar/Cs  a/Q-r  déarfá/Vmc-2s  ,/Fi  an/Qq  bhfuil/Vmip---d  cuimhne/Ncfsc  agat/Pr2-s"
