"academic use only"

"corpus","preloaded/gaeilge2"
"subcorpus","-"
"concordance size","45850"
"query","Query:[lc=""fear"" | lemma_lc=""fear""]"
"Reference","Left","KWIC","Right"
"doc#0","an/Td-s  Aontais/Ncmpc  ./Fe </s><s> Tá/Vmip  bearta/Ncmpc  glactha/Av  chun/Sp  ceangaltas/Ncmsc  an/Td-s  Aontais/Ncmsg  maidir/Sp  le/Sp  neamh-idirdhealú/Ncmsc  agus/Cc  comhionannas/Ncmsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  a/Sp  neartú/Nv  ,/Fi  agus/Cc  chun/Sp  a/Sp  áirithiú/Nv  go/Cs  mbeidh/Vmif  cosaint/Ncfsc  leormhaith/Ncfsc  ag/Sp  an/Td-s  ngnáthdhuine/Ncmsc  maidir/Sp  lena/Spr  shonraí/Vmsp---n  pearsanta/Aqc  a/Dp3fs"
"doc#0","agus/Cc  chun/Sp  a/Sp  áirithiú/Nv  go/Cs  gcuirfear/Vmif0  i/Sp  bhfeidhm/Ncfsc  prionsabal/Ncmpg  an/Td-s  chomhionannais/Ncmpc  deiseanna/Ncfpg  agus/Cc  na/Td-s  córa/Ncfsg  comhionainne/Ncfsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  san/Spa-s  obair/Ncfsc  ,/Fi  lena/Spr  n-áirítear/Vmip0  prionsabal/Ncmsc  an/Td-s  phá/Ncmsg  chomhionainn/Vmih1s  as/Sp  obair/Ncfsc  chomhionann/Aqp  nó/Cc  obair/Ncfsc  ar/Wpsi|Wssi|Ws-q|Wsdq  comhionann/Aqp  a/Dp3ms  luach/Ncmsc"
"doc#1","a/Sp  thuilleadh/Nv  acu/Pr3-p  ;/Fi </s><s> AG/Sp  TABHAIRT/Nv  DÁ/Spp-s  nAIRE/Ncfsc  DÓIBH/Pr3-p  tábhacht/Ncfsc  an/Td-s  ghné/Ncfsg  shóisialta/Aqp  ,/Fi  lena/Spr  n-áirítear/Vmip0  cóir/Ns-s|Ncmpc|Ncfsc  chomhionann/Aqp  d''/Sp"," fhir/Ncmpc"," agus/Cc  do/Sp  mhná/Ncfpc  ,/Fi  a/Uv  fhorbairt/Nv  sa/Spa-s  Limistéar/Ncmsc  Eorpach/Npmsc  Eacnamaíoch/Aq-msc  agus/Cc  ós/Csw  toil/Ncfsc  leo/Pr3-p  an/Td-s  dul/Ncmsc  chun/Sp  cinn/Ncmsg  eacnamaíoch/Aq-msg  agus/Cc  sóisialta/Aqp"
"doc#1",",/Fi  agus/Cc  coimeádfaidh/Vmif  sé/Pp3mss  ar/Sp  bun/Ncmsc  ,/Fi  cur/Nv|Ncmsc  i/Sp  bhfeidhm/Ncfsc  an/Td-s  phrionsabail/Ncmsg  go/Cs  bhfuil/Vmip---d  pá/Ncmsc  comhionann/Aqp  as/Sp  obair/Ncfsc  chomhionann/Aqp  ag/Sp  dul/Nv  d''/Sp"," fhir/Ncmpc"," agus/Cc  do/Sp  mhná/Ncfpc  ./Fe </s><s> Chun/Sp  críocha/Ncfpc  an/Td-s  Airteagail/Ncmsg  seo/Dd  ,/Fi  ciallaíonn/Vmip  ''/Fa  pá/Ncmsc  ''/Fa  an/Td-s  gnáthphá/Ncmsc  nó/Cc  an/Td-s  gnáth-thuarastal/Ncmsc  bunaidh/Ncmsg  nó/Cc  íosta/Aqp"
"doc#1",",/Fi  go/Ua  díreach/Aqp  nó/Cc  go/Ua  hindíreach/Aqp  ,/Fi  óna/Spp-s  fhostóir/Ncmsc  as/Sp  ucht/Ncmsc  a/Dp3ms  fhostaíochta/Ncfsg  ./Fe </s><s> Ciallaíonn/Vmip  pá/Ncmsc  comhionann/Aqp  ,/Fi  gan/Sp  idirdhealú/Nv  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  :/Fi </s><s> (/F  a/Dp3fs  )/F  go/Q-s  ndéantar/Vmip0|Vmsp0  an/Td-s  pá/Ncmsc  as/Sp  an/Td-s  obair/Ncfsc  chéanna/Aqp  ar/Q-is  thascrátaí/Vmih0  a/Q-r  ríomh/Vmis  ar/Sp  bhonn/Ncmsc  an/Td-s  aonaid/Ncmsg  tomhais/Ncmsg|Ncmpc  chéanna/Ncfpg|Ncmsg  ;/Fi </s><s> (/F  b/Xx  )/F  i/Sp  gcás/Ncmsc"
"doc#1","1/Mn  a/Sp  chur/Nv  chun/Sp  feidhme/Ncfsg  ./Fe </s><s> Airteagal/Ncmsc  70/Mn </s><s> Cuirfidh/Vmif  na/Td-p  Páirtithe/Ncmpc  Conarthacha/Ncmpc  ar/Sp  aghaidh/Ncfsc  prionsabal/Ncmpg  na/Td-s  córa/Ncfsg  comhionainne/Ncfsc  d''/Sp"," fhir/Ncmpc"," agus/Cc  do/Sp  mhná/Ncfpc  trí/Ncmsg  na/Td-s  forálacha/Ncfsc  atá/Vmip---r  sonraithe/Nv--g  in/Sp  Iarscríbhinn/Ncfsc  XVIII/Mr  a/Sp  chur/Nv  chun/Sp  feidhme/Ncfsg  ./Fe </s><s> Airteagal/Ncmsc  71/Mn </s><s> Féachfaidh/Vmif  na/Td-p"
"doc#2","ar/Sp  ghníomhaíochtaí/Ncfpc  eacnamaíocha/Aq--pc  ,/Fi  le/Sp  hardleibhéal/Ncmsc  fostaíochta/Ncfsg  agus/Cc  slándála/Ncfsg  sóisialta/Aqp  ,/Fi  le/Sp  comhionannas/Ncmsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  ,/Fi  le/Sp  fás/Nv  inbhuanaithe/Ncmpc|Ncmpg  neamhbhoilscitheach/Ncmsc  ,/Fi  le/Sp  mórchumas/Ncmsc  iomaíochta/Ncfsg  agus/Cc  mórchóineasú/Nv  san/Pd|Spa-s  fheidhmiú/Nv"
"doc#2","./Fe </s><s> 2./Mn  Sna/Spa-p  gníomhaíochtaí/Ncfpc  uile/Ns-s|Dq  dá/Cs  dtagraítear/Vmip0  san/Spa-s  Airteagal/Ncmsc  seo/Dd  ,/Fi  beidh/Vmif  sé/Pp3mss  d''/Sp  aidhm/Ncfsc  ag/Sp  an/Td-s  gComhphobal/Ncmsc  neamhionannais/Ncmsg  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  a/Sp  dhíchur/Nv  agus/Cc  comhionannas/Ncmsc  eatarthu/Pr3-p  a/Sp  chur/Nv  ar/Sp  aghaidh/Ncfsc  ./Fe </s><s> Airteagal/Ncmsc  4/Mn  1./Mn  Chun/Sp  na/Td-s  gcríoch/Ncfsc  atá/Vmip---r  luaite/Nv--g  in/Sp  Airteagal/Ncmsc"
"doc#2","(/F  h/Xx  )/F  lánpháirtiú/Nv  daoine/Ncmpc|Ncmpg  atá/Vmip---r  arna/Spp-p|Spp-s  n-eisiamh/Ncmsc  ó/Sp  mhargadh/Ncmsc  an/Td-s  tsaothair/Ncmsg  ,/Fi  gan/Sp  dochar/Ncmsc  d''/Sp  Airteagal/Ncmsc  150/Mn  ;/Fi  (/F  i/Sp  )/F  comhionannas/Ncmsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  ar/Sp  mhargadh/Ncmsc  an/Td-s  tsaothair/Ncmsg  agus/Cc  cóir/Ns-s|Aqp|Ncmpc|Ncfsc  chomhionann/Aqp  san/Spa-s  obair/Ncfsc  ;/Fi  (/F  j/Xx  )/F  an/Td-s  t-eisiamh/Ncmsc  sóisialta/Aqp  a/Sp  chomhrac/Nv  ;/Fi  (/F  k/Xx  )/F  córais/Ncmpc"
"doc#2","d''/Sp  fhonn/Ncmsc  a/Sp  áirithiú/Nv  go/Cs  gcuirfear/Vmif0  i/Sp  bhfeidhm/Ncfsc  prionsabal/Ncmpg  an/Td-s  chomhionannais/Ncmpc  deiseanna/Ncfpg  agus/Cc  na/Td-s  córa/Ncfsg  comhionainne/Ncfsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  i/Sp  gcúrsaí/Ncmpc  fostaíochta/Ncfsg  agus/Cc  slí/Ncfsc  beatha/Ncfsg  ,/Fi  lena/Spr  n-áirítear/Vmip0  prionsabal/Ncmsc  an/Td-s  phá/Ncmsg  chomhionainn/Vmih1s  as/Sp  obair/Ncfsc  chomhionann/Aqp"
"doc#2","an/Td-s  phá/Ncmsg  chomhionainn/Vmih1s  as/Sp  obair/Ncfsc  chomhionann/Aqp  nó/Cc  obair/Ncfsc  ar/Wpsi|Wssi|Ws-q|Wsdq  comhionann/Aqp  a/Dp3ms  luach/Ncmsc  ./Fe </s><s> 4./Mn  D''/Sp  fhonn/Ncmsc  comhionannas/Ncmsc  iomlán/Aq-msc  iarbhír/Ncfsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  a/Sp  áirithiú/Nv  i/Sp  saol/Ncmsc  na/Td-s  hoibre/Ncfsg  ,/Fi  ní/Qn  chuirfidh/Vmif---n  prionsabal/Ncmsc  na/Td-s  córa/Ncfsg  comhionainne/Ncfsc  cosc/Ncmpg  ar/Sp  aon/Mc|Dq  Bhallstát/Npmsc  bearta/Ncmsg  a/Sp"
"doc#4","(/F  h/Xx  )/F  lánpháirtiú/Nv  daoine/Ncmpc|Ncmpg  atá/Vmip---r  arna/Spp-p|Spp-s  n-eisiamh/Ncmsc  ó/Sp  mhargadh/Ncmsc  an/Td-s  tsaothair/Ncmsg  ,/Fi  gan/Sp  dochar/Ncmsc  d''/Sp  Airteagal/Ncmsc  150/Mn  ;/Fi  (/F  i/Sp  )/F  comhionannas/Ncmsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  ar/Sp  mhargadh/Ncmsc  an/Td-s  tsaothair/Ncmsg  agus/Cc  cóir/Ns-s|Aqp|Ncmpc|Ncfsc  chomhionann/Aqp  san/Spa-s  obair/Ncfsc  ;/Fi  (/F  j/Xx  )/F  an/Td-s  t-eisiamh/Ncmsc  sóisialta/Aqp  a/Sp  chomhrac/Nv  ;/Fi  (/F  k/Xx  )/F  córais/Ncmpc"
"doc#5","ar/Sp  ghníomhaíochtaí/Ncfpc  eacnamaíocha/Aq--pc  ,/Fi  le/Sp  hardleibhéal/Ncmsc  fostaíochta/Ncfsg  agus/Cc  slándála/Ncfsg  sóisialta/Aqp  ,/Fi  le/Sp  comhionannas/Ncmsc  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  ,/Fi  le/Sp  fás/Nv  inbhuanaithe/Ncmpc|Ncmpg  neamh-bhoilscitheach/Ncmsc  ,/Fi  le/Sp  mórchumas/Ncmsc  iomaíochta/Ncfsg  agus/Cc  mórchóineasú/Nv  san/Pd|Spa-s  fheidhmiú/Nv"
"doc#5","./Fe </s><s> 2./Mn  Sna/Spa-p  gníomhaíochtaí/Ncfpc  uile/Ns-s|Dq  dá/Cs  dtagraítear/Vmip0  san/Spa-s  Airteagal/Ncmsc  seo/Dd  ,/Fi  beidh/Vmif  sé/Pp3mss  d''/Sp  aidhm/Ncfsc  ag/Sp  an/Td-s  gComhphobal/Ncmsc  neamhionannais/Ncmsg  idir/Sp"," fir/Ncmpc"," agus/Cc  mná/Ncfpc  a/Sp  dhíchur/Nv  agus/Cc  comhionannas/Ncmsc  eatarthu/Pr3-p  a/Sp  chur/Nv  ar/Sp  aghaidh/Ncfsc  ./Fe </s><s> Airteagal/Ncmsc  4/Mn  (/F  Sean-Airteagal/Xx  3a/Xx  )/F  1./Mn  Chun/Sp  na/Td-s  gcríoch/Ncfsc  atá/Vmip---r"
