lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Czech,1,plurality,True,2,RF,0.86,0.83,0.82,0.89,0.82,0.86,0.88,0.84,0.87,0.87,0.83,0.82,
Czech,1,plurality,True,3,NN,0.79,0.82,0.71,0.84,0.82,0.82,0.80,0.77,0.76,0.83,0.81,0.78,
Czech,1,plurality,True,1,DT,0.83,0.84,0.74,0.84,0.80,0.83,0.84,0.76,0.84,0.86,0.81,0.74,
Czech,1,plurality,False,2,RF,0.77,0.83,0.78,0.84,0.79,0.82,0.78,0.77,0.81,0.87,0.85,0.82,
Czech,1,plurality,False,3,NN,0.76,0.78,0.72,0.81,0.78,0.82,0.79,0.72,0.72,0.82,0.80,0.74,
Czech,1,plurality,False,1,DT,0.73,0.74,0.77,0.84,0.78,0.78,0.78,0.76,0.79,0.82,0.81,0.72,
Czech,2,gender2,True,3,NN,0.88,0.90,0.91,0.83,0.79,0.84,0.88,0.93,0.90,0.88,0.81,0.85,
Czech,2,gender2,False,2,RF,0.68,0.64,0.68,0.62,0.68,0.70,0.62,0.66,0.71,0.74,0.63,0.60,
Czech,2,gender2,False,1,DT,0.66,0.54,0.57,0.53,0.57,0.61,0.56,0.56,0.60,0.62,0.55,0.55,
Czech,2,gender2,False,3,NN,0.62,0.62,0.68,0.57,0.67,0.65,0.58,0.69,0.66,0.73,0.66,0.73,
Czech,2,gender2,True,1,DT,0.89,0.79,0.90,0.82,0.57,0.60,0.90,0.79,0.82,0.89,0.90,0.72,
Czech,2,gender2,True,2,RF,0.92,0.91,0.93,0.87,0.86,0.92,0.90,0.88,0.90,0.92,0.90,0.87,
Czech,3,case,True,1,DT,0.44,0.51,0.47,0.44,0.35,0.38,0.63,0.46,0.50,0.46,0.41,0.36,
Czech,3,case,True,3,NN,0.47,0.39,0.36,0.44,0.43,0.37,0.48,0.41,0.38,0.52,0.47,0.39,
Czech,3,case,False,2,RF,0.43,0.41,0.41,0.46,0.44,0.43,0.49,0.36,0.44,0.50,0.42,0.42,
Czech,3,case,True,2,RF,0.58,0.46,0.58,0.48,0.49,0.51,0.61,0.53,0.60,0.53,0.57,0.49,
Czech,3,case,False,1,DT,0.39,0.36,0.39,0.34,0.43,0.35,0.39,0.39,0.40,0.48,0.36,0.32,
Czech,3,case,False,3,NN,0.35,0.36,0.40,0.42,0.38,0.40,0.39,0.36,0.37,0.43,0.44,0.36,
