lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
French,1,plurality,True,1,DT,0.88,0.85,0.83,0.93,0.88,0.86,0.91,0.91,0.93,0.90,0.88,0.87,
French,1,plurality,True,2,RF,0.91,0.92,0.92,0.97,0.94,0.93,0.93,0.95,0.96,0.95,0.91,0.95,
French,1,plurality,False,1,DT,0.91,0.93,0.86,0.88,0.89,0.85,0.94,0.93,0.95,0.87,0.87,0.91,
French,1,plurality,True,3,NN,0.88,0.89,0.93,0.98,0.96,0.93,0.95,0.93,0.92,0.94,0.92,0.93,
French,1,plurality,False,3,NN,0.93,0.92,0.93,0.97,0.97,0.93,0.91,0.93,0.94,0.94,0.95,0.93,
French,1,plurality,False,2,RF,0.91,0.93,0.89,0.95,0.93,0.93,0.94,0.93,0.93,0.93,0.93,0.96,
French,2,gender,True,2,RF,0.77,0.73,0.75,0.78,0.73,0.79,0.78,0.76,0.78,0.71,0.77,0.82,
French,2,gender,True,1,DT,0.70,0.74,0.77,0.72,0.66,0.69,0.67,0.68,0.72,0.69,0.63,0.65,
French,2,gender,False,1,DT,0.69,0.72,0.72,0.72,0.64,0.62,0.61,0.75,0.68,0.60,0.63,0.76,
French,2,gender,True,3,NN,0.78,0.71,0.72,0.70,0.70,0.72,0.76,0.75,0.74,0.66,0.74,0.76,
French,2,gender,False,2,RF,0.74,0.72,0.73,0.81,0.72,0.80,0.77,0.75,0.75,0.75,0.74,0.82,
French,2,gender,False,3,NN,0.78,0.72,0.73,0.74,0.72,0.72,0.76,0.72,0.74,0.77,0.74,0.77,
