lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
German,1,plurality,True,2,RF,0.81,0.85,0.90,0.82,0.85,0.85,0.85,0.84,0.83,0.86,0.86,0.80,
German,1,plurality,True,3,NN,0.76,0.81,0.83,0.79,0.79,0.79,0.80,0.85,0.82,0.78,0.82,0.74,
German,1,plurality,True,1,DT,0.81,0.81,0.81,0.82,0.76,0.73,0.79,0.82,0.83,0.83,0.81,0.72,
German,1,plurality,False,2,RF,0.75,0.84,0.81,0.79,0.84,0.84,0.80,0.81,0.81,0.81,0.85,0.76,
German,1,plurality,False,3,NN,0.72,0.82,0.80,0.79,0.77,0.80,0.76,0.80,0.81,0.76,0.80,0.78,
German,1,plurality,False,1,DT,0.78,0.80,0.74,0.72,0.79,0.81,0.79,0.80,0.74,0.81,0.78,0.75,
German,2,gender,True,3,NN,0.51,0.59,0.50,0.58,0.57,0.60,0.57,0.58,0.56,0.47,0.56,0.58,
German,2,gender,False,2,RF,0.57,0.60,0.57,0.59,0.63,0.55,0.56,0.55,0.60,0.52,0.56,0.56,
German,2,gender,False,1,DT,0.52,0.59,0.48,0.55,0.48,0.49,0.46,0.52,0.48,0.51,0.44,0.52,
German,2,gender,False,3,NN,0.51,0.54,0.57,0.53,0.62,0.55,0.58,0.56,0.56,0.47,0.61,0.60,
German,2,gender,True,1,DT,0.51,0.49,0.50,0.50,0.55,0.52,0.46,0.52,0.58,0.48,0.45,0.53,
German,2,gender,True,2,RF,0.57,0.61,0.57,0.61,0.66,0.58,0.55,0.55,0.62,0.56,0.59,0.59,
German,3,case,True,1,DT,0.38,0.40,0.37,0.35,0.36,0.28,0.34,0.33,0.35,0.39,0.35,0.37,
German,3,case,True,3,NN,0.35,0.34,0.36,0.35,0.38,0.34,0.40,0.34,0.34,0.39,0.36,0.34,
German,3,case,False,2,RF,0.37,0.39,0.41,0.43,0.42,0.36,0.41,0.38,0.43,0.39,0.41,0.38,
German,3,case,True,2,RF,0.35,0.36,0.42,0.43,0.39,0.35,0.40,0.38,0.45,0.42,0.40,0.38,
German,3,case,False,1,DT,0.38,0.36,0.42,0.39,0.28,0.27,0.35,0.34,0.39,0.35,0.39,0.34,
German,3,case,False,3,NN,0.38,0.34,0.34,0.39,0.34,0.37,0.36,0.34,0.35,0.36,0.36,0.31,
