lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Irish,plurality,False,RF,0.63,0.69,0.65,0.73,0.71,0.66,0.69,0.66,0.63,0.67,0.68,0.66
Irish,plurality,False,NN,0.58,0.56,0.62,0.62,0.67,0.64,0.60,0.48,0.50,0.57,0.67,0.64
Irish,plurality,False,DT,0.60,0.66,0.63,0.68,0.68,0.63,0.69,0.64,0.61,0.61,0.66,0.63
Irish,plurality,True,RF,0.63,0.71,0.68,0.76,0.73,0.65,0.72,0.66,0.63,0.70,0.71,0.68
Irish,plurality,True,NN,0.61,0.63,0.62,0.63,0.70,0.63,0.66,0.58,0.61,0.58,0.64,0.63
Irish,plurality,True,DT,0.71,0.66,0.73,0.66,0.68,0.63,0.68,0.66,0.68,0.64,0.63,0.65
Irish,gender,False,RF,0.70,0.76,0.81,0.77,0.65,0.75,0.73,0.78,0.74,0.80,0.68,0.77
Irish,gender,False,NN,0.73,0.72,0.73,0.70,0.75,0.77,0.66,0.68,0.74,0.75,0.67,0.74
Irish,gender,False,DT,0.65,0.70,0.75,0.66,0.65,0.68,0.67,0.75,0.72,0.77,0.62,0.79
Irish,gender,True,RF,0.73,0.85,0.81,0.81,0.69,0.74,0.71,0.79,0.79,0.79,0.72,0.79
Irish,gender,True,NN,0.78,0.72,0.66,0.75,0.72,0.78,0.70,0.73,0.78,0.74,0.62,0.76
Irish,gender,True,DT,0.73,0.80,0.73,0.72,0.62,0.66,0.69,0.69,0.77,0.70,0.65,0.74
Irish,case,False,RF,0.96,0.97,0.98,0.95,0.98,0.96,0.96,0.97,0.97,0.96,0.96,0.96
Irish,case,False,NN,0.96,0.99,0.99,0.96,0.98,0.95,0.96,0.97,0.97,0.96,0.96,0.95
Irish,case,False,DT,0.95,0.92,0.96,0.96,0.98,0.95,0.96,0.94,0.97,0.96,0.95,0.93
Irish,case,True,RF,0.96,0.99,0.99,0.96,0.98,0.96,0.96,0.97,0.97,0.96,0.96,0.96
Irish,case,True,NN,0.96,0.99,0.99,0.96,0.98,0.95,0.96,0.97,0.97,0.96,0.96,0.96
Irish,case,True,DT,0.96,0.97,0.99,0.96,0.98,0.93,0.95,0.97,0.97,0.96,0.95,0.96
