lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,2,plurality,True,2,RF,0.93,0.86,0.91,0.88,0.83,0.89,0.90,0.83,0.85,0.85,0.81,0.84,
Czech,2,plurality,True,3,NN,0.94,0.82,0.90,0.86,0.83,0.81,0.86,0.82,0.85,0.82,0.81,0.80,
Czech,2,plurality,True,1,DT,0.86,0.83,0.89,0.83,0.81,0.83,0.88,0.81,0.85,0.81,0.79,0.82,
Czech,2,plurality,False,2,RF,0.85,0.78,0.82,0.88,0.81,0.85,0.84,0.79,0.82,0.83,0.80,0.88,
Czech,2,plurality,False,3,NN,0.79,0.79,0.80,0.83,0.82,0.84,0.79,0.76,0.81,0.84,0.82,0.82,
Czech,2,plurality,False,1,DT,0.86,0.80,0.81,0.79,0.81,0.84,0.84,0.78,0.76,0.82,0.77,0.82,
Czech,1,gender,True,2,RF,0.67,0.69,0.65,0.65,0.56,0.62,0.66,0.69,0.71,0.64,0.65,0.60,
Czech,1,gender,True,3,NN,0.65,0.69,0.63,0.67,0.60,0.69,0.58,0.63,0.73,0.64,0.67,0.62,
Czech,1,gender,True,1,DT,0.51,0.60,0.51,0.48,0.45,0.51,0.59,0.53,0.56,0.53,0.47,0.40,
Czech,1,gender,False,2,RF,0.68,0.65,0.60,0.56,0.55,0.61,0.61,0.66,0.66,0.65,0.64,0.54,
Czech,1,gender,False,3,NN,0.69,0.69,0.57,0.65,0.59,0.66,0.58,0.65,0.69,0.60,0.63,0.66,
Czech,1,gender,False,1,DT,0.57,0.61,0.48,0.45,0.48,0.48,0.49,0.47,0.56,0.48,0.45,0.40,
Czech,3,case,True,2,RF,0.55,0.60,0.55,0.48,0.54,0.54,0.55,0.56,0.48,0.47,0.51,0.54,
Czech,3,case,True,3,NN,0.52,0.44,0.47,0.40,0.45,0.41,0.45,0.42,0.43,0.42,0.37,0.39,
Czech,3,case,True,1,DT,0.55,0.51,0.54,0.52,0.47,0.46,0.45,0.51,0.49,0.35,0.41,0.36,
Czech,3,case,False,2,RF,0.42,0.50,0.45,0.46,0.53,0.45,0.41,0.43,0.44,0.40,0.43,0.47,
Czech,3,case,False,3,NN,0.41,0.42,0.40,0.37,0.42,0.38,0.42,0.43,0.37,0.33,0.36,0.32,
Czech,3,case,False,1,DT,0.41,0.47,0.40,0.39,0.50,0.40,0.37,0.43,0.32,0.31,0.33,0.37,
