lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,2,plurality,True,2,RF,0.83,0.85,0.81,0.81,0.81,0.80,0.83,0.83,0.86,0.79,0.86,0.84,
German,2,plurality,True,3,NN,0.80,0.81,0.80,0.81,0.79,0.78,0.73,0.78,0.78,0.81,0.77,0.79,
German,2,plurality,True,1,DT,0.79,0.87,0.74,0.78,0.77,0.74,0.81,0.72,0.82,0.76,0.79,0.75,
German,2,plurality,False,2,RF,0.78,0.84,0.76,0.81,0.81,0.81,0.76,0.81,0.81,0.76,0.82,0.82,
German,2,plurality,False,3,NN,0.77,0.80,0.74,0.77,0.79,0.76,0.76,0.79,0.72,0.75,0.82,0.76,
German,2,plurality,False,1,DT,0.76,0.82,0.76,0.70,0.78,0.70,0.80,0.78,0.74,0.74,0.77,0.78,
German,1,gender,True,2,RF,0.61,0.58,0.63,0.54,0.62,0.58,0.57,0.60,0.60,0.56,0.57,0.57,
German,1,gender,True,3,NN,0.53,0.60,0.63,0.59,0.56,0.61,0.56,0.52,0.56,0.56,0.60,0.52,
German,1,gender,True,1,DT,0.54,0.55,0.56,0.45,0.52,0.50,0.52,0.56,0.55,0.49,0.45,0.49,
German,1,gender,False,2,RF,0.59,0.63,0.59,0.52,0.61,0.58,0.58,0.55,0.64,0.55,0.55,0.60,
German,1,gender,False,3,NN,0.56,0.57,0.61,0.54,0.57,0.56,0.51,0.52,0.58,0.53,0.56,0.56,
German,1,gender,False,1,DT,0.55,0.52,0.58,0.51,0.55,0.47,0.55,0.56,0.56,0.45,0.52,0.52,
German,3,case,True,2,RF,0.42,0.44,0.41,0.46,0.43,0.35,0.39,0.43,0.49,0.41,0.36,0.41,
German,3,case,True,3,NN,0.36,0.40,0.33,0.38,0.33,0.35,0.36,0.36,0.35,0.38,0.37,0.34,
German,3,case,True,1,DT,0.39,0.37,0.36,0.36,0.40,0.36,0.29,0.38,0.42,0.38,0.33,0.35,
German,3,case,False,2,RF,0.42,0.35,0.38,0.45,0.44,0.34,0.28,0.42,0.40,0.45,0.36,0.40,
German,3,case,False,3,NN,0.33,0.43,0.33,0.35,0.36,0.34,0.38,0.36,0.35,0.34,0.32,0.35,
German,3,case,False,1,DT,0.41,0.33,0.34,0.35,0.37,0.29,0.35,0.37,0.39,0.40,0.34,0.35,
