lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
French,plurality,False,RF,0.92,0.89,0.95,0.93,0.92,0.90,0.94,0.93,0.95,0.93,0.94,0.90
French,plurality,False,NN,0.88,0.88,0.94,0.94,0.93,0.90,0.92,0.94,0.93,0.97,0.95,0.97
French,plurality,False,DT,0.88,0.88,0.87,0.92,0.85,0.85,0.88,0.90,0.93,0.91,0.83,0.82
French,plurality,True,RF,0.91,0.90,0.95,0.93,0.92,0.91,0.90,0.92,0.95,0.93,0.93,0.89
French,plurality,True,NN,0.89,0.93,0.97,0.92,0.95,0.91,0.94,0.92,0.93,0.95,0.97,0.93
French,plurality,True,DT,0.88,0.88,0.88,0.89,0.87,0.87,0.88,0.85,0.86,0.88,0.86,0.85
French,gender,False,RF,0.72,0.78,0.72,0.78,0.80,0.76,0.74,0.78,0.75,0.73,0.79,0.82
French,gender,False,NN,0.63,0.73,0.71,0.76,0.78,0.81,0.75,0.72,0.70,0.72,0.82,0.72
French,gender,False,DT,0.62,0.75,0.68,0.69,0.73,0.65,0.67,0.69,0.69,0.62,0.70,0.72
French,gender,True,RF,0.72,0.80,0.72,0.73,0.78,0.80,0.76,0.74,0.73,0.72,0.79,0.78
French,gender,True,NN,0.67,0.75,0.65,0.78,0.77,0.76,0.73,0.75,0.74,0.68,0.78,0.74
French,gender,True,DT,0.67,0.72,0.62,0.71,0.68,0.65,0.67,0.69,0.63,0.71,0.72,0.73
