lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.88,0.89,0.89,0.82,0.88,0.86,0.91,0.91,0.90,0.89,0.89,0.83,
French,1,plurality,True,2,RF,0.90,0.93,0.92,0.91,0.93,0.92,0.92,0.92,0.94,0.92,0.94,0.94,
French,1,plurality,False,1,DT,0.87,0.86,0.82,0.89,0.86,0.81,0.91,0.92,0.94,0.91,0.90,0.86,
French,1,plurality,True,3,NN,0.92,0.94,0.94,0.95,0.95,0.94,0.93,0.92,0.94,0.95,0.95,0.93,
French,1,plurality,False,3,NN,0.90,0.94,0.94,0.93,0.94,0.93,0.93,0.92,0.94,0.94,0.96,0.96,
French,1,plurality,False,2,RF,0.90,0.92,0.93,0.91,0.94,0.93,0.93,0.94,0.93,0.91,0.93,0.93,
French,2,gender,True,2,RF,0.78,0.81,0.77,0.79,0.79,0.71,0.77,0.74,0.80,0.74,0.80,0.79,
French,2,gender,True,1,DT,0.71,0.73,0.70,0.71,0.66,0.60,0.74,0.73,0.77,0.69,0.71,0.68,
French,2,gender,False,1,DT,0.75,0.80,0.69,0.69,0.68,0.61,0.70,0.74,0.70,0.69,0.62,0.68,
French,2,gender,True,3,NN,0.77,0.75,0.78,0.78,0.77,0.71,0.77,0.79,0.81,0.75,0.77,0.78,
French,2,gender,False,2,RF,0.77,0.81,0.76,0.83,0.76,0.72,0.80,0.76,0.79,0.76,0.78,0.76,
French,2,gender,False,3,NN,0.76,0.78,0.79,0.79,0.79,0.69,0.77,0.77,0.81,0.73,0.81,0.78,
