lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.88,0.81,0.81,0.80,0.81,0.80,0.85,0.81,0.78,0.82,0.85,0.78,
Czech,1,plurality,True,3,NN,0.88,0.74,0.83,0.82,0.82,0.81,0.83,0.72,0.81,0.82,0.84,0.82,
Czech,1,plurality,False,2,RF,0.88,0.78,0.82,0.85,0.84,0.85,0.82,0.83,0.80,0.85,0.84,0.79,
Czech,1,plurality,True,2,RF,0.91,0.88,0.87,0.88,0.90,0.85,0.88,0.87,0.86,0.86,0.85,0.82,
Czech,1,plurality,False,1,DT,0.88,0.78,0.79,0.82,0.80,0.82,0.84,0.82,0.80,0.80,0.78,0.79,
Czech,1,plurality,False,3,NN,0.84,0.69,0.77,0.81,0.86,0.79,0.83,0.73,0.77,0.78,0.83,0.87,
Czech,2,gender,False,1,DT,0.43,0.37,0.51,0.51,0.39,0.43,0.47,0.49,0.46,0.57,0.43,0.45,
Czech,2,gender,True,1,DT,0.51,0.48,0.57,0.51,0.50,0.48,0.51,0.48,0.60,0.57,0.46,0.42,
Czech,2,gender,True,2,RF,0.54,0.58,0.62,0.63,0.55,0.60,0.70,0.63,0.63,0.71,0.58,0.51,
Czech,2,gender,True,3,NN,0.55,0.57,0.68,0.63,0.65,0.59,0.62,0.68,0.69,0.64,0.57,0.49,
Czech,2,gender,False,3,NN,0.53,0.53,0.62,0.58,0.57,0.57,0.61,0.63,0.64,0.64,0.60,0.53,
Czech,2,gender,False,2,RF,0.52,0.56,0.55,0.61,0.58,0.60,0.62,0.62,0.68,0.62,0.57,0.53,
Czech,3,case,False,1,DT,0.36,0.42,0.44,0.36,0.39,0.30,0.38,0.35,0.42,0.38,0.39,0.43,
Czech,3,case,True,3,NN,0.31,0.41,0.39,0.40,0.47,0.39,0.37,0.31,0.37,0.38,0.37,0.44,
Czech,3,case,True,1,DT,0.45,0.54,0.46,0.45,0.43,0.37,0.49,0.46,0.36,0.37,0.33,0.42,
Czech,3,case,True,2,RF,0.45,0.53,0.62,0.49,0.46,0.47,0.50,0.42,0.53,0.43,0.45,0.51,
Czech,3,case,False,2,RF,0.35,0.37,0.47,0.34,0.44,0.43,0.35,0.35,0.35,0.41,0.38,0.48,
Czech,3,case,False,3,NN,0.35,0.38,0.37,0.39,0.36,0.45,0.30,0.30,0.39,0.34,0.36,0.38,
