lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.90,0.83,0.80,0.81,0.82,0.83,0.85,0.85,0.89,0.79,0.81,0.78,
Czech,1,plurality,True,3,NN,0.88,0.81,0.82,0.83,0.85,0.88,0.83,0.86,0.82,0.81,0.85,0.87,
Czech,1,plurality,True,2,RF,0.92,0.89,0.83,0.88,0.88,0.84,0.88,0.88,0.85,0.84,0.86,0.85,
Czech,1,plurality,False,2,RF,0.84,0.83,0.76,0.85,0.87,0.85,0.83,0.82,0.79,0.79,0.83,0.84,
Czech,1,plurality,False,3,NN,0.78,0.81,0.73,0.86,0.84,0.82,0.76,0.79,0.78,0.78,0.84,0.85,
Czech,1,plurality,False,1,DT,0.81,0.80,0.77,0.83,0.83,0.79,0.78,0.81,0.79,0.76,0.83,0.84,
Czech,2,gender,True,3,NN,0.61,0.66,0.70,0.64,0.68,0.62,0.62,0.71,0.61,0.68,0.64,0.69,
Czech,2,gender,False,2,RF,0.68,0.61,0.62,0.62,0.58,0.58,0.68,0.69,0.60,0.63,0.60,0.61,
Czech,2,gender,False,1,DT,0.53,0.48,0.52,0.58,0.45,0.43,0.50,0.56,0.58,0.49,0.50,0.49,
Czech,2,gender,False,3,NN,0.61,0.65,0.69,0.63,0.67,0.62,0.58,0.73,0.56,0.70,0.65,0.69,
Czech,2,gender,True,1,DT,0.58,0.52,0.54,0.55,0.49,0.45,0.55,0.55,0.55,0.55,0.46,0.55,
Czech,2,gender,True,2,RF,0.70,0.66,0.70,0.65,0.59,0.60,0.71,0.69,0.66,0.55,0.63,0.65,
Czech,3,case,True,1,DT,0.50,0.50,0.47,0.41,0.41,0.43,0.54,0.55,0.55,0.46,0.40,0.41,
Czech,3,case,True,3,NN,0.51,0.41,0.38,0.40,0.45,0.38,0.48,0.48,0.42,0.48,0.41,0.35,
Czech,3,case,False,2,RF,0.43,0.40,0.49,0.44,0.46,0.45,0.49,0.44,0.50,0.49,0.46,0.49,
Czech,3,case,True,2,RF,0.55,0.53,0.56,0.48,0.49,0.51,0.57,0.56,0.59,0.54,0.50,0.50,
Czech,3,case,False,1,DT,0.41,0.36,0.42,0.34,0.37,0.38,0.47,0.41,0.49,0.38,0.41,0.33,
Czech,3,case,False,3,NN,0.35,0.36,0.37,0.43,0.40,0.40,0.36,0.39,0.35,0.46,0.40,0.36,
