lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,1,DT,0.77,0.87,0.80,0.81,0.72,0.78,0.81,0.77,0.83,0.83,0.72,0.78,
German,1,plurality,True,3,NN,0.81,0.82,0.80,0.84,0.78,0.80,0.79,0.75,0.79,0.81,0.80,0.81,
German,1,plurality,True,2,RF,0.83,0.88,0.85,0.90,0.80,0.83,0.81,0.84,0.82,0.84,0.78,0.80,
German,1,plurality,False,2,RF,0.77,0.81,0.80,0.86,0.79,0.84,0.83,0.80,0.78,0.84,0.79,0.80,
German,1,plurality,False,3,NN,0.74,0.77,0.79,0.83,0.78,0.81,0.75,0.74,0.73,0.80,0.81,0.78,
German,1,plurality,False,1,DT,0.78,0.73,0.80,0.80,0.77,0.73,0.74,0.78,0.80,0.78,0.73,0.80,
German,2,gender,True,3,NN,0.54,0.57,0.67,0.53,0.54,0.54,0.54,0.55,0.57,0.54,0.60,0.54,
German,2,gender,False,2,RF,0.54,0.55,0.66,0.53,0.57,0.61,0.59,0.54,0.59,0.54,0.55,0.54,
German,2,gender,False,1,DT,0.50,0.53,0.52,0.49,0.54,0.57,0.46,0.48,0.54,0.44,0.46,0.46,
German,2,gender,False,3,NN,0.49,0.53,0.60,0.55,0.56,0.57,0.49,0.52,0.54,0.54,0.59,0.53,
German,2,gender,True,1,DT,0.45,0.51,0.56,0.51,0.53,0.55,0.48,0.51,0.59,0.45,0.43,0.49,
German,2,gender,True,2,RF,0.58,0.61,0.67,0.56,0.57,0.60,0.58,0.58,0.60,0.55,0.57,0.53,
German,3,case,True,1,DT,0.42,0.28,0.40,0.41,0.34,0.36,0.31,0.35,0.37,0.35,0.29,0.32,
German,3,case,True,3,NN,0.36,0.26,0.36,0.42,0.39,0.40,0.32,0.40,0.35,0.35,0.32,0.41,
German,3,case,False,2,RF,0.44,0.34,0.42,0.43,0.41,0.46,0.39,0.42,0.41,0.41,0.36,0.40,
German,3,case,True,2,RF,0.39,0.33,0.43,0.40,0.41,0.49,0.39,0.46,0.38,0.43,0.33,0.42,
German,3,case,False,1,DT,0.29,0.24,0.41,0.38,0.40,0.41,0.33,0.39,0.39,0.36,0.38,0.39,
German,3,case,False,3,NN,0.33,0.29,0.34,0.42,0.37,0.40,0.36,0.39,0.40,0.40,0.30,0.41,
