lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
German,1,plurality,True,2,RF,0.84,0.83,0.87,0.80,0.85,0.82,0.83,0.83,0.86,0.85,0.85,0.78,
German,1,plurality,True,3,NN,0.81,0.78,0.82,0.78,0.80,0.82,0.81,0.83,0.79,0.79,0.80,0.72,
German,1,plurality,True,1,DT,0.78,0.80,0.87,0.74,0.78,0.73,0.78,0.78,0.78,0.80,0.82,0.71,
German,1,plurality,False,2,RF,0.81,0.79,0.88,0.79,0.83,0.79,0.84,0.83,0.81,0.85,0.79,0.76,
German,1,plurality,False,3,NN,0.81,0.77,0.81,0.74,0.81,0.83,0.74,0.75,0.70,0.75,0.75,0.72,
German,1,plurality,False,1,DT,0.73,0.78,0.80,0.73,0.80,0.76,0.79,0.78,0.74,0.80,0.72,0.73,
German,2,gender,True,3,NN,0.61,0.60,0.55,0.50,0.50,0.53,0.51,0.58,0.62,0.46,0.49,0.49,
German,2,gender,False,2,RF,0.56,0.58,0.61,0.52,0.55,0.54,0.55,0.54,0.67,0.49,0.51,0.52,
German,2,gender,False,1,DT,0.39,0.53,0.53,0.53,0.50,0.49,0.49,0.46,0.62,0.44,0.40,0.49,
German,2,gender,False,3,NN,0.54,0.62,0.55,0.45,0.53,0.50,0.55,0.54,0.56,0.51,0.49,0.53,
German,2,gender,True,1,DT,0.42,0.51,0.50,0.49,0.48,0.50,0.51,0.55,0.53,0.46,0.39,0.43,
German,2,gender,True,2,RF,0.60,0.58,0.58,0.55,0.49,0.52,0.57,0.62,0.67,0.50,0.50,0.53,
German,3,case,True,1,DT,0.36,0.31,0.41,0.34,0.41,0.28,0.30,0.42,0.34,0.29,0.31,0.29,
German,3,case,True,3,NN,0.30,0.33,0.33,0.44,0.33,0.35,0.31,0.40,0.30,0.32,0.36,0.36,
German,3,case,False,2,RF,0.41,0.33,0.43,0.44,0.42,0.33,0.33,0.40,0.41,0.34,0.42,0.39,
German,3,case,True,2,RF,0.41,0.36,0.48,0.42,0.48,0.37,0.33,0.38,0.41,0.34,0.48,0.43,
German,3,case,False,1,DT,0.39,0.36,0.42,0.42,0.45,0.29,0.31,0.38,0.35,0.28,0.33,0.36,
German,3,case,False,3,NN,0.32,0.27,0.37,0.42,0.34,0.36,0.29,0.38,0.34,0.33,0.33,0.38,
