lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,2,RF,0.85,0.84,0.84,0.78,0.83,0.82,0.86,0.79,0.87,0.85,0.81,0.79,
German,1,plurality,True,3,NN,0.86,0.78,0.78,0.80,0.78,0.77,0.84,0.74,0.78,0.77,0.83,0.80,
German,1,plurality,True,1,DT,0.88,0.84,0.78,0.78,0.78,0.78,0.84,0.74,0.83,0.78,0.77,0.78,
German,1,plurality,False,2,RF,0.81,0.80,0.79,0.75,0.85,0.82,0.77,0.78,0.80,0.84,0.80,0.81,
German,1,plurality,False,3,NN,0.78,0.76,0.77,0.74,0.82,0.80,0.85,0.75,0.77,0.79,0.82,0.78,
German,1,plurality,False,1,DT,0.80,0.78,0.80,0.73,0.80,0.72,0.74,0.73,0.79,0.78,0.77,0.80,
German,2,gender,True,3,NN,0.50,0.51,0.54,0.55,0.55,0.56,0.52,0.53,0.55,0.58,0.54,0.51,
German,2,gender,False,2,RF,0.48,0.57,0.55,0.54,0.58,0.58,0.61,0.50,0.55,0.57,0.53,0.50,
German,2,gender,False,1,DT,0.48,0.46,0.50,0.50,0.50,0.49,0.57,0.49,0.45,0.50,0.50,0.35,
German,2,gender,False,3,NN,0.46,0.55,0.61,0.50,0.62,0.55,0.49,0.50,0.56,0.52,0.52,0.49,
German,2,gender,True,1,DT,0.46,0.55,0.48,0.50,0.47,0.53,0.55,0.46,0.50,0.50,0.44,0.44,
German,2,gender,True,2,RF,0.59,0.56,0.56,0.54,0.60,0.58,0.63,0.53,0.62,0.61,0.51,0.45,
German,3,case,True,1,DT,0.35,0.38,0.33,0.40,0.25,0.38,0.36,0.36,0.33,0.32,0.36,0.33,
German,3,case,True,3,NN,0.28,0.37,0.35,0.37,0.28,0.31,0.33,0.36,0.35,0.35,0.46,0.28,
German,3,case,False,2,RF,0.31,0.34,0.38,0.47,0.30,0.42,0.38,0.39,0.33,0.38,0.47,0.36,
German,3,case,True,2,RF,0.32,0.36,0.41,0.47,0.30,0.36,0.45,0.47,0.39,0.42,0.43,0.39,
German,3,case,False,1,DT,0.38,0.41,0.36,0.34,0.25,0.35,0.38,0.38,0.42,0.33,0.35,0.42,
German,3,case,False,3,NN,0.33,0.33,0.33,0.38,0.29,0.36,0.25,0.33,0.33,0.44,0.44,0.31,
