lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Irish,1,plurality,True,2,RF,0.69,0.67,0.64,0.58,0.64,0.67,0.70,0.73,0.65,0.78,0.65,0.68,
Irish,1,plurality,True,3,NN,0.66,0.63,0.65,0.60,0.59,0.66,0.56,0.68,0.61,0.72,0.60,0.58,
Irish,1,plurality,True,1,DT,0.60,0.70,0.64,0.58,0.62,0.64,0.63,0.66,0.62,0.71,0.68,0.63,
Irish,1,plurality,False,2,RF,0.63,0.65,0.57,0.54,0.64,0.66,0.66,0.68,0.67,0.73,0.67,0.68,
Irish,1,plurality,False,3,NN,0.59,0.60,0.58,0.57,0.57,0.59,0.55,0.54,0.65,0.64,0.49,0.57,
Irish,1,plurality,False,1,DT,0.63,0.59,0.57,0.57,0.61,0.66,0.65,0.68,0.61,0.71,0.65,0.65,
Irish,2,gender,True,3,NN,0.75,0.71,0.73,0.73,0.69,0.69,0.68,0.70,0.66,0.75,0.73,0.76,
Irish,2,gender,False,2,RF,0.77,0.72,0.71,0.72,0.67,0.72,0.73,0.73,0.69,0.74,0.72,0.71,
Irish,2,gender,False,1,DT,0.73,0.68,0.71,0.63,0.71,0.66,0.68,0.66,0.65,0.70,0.70,0.68,
Irish,2,gender,False,3,NN,0.68,0.71,0.69,0.74,0.66,0.70,0.69,0.62,0.62,0.69,0.68,0.75,
Irish,2,gender,True,1,DT,0.77,0.72,0.71,0.69,0.68,0.63,0.77,0.68,0.65,0.65,0.68,0.68,
Irish,2,gender,True,2,RF,0.81,0.78,0.72,0.72,0.68,0.71,0.78,0.76,0.73,0.81,0.75,0.70,
Irish,3,case,True,1,DT,1.00,0.91,0.96,0.96,0.96,0.96,0.95,0.91,0.94,0.96,1.00,0.97,
Irish,3,case,True,3,NN,1.00,0.96,0.96,0.98,0.96,0.96,0.99,0.93,0.96,0.96,1.00,0.97,
Irish,3,case,False,2,RF,1.00,0.96,0.96,0.98,0.96,0.96,0.99,0.93,0.96,0.96,0.99,0.97,
Irish,3,case,True,2,RF,1.00,0.96,0.96,0.98,0.96,0.96,0.99,0.93,0.96,0.96,1.00,0.97,
Irish,3,case,False,1,DT,0.98,0.96,0.96,0.97,0.95,0.96,0.99,0.91,0.96,0.96,0.97,0.96,
Irish,3,case,False,3,NN,1.00,0.96,0.96,0.98,0.96,0.96,0.99,0.93,0.96,0.96,1.00,0.97,
