lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Czech,1,plurality,True,2,RF,0.89,0.91,0.90,0.81,0.85,0.81,0.89,0.83,0.89,0.89,0.87,0.85,
Czech,1,plurality,True,3,NN,0.88,0.90,0.84,0.78,0.83,0.83,0.84,0.83,0.83,0.83,0.85,0.80,
Czech,1,plurality,True,1,DT,0.83,0.83,0.89,0.77,0.82,0.85,0.84,0.88,0.85,0.81,0.84,0.81,
Czech,1,plurality,False,2,RF,0.80,0.85,0.82,0.80,0.83,0.82,0.83,0.79,0.82,0.90,0.85,0.83,
Czech,1,plurality,False,3,NN,0.78,0.82,0.81,0.74,0.80,0.83,0.78,0.76,0.79,0.83,0.84,0.80,
Czech,1,plurality,False,1,DT,0.75,0.82,0.81,0.78,0.80,0.82,0.83,0.75,0.81,0.84,0.81,0.81,
Czech,2,gender2,True,3,NN,0.96,0.94,0.93,0.90,0.89,0.83,0.90,0.91,0.93,0.89,0.84,0.84,
Czech,2,gender2,False,2,RF,0.73,0.74,0.68,0.69,0.70,0.65,0.68,0.71,0.73,0.71,0.64,0.64,
Czech,2,gender2,False,1,DT,0.65,0.62,0.64,0.64,0.58,0.61,0.62,0.64,0.65,0.66,0.59,0.52,
Czech,2,gender2,False,3,NN,0.69,0.78,0.72,0.71,0.73,0.71,0.66,0.70,0.72,0.77,0.70,0.70,
Czech,2,gender2,True,1,DT,0.92,0.89,0.93,0.73,0.66,0.60,0.86,0.86,0.88,0.77,0.71,0.52,
Czech,2,gender2,True,2,RF,0.95,0.96,0.93,0.88,0.88,0.86,0.91,0.90,0.93,0.91,0.79,0.83,
Czech,3,case,True,1,DT,0.45,0.43,0.47,0.38,0.39,0.34,0.51,0.51,0.48,0.48,0.41,0.43,
Czech,3,case,True,3,NN,0.45,0.40,0.44,0.52,0.38,0.36,0.47,0.43,0.45,0.43,0.36,0.37,
Czech,3,case,False,2,RF,0.42,0.43,0.42,0.48,0.48,0.43,0.40,0.39,0.44,0.45,0.45,0.42,
Czech,3,case,True,2,RF,0.51,0.49,0.51,0.56,0.55,0.47,0.49,0.46,0.56,0.58,0.52,0.46,
Czech,3,case,False,1,DT,0.35,0.39,0.38,0.36,0.40,0.39,0.41,0.33,0.41,0.39,0.38,0.34,
Czech,3,case,False,3,NN,0.40,0.39,0.40,0.46,0.38,0.35,0.39,0.33,0.42,0.42,0.33,0.37,
