lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
French,1,plurality,True,1,DT,0.92,0.91,0.86,0.88,0.91,0.85,0.88,0.89,0.90,0.90,0.88,0.92,
French,1,plurality,True,2,RF,0.89,0.90,0.87,0.93,0.94,0.93,0.94,0.91,0.92,0.96,0.95,0.96,
French,1,plurality,False,1,DT,0.88,0.88,0.90,0.90,0.83,0.85,0.92,0.86,0.78,0.94,0.88,0.86,
French,1,plurality,True,3,NN,0.91,0.93,0.93,0.94,0.94,0.94,0.95,0.94,0.91,0.97,0.96,0.96,
French,1,plurality,False,3,NN,0.93,0.90,0.90,0.94,0.97,0.95,0.94,0.92,0.89,0.98,0.97,0.95,
French,1,plurality,False,2,RF,0.88,0.89,0.86,0.94,0.95,0.93,0.94,0.91,0.88,0.97,0.96,0.96,
French,2,gender,True,2,RF,0.82,0.78,0.73,0.82,0.81,0.73,0.82,0.81,0.74,0.77,0.83,0.78,
French,2,gender,True,1,DT,0.81,0.68,0.71,0.79,0.68,0.69,0.71,0.74,0.69,0.68,0.67,0.65,
French,2,gender,False,1,DT,0.76,0.71,0.74,0.68,0.64,0.69,0.73,0.73,0.68,0.73,0.69,0.68,
French,2,gender,True,3,NN,0.76,0.75,0.76,0.81,0.78,0.78,0.73,0.77,0.70,0.77,0.76,0.79,
French,2,gender,False,2,RF,0.83,0.74,0.71,0.81,0.81,0.74,0.80,0.80,0.77,0.80,0.82,0.78,
French,2,gender,False,3,NN,0.76,0.76,0.73,0.81,0.78,0.76,0.73,0.80,0.68,0.77,0.72,0.78,
