lang,attribute.index,attribute,supplement,method.index,method,,,,,,,,,,,,,max
Irish,1,plurality,True,2,RF,0.68,0.66,0.69,0.64,0.66,0.67,0.75,0.72,0.77,0.72,0.68,0.71,
Irish,1,plurality,True,3,NN,0.66,0.68,0.71,0.62,0.65,0.63,0.64,0.68,0.71,0.69,0.66,0.68,
Irish,1,plurality,True,1,DT,0.67,0.65,0.65,0.60,0.65,0.65,0.70,0.68,0.72,0.65,0.62,0.66,
Irish,1,plurality,False,2,RF,0.65,0.63,0.69,0.62,0.67,0.64,0.70,0.69,0.74,0.68,0.68,0.71,
Irish,1,plurality,False,3,NN,0.58,0.62,0.62,0.66,0.64,0.57,0.62,0.58,0.64,0.61,0.63,0.67,
Irish,1,plurality,False,1,DT,0.62,0.62,0.64,0.63,0.66,0.65,0.63,0.64,0.70,0.65,0.65,0.70,
Irish,2,gender,True,3,NN,0.79,0.70,0.71,0.80,0.72,0.71,0.76,0.70,0.63,0.76,0.72,0.72,
Irish,2,gender,False,2,RF,0.75,0.65,0.69,0.80,0.75,0.76,0.77,0.68,0.63,0.77,0.75,0.74,
Irish,2,gender,False,1,DT,0.73,0.61,0.67,0.73,0.65,0.74,0.70,0.65,0.63,0.70,0.76,0.67,
Irish,2,gender,False,3,NN,0.75,0.73,0.69,0.76,0.71,0.73,0.68,0.64,0.62,0.76,0.75,0.71,
Irish,2,gender,True,1,DT,0.75,0.67,0.73,0.72,0.69,0.72,0.76,0.78,0.72,0.70,0.71,0.65,
Irish,2,gender,True,2,RF,0.80,0.77,0.73,0.85,0.78,0.77,0.80,0.77,0.69,0.80,0.78,0.72,
Irish,3,case,True,1,DT,0.95,0.98,0.97,0.95,0.96,0.95,0.97,0.98,0.93,0.96,0.96,0.93,
Irish,3,case,True,3,NN,0.96,0.98,0.98,0.95,0.96,0.97,0.96,0.98,0.95,0.96,0.96,0.94,
Irish,3,case,False,2,RF,0.96,0.98,0.98,0.95,0.96,0.97,0.96,0.98,0.95,0.96,0.96,0.94,
Irish,3,case,True,2,RF,0.96,0.98,0.98,0.95,0.96,0.97,0.96,0.98,0.95,0.96,0.96,0.95,
Irish,3,case,False,1,DT,0.96,0.98,0.97,0.95,0.95,0.97,0.96,0.98,0.95,0.96,0.95,0.94,
Irish,3,case,False,3,NN,0.96,0.98,0.98,0.95,0.96,0.97,0.96,0.98,0.95,0.96,0.96,0.94,
