lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,2,RF,0.87,0.89,0.84,0.88,0.79,0.82,0.91,0.82,0.85,0.89,0.82,0.78,
Czech,1,plurality,True,3,NN,0.83,0.88,0.78,0.80,0.83,0.77,0.82,0.82,0.78,0.87,0.78,0.78,
Czech,1,plurality,True,1,DT,0.82,0.88,0.78,0.87,0.78,0.78,0.88,0.83,0.79,0.82,0.78,0.77,
Czech,1,plurality,False,2,RF,0.84,0.83,0.79,0.86,0.80,0.78,0.82,0.76,0.81,0.86,0.85,0.80,
Czech,1,plurality,False,3,NN,0.80,0.81,0.73,0.79,0.84,0.80,0.76,0.79,0.74,0.87,0.79,0.78,
Czech,1,plurality,False,1,DT,0.82,0.79,0.82,0.83,0.73,0.73,0.80,0.80,0.76,0.79,0.80,0.73,
Czech,2,gender2,True,3,NN,0.92,0.93,0.86,0.85,0.82,0.84,0.88,0.91,0.89,0.88,0.74,0.78,
Czech,2,gender2,False,2,RF,0.70,0.72,0.62,0.62,0.68,0.67,0.61,0.72,0.68,0.69,0.60,0.68,
Czech,2,gender2,False,1,DT,0.61,0.62,0.54,0.49,0.56,0.52,0.55,0.65,0.52,0.63,0.53,0.59,
Czech,2,gender2,False,3,NN,0.63,0.68,0.67,0.62,0.66,0.67,0.57,0.71,0.60,0.69,0.61,0.71,
Czech,2,gender2,True,1,DT,0.91,0.90,0.82,0.61,0.83,0.57,0.82,0.88,0.68,0.63,0.55,0.81,
Czech,2,gender2,True,2,RF,0.93,0.93,0.93,0.85,0.92,0.90,0.88,0.91,0.91,0.89,0.84,0.84,
Czech,3,case,True,1,DT,0.45,0.35,0.48,0.36,0.46,0.37,0.54,0.37,0.42,0.40,0.36,0.44,
Czech,3,case,True,3,NN,0.39,0.39,0.36,0.35,0.41,0.35,0.42,0.40,0.34,0.40,0.36,0.38,
Czech,3,case,False,2,RF,0.42,0.40,0.40,0.49,0.43,0.43,0.43,0.42,0.39,0.39,0.47,0.48,
Czech,3,case,True,2,RF,0.59,0.50,0.51,0.58,0.47,0.48,0.53,0.56,0.47,0.53,0.54,0.46,
Czech,3,case,False,1,DT,0.39,0.32,0.39,0.40,0.37,0.30,0.38,0.39,0.40,0.32,0.41,0.36,
Czech,3,case,False,3,NN,0.38,0.33,0.36,0.36,0.35,0.38,0.38,0.31,0.36,0.36,0.39,0.40,
