lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
German,1,plurality,True,2,RF,0.87,0.78,0.89,0.84,0.78,0.80,0.88,0.83,0.82,0.82,0.76,0.77,
German,1,plurality,True,3,NN,0.80,0.75,0.83,0.82,0.75,0.81,0.83,0.78,0.78,0.76,0.78,0.78,
German,1,plurality,True,1,DT,0.84,0.80,0.82,0.84,0.72,0.74,0.83,0.83,0.78,0.72,0.68,0.72,
German,1,plurality,False,2,RF,0.82,0.70,0.88,0.82,0.80,0.78,0.82,0.83,0.77,0.81,0.74,0.76,
German,1,plurality,False,3,NN,0.77,0.68,0.78,0.81,0.78,0.77,0.78,0.72,0.74,0.80,0.78,0.78,
German,1,plurality,False,1,DT,0.74,0.67,0.80,0.78,0.77,0.69,0.79,0.79,0.78,0.79,0.67,0.77,
German,2,gender,True,3,NN,0.44,0.63,0.50,0.60,0.49,0.53,0.50,0.54,0.61,0.55,0.53,0.55,
German,2,gender,False,2,RF,0.50,0.59,0.55,0.47,0.51,0.55,0.53,0.64,0.60,0.60,0.60,0.55,
German,2,gender,False,1,DT,0.46,0.52,0.54,0.43,0.45,0.54,0.49,0.52,0.56,0.50,0.50,0.50,
German,2,gender,False,3,NN,0.44,0.55,0.48,0.51,0.51,0.49,0.55,0.57,0.59,0.54,0.57,0.49,
German,2,gender,True,1,DT,0.55,0.50,0.48,0.50,0.52,0.45,0.45,0.57,0.57,0.44,0.47,0.44,
German,2,gender,True,2,RF,0.50,0.59,0.57,0.57,0.52,0.56,0.60,0.61,0.61,0.58,0.57,0.51,
German,3,case,True,1,DT,0.34,0.37,0.51,0.37,0.28,0.38,0.36,0.36,0.38,0.34,0.27,0.33,
German,3,case,True,3,NN,0.28,0.28,0.36,0.38,0.34,0.21,0.33,0.33,0.31,0.45,0.32,0.39,
German,3,case,False,2,RF,0.33,0.31,0.38,0.45,0.38,0.34,0.40,0.40,0.46,0.48,0.39,0.40,
German,3,case,True,2,RF,0.34,0.34,0.42,0.46,0.41,0.38,0.47,0.36,0.38,0.47,0.38,0.38,
German,3,case,False,1,DT,0.33,0.37,0.38,0.44,0.23,0.30,0.38,0.40,0.44,0.36,0.27,0.38,
German,3,case,False,3,NN,0.31,0.26,0.39,0.37,0.35,0.26,0.31,0.33,0.35,0.36,0.36,0.32,
