lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,xsk3g-no-hash,xsk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,xsk2g-hash-at-both,xsk3g-hash-at-both,xsk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.84,0.85,0.84,0.80,0.79,0.77,0.87,0.86,0.89,0.81,0.82,0.80,
Czech,1,plurality,True,3,NN,0.88,0.83,0.88,0.78,0.82,0.81,0.83,0.89,0.88,0.85,0.82,0.82,
Czech,1,plurality,True,2,RF,0.89,0.91,0.89,0.87,0.86,0.80,0.88,0.90,0.89,0.88,0.85,0.85,
Czech,1,plurality,False,2,RF,0.81,0.85,0.85,0.81,0.83,0.83,0.82,0.81,0.82,0.84,0.81,0.82,
Czech,1,plurality,False,3,NN,0.78,0.82,0.81,0.75,0.81,0.80,0.79,0.79,0.82,0.84,0.81,0.84,
Czech,1,plurality,False,1,DT,0.74,0.82,0.81,0.77,0.83,0.80,0.82,0.79,0.79,0.77,0.81,0.81,
Czech,2,gender2,True,3,NN,0.91,0.88,0.91,0.92,0.84,0.89,0.91,0.94,0.92,0.85,0.83,0.86,
Czech,2,gender2,False,2,RF,0.68,0.69,0.69,0.69,0.65,0.68,0.69,0.73,0.70,0.58,0.64,0.67,
Czech,2,gender2,False,1,DT,0.61,0.58,0.61,0.62,0.62,0.58,0.60,0.66,0.68,0.55,0.59,0.63,
Czech,2,gender2,False,3,NN,0.63,0.69,0.69,0.72,0.72,0.81,0.68,0.71,0.72,0.69,0.75,0.69,
Czech,2,gender2,True,1,DT,0.86,0.74,0.89,0.86,0.67,0.76,0.77,0.83,0.92,0.53,0.69,0.58,
Czech,2,gender2,True,2,RF,0.92,0.88,0.89,0.89,0.89,0.90,0.93,0.94,0.94,0.86,0.85,0.82,
Czech,3,case,True,1,DT,0.49,0.49,0.50,0.41,0.47,0.33,0.44,0.39,0.48,0.41,0.37,0.42,
Czech,3,case,True,3,NN,0.51,0.50,0.47,0.40,0.41,0.37,0.45,0.41,0.37,0.36,0.41,0.42,
Czech,3,case,False,2,RF,0.41,0.46,0.45,0.43,0.51,0.38,0.46,0.39,0.38,0.42,0.43,0.43,
Czech,3,case,True,2,RF,0.53,0.57,0.53,0.52,0.56,0.49,0.49,0.48,0.49,0.43,0.47,0.49,
Czech,3,case,False,1,DT,0.40,0.43,0.42,0.40,0.40,0.35,0.37,0.35,0.39,0.34,0.31,0.42,
Czech,3,case,False,3,NN,0.39,0.41,0.42,0.35,0.36,0.40,0.36,0.35,0.34,0.36,0.38,0.44,
