lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,xsk2g-no-hash,max
German,1,plurality,True,2,RF,0.84,0.84,0.87,0.87,
German,1,plurality,True,3,NN,0.81,0.81,0.82,,
German,1,plurality,True,1,DT,0.85,0.82,0.80,0.81,
German,1,plurality,False,2,RF,0.78,0.83,0.83,,
German,1,plurality,False,3,NN,0.74,0.77,0.79,,
German,1,plurality,False,1,DT,0.77,0.76,0.79,,
German,2,gender,True,3,NN,0.56,0.57,0.58,0.57,
German,2,gender,False,2,RF,0.55,0.54,0.58,0.56,
German,2,gender,False,1,DT,0.46,0.53,0.54,0.52,
German,2,gender,False,3,NN,0.52,0.58,0.53,0.52,
German,2,gender,True,1,DT,0.55,0.51,0.53,0.46,
German,2,gender,True,2,RF,0.57,0.65,0.62,0.58,
German,3,case,True,1,DT,0.34,0.40,0.38,0.41,
German,3,case,True,3,NN,0.32,0.34,0.37,0.44,
German,3,case,False,2,RF,0.32,0.39,0.38,0.40,
German,3,case,True,2,RF,0.40,0.41,0.42,0.46,
German,3,case,False,1,DT,0.31,0.34,0.33,0.41,
German,3,case,False,3,NN,0.28,0.34,0.38,0.40,
