lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Czech,plurality,False,RF,0.78,0.89,0.76,0.87,0.83,0.88,0.82,0.78,0.84,0.87,0.75,0.77
Czech,plurality,False,NN,0.78,0.85,0.75,0.78,0.77,0.84,0.77,0.68,0.72,0.81,0.79,0.75
Czech,plurality,False,DT,0.82,0.83,0.77,0.78,0.79,0.82,0.72,0.75,0.82,0.81,0.75,0.72
Czech,plurality,True,RF,0.89,0.92,0.80,0.90,0.81,0.88,0.82,0.82,0.85,0.89,0.78,0.79
Czech,plurality,True,NN,0.82,0.88,0.82,0.83,0.75,0.82,0.82,0.72,0.84,0.87,0.80,0.75
Czech,plurality,True,DT,0.86,0.86,0.76,0.74,0.77,0.81,0.82,0.82,0.97,0.86,0.79,0.72
Czech,gender,False,RF,0.67,0.60,0.57,0.57,0.53,0.53,0.61,0.62,0.53,0.67,0.55,0.57
Czech,gender,False,NN,0.60,0.57,0.61,0.59,0.60,0.51,0.55,0.57,0.61,0.62,0.61,0.57
Czech,gender,False,DT,0.48,0.54,0.47,0.42,0.34,0.42,0.52,0.53,0.45,0.56,0.47,0.44
Czech,gender,True,RF,0.66,0.64,0.56,0.63,0.57,0.60,0.59,0.65,0.59,0.59,0.57,0.55
Czech,gender,True,NN,0.59,0.56,0.53,0.61,0.61,0.59,0.57,0.58,0.62,0.62,0.68,0.54
Czech,gender,True,DT,0.53,0.45,0.51,0.53,0.40,0.38,0.45,0.51,0.49,0.53,0.51,0.45
Czech,case,False,RF,0.37,0.48,0.39,0.41,0.38,0.42,0.41,0.47,0.41,0.36,0.44,0.34
Czech,case,False,NN,0.26,0.41,0.30,0.30,0.30,0.32,0.35,0.41,0.31,0.35,0.41,0.29
Czech,case,False,DT,0.36,0.43,0.40,0.24,0.29,0.34,0.36,0.47,0.34,0.36,0.31,0.33
Czech,case,True,RF,0.39,0.50,0.53,0.44,0.43,0.46,0.52,0.52,0.47,0.39,0.50,0.44
Czech,case,True,NN,0.44,0.38,0.34,0.37,0.34,0.41,0.41,0.46,0.36,0.44,0.39,0.31
Czech,case,True,DT,0.43,0.45,0.41,0.32,0.32,0.48,0.51,0.43,0.42,0.35,0.38,0.38
