lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
French,plurality,False,RF,0.93,0.93,0.91,0.93,0.95,0.90,0.91,0.91,0.88,0.97,0.95,0.96
French,plurality,False,NN,0.93,0.93,0.93,0.94,0.93,0.93,0.93,0.93,0.86,0.97,0.97,0.96
French,plurality,False,DT,0.89,0.89,0.86,0.94,0.88,0.86,0.88,0.92,0.91,0.92,0.85,0.91
French,plurality,True,RF,0.94,0.93,0.92,0.93,0.94,0.89,0.92,0.89,0.92,0.97,0.96,0.97
French,plurality,True,NN,0.90,0.90,0.93,0.94,0.93,0.95,0.93,0.91,0.86,0.99,0.96,0.95
French,plurality,True,DT,0.93,0.93,0.86,0.88,0.94,0.82,0.88,0.89,0.87,0.94,0.87,0.88
French,gender,False,RF,0.75,0.69,0.81,0.78,0.76,0.84,0.73,0.79,0.78,0.79,0.80,0.68
French,gender,False,NN,0.78,0.71,0.74,0.77,0.78,0.78,0.72,0.77,0.77,0.75,0.77,0.69
French,gender,False,DT,0.73,0.71,0.73,0.68,0.63,0.76,0.71,0.70,0.69,0.63,0.66,0.63
French,gender,True,RF,0.77,0.71,0.80,0.79,0.78,0.83,0.74,0.82,0.83,0.77,0.80,0.68
French,gender,True,NN,0.79,0.69,0.74,0.78,0.75,0.75,0.68,0.75,0.75,0.77,0.78,0.71
French,gender,True,DT,0.74,0.66,0.81,0.66,0.68,0.74,0.71,0.71,0.76,0.68,0.70,0.57
