lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
German,plurality,False,RF,0.79,0.81,0.84,0.81,0.79,0.78,0.76,0.83,0.81,0.80,0.84,0.78
German,plurality,False,NN,0.70,0.73,0.80,0.78,0.78,0.81,0.75,0.80,0.80,0.77,0.79,0.75
German,plurality,False,DT,0.73,0.81,0.82,0.78,0.78,0.83,0.75,0.84,0.81,0.75,0.78,0.78
German,plurality,True,RF,0.86,0.87,0.86,0.82,0.83,0.78,0.85,0.87,0.85,0.82,0.86,0.82
German,plurality,True,NN,0.78,0.76,0.85,0.77,0.75,0.86,0.82,0.82,0.81,0.79,0.77,0.79
German,plurality,True,DT,0.76,0.85,0.78,0.78,0.75,0.80,0.88,0.77,0.86,0.76,0.72,0.76
German,gender,False,RF,0.56,0.49,0.53,0.55,0.49,0.49,0.52,0.61,0.52,0.56,0.53,0.52
German,gender,False,NN,0.52,0.51,0.51,0.52,0.48,0.50,0.44,0.55,0.58,0.56,0.50,0.51
German,gender,False,DT,0.47,0.45,0.45,0.49,0.45,0.45,0.45,0.55,0.42,0.47,0.48,0.53
German,gender,True,RF,0.58,0.52,0.56,0.60,0.45,0.50,0.55,0.61,0.54,0.56,0.50,0.53
German,gender,True,NN,0.55,0.54,0.48,0.51,0.43,0.49,0.45,0.54,0.51,0.59,0.51,0.53
German,gender,True,DT,0.53,0.56,0.49,0.47,0.47,0.39,0.41,0.53,0.50,0.51,0.44,0.49
German,case,False,RF,0.34,0.38,0.46,0.31,0.39,0.42,0.46,0.42,0.33,0.38,0.36,0.45
German,case,False,NN,0.39,0.32,0.40,0.38,0.35,0.29,0.36,0.33,0.36,0.36,0.35,0.32
German,case,False,DT,0.38,0.39,0.37,0.34,0.36,0.33,0.39,0.43,0.33,0.28,0.36,0.34
German,case,True,RF,0.37,0.43,0.50,0.29,0.42,0.46,0.38,0.45,0.32,0.38,0.38,0.42
German,case,True,NN,0.32,0.30,0.37,0.33,0.31,0.34,0.31,0.32,0.39,0.36,0.37,0.34
German,case,True,DT,0.27,0.37,0.40,0.33,0.35,0.44,0.40,0.41,0.33,0.28,0.34,0.28
