lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,xsk2gram-no-hash,xsk3gram-no-hash,xsk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,xsk2gram-hash-at-both,xsk3gram-hash-at-both,xsk4gram-hash-at-both
Irish,plurality,False,RF,0.66,0.66,0.72,0.63,0.73,0.61,0.59,0.70,0.68,0.63,0.61,0.62
Irish,plurality,False,NN,0.58,0.59,0.61,0.63,0.71,0.52,0.55,0.66,0.58,0.61,0.62,0.61
Irish,plurality,False,DT,0.66,0.67,0.66,0.63,0.69,0.60,0.59,0.69,0.68,0.58,0.61,0.59
Irish,plurality,True,RF,0.72,0.67,0.76,0.67,0.73,0.62,0.63,0.68,0.68,0.59,0.62,0.64
Irish,plurality,True,NN,0.59,0.64,0.66,0.60,0.68,0.54,0.71,0.61,0.63,0.65,0.64,0.66
Irish,plurality,True,DT,0.60,0.65,0.63,0.63,0.71,0.61,0.64,0.65,0.66,0.59,0.62,0.58
Irish,gender,False,RF,0.72,0.76,0.71,0.77,0.78,0.69,0.68,0.83,0.75,0.68,0.72,0.77
Irish,gender,False,NN,0.71,0.70,0.61,0.70,0.72,0.67,0.60,0.74,0.71,0.64,0.70,0.74
Irish,gender,False,DT,0.71,0.67,0.63,0.73,0.79,0.66,0.68,0.79,0.69,0.66,0.75,0.74
Irish,gender,True,RF,0.76,0.75,0.75,0.81,0.82,0.72,0.71,0.77,0.81,0.73,0.72,0.75
Irish,gender,True,NN,0.74,0.73,0.75,0.74,0.78,0.72,0.66,0.75,0.71,0.67,0.74,0.74
Irish,gender,True,DT,0.77,0.72,0.64,0.71,0.77,0.71,0.75,0.76,0.77,0.68,0.68,0.77
Irish,case,False,RF,0.98,0.99,0.99,0.98,0.96,0.97,1.00,0.99,0.96,0.94,0.97,0.97
Irish,case,False,NN,0.98,0.99,0.99,0.98,0.96,0.97,1.00,0.99,0.96,0.94,0.97,0.97
Irish,case,False,DT,0.98,0.94,0.99,0.98,0.96,0.97,0.97,0.99,0.96,0.94,0.97,0.97
Irish,case,True,RF,0.98,0.99,0.99,0.98,0.96,0.97,1.00,0.99,0.96,0.94,0.97,0.97
Irish,case,True,NN,0.98,0.99,0.99,0.98,0.96,0.97,1.00,0.99,0.96,0.94,0.97,0.97
Irish,case,True,DT,0.98,0.97,0.97,0.99,0.96,0.97,0.98,0.97,0.94,0.94,0.96,0.96
