lang,attribute,supplement,method,term_type,accuracy
Czech,gender,True,DT,2gram-no-hash,0.80
Czech,gender,True,RF,2gram-no-hash,0.94
Czech,gender,True,NN,2gram-no-hash,0.94
Czech,gender,False,DT,2gram-no-hash,0.67
Czech,gender,False,RF,2gram-no-hash,0.70
Czech,gender,False,NN,2gram-no-hash,0.68
Czech,plurality,True,DT,2gram-no-hash,0.92
Czech,plurality,True,RF,2gram-no-hash,0.87
Czech,plurality,True,NN,2gram-no-hash,0.85
Czech,plurality,False,DT,2gram-no-hash,0.73
Czech,plurality,False,RF,2gram-no-hash,0.75
Czech,plurality,False,NN,2gram-no-hash,0.77
Czech,gender,True,DT,3gram-no-hash,0.87
Czech,gender,True,RF,3gram-no-hash,0.89
Czech,gender,True,NN,3gram-no-hash,0.92
Czech,gender,False,DT,3gram-no-hash,0.61
Czech,gender,False,RF,3gram-no-hash,0.69
Czech,gender,False,NN,3gram-no-hash,0.74
Czech,plurality,True,DT,3gram-no-hash,0.88
Czech,plurality,True,RF,3gram-no-hash,0.86
Czech,plurality,True,NN,3gram-no-hash,0.85
Czech,plurality,False,DT,3gram-no-hash,0.82
Czech,plurality,False,RF,3gram-no-hash,0.83
Czech,plurality,False,NN,3gram-no-hash,0.81
Czech,gender,True,DT,4gram-no-hash,0.81
Czech,gender,True,RF,4gram-no-hash,0.92
Czech,gender,True,NN,4gram-no-hash,0.94
Czech,gender,False,DT,4gram-no-hash,0.64
Czech,gender,False,RF,4gram-no-hash,0.69
Czech,gender,False,NN,4gram-no-hash,0.70
Czech,plurality,True,DT,4gram-no-hash,0.88
Czech,plurality,True,RF,4gram-no-hash,0.91
Czech,plurality,True,NN,4gram-no-hash,0.88
Czech,plurality,False,DT,4gram-no-hash,0.87
Czech,plurality,False,RF,4gram-no-hash,0.84
Czech,plurality,False,NN,4gram-no-hash,0.81
Czech,gender,True,DT,skippy2gram-no-hash,0.80
Czech,gender,True,RF,skippy2gram-no-hash,0.94
Czech,gender,True,NN,skippy2gram-no-hash,0.92
Czech,gender,False,DT,skippy2gram-no-hash,0.63
Czech,gender,False,RF,skippy2gram-no-hash,0.75
Czech,gender,False,NN,skippy2gram-no-hash,0.72
Czech,plurality,True,DT,skippy2gram-no-hash,0.88
Czech,plurality,True,RF,skippy2gram-no-hash,0.93
Czech,plurality,True,NN,skippy2gram-no-hash,0.88
Czech,plurality,False,DT,skippy2gram-no-hash,0.85
Czech,plurality,False,RF,skippy2gram-no-hash,0.92
Czech,plurality,False,NN,skippy2gram-no-hash,0.86
Czech,gender,True,DT,skippy3gram-no-hash,0.72
Czech,gender,True,RF,skippy3gram-no-hash,0.88
Czech,gender,True,NN,skippy3gram-no-hash,0.86
Czech,gender,False,DT,skippy3gram-no-hash,0.58
Czech,gender,False,RF,skippy3gram-no-hash,0.72
Czech,gender,False,NN,skippy3gram-no-hash,0.72
Czech,plurality,True,DT,skippy3gram-no-hash,0.81
Czech,plurality,True,RF,skippy3gram-no-hash,0.88
Czech,plurality,True,NN,skippy3gram-no-hash,0.83
Czech,plurality,False,DT,skippy3gram-no-hash,0.81
Czech,plurality,False,RF,skippy3gram-no-hash,0.86
Czech,plurality,False,NN,skippy3gram-no-hash,0.82
Czech,gender,True,DT,skippy4gram-no-hash,0.56
Czech,gender,True,RF,skippy4gram-no-hash,0.82
Czech,gender,True,NN,skippy4gram-no-hash,0.82
Czech,gender,False,DT,skippy4gram-no-hash,0.59
Czech,gender,False,RF,skippy4gram-no-hash,0.65
Czech,gender,False,NN,skippy4gram-no-hash,0.73
Czech,plurality,True,DT,skippy4gram-no-hash,0.77
Czech,plurality,True,RF,skippy4gram-no-hash,0.84
Czech,plurality,True,NN,skippy4gram-no-hash,0.79
Czech,plurality,False,DT,skippy4gram-no-hash,0.80
Czech,plurality,False,RF,skippy4gram-no-hash,0.84
Czech,plurality,False,NN,skippy4gram-no-hash,0.80
Czech,gender,True,DT,2gram-hash-at-both,0.86
Czech,gender,True,RF,2gram-hash-at-both,0.91
Czech,gender,True,NN,2gram-hash-at-both,0.90
Czech,gender,False,DT,2gram-hash-at-both,0.60
Czech,gender,False,RF,2gram-hash-at-both,0.70
Czech,gender,False,NN,2gram-hash-at-both,0.71
Czech,plurality,True,DT,2gram-hash-at-both,0.92
Czech,plurality,True,RF,2gram-hash-at-both,0.94
Czech,plurality,True,NN,2gram-hash-at-both,0.90
Czech,plurality,False,DT,2gram-hash-at-both,0.83
Czech,plurality,False,RF,2gram-hash-at-both,0.86
Czech,plurality,False,NN,2gram-hash-at-both,0.86
Czech,gender,True,DT,3gram-hash-at-both,0.84
Czech,gender,True,RF,3gram-hash-at-both,0.90
Czech,gender,True,NN,3gram-hash-at-both,0.89
Czech,gender,False,DT,3gram-hash-at-both,0.63
Czech,gender,False,RF,3gram-hash-at-both,0.69
Czech,gender,False,NN,3gram-hash-at-both,0.71
Czech,plurality,True,DT,3gram-hash-at-both,0.86
Czech,plurality,True,RF,3gram-hash-at-both,0.85
Czech,plurality,True,NN,3gram-hash-at-both,0.84
Czech,plurality,False,DT,3gram-hash-at-both,0.78
Czech,plurality,False,RF,3gram-hash-at-both,0.78
Czech,plurality,False,NN,3gram-hash-at-both,0.81
Czech,gender,True,DT,4gram-hash-at-both,0.86
Czech,gender,True,RF,4gram-hash-at-both,0.88
Czech,gender,True,NN,4gram-hash-at-both,0.91
Czech,gender,False,DT,4gram-hash-at-both,0.56
Czech,gender,False,RF,4gram-hash-at-both,0.71
Czech,gender,False,NN,4gram-hash-at-both,0.69
Czech,plurality,True,DT,4gram-hash-at-both,0.86
Czech,plurality,True,RF,4gram-hash-at-both,0.90
Czech,plurality,True,NN,4gram-hash-at-both,0.85
Czech,plurality,False,DT,4gram-hash-at-both,0.87
Czech,plurality,False,RF,4gram-hash-at-both,0.82
Czech,plurality,False,NN,4gram-hash-at-both,0.83
Czech,gender,True,DT,skippy2gram-hash-at-both,0.85
Czech,gender,True,RF,skippy2gram-hash-at-both,0.89
Czech,gender,True,NN,skippy2gram-hash-at-both,0.93
Czech,gender,False,DT,skippy2gram-hash-at-both,0.60
Czech,gender,False,RF,skippy2gram-hash-at-both,0.71
Czech,gender,False,NN,skippy2gram-hash-at-both,0.73
Czech,plurality,True,DT,skippy2gram-hash-at-both,0.88
Czech,plurality,True,RF,skippy2gram-hash-at-both,0.88
Czech,plurality,True,NN,skippy2gram-hash-at-both,0.82
Czech,plurality,False,DT,skippy2gram-hash-at-both,0.81
Czech,plurality,False,RF,skippy2gram-hash-at-both,0.85
Czech,plurality,False,NN,skippy2gram-hash-at-both,0.81
Czech,gender,True,DT,skippy3gram-hash-at-both,0.88
Czech,gender,True,RF,skippy3gram-hash-at-both,0.87
Czech,gender,True,NN,skippy3gram-hash-at-both,0.84
Czech,gender,False,DT,skippy3gram-hash-at-both,0.61
Czech,gender,False,RF,skippy3gram-hash-at-both,0.72
Czech,gender,False,NN,skippy3gram-hash-at-both,0.70
Czech,plurality,True,DT,skippy3gram-hash-at-both,0.85
Czech,plurality,True,RF,skippy3gram-hash-at-both,0.84
Czech,plurality,True,NN,skippy3gram-hash-at-both,0.86
Czech,plurality,False,DT,skippy3gram-hash-at-both,0.80
Czech,plurality,False,RF,skippy3gram-hash-at-both,0.90
Czech,plurality,False,NN,skippy3gram-hash-at-both,0.85
Czech,gender,True,DT,skippy4gram-hash-at-both,0.56
Czech,gender,True,RF,skippy4gram-hash-at-both,0.85
Czech,gender,True,NN,skippy4gram-hash-at-both,0.84
Czech,gender,False,DT,skippy4gram-hash-at-both,0.60
Czech,gender,False,RF,skippy4gram-hash-at-both,0.68
Czech,gender,False,NN,skippy4gram-hash-at-both,0.72
Czech,plurality,True,DT,skippy4gram-hash-at-both,0.81
Czech,plurality,True,RF,skippy4gram-hash-at-both,0.85
Czech,plurality,True,NN,skippy4gram-hash-at-both,0.81
Czech,plurality,False,DT,skippy4gram-hash-at-both,0.84
Czech,plurality,False,RF,skippy4gram-hash-at-both,0.84
Czech,plurality,False,NN,skippy4gram-hash-at-both,0.83
