lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
Czech,plurality,True,NN,0.87,0.89,0.86,0.86,0.85,0.88,0.88,0.86,0.89,0.83,0.82,0.80
Czech,plurality,True,RF,0.90,0.90,0.88,0.85,0.85,0.89,0.87,0.88,0.91,0.89,0.85,0.86
Czech,plurality,True,DT,0.87,0.84,0.84,0.88,0.84,0.86,0.85,0.91,0.88,0.81,0.82,0.76
Czech,plurality,False,NN,0.78,0.81,0.82,0.84,0.83,0.86,0.80,0.81,0.86,0.84,0.81,0.82
Czech,plurality,False,RF,0.84,0.83,0.83,0.84,0.84,0.88,0.81,0.83,0.86,0.85,0.85,0.83
Czech,plurality,False,DT,0.80,0.81,0.81,0.83,0.82,0.83,0.80,0.82,0.84,0.84,0.79,0.76
Czech,gender,True,NN,0.68,0.74,0.68,0.74,0.67,0.72,0.68,0.70,0.68,0.67,0.67,0.70
Czech,gender,True,RF,0.70,0.71,0.71,0.74,0.58,0.65,0.74,0.68,0.70,0.70,0.63,0.63
Czech,gender,True,DT,0.58,0.60,0.54,0.50,0.48,0.51,0.59,0.54,0.55,0.53,0.45,0.50
Czech,gender,False,NN,0.67,0.69,0.68,0.72,0.68,0.67,0.67,0.66,0.68,0.67,0.62,0.73
Czech,gender,False,RF,0.70,0.73,0.68,0.70,0.61,0.62,0.70,0.66,0.63,0.67,0.58,0.60
Czech,gender,False,DT,0.56,0.56,0.55,0.55,0.53,0.44,0.60,0.55,0.59,0.55,0.48,0.54
Czech,case,True,NN,0.56,0.44,0.45,0.47,0.36,0.48,0.51,0.44,0.52,0.42,0.40,0.38
Czech,case,True,RF,0.59,0.53,0.55,0.59,0.54,0.55,0.62,0.52,0.55,0.56,0.54,0.53
Czech,case,True,DT,0.52,0.47,0.47,0.44,0.33,0.40,0.57,0.45,0.53,0.45,0.38,0.38
Czech,case,False,NN,0.39,0.34,0.39,0.40,0.39,0.42,0.45,0.36,0.41,0.44,0.42,0.36
Czech,case,False,RF,0.42,0.39,0.44,0.48,0.44,0.50,0.46,0.42,0.45,0.47,0.47,0.43
Czech,case,False,DT,0.39,0.38,0.40,0.40,0.39,0.41,0.41,0.39,0.41,0.46,0.41,0.33
