lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
French,plurality,True,NN,0.92,0.94,0.95,0.93,0.97,0.96,0.93,0.93,0.93,0.96,0.94,0.95
French,plurality,True,RF,0.92,0.91,0.92,0.95,0.96,0.96,0.93,0.93,0.90,0.94,0.94,0.93
French,plurality,True,DT,0.87,0.86,0.92,0.91,0.87,0.83,0.90,0.87,0.87,0.90,0.86,0.80
French,plurality,False,NN,0.94,0.92,0.95,0.94,0.97,0.96,0.93,0.93,0.92,0.95,0.96,0.93
French,plurality,False,RF,0.91,0.90,0.92,0.94,0.95,0.96,0.91,0.94,0.89,0.95,0.93,0.93
French,plurality,False,DT,0.89,0.88,0.89,0.87,0.85,0.82,0.89,0.91,0.90,0.88,0.87,0.82
French,gender,True,NN,0.83,0.80,0.83,0.79,0.82,0.79,0.82,0.76,0.76,0.79,0.79,0.79
French,gender,True,RF,0.86,0.80,0.80,0.80,0.84,0.80,0.83,0.77,0.81,0.82,0.80,0.79
French,gender,True,DT,0.75,0.74,0.75,0.71,0.73,0.65,0.71,0.74,0.73,0.69,0.71,0.68
French,gender,False,NN,0.84,0.76,0.82,0.82,0.79,0.79,0.83,0.76,0.76,0.80,0.78,0.79
French,gender,False,RF,0.84,0.80,0.80,0.80,0.84,0.80,0.77,0.75,0.81,0.80,0.80,0.77
French,gender,False,DT,0.73,0.66,0.71,0.65,0.71,0.68,0.72,0.75,0.76,0.70,0.71,0.70
