lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
German,plurality,True,NN,0.78,0.83,0.81,0.81,0.79,0.76,0.85,0.86,0.85,0.84,0.82,0.76
German,plurality,True,RF,0.78,0.87,0.81,0.84,0.80,0.77,0.87,0.84,0.85,0.84,0.84,0.82
German,plurality,True,DT,0.76,0.82,0.75,0.79,0.76,0.76,0.86,0.83,0.79,0.79,0.79,0.71
German,plurality,False,NN,0.70,0.80,0.77,0.80,0.78,0.79,0.84,0.78,0.80,0.83,0.81,0.75
German,plurality,False,RF,0.76,0.81,0.79,0.84,0.78,0.75,0.83,0.82,0.83,0.83,0.84,0.83
German,plurality,False,DT,0.72,0.81,0.73,0.80,0.74,0.74,0.78,0.80,0.80,0.78,0.75,0.78
German,gender,True,NN,0.56,0.55,0.61,0.59,0.56,0.54,0.58,0.63,0.63,0.59,0.62,0.56
German,gender,True,RF,0.58,0.58,0.59,0.63,0.56,0.56,0.64,0.60,0.61,0.59,0.58,0.56
German,gender,True,DT,0.47,0.52,0.49,0.55,0.47,0.49,0.54,0.55,0.53,0.48,0.50,0.43
German,gender,False,NN,0.56,0.57,0.57,0.58,0.56,0.56,0.54,0.59,0.61,0.60,0.61,0.55
German,gender,False,RF,0.57,0.56,0.52,0.59,0.54,0.57,0.58,0.49,0.61,0.59,0.54,0.55
German,gender,False,DT,0.52,0.51,0.51,0.51,0.48,0.47,0.51,0.55,0.52,0.51,0.51,0.45
German,case,True,NN,0.34,0.36,0.35,0.33,0.42,0.37,0.40,0.40,0.38,0.42,0.43,0.41
German,case,True,RF,0.41,0.41,0.37,0.46,0.41,0.41,0.43,0.47,0.39,0.42,0.44,0.41
German,case,True,DT,0.37,0.35,0.35,0.39,0.38,0.34,0.42,0.39,0.36,0.41,0.36,0.41
German,case,False,NN,0.33,0.35,0.32,0.31,0.37,0.38,0.34,0.37,0.39,0.37,0.41,0.43
German,case,False,RF,0.36,0.40,0.36,0.43,0.39,0.40,0.41,0.43,0.41,0.42,0.41,0.43
German,case,False,DT,0.34,0.34,0.33,0.38,0.36,0.37,0.45,0.35,0.36,0.36,0.38,0.36
