lang,attribute,supplement,method,2gram-no-hash,3gram-no-hash,4gram-no-hash,sk2gram-no-hash,sk3gram-no-hash,sk4gram-no-hash,2gram-hash-at-both,3gram-hash-at-both,4gram-hash-at-both,sk2gram-hash-at-both,sk3gram-hash-at-both,sk4gram-hash-at-both
Irish,plurality,True,NN,0.70,0.67,0.69,0.69,0.71,0.68,0.72,0.68,0.69,0.68,0.66,0.66
Irish,plurality,True,RF,0.75,0.76,0.73,0.70,0.70,0.70,0.76,0.72,0.71,0.69,0.66,0.71
Irish,plurality,True,DT,0.71,0.70,0.70,0.68,0.64,0.67,0.71,0.69,0.73,0.71,0.65,0.64
Irish,plurality,False,NN,0.63,0.63,0.63,0.63,0.66,0.65,0.64,0.61,0.61,0.67,0.65,0.67
Irish,plurality,False,RF,0.71,0.71,0.70,0.66,0.69,0.67,0.72,0.70,0.69,0.65,0.67,0.67
Irish,plurality,False,DT,0.70,0.69,0.70,0.65,0.65,0.66,0.66,0.68,0.66,0.62,0.66,0.63
Irish,gender,True,NN,0.77,0.78,0.79,0.76,0.74,0.76,0.73,0.81,0.79,0.74,0.72,0.75
Irish,gender,True,RF,0.82,0.82,0.79,0.77,0.77,0.73,0.79,0.82,0.84,0.78,0.74,0.74
Irish,gender,True,DT,0.75,0.76,0.81,0.74,0.68,0.70,0.74,0.80,0.79,0.73,0.71,0.65
Irish,gender,False,NN,0.73,0.76,0.73,0.77,0.69,0.76,0.65,0.72,0.73,0.71,0.69,0.73
Irish,gender,False,RF,0.73,0.73,0.75,0.74,0.72,0.74,0.67,0.77,0.78,0.74,0.71,0.69
Irish,gender,False,DT,0.68,0.71,0.71,0.73,0.67,0.69,0.68,0.72,0.74,0.68,0.67,0.70
Irish,case,True,NN,0.96,0.94,0.95,0.97,0.95,0.97,0.97,0.97,0.94,0.96,0.97,0.98
Irish,case,True,RF,0.96,0.94,0.95,0.97,0.95,0.97,0.96,0.97,0.95,0.96,0.97,0.98
Irish,case,True,DT,0.96,0.94,0.95,0.97,0.94,0.97,0.98,0.97,0.94,0.96,0.96,0.96
Irish,case,False,NN,0.96,0.94,0.95,0.97,0.95,0.97,0.97,0.97,0.94,0.96,0.97,0.98
Irish,case,False,RF,0.96,0.94,0.95,0.97,0.95,0.97,0.97,0.97,0.94,0.96,0.97,0.98
Irish,case,False,DT,0.95,0.94,0.95,0.97,0.95,0.97,0.97,0.96,0.94,0.96,0.96,0.97
