lang,method,attribute,supplement,term_type,accuracy
Irish,gender,True,DT,2gram-no-hash,0.81
Irish,gender,True,RF,missing,0.87
Irish,gender,True,NN,2gram-no-hash,0.80
Irish,gender,False,DT,2gram-no-hash,0.71
Irish,gender,False,RF,missing,0.77
Irish,gender,False,NN,2gram-no-hash,0.71
Irish,plurality,True,DT,2gram-no-hash,0.63
Irish,plurality,True,RF,missing,0.72
Irish,plurality,True,NN,2gram-no-hash,0.71
Irish,plurality,False,DT,2gram-no-hash,0.64
Irish,plurality,False,RF,missing,0.64
Irish,plurality,False,NN,2gram-no-hash,0.58
Irish,case,True,DT,2gram-no-hash,0.96
Irish,case,True,RF,missing,0.97
Irish,case,True,NN,2gram-no-hash,0.97
Irish,case,False,DT,2gram-no-hash,0.96
Irish,case,False,RF,missing,0.97
Irish,case,False,NN,2gram-no-hash,0.97
Irish,gender,True,DT,3gram-no-hash,0.74
Irish,gender,True,RF,missing,0.78
Irish,gender,True,NN,3gram-no-hash,0.78
Irish,gender,False,DT,3gram-no-hash,0.73
Irish,gender,False,RF,missing,0.74
Irish,gender,False,NN,3gram-no-hash,0.73
Irish,plurality,True,DT,3gram-no-hash,0.65
Irish,plurality,True,RF,missing,0.69
Irish,plurality,True,NN,3gram-no-hash,0.66
Irish,plurality,False,DT,3gram-no-hash,0.66
Irish,plurality,False,RF,missing,0.69
Irish,plurality,False,NN,3gram-no-hash,0.64
Irish,case,True,DT,3gram-no-hash,0.96
Irish,case,True,RF,missing,0.97
Irish,case,True,NN,3gram-no-hash,0.97
Irish,case,False,DT,3gram-no-hash,0.97
Irish,case,False,RF,missing,0.97
Irish,case,False,NN,3gram-no-hash,0.97
Irish,gender,True,DT,4gram-no-hash,0.76
Irish,gender,True,RF,missing,0.79
Irish,gender,True,NN,4gram-no-hash,0.78
Irish,gender,False,DT,4gram-no-hash,0.70
Irish,gender,False,RF,missing,0.74
Irish,gender,False,NN,4gram-no-hash,0.75
Irish,plurality,True,DT,4gram-no-hash,0.68
Irish,plurality,True,RF,missing,0.73
Irish,plurality,True,NN,4gram-no-hash,0.70
Irish,plurality,False,DT,4gram-no-hash,0.61
Irish,plurality,False,RF,missing,0.70
Irish,plurality,False,NN,4gram-no-hash,0.61
Irish,case,True,DT,4gram-no-hash,0.96
Irish,case,True,RF,missing,0.97
Irish,case,True,NN,4gram-no-hash,0.97
Irish,case,False,DT,4gram-no-hash,0.95
Irish,case,False,RF,missing,0.97
Irish,case,False,NN,4gram-no-hash,0.97
Irish,gender,True,DT,skippy2gram-no-hash,0.72
Irish,gender,True,RF,missing,0.80
Irish,gender,True,NN,skippy2gram-no-hash,0.77
Irish,gender,False,DT,skippy2gram-no-hash,0.70
Irish,gender,False,RF,missing,0.75
Irish,gender,False,NN,skippy2gram-no-hash,0.73
Irish,plurality,True,DT,skippy2gram-no-hash,0.68
Irish,plurality,True,RF,missing,0.71
Irish,plurality,True,NN,skippy2gram-no-hash,0.66
Irish,plurality,False,DT,skippy2gram-no-hash,0.67
Irish,plurality,False,RF,missing,0.70
Irish,plurality,False,NN,skippy2gram-no-hash,0.61
Irish,case,True,DT,skippy2gram-no-hash,0.98
Irish,case,True,RF,missing,0.98
Irish,case,True,NN,skippy2gram-no-hash,0.98
Irish,case,False,DT,skippy2gram-no-hash,0.97
Irish,case,False,RF,missing,0.98
Irish,case,False,NN,skippy2gram-no-hash,0.98
Irish,gender,True,DT,skippy3gram-no-hash,0.71
Irish,gender,True,RF,missing,0.74
Irish,gender,True,NN,skippy3gram-no-hash,0.75
Irish,gender,False,DT,skippy3gram-no-hash,0.70
Irish,gender,False,RF,missing,0.72
Irish,gender,False,NN,skippy3gram-no-hash,0.73
Irish,plurality,True,DT,skippy3gram-no-hash,0.72
Irish,plurality,True,RF,missing,0.72
Irish,plurality,True,NN,skippy3gram-no-hash,0.68
Irish,plurality,False,DT,skippy3gram-no-hash,0.68
Irish,plurality,False,RF,missing,0.74
Irish,plurality,False,NN,skippy3gram-no-hash,0.65
Irish,case,True,DT,skippy3gram-no-hash,0.95
Irish,case,True,RF,missing,0.98
Irish,case,True,NN,skippy3gram-no-hash,0.98
Irish,case,False,DT,skippy3gram-no-hash,0.98
Irish,case,False,RF,missing,0.98
Irish,case,False,NN,skippy3gram-no-hash,0.98
Irish,gender,True,DT,skippy4gram-no-hash,0.74
Irish,gender,True,RF,missing,0.80
Irish,gender,True,NN,skippy4gram-no-hash,0.80
Irish,gender,False,DT,skippy4gram-no-hash,0.75
Irish,gender,False,RF,missing,0.78
Irish,gender,False,NN,skippy4gram-no-hash,0.79
Irish,plurality,True,DT,skippy4gram-no-hash,0.72
Irish,plurality,True,RF,missing,0.72
Irish,plurality,True,NN,skippy4gram-no-hash,0.69
