lang,attribute.index,attribute,supplement,method.index,method,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,max
German,1,plurality,True,1,DT,0.78,0.82,0.78,0.77,0.83,0.76,0.82,0.82,0.80,0.75,0.82,0.83,
German,1,plurality,False,3,NN,0.75,0.81,0.72,0.74,0.76,0.78,0.81,0.75,0.74,0.78,0.82,0.75,
German,1,plurality,False,1,DT,0.78,0.78,0.76,0.82,0.78,0.78,0.83,0.81,0.77,0.82,0.86,0.80,
German,1,plurality,True,2,RF,0.80,0.87,0.78,0.79,0.83,0.82,0.83,0.81,0.80,0.80,0.89,0.89,
German,1,plurality,False,2,RF,0.75,0.80,0.76,0.77,0.82,0.82,0.84,0.82,0.80,0.80,0.85,0.86,
German,1,plurality,True,3,NN,0.80,0.78,0.77,0.78,0.77,0.79,0.80,0.82,0.74,0.76,0.87,0.78,
German,2,gender,False,1,DT,0.47,0.46,0.58,0.53,0.49,0.47,0.50,0.50,0.52,0.53,0.49,0.44,
German,2,gender,False,2,RF,0.47,0.57,0.65,0.55,0.56,0.54,0.62,0.58,0.52,0.63,0.60,0.59,
German,2,gender,True,1,DT,0.55,0.62,0.60,0.49,0.45,0.48,0.57,0.51,0.48,0.56,0.54,0.44,
German,2,gender,True,2,RF,0.50,0.50,0.68,0.59,0.56,0.56,0.59,0.55,0.52,0.68,0.60,0.57,
German,2,gender,True,3,NN,0.50,0.57,0.60,0.54,0.50,0.49,0.59,0.55,0.52,0.55,0.55,0.56,
German,2,gender,False,3,NN,0.41,0.49,0.55,0.51,0.49,0.43,0.57,0.60,0.60,0.58,0.54,0.58,
German,3,case,False,1,DT,0.28,0.38,0.32,0.37,0.28,0.33,0.35,0.29,0.40,0.36,0.32,0.33,
German,3,case,True,1,DT,0.21,0.34,0.35,0.29,0.37,0.33,0.39,0.29,0.36,0.40,0.40,0.36,
German,3,case,True,3,NN,0.28,0.29,0.38,0.37,0.29,0.42,0.42,0.29,0.34,0.28,0.34,0.48,
German,3,case,True,2,RF,0.31,0.38,0.33,0.37,0.39,0.38,0.39,0.38,0.38,0.31,0.39,0.37,
German,3,case,False,3,NN,0.33,0.35,0.40,0.33,0.28,0.42,0.38,0.29,0.35,0.25,0.28,0.43,
German,3,case,False,2,RF,0.25,0.33,0.36,0.38,0.39,0.39,0.33,0.35,0.34,0.35,0.36,0.42,
