lang,attribute.index,attribute,supplement,method.index,method,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,max
Czech,1,plurality,True,1,DT,0.89,0.81,0.75,0.81,0.86,0.81,0.88,0.85,0.81,0.87,0.82,0.86,
Czech,1,plurality,False,3,NN,0.82,0.71,0.78,0.77,0.80,0.78,0.83,0.86,0.78,0.87,0.78,0.82,
Czech,1,plurality,False,1,DT,0.84,0.78,0.74,0.82,0.78,0.76,0.78,0.81,0.77,0.82,0.78,0.73,
Czech,1,plurality,True,2,RF,0.89,0.82,0.78,0.88,0.85,0.84,0.90,0.90,0.82,0.89,0.84,0.87,
Czech,1,plurality,False,2,RF,0.82,0.80,0.78,0.89,0.81,0.81,0.81,0.88,0.83,0.88,0.81,0.84,
Czech,1,plurality,True,3,NN,0.86,0.77,0.79,0.81,0.84,0.82,0.86,0.85,0.81,0.83,0.76,0.83,
Czech,2,gender,False,1,DT,0.50,0.49,0.53,0.57,0.44,0.46,0.45,0.52,0.49,0.53,0.51,0.44,
Czech,2,gender,False,2,RF,0.56,0.47,0.62,0.60,0.53,0.62,0.57,0.62,0.63,0.63,0.64,0.59,
Czech,2,gender,True,1,DT,0.42,0.57,0.49,0.53,0.46,0.53,0.46,0.56,0.53,0.56,0.50,0.57,
Czech,2,gender,True,2,RF,0.62,0.53,0.65,0.68,0.60,0.61,0.65,0.60,0.73,0.62,0.64,0.63,
Czech,2,gender,True,3,NN,0.59,0.53,0.63,0.60,0.63,0.60,0.53,0.61,0.53,0.59,0.59,0.64,
Czech,2,gender,False,3,NN,0.60,0.55,0.58,0.62,0.60,0.60,0.53,0.62,0.53,0.55,0.57,0.53,
Czech,3,case,False,1,DT,0.47,0.39,0.32,0.32,0.39,0.36,0.33,0.40,0.42,0.33,0.37,0.38,
Czech,3,case,True,1,DT,0.47,0.42,0.46,0.41,0.46,0.42,0.44,0.45,0.43,0.41,0.42,0.40,
Czech,3,case,True,3,NN,0.47,0.40,0.32,0.35,0.39,0.46,0.28,0.38,0.40,0.47,0.43,0.42,
Czech,3,case,True,2,RF,0.50,0.42,0.47,0.52,0.52,0.62,0.47,0.49,0.46,0.47,0.55,0.49,
Czech,3,case,False,3,NN,0.35,0.38,0.35,0.38,0.32,0.42,0.29,0.33,0.34,0.43,0.34,0.38,
Czech,3,case,False,2,RF,0.49,0.41,0.43,0.43,0.43,0.50,0.38,0.41,0.38,0.42,0.45,0.45,
