lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.82,0.88,0.86,0.77,0.82,0.92,0.79,0.82,0.86,0.84,0.81,0.82,
Czech,1,plurality,False,3,NN,0.79,0.80,0.76,0.82,0.79,0.85,0.74,0.79,0.80,0.79,0.78,0.76,
Czech,1,plurality,False,1,DT,0.82,0.86,0.82,0.78,0.76,0.84,0.78,0.80,0.88,0.83,0.88,0.81,
Czech,1,plurality,True,2,RF,0.86,0.86,0.90,0.93,0.80,0.91,0.85,0.85,0.91,0.88,0.87,0.91,
Czech,1,plurality,False,2,RF,0.81,0.86,0.82,0.87,0.81,0.88,0.81,0.83,0.89,0.82,0.87,0.88,
Czech,1,plurality,True,3,NN,0.79,0.85,0.82,0.78,0.78,0.82,0.82,0.79,0.84,0.78,0.79,0.82,
Czech,2,gender,False,1,DT,0.50,0.53,0.61,0.58,0.51,0.56,0.57,0.58,0.69,0.56,0.57,0.52,
Czech,2,gender,False,2,RF,0.62,0.57,0.68,0.66,0.62,0.63,0.67,0.60,0.72,0.65,0.59,0.68,
Czech,2,gender,True,1,DT,0.88,0.87,0.91,0.63,0.68,0.72,0.93,0.82,0.83,0.88,0.83,0.76,
Czech,2,gender,True,2,RF,0.91,0.88,0.89,0.89,0.83,0.95,0.93,0.87,0.92,0.87,0.88,0.93,
Czech,2,gender,True,3,NN,0.91,0.88,0.87,0.86,0.84,0.90,0.91,0.85,0.90,0.82,0.88,0.82,
Czech,2,gender,False,3,NN,0.62,0.57,0.65,0.65,0.68,0.64,0.59,0.62,0.73,0.58,0.67,0.67,
Czech,3,case,False,1,DT,0.35,0.47,0.42,0.31,0.40,0.36,0.34,0.36,0.36,0.31,0.23,0.36,
Czech,3,case,True,1,DT,0.47,0.53,0.52,0.43,0.35,0.44,0.46,0.57,0.51,0.43,0.42,0.43,
Czech,3,case,True,3,NN,0.37,0.42,0.43,0.46,0.41,0.46,0.38,0.44,0.43,0.39,0.31,0.32,
Czech,3,case,True,2,RF,0.50,0.57,0.56,0.42,0.53,0.56,0.44,0.61,0.53,0.54,0.40,0.50,
Czech,3,case,False,3,NN,0.32,0.37,0.41,0.36,0.39,0.40,0.30,0.38,0.39,0.36,0.32,0.37,
Czech,3,case,False,2,RF,0.39,0.45,0.48,0.42,0.40,0.47,0.42,0.46,0.42,0.45,0.39,0.45,
