lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.88,0.82,0.82,0.85,0.73,0.78,0.88,0.88,0.82,0.86,0.80,0.87,
Czech,1,plurality,False,3,NN,0.78,0.80,0.78,0.79,0.75,0.80,0.77,0.81,0.68,0.77,0.82,0.84,
Czech,1,plurality,False,1,DT,0.82,0.78,0.84,0.82,0.84,0.79,0.74,0.83,0.75,0.74,0.78,0.88,
Czech,1,plurality,True,2,RF,0.88,0.87,0.86,0.89,0.88,0.84,0.93,0.88,0.82,0.84,0.87,0.90,
Czech,1,plurality,False,2,RF,0.84,0.86,0.82,0.84,0.83,0.82,0.83,0.86,0.75,0.83,0.81,0.88,
Czech,1,plurality,True,3,NN,0.82,0.80,0.82,0.78,0.78,0.79,0.83,0.75,0.79,0.82,0.82,0.85,
Czech,2,gender,False,1,DT,0.52,0.50,0.57,0.50,0.57,0.62,0.74,0.60,0.64,0.54,0.57,0.59,
Czech,2,gender,False,2,RF,0.64,0.58,0.62,0.57,0.73,0.67,0.72,0.70,0.58,0.62,0.66,0.60,
Czech,2,gender,True,1,DT,0.88,0.84,0.91,0.78,0.82,0.76,0.82,0.91,0.66,0.76,0.71,0.72,
Czech,2,gender,True,2,RF,0.88,0.85,0.94,0.82,0.93,0.87,0.90,0.91,0.88,0.88,0.91,0.87,
Czech,2,gender,True,3,NN,0.91,0.88,0.88,0.84,0.91,0.86,0.91,0.89,0.85,0.87,0.88,0.83,
Czech,2,gender,False,3,NN,0.60,0.63,0.72,0.61,0.73,0.65,0.65,0.69,0.67,0.65,0.71,0.62,
Czech,3,case,False,1,DT,0.43,0.36,0.31,0.39,0.38,0.46,0.33,0.41,0.29,0.30,0.38,0.30,
Czech,3,case,True,1,DT,0.41,0.38,0.49,0.36,0.47,0.43,0.35,0.53,0.45,0.41,0.46,0.46,
Czech,3,case,True,3,NN,0.41,0.40,0.40,0.32,0.44,0.45,0.31,0.49,0.37,0.43,0.36,0.32,
Czech,3,case,True,2,RF,0.45,0.49,0.46,0.52,0.62,0.58,0.47,0.58,0.56,0.50,0.53,0.46,
Czech,3,case,False,3,NN,0.30,0.39,0.41,0.37,0.41,0.38,0.31,0.47,0.39,0.40,0.41,0.36,
Czech,3,case,False,2,RF,0.45,0.36,0.38,0.42,0.46,0.51,0.42,0.53,0.47,0.46,0.47,0.36,
