lang,attribute.index,attribute,supplement,method.index,method,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,max
French,1,plurality,True,1,DT,0.87,0.90,0.89,0.92,0.86,0.92,0.84,0.85,0.86,0.88,0.87,0.85,
French,1,plurality,True,2,RF,0.93,0.90,0.93,0.93,0.93,0.93,0.93,0.89,0.93,0.96,0.91,0.93,
French,1,plurality,True,3,NN,0.93,0.93,0.95,0.96,0.95,0.93,0.90,0.93,0.93,0.95,0.95,0.92,
French,1,plurality,False,1,DT,0.90,0.81,0.92,0.93,0.81,0.86,0.90,0.86,0.86,0.91,0.78,0.85,
French,1,plurality,False,2,RF,0.93,0.89,0.95,0.93,0.93,0.96,0.92,0.88,0.93,0.95,0.91,0.93,
French,1,plurality,False,3,NN,0.93,0.89,0.93,0.94,0.95,0.93,0.93,0.90,0.91,0.93,0.94,0.93,
French,2,gender,True,1,DT,0.73,0.71,0.68,0.70,0.65,0.65,0.76,0.77,0.68,0.68,0.61,0.78,
French,2,gender,True,2,RF,0.78,0.82,0.77,0.79,0.69,0.77,0.74,0.77,0.76,0.78,0.63,0.82,
French,2,gender,True,3,NN,0.77,0.83,0.73,0.69,0.67,0.79,0.73,0.67,0.73,0.76,0.72,0.82,
French,2,gender,False,1,DT,0.68,0.77,0.72,0.64,0.68,0.68,0.75,0.67,0.66,0.62,0.61,0.76,
French,2,gender,False,2,RF,0.81,0.83,0.76,0.78,0.68,0.79,0.75,0.79,0.76,0.80,0.65,0.84,
French,2,gender,False,3,NN,0.78,0.79,0.70,0.71,0.66,0.78,0.75,0.68,0.75,0.73,0.69,0.78,
