lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.89,0.78,0.82,0.76,0.74,0.87,0.91,0.86,0.88,0.73,0.84,0.83,
Czech,1,plurality,False,3,NN,0.75,0.72,0.79,0.76,0.75,0.82,0.81,0.75,0.82,0.79,0.77,0.77,
Czech,1,plurality,False,1,DT,0.80,0.81,0.82,0.72,0.82,0.82,0.78,0.77,0.80,0.78,0.79,0.80,
Czech,1,plurality,True,2,RF,0.88,0.82,0.86,0.82,0.82,0.88,0.88,0.88,0.89,0.83,0.85,0.86,
Czech,1,plurality,False,2,RF,0.79,0.77,0.82,0.79,0.78,0.82,0.82,0.82,0.84,0.82,0.84,0.81,
Czech,1,plurality,True,3,NN,0.81,0.75,0.81,0.72,0.74,0.82,0.84,0.78,0.80,0.82,0.82,0.85,
Czech,2,gender,False,1,DT,0.45,0.44,0.48,0.38,0.48,0.45,0.54,0.51,0.54,0.44,0.42,0.48,
Czech,2,gender,False,2,RF,0.59,0.61,0.60,0.61,0.53,0.60,0.62,0.53,0.59,0.56,0.49,0.61,
Czech,2,gender,True,1,DT,0.58,0.58,0.51,0.57,0.49,0.56,0.57,0.59,0.53,0.47,0.44,0.50,
Czech,2,gender,True,2,RF,0.65,0.66,0.68,0.60,0.54,0.66,0.62,0.59,0.62,0.59,0.62,0.63,
Czech,2,gender,True,3,NN,0.57,0.55,0.62,0.54,0.58,0.59,0.56,0.52,0.69,0.59,0.67,0.54,
Czech,2,gender,False,3,NN,0.52,0.56,0.60,0.61,0.57,0.57,0.60,0.48,0.66,0.59,0.66,0.57,
Czech,3,case,False,1,DT,0.36,0.42,0.28,0.44,0.34,0.38,0.42,0.34,0.38,0.29,0.36,0.37,
Czech,3,case,True,1,DT,0.43,0.51,0.48,0.47,0.30,0.41,0.42,0.45,0.53,0.47,0.40,0.36,
Czech,3,case,True,3,NN,0.40,0.37,0.41,0.41,0.32,0.40,0.37,0.40,0.45,0.42,0.33,0.43,
Czech,3,case,True,2,RF,0.56,0.53,0.56,0.52,0.50,0.52,0.50,0.51,0.50,0.49,0.54,0.53,
Czech,3,case,False,3,NN,0.29,0.35,0.33,0.40,0.38,0.42,0.31,0.37,0.41,0.37,0.32,0.40,
Czech,3,case,False,2,RF,0.38,0.43,0.37,0.49,0.47,0.43,0.42,0.41,0.40,0.38,0.43,0.41,
