lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
French,1,plurality,True,1,DT,0.91,0.85,0.86,0.87,0.79,0.88,0.89,0.90,0.85,0.91,0.87,0.77,
French,1,plurality,True,2,RF,0.90,0.93,0.89,0.90,0.92,0.82,0.88,0.93,0.91,0.93,0.91,0.83,
French,1,plurality,True,3,NN,0.93,0.91,0.88,0.93,0.93,0.88,0.91,0.93,0.91,0.94,0.94,0.89,
French,1,plurality,False,1,DT,0.90,0.84,0.88,0.82,0.86,0.91,0.82,0.90,0.88,0.88,0.86,0.80,
French,1,plurality,False,2,RF,0.91,0.92,0.89,0.88,0.91,0.86,0.88,0.93,0.89,0.93,0.89,0.83,
French,1,plurality,False,3,NN,0.93,0.91,0.91,0.90,0.93,0.92,0.91,0.89,0.88,0.94,0.96,0.88,
French,2,gender,True,1,DT,0.72,0.73,0.66,0.70,0.69,0.73,0.70,0.67,0.71,0.71,0.58,0.64,
French,2,gender,True,2,RF,0.77,0.77,0.77,0.78,0.78,0.82,0.73,0.82,0.78,0.78,0.77,0.77,
French,2,gender,True,3,NN,0.69,0.72,0.73,0.73,0.77,0.79,0.76,0.78,0.70,0.76,0.75,0.75,
French,2,gender,False,1,DT,0.68,0.69,0.73,0.62,0.60,0.69,0.71,0.72,0.72,0.68,0.65,0.75,
French,2,gender,False,2,RF,0.76,0.78,0.78,0.78,0.76,0.78,0.74,0.76,0.78,0.78,0.76,0.76,
French,2,gender,False,3,NN,0.73,0.72,0.71,0.72,0.75,0.78,0.71,0.77,0.72,0.69,0.76,0.74,
